E		固定構造物	FIXED CONSTRUCTIONS	
E04F		建築物の仕上げ，例．階段，床（窓，扉Ｅ０６Ｂ）<br><b><ul>サブクラス内の索引</ul></b><br>日よけ，日おおい　１０／００<br>階段　１１／００<br>壁，天井または床のおおいまたは仕上げ　１３／００，１５／００，１９／００<br>ダクトまたはみぞ　１７／００<br>器具　２１／００<br>その他の仕上げの細部　１９／００	FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS(windows, doors E06B);<br><br><b><u>Subclass indexes</u></b><br><br><br>SUNSHADES, AWNINGS E04F10/00<br>STAIRWAYS E04F11/00<br>COVERING OR FINISHING WALLS, CEILINGS, OR FLOORS E04F13/00, E04F15/00, E04F19/00<br>DUCTS OR CHANNELS E04F17/00<br>IMPLEMENTS E04F21/00<br>OTHER FINISHING DETAILS E04F19/00	3768
E04G		足場；型枠；せき板；建築用器具または補助具，またはそれらの使用；現場における建築材料の取り扱い；現存する建築物の修復，解体またはその他の作業<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“足場”はその類似の目的に使用する支持具を含む。<br><b><ul>サブクラス内の索引</ul></b><br>足場<br>地面にすえられる足場；建築物に支持されるもの　１／００；３／００<br>構成部品；連結要素　５／００；７／００<br>仮設作業，型枠または堰（せき）板<br>一般的使用のためのもの　９／００<br>特殊な使用のためのもの　１１／００，１３／００，１５／００<br>連結部材，補助部材　１７／００<br>補助的な処理　１９／００<br>その他の器具または付属具<br>通路のための一時的な装置　２７／００<br>材料の準備，または搬送　２１／００<br>支柱　２５／００<br>現存する建築物への作業手段　２３／００	SCAFFOLDING; FORMS; SHUTTERING; BUILDING IMPLEMENTS OR AIDS, OR THEIR USE; HANDLING BUILDING MATERIALS ON THE SITE; REPAIRING, BREAKING-UP OR OTHER WORK ON EXISTING BUILDINGS; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following term is used with the meaning indicated:"scaffolding" includes other supports for like purposes.<br><br><b><u>Subclass indexes</u></b><br><br><br>SCAFFOLDING<br>Scaffolds resting on the ground; supported by the building E04G1/00; E04G3/00<br>Component parts or accessories; coupling elements E04G5/00; E04G7/00<br>FALSEWORK, FORMS OR SHUTTERINGS<br>For general use E04G9/00<br>For particular use E04G11/00, E04G13/00, E04G15/00<br>Connecting members, auxiliary members E04G17/00<br>Auxiliary treatment E04G19/00<br>OTHER IMPLEMENTS OR ACCESSORIES<br>Temporary arrangements for access E04G27/00<br>Preparing or conveying materials E04G21/00<br>Shores E04G25/00<br>WORKING MEASURES ON EXISTING BUILDINGS E04G23/00	4518
E04H		特定目的の建築物または類似の構築物；水泳または水遊び用の水槽またはプール；マスト；囲い；テントまたは天蓋一般（基礎Ｅ０２Ｄ）［４］<br><b><ul>注</ul></b><br>（１）このサブクラスは以下のものを包含する：<br>―全体的にみて主として建築物のレイアウト；<br>―そのグループに明記された，建築様式に特有の細部，または特殊の目的をもつ建物；<br>―天蓋一般および構造がテントに似ている天蓋。［４］<br>（２）このサブクラスは以下のものを包含しない：<br>―特別の用途をもつ天蓋，それらはその関連箇所，例．イスの風雨よけＡ４７Ｃ７／６６，ベッド用天蓋Ａ４７Ｃ２９／００，建築物の日よけＥ０４Ｆ１０／００，に包含される。［４］<br>（３）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“建築物”は工作物およびその他の建造物を除外しない；<br>―“テント”は支持手段を持つテントまたは天蓋，例．フレームおよび可撓性のカバー，を意味する。［４］<br><b><ul>サブクラス内の索引</ul></b><br>建築物<br>居住または事務の目的に対するもの　１／００<br>公共の目的に対するもの　３／００<br>工業または農業の目的に対するもの；駐車に対するもの　５／００；６／００<br>水泳または水遊び用の水槽またはプール　４／００<br>容器　７／００<br>特殊な防護を備える建築物　９／００<br>塔，マスト，煙突　１２／００<br>記念建造物，墓　１３／００<br>異なった目的を組み合せた建築物，ドライブイン建築物　１４／００<br>テント，天蓋　１５／００<br>フェンス，囲い，家畜の囲い　１７／００	BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES; SWIMMING OR SPLASH BATHS OR POOLS; MASTS; FENCING; TENTS OR CANOPIES, IN GENERAL(foundations E02D);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>primarily the layout of buildings as a whole;details which are peculiar to types of buildings, or buildings for special purposes, specified in the groups;canopies in general and canopies similar in construction to tents. This subclass <u>does not cover</u> canopies having special application, which are covered by the relevant place, e.g. protecting chairs against the weather A47C7/66, bed canopies A47C29/00, sun shades or awnings for buildings E04F10/00. In this subclass, the following terms are used with the meanings indicated:"buildings" does not exclude engineering structures and other constructions;"tent" means a tent or canopy having a supporting means, e.g. frame and a flexible cover. <br><br><b><u>Subclass indexes</u></b><br><br><br>BUILDINGS<br>For dwelling or office purposes E04H1/00<br>For public purposes E04H3/00<br>For industrial or agricultural purposes; for parking E04H5/00; E04H6/00<br>SWIMMING OR SPLASH BATHS OR POOLS E04H4/00<br>CONTAINERS E04H7/00<br>BUILDINGS AFFORDING SPECIAL PROTECTION E04H9/00<br>TOWERS, MASTS, CHIMNEY STACKS E04H12/00<br>MONUMENTS, TOMBS E04H13/00<br>BUILDINGS FOR COMBINATIONS OF DIFFERENT PURPOSES, DRIVE-IN BUILDINGS E04H14/00<br>TENTS, CANOPIES E04H15/00<br>FENCING, ENCLOSURES, CORRALS E04H17/00	4995
E05		錠；鍵（かぎ）；窓または戸の付属品；金庫<br><b><ul>注</ul></b><br>このクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―ウイング”は，揺動，滑動または他の移動できる戸（ドア）または窓に対する一般的用語である。この用語はまた，このクラスに含まれる操作，取付け，掛止またはロック手段を適用し得る，ひきだし，箱の蓋（ｌｉｄｓ　ｏｆ　ｃｈｅｓｔｓ），自動車の荷物いれ，自動車のボンネット等の他の可動体をも包含する；<br>―“台わく（フレーム）”は，ウイングが固定装置によって取り付けられる部材を意味する。ウイングの一部を構成する骨組は含まない。これは別のウイングであるといえる；<br>―“錠（ロック）”は，基本的にある部材を解放または緊締し，解放のさいは鍵または順列変換機構を必要とする装置を意味する。しかし，グループＥ０５Ｂ１／００からＥ０５Ｂ９／００，Ｅ０５Ｂ１３／００からＥ０５Ｂ１７／００，Ｅ０５Ｂ３９／００からＥ０５Ｂ４７／００，Ｅ０５Ｂ５１／００，Ｅ０５Ｂ５３／００，Ｅ０５Ｂ６３／００およびＥ０５Ｂ６５／００においては，用語“錠（ロック）”は他の固定装置を含んでもよい。；<br>―“ボルト”は，台わく（フレーム）上の留め具に係止して戸を閉じるように通常は戸に保持されている滑動，回動または他の動き得る部材を意味する。それは直接手によって，または機構や鍵によって操作される；それはラッチでもある（次を参照）；<br>―“ラッチ”は，ウィングを閉じフレームに合わせた時ばね力または他の復元力に抗して解放位置に移動するように構成され，ウィングを固定する時には手で操作する必要はないが，開くときだけそれが必要なボルトを意味する；<br>―“掛け金（ハスプ）”は，ウィングまたは台わく（フレーム）の表面に向って動き得るように台わく（フレーム）またはウィングに枢着され，またそこに，例．回しボタン，南京錠およびつぼ釘によって，緊締される部材を意味する。	LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES; <br><br><b><u>Note(s)</u></b><br><br>In this class, the following terms are used with the meanings indicated:"wing" is a general term for swingable, slidable, or otherwise movable doors or windows. This term also includes other movable structures such as drawers, lids of chests, car boots, or car bonnets, to which the operating, mounting, latching, or locking means covered by this class may be applied;"frame" means any member to which a wing may be held by a fastening device. It does not include a framework forming part of the wing, but it may be another wing;"lock" means primarily a device for releasing or securing any member, which requires a key or a permutation mechanism for release. In groups E05B1/00 to E05B9/00 , E05B13/00 to E05B17/00 , E05B39/00 to E05B47/00 , E05B51/00, E05B53/00, E05B63/00 and E05B65/00 however, the term "lock" may include other fastening devices;"bolt" means a sliding, pivoted, or otherwise movable member such as is normally carried by a door to hold it shut by engagement with a keeper on the frame. It may be operated by hand directly or through mechanism or by a key; it may be a latch (<u>see</u> below);"latch" means a bolt arranged to be moved to the releasing position against the force of a spring, or some other returning force, when a wing meets the frame on closing, so that it does not have to be operated by hand to secure the wing, but only to open it;"hasp" means a member hinged to the frame or wing so that it can be moved towards the face of the wing or frame and secured thereto, e.g. by a turn-button, by a padlock and staple.	
E05B		錠；そのための付属具；手錠<br><b><ul>注</ul></b><br>１．車両のウィング用の錠の操作または制御はグループＥ０５Ｂ７７／００〜Ｅ０５Ｂ８１／００に分類される［２０１４．０１］<br>２．車両のウィング用の錠のためのノブ，ハンドルまたは押しボタンはグループＥ０５Ｂ７９／００〜Ｅ０５Ｂ８５／００に分類される［２０１４．０１］<br><b><ul>サブクラス内の索引</ul></b><br>タンブラをもつ錠<br>鍵の回転により動くもの　２１／００，２３／００，２５／００<br>鍵の押し込みによりセットされるもの　２７／００〜３３／００<br>特殊な鍵または組み合わせ鍵をもつ錠　３５／００<br>符号錠またはパズル錠　３７／００，４９／００<br>南京錠　６７／００，３７／００<br>表示または時限装置をもつ錠　３９／００〜４５／００<br>ラッチ操作の装置をもつ錠　５５／００〜６１／００<br>車両用の錠　７７／００〜８５／００<br>その他の特殊な構造的特徴をもつ錠　６３／００<br>特殊用途の錠　６５／００，６９／００〜７５／００<br>錠の操作または制御　４７／００〜５３／００<br>錠またはその類似物の細部または付属品，鍵<br>ノブまたはハンドル　１／００〜７／００<br>車両用のノブまたはハンドル　７９／００，８５／００<br>錠またはラッチのその他の細部または付属品　９／００〜１７／００<br>鍵　１９／００<br>手錠　７５／００	LOCKS; ACCESSORIES THEREFOR; HANDCUFFS; <br><br><b><u>Note(s)</u></b><br><br>Operating or controlling of locks for vehicle wings are classified in groups E05B77/00 to E05B81/00 .    Knobs, handles or press buttons for locks of vehicle wings are classified in groups E05B79/00 to E05B85/00 .    <br><br><b><u>Subclass indexes</u></b><br><br><br>LOCKS WITH TUMBLERS<br>Moved by rotation of the key E05B21/00, E05B23/00, E05B25/00<br>Set by pushing the key in E05B27/00 to E05B33/00 <br>LOCKS FOR USE WITH SPECIAL KEYS OR KEY SETS E05B35/00<br>PERMUTATION OR PUZZLE LOCKS E05B37/00, E05B49/00<br>PADLOCKS E05B67/00, E05B37/00<br>LOCKS WITH INDICATING OR TIMING DEVICES E05B39/00 to E05B45/00 <br>LOCKS WITH PROVISION FOR LATCHING E05B55/00 to E05B61/00 <br>LOCKS WITH OTHER SPECIAL STRUCTURAL FEATURES E05B63/00<br>LOCKS FOR SPECIAL USE E05B65/00,   E05B69/00 to E05B75/00 <br>LOCKS FOR VEHICLESE05B77/00 to E05B85/00 <br>OPERATION OR CONTROL OF LOCKS E05B47/00 to E05B53/00 <br>OPERATION OR CONTROL OF LOCKS FOR VEHICLESE05B77/00 to E05B81/00 <br>DETAILS OR ACCESSORIES OF LOCKS OR THE LIKE, KEYS<br>Knobs or handles E05B1/00 to E05B7/00 <br>Knobs or handles for vehiclesE05B79/00, E05B85/00<br>Other details or accessories of locks or latches E05B9/00 to E05B17/00 <br>Keys E05B19/00<br>HANDCUFFS E05B75/00	4894
E05C		ウイング特にドアまたは窓用のボルトまたは固定装置（車両の側板またはテールゲート構造の掛け金手段Ｂ６２Ｄ３３／０３７；構造的または機械的要素の固定装置Ｅ０４，Ｆ１６Ｂ；錠，錠と構造的または操作的に組み合わされたまたは錠と重要な協動をする固定装置Ｅ０５Ｂ；ウイングを動かす機構に関連してウイング固定具を操作または制御する手段Ｅ０５Ｆ）<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，ウィングを固定する本質的な動作のみが考慮されるもの，例．引き戻しを防ぐため軸の回りを回転する滑動ボルト，は滑り動作のみを持つものとして分類される。<br>（２）クラスＥ０５のタイトルに続く定義に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>固定装置<br>固定装置に特徴のあるもの　１／００〜５／００<br>ウイングを特に開き状態に保持するもの　１７／００，１９／００<br>特に二個のウイングに適用されるもの　７／００<br>固定装置，係止装置または鎖錠装置の配置　９／００，２１／００	BOLTS OR FASTENING DEVICES FOR WINGS, SPECIALLY FOR DOORS OR WINDOWS(latching means for sideboard or tailgate structures for vehicles B62D33/037; fastening devices for constructional or engineering elements E04, F16B; locks, fastening devices structurally or operatively combined or having significant cooperation with locks E05B; means for operating or controlling wing fasteners in conjunction with mechanisms for moving the wing E05F);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, only the movement essential for securing the wing is considered, e.g. a sliding bolt which is rotated on its axis to prevent its withdrawal is classified as having only a sliding movement.Attention is drawn to the definitions following the title of class E05.<br><br><b><u>Subclass indexes</u></b><br><br><br>FASTENING DEVICES<br>characterised by the way the bolt is moved E05C1/00 to E05C5/00 <br>specially for holding wings open E05C17/00, E05C19/00<br>specially adapted for two wings E05C7/00<br>ARRANGEMENT OF FASTENING, SECURING, OR LOCKING DEVICES E05C9/00, E05C21/00	1446
E05D		ドア，窓またはウイング用の蝶番または支持装置（枢着一般Ｆ１６Ｃ１１／００）<br><b><ul>サブクラス内の索引</ul></b><br>蝶番<br>一般的構造　１／００，３／００<br>特殊な構造　７／００<br>細部；付属品　５／００，９／００；１１／００<br>ウイング用の他の支持装置　１３／００，１５／００	HINGES OR SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS(pivotal connections in general F16C11/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>HINGES<br>General structure E05D1/00, E05D3/00<br>Special structure E05D7/00<br>Details; accessories E05D5/00, E05D9/00; E05D11/00<br>OTHER SUSPENSION DEVICES FOR WINGS E05D13/00, E05D15/00	2228
E05F		ウィングを開閉位置へ動かす手段；ウィング用チェック；他類に属さないウィング部品であってウィングの機能に関するもの<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“閉”または“開”はウィング動作を助力するためのまたはウィング平衝おもりのための装置を含む。［４］<br><b><ul>サブクラス内の索引</ul></b><br>ウイング用開閉器またはウイング用チェック　１／００，３／００，５／００<br>ウイング用付属品　７／００<br>ウイング用操作機構　９／００〜１７／００	DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR, CONCERNED WITH THE FUNCTIONING OF THE WING; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms are used with the meanings indicated:"closer" or "opener" includes devices for assisting wing-movement or for wing-counterbalancing. <br><br><b><u>Subclass indexes</u></b><br><br><br>CLOSERS, OPENERS, OR CHECKS FOR WINGS E05F1/00, E05F3/00, E05F5/00<br>ACCESSORIES FOR WINGS E05F7/00<br>OPERATING MECHANISMS FOR WINGS E05F9/00 to E05F17/00	1540
E05G		金庫または貴重品保管室；銀行防護装置；保安隔壁（警報装置それ自体Ｇ０８Ｂ）［２］<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“銀行”は，貴重品を安全保管しまたは銀行と客との間で貴重品を交換するために供される建物または建物の一部分をいう；［２］<br>―“銀行防護装置”は，貴重品を保管しまたは窃盗や強盗を退けるため銀行内または外に設けられる装置をいう。［２］	SAFES OR STRONG-ROOMS FOR VALUABLES; BANK PROTECTION DEVICES; SAFETY TRANSACTION PARTITIONS(alarm arrangements <u>per se</u>G08B);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms or expressions are used with the meanings indicated:"bank" is a building or portion of a building devoted to the safekeeping or exchange of valuables between the "bank" and its customers; "bank protection device" is a mechanism in or on a bank for protecting the valuables or repelling attacks by stealth or force.	635
E06		戸，窓，シャッタまたはローラブラインド一般；はしご	DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS, IN GENERAL; LADDERS	
E06B		建築物，乗り物，フエンスまたは類似の囲いにおける開口のための固定または可動閉鎖部材一般，例．戸，窓，ブラインド，門（温室のおおいやブラインドＡ０１Ｇ９／２２；カーテンＡ４７Ｈ；自動車の荷物入れまたはボンネットのためのリッドＢ６２Ｄ２５／１０；天窓Ｅ０４Ｂ７／１８；日よけ，張り出し日よけＥ０４Ｆ１０／００）<br><b><ul>注</ul></b><br>（１）このサブクラスは，クラスＥ０５に見い出されるタイプの操作，装着，ラッチあるいはロック手段を有するウィングまたは枠の組合せを包含しない。ただし，これらは，このサブクラスのグループ７／０８６，９／００または１１／０２に包含されるものを除いてクラスＥ０５の関連サブクラスに包含される。［２］<br>（２）このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“ウィング”は戸か窓のような開口を閉じるための揺動，滑動またはその可動部材を意味する；<br>―“ウィング枠”はウィングの外縁を規定する一つまたは複数の周囲縁を意味する。<br>（３）自動車のドアまたは窓装置に対しては，サブクラスＢ６０Ｊのタイトルに続く注（１）に注意すること。［３］<br><b><ul>サブクラス内の索引</ul></b><br>縁の構造　１／００<br>開口を閉じるための要素　３／００，５／００<br>特殊な装置　７／００，９／００<br>さくを通過しうるようにする手段　１１／００	FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES(shades or blinds for greenhouses A01G9/22; curtains A47H; lids for car boots or bonnets B62D25/10; sky-lights E04B7/18; sunshades, awnings E04F10/00);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>does not cover</u> combinations of wings or frames with operating, mounting, latching or locking means of the type found in class E05, which are covered by the relevant subclasses of class E05, except such as are covered by groups E06B7/086, E06B9/00, or E06B11/02 of this subclass.In this subclass, the following terms or expressions are used with the meanings indicated:"wing" means a swingable, slidable or otherwise movable member such as a door or window, for closing an opening;"wing frame" means the peripheral edge or edges which define the outer border of the wing.For vehicle door or window arrangements, attention is drawn to Note (1) following the title of subclass B60J.<br><br><b><u>Subclass indexes</u></b><br><br><br>BORDER CONSTRUCTIONS E06B1/00<br>ELEMENTS FOR CLOSING OPENINGS E06B3/00, E06B5/00<br>SPECIAL ARRANGEMENTS E06B7/00, E06B9/00<br>MEANS ALLOWING PASSAGE THROUGH FENCES E06B11/00	8660
E06C		はしご（Ｅ０４Ｆ１１／００が優先；ステップストゥールＡ４７Ｃ１２／００；船用Ｂ６３Ｂ；航空機用Ｂ６４；足場Ｅ０４Ｇ）［５，６］	LADDERS(E04F11/00 takes precedence; step-stools A47C12/00; adaptation of ladders to use on ships B63B, to use on aircraft B64; scaffolding E04G)	766
E21		地中もしくは岩石の削孔；採鉱<br><b><ul>注</ul></b><br>このクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“削孔”は“ボーリング”を包含する，そして逆もまた同様。	EARTH OR ROCK DRILLING; MINING; <br><br><b><u>Note(s)</u></b><br><br>In this class, the following term is used with the meaning indicated:"drilling" covers boring and <u>vice versa</u>.	
E21B		地中もしくは岩石の削孔；探掘井からの石油，ガス，水，溶解性または溶融性物質または鉱物の懸濁液の採取［５］<br><b><ul>注</ul></b><br>（１）このサブクラスには以下のものを包含する：［７］<br>―自然に形成された状態の地中または岩石に削孔するための基本的な装置；［７］<br>―人為的構造，例．道路の表面，またはコンクリート構造，の削孔のための同様の装置［７］<br>（２）このサブクラスには以下のものは包含しない：［７］<br>―手で支える削孔機，例．家庭で使用するもの；［７］<br>―製造作業用，すなわち，品物を製作する場合，例．さらに加工するため，の削孔装置；［７］<br>これらはＢセクションの当該のサブクラス，例．Ｂ２３Ｂ，に分類される。<br>―さく井若しくは坑井用組成物または坑井若しくは井戸を処理するための組成物であって，グループＣ０９Ｋ８／００に包含されるもの，例．炭化水素を採取するための強化回収法のための組成物Ｃ０９Ｋ８／５８［８］<br><b><ul>サブクラス内の索引</ul></b><br>削孔のための方法または装置　１／００〜７／００<br>削孔用工具；そのための付属物　１０／００，１１／００；１２／００<br>削孔または井戸のためのその他の機器または細部<br>櫓；ドリルロッドまたはその類似のもの　１５／００；１７／００，１９／００<br>坑井の洗浄または清掃；密封；加熱または冷却　２１／００，３７／００；３３／００；３６／００<br>弁装置；消火活動　３４／００；３５／００<br>その他の機器または細部　２３／００〜３１／００，４０／００，４１／００<br>井戸からの液体の採取　４３／００<br>制御；調査または試験　４４／００；４５／００〜４９／００	EARTH OR ROCK DRILLING; OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>: primarily equipment for drilling of earth or rock in their natural formation;similar equipment for drilling of man-made structures <u>in situ</u>, e.g. of road surfaces or concrete structures.This subclass <u>does not cover</u>: hand-held drilling machines, e.g. for domestic use;drilling equipment for manufacturing operations, i.e. where an article is worked, e.g. for further processing;which are covered by relevant subclasses of section B, e.g. B23B; compositions for drilling of boreholes or wells or for treating boreholes or wells, which compositions are covered by group C09K8/00, e.g. compositions for enhanced recovery methods for obtaining hydrocarbons C09K8/58.<br><br><b><u>Subclass indexes</u></b><br><br><br>METHODS OR APPARATUS FOR DRILLING E21B1/00 to E21B7/00 <br>DRILLING TOOLS; ACCESSORIES THEREFOR E21B10/00, E21B11/00; E21B12/00<br>OTHER EQUIPMENT OR DETAILS FOR DRILLING; WELL EQUIPMENT OR MAINTENANCE<br>Derricks; drilling rods or the like E21B15/00; E21B17/00, E21B19/00<br>Flushing or cleaning; sealing; heating or cooling E21B21/00, E21B37/00; E21B33/00; E21B36/00<br>Valve arrangements; fire-fighting E21B34/00; E21B35/00<br>Other equipment or details E21B23/00 to E21B31/00 , E21B40/00, E21B41/00<br>OBTAINING FLUIDS FROM WELLS E21B43/00<br>CONTROL; SURVEYING OR TESTING E21B44/00; E21B45/00 to E21B49/00	4094
E21C		採鉱，または採石<br><b><ul>サブクラス内の索引</ul></b><br>切削，透かし掘り，掘り出し<br>機械の一般的構造　２５／００，２７／００<br>細部　２９／００，３１／００，３５／００<br>その他の装置　３３／００，３７／００，３９／００<br>採鉱，採石の方法；露天掘り　４１／００，４５／００；４７／００，４９／００<br>水中から鉱石の採取　５０／００<br>地球大気圏外からの資源の獲得　５１／００	MINING OR QUARRYING; <br><br><b><u>Subclass indexes</u></b><br><br><br>CUTTING; SLITTING; DISLODGING<br>General structure of machines E21C25/00, E21C27/00<br>Details E21C29/00, E21C31/00, E21C35/00<br>Other devices E21C33/00, E21C37/00, E21C39/00<br>METHODS OF MINING OR QUARRYING; OPEN-PIT MINING E21C41/00, E21C45/00; E21C47/00, E21C49/00<br>OBTAINING MINERALS FROM UNDERWATER E21C50/00<br>WINNING MATERIALS FROM EXTRATERRESTRIAL SOURCES E21C51/00	2225
E21D		立て坑；トンネル；坑道；大地下空間（土壌調整用物質または土壌安定用物質Ｃ０９Ｋ１７／００；採鉱または採石用の切削機Ｅ２１Ｃ；安全装置，運搬，救護，通風または排水Ｅ２１Ｆ）［２，６］<br><b><ul>注</ul></b><br>（１）このサブクラスは地中掘削方法のみにより（つまり，地表面をかき乱すことによらないで）トンネル，坑道，あるいは大地下空間を構築またはライニングする方法や装置を包含する。［６］<br>（２）このサブクラスは基礎工事により（つまり，地表面をかき乱すことにより）構築する地下空間を包含しない。それはサブクラスＥ０２Ｄに包含される。［６］<br><b><ul>サブクラス内の索引</ul></b><br>立て坑掘削；そのためのライニング　１／００，３／００，７／００，８／００；５／００<br>トンネルまたは坑道掘進；そのためのライニング　９／００，１１／００<br>地下空間の作製；そのためのライニング　１３／００；１１／００<br>切羽面の支保またはカバー　１５／００，１７／００，１９／００，２１／００<br>走行式天盤支保　２３／００<br>アンカーボルトのすえ付け　２０／００	SHAFTS; TUNNELS; GALLERIES; LARGE UNDERGROUND CHAMBERS(soil-conditioning or soil-stabilising materials C09K17/00; cutting machines for mining or quarrying E21C; safety devices, transport, rescue, ventilation or drainage E21F);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> methods or apparatus for making or lining tunnels, galleries or large underground chambers, using underground mining methods only, i.e. not involving disturbance of the ground surface. This subclass <u>does not cover</u> underground spaces made by foundation engineering, i.e. involving disturbance of the ground surface, which are covered by subclass E02D. <br><br><b><u>Subclass indexes</u></b><br><br><br>MAKING SHAFTS; LININGS THEREFOR E21D1/00, E21D3/00, E21D7/00, E21D8/00; E21D5/00<br>MAKING TUNNELS OR GALLERIES; LININGS THEREFOR E21D9/00; E21D11/00<br>MAKING UNDERGROUND CHAMBERS; LININGS THEREFOR E21D13/00; E21D11/00<br>WORKING-FACE SUPPORTS OR COVERS E21D15/00, E21D17/00, E21D19/00, E21D21/00<br>SUPPORTS FOR STEP-BY-STEP MOVEMENT E21D23/00<br>SETTING ANCHORING BOLTS E21D20/00	3525
E21F		坑道またはトンネル内の，またはそれらの，安全装置，運搬，充填，救護，通風または排水［２］<br><b><ul>サブクラス内の索引</ul></b><br>通風　１／００，３／００<br>排水装置　１６／００<br>安全装置，救護装置　５／００〜１１／００<br>運搬；充填　１３／００；１５／００<br>その他の方法または装置　１７／００	SAFETY DEVICES, TRANSPORT, FILLING-UP, RESCUE, VENTILATION, OR DRAINAGE IN OR OF MINES OR TUNNELS; <br><br><b><u>Subclass indexes</u></b><br><br><br>VENTILATION E21F1/00, E21F3/00<br>DRAINAGE E21F16/00<br>SAFETY DEVICES, RESCUE DEVICES E21F5/00 to E21F11/00 <br>TRANSPORT; FILLING-UP E21F13/00; E21F15/00<br>OTHER METHODS OR DEVICES E21F17/00	1293
E99		このセクションの中で他に分類されない主題事項［８］	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION	
E99Z		このセクションの中で他に分類されない主題事項［８］<br><b><ul>注</ul></b><br>このサブクラスは，以下の主題事項を包含する：［８］<br>（ａ）このセクションのサブクラスに包含される主題事項に分類されないが，これに最も関連しているもの，［８］<br>（ｂ）別のセクションの何れのサブクラスにも明示的に包含されないもの。［８］	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> subject matter that:is not provided for, but is most closely related to, the subject matter covered by the subclasses of this section, andis not explicitly covered by any subclass of another section.	1
