E		固定構造物	FIXED CONSTRUCTIONS	
E02F		掘削；土砂の移送（泥炭の採掘Ｅ２１Ｃ４９／００）<br><b><ul>注</ul></b><br>このサブクラスは以下のものを包含する：<br>―主として土壌の掘削または掘りかえし，あるいはそれを移送するための設備；<br>―土壌以外のものに同じような操作を施す設備およびそれをつみあげたり，おろしたりする同種の設備。<br><b><ul>サブクラス内の索引</ul></b><br>施工法一般　１／００<br>一般的用途のための手操作機械または装置　３／０２<br>一般的用途のための動力駆動機械または装置，またはそれらの特別な細部　３／０４<br>特殊目的のための機械またはそれらの特別な細部　５／００<br>掘削物の移送または分離用設備　７／００<br>一般の細部　９／００	DREDGING; SOIL-SHIFTING(winning peat E21C49/00);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>:primarily equipment for excavating or loosening earth or for moving loose earth;equipment for working similarly on other materials and similar equipment for loading or unloading materials.<br><br><b><u>Subclass indexes</u></b><br><br><br>GENERAL WORKING METHODS E02F1/00<br>HAND-OPERATED MACHINES OR APPARATUS FOR GENERAL USE E02F3/02<br>MECHANICALLY-DRIVEN MACHINES OR APPARATUS FOR GENERAL USE OR THEIR SPECIAL DETAILS E02F3/04<br>MACHINES FOR SPECIAL PURPOSES OR THEIR SPECIAL DETAILS E02F5/00<br>EQUIPMENT FOR CONVEYING OR SEPARATING EXCAVATED MATERIAL E02F7/00<br>GENERAL DETAILS E02F9/00	1591
E03		上水；下水	WATER SUPPLY; SEWERAGE	
E03B		取水，集水または配水の設備またはその方法（坑井の削孔，坑井からの流体の採取一般Ｅ２１Ｂ；管路系一般Ｆ１７Ｄ）<br><b><ul>サブクラス内の索引</ul></b><br>レイアウト　１／００，５／００<br>方法　１／００，３／００，９／００<br>設備　３／００，５／００，９／００<br>管系；水槽　７／００；１１／００	INSTALLATIONS OR METHODS FOR OBTAINING, COLLECTING, OR DISTRIBUTING WATER(drilling wells, obtaining fluids in general from wells E21B; pipe-line systems in general F17D);<br><br><b><u>Subclass indexes</u></b><br><br><br>LAYOUT E03B1/00, E03B5/00<br>METHODS E03B1/00, E03B3/00, E03B9/00<br>INSTALLATIONS E03B3/00, E03B5/00, E03B9/00<br>PIPE SYSTEMS; TANKS E03B7/00; E03B11/00	897
E03C		上水または排水用の家庭用配管設備（給水主管または排水管のどちらにも結合されないものＡ４７Ｋ；地下で使用されている種類の装置Ｅ０３Ｂ，Ｅ０３Ｆ）；流し	DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER(not connected to either water-supply main or to waste pipe A47K; devices of the kind used in the ground E03B, E03F);SINKS	1653
E03D		水洗便所または洗浄装置を備えた小便所；そのための洗浄弁<br><b><ul>サブクラス内の索引</ul></b><br>水洗便所，洗浄装置<br>一般的構成　１／００，３／００<br>特殊構造　５／００，７／００<br>付属品，構成部材　９／００，１１／００<br>小便所　１３／００	WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES; FLUSHING VALVES THEREFOR; <br><br><b><u>Subclass indexes</u></b><br><br><br>WATER-CLOSETS, FLUSHING DEVICES<br>General structure E03D1/00, E03D3/00<br>Special constructions E03D5/00, E03D7/00<br>ACCESSORIES, COMPONENT PARTS E03D9/00, E03D11/00<br>URINALS E03D13/00	1925
E03F		下水；汚水だめ<br><b><ul>サブクラス内の索引</ul></b><br>下水溝　１／００〜９／００<br>汚水だめ　１１／００，７／００	SEWERS; CESSPOOLS; <br><br><b><u>Subclass indexes</u></b><br><br><br>SEWERS E03F1/00 to E03F9/00 <br>CESSPOOLS E03F11/00, E03F7/00	945
E04		建築物	BUILDING	
E04B		建築構造一般；壁，例．間仕切り；屋根；床；天井；建築物の絶縁またはその他の保護（壁，床，または天井内の開口部の縁構造Ｅ０６Ｂ１／００）<br><b><ul>注</ul></b><br>（１）このサブクラスは，建築物の新築に用いられる作業方法および現存する建築物についての類似の作業方法を包含する。<br>現存する建築物についての他の方法は，絶縁のための作業方法を除き，グループＥ０４Ｇ２３／００に分類する。［５］<br>（２）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“天井”は荷重保持天井構造または屋根構造の下面を被覆する全ての仕上げ材料を含む。	GENERAL BUILDING CONSTRUCTIONS; WALLS, e.g. PARTITIONS; ROOFS; FLOORS; CEILINGS; INSULATION OR OTHER PROTECTION OF BUILDINGS(border constructions of openings in walls, floors, or ceilings E06B1/00);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> working methods used in constructing new buildings and analogous working methods on existing buildings. Other working methods on existing buildings, except those for insulating, are classified in group E04G23/00.In this subclass, the following term is used with the meaning indicated:"ceiling" includes all the finishing material concealing the underside of the load-carrying ceiling structure or roof structure.	8990
E04C		構造要素；建築材料（橋用Ｅ０１Ｄ；絶縁または他の保護のために特別に設計されたものＥ０４Ｂ；建築補助具として使用される要素Ｅ０４Ｇ；鉱業用Ｅ２１；トンネル用Ｅ２１Ｄ；建築工学よりも広い適用範囲を有する構造要素Ｆ１６，特にＦ１６Ｓ）	STRUCTURAL ELEMENTS; BUILDING MATERIALS(for bridges E01D; specially designed for insulation or other protection E04B; elements used as building aids E04G; for mining E21; for tunnels E21D; structural elements with broader range of application than for building engineering F16, particularly F16S)	7261
E04D		屋根ふき；天窓；とい；屋根工事用工具（プラスターまたは他の多孔性材料による外壁の被覆のＥ０４Ｆ１３／００）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の表現は以下に示す意味で用いる：<br>―“屋根ふき”は建築物の屋根以外の部分の雨，雪，あられ等に対する屋根と同様の防水被覆も含む。<br><b><ul>サブクラス内の索引</ul></b><br>屋根ふき<br>かわらまたはスレート；板（スラブ）または硬いシート；可とう性のある材料　１／００；３／００；５／００，１１／００<br>かさのある材料，わらまたはかや　７／００，９／００，１１／００<br>その他の材料　１１／００<br>屋根ふきに関する特殊な装置　１２／００，１３／００<br>屋根作業のための装置または道具　１５／００	ROOF COVERINGS; SKY-LIGHTS; GUTTERS; ROOF-WORKING TOOLS(coverings of outer walls by plaster or other porous material E04F13/00);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following expression is used with the meaning indicated:"roof coverings" includes any similar kind of watertight covering against rain, snow, hail, or the like, for other parts of buildings.<br><br><b><u>Subclass indexes</u></b><br><br><br>ROOF COVERINGS<br>Tiles or slates; slabs or stiff sheets; flexible materials E04D1/00; E04D3/00; E04D5/00, E04D11/00<br>Bulk materials, straw or thatch E04D7/00, E04D9/00, E04D11/00<br>Other materials E04D11/00<br>SPECIAL ARRANGEMENTS IN CONNECTION WITH ROOF COVERINGS E04D12/00, E04D13/00<br>APPARATUS OR TOOLS FOR ROOF WORKING E04D15/00	2056
