A		生活必需品	HUMAN NECESSITIES	
A01M		動物の捕獲，わな猟，または威嚇（分蜂捕獲または雄蜂捕獲の用具Ａ０１Ｋ５７／００；漁撈Ａ０１Ｋ６９／００〜Ａ０１Ｋ９７／００；殺生物剤，有害生物忌避剤または誘因剤Ａ０１Ｎ）；有害な動物又は有害な植物の駆除装置<br><b><ul>注</ul></b><br>このサブクラスでは，”殺除”および”駆除”という用語には，無脊椎動物の”薬剤を用いない不妊処理”が含まれる。［７］<br><b><ul>サブクラス内の索引</ul></b><br>散布機；くん蒸機；火炎放射機　７／００〜１１／００；１３／００；１５／００<br>昆虫の捕獲または殺除　１／００〜５／００，１７／００<br>昆虫以外の動物の捕獲または殺除　１９／００，２３／００，２５／００，２７／００<br>おどし機；狩猟用具　２９／００；３１／００<br>不要植物の駆除　２１／００<br>このサブクラスの他のグループに分類されない主題事項　９９／００	CATCHING, TRAPPING OR SCARING OF ANIMALS(appliances for catching swarms or drone-catching A01K57/00;   fishing A01K69/00 to A01K97/00 ;   biocides, pest repellants or attractants A01N);APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, terms "killing" and "destruction" cover "non-chemical sterilisation" of invertebrates.<br><br><b><u>Subclass indexes</u></b><br><br><br>SPRAYERS; FUMIGATORS; FLAME-THROWERS A01M7/00 to A01M11/00 ; A01M13/00; A01M15/00<br>CATCHING OR KILLING INSECTS A01M1/00 to A01M5/00 , A01M17/00<br>CATCHING OR KILLING ANIMALS OTHER THAN INSECTS A01M19/00, A01M23/00, A01M25/00, A01M27/00<br>SCARING DEVICES; HUNTING APPLIANCES A01M29/00; A01M31/00<br>DESTRUCTION OF UNWANTED VEGETATION A01M21/00<br>SUBJECT MATTER NOT PROVIDED FOR IN OTHER GROUPS OF THIS SUBCLASS A01M99/00	1259
A01N		人間または動物または植物の本体またはその一部の保存（食品または食料品の保存Ａ２３）；殺生物剤，例．殺菌剤，殺虫剤または除草剤として（望ましくない生物の殺除あるいは成長または増殖を防止する医療用の製剤，歯科用の製剤又は化粧品Ａ６１Ｋ）；有害生物忌避剤または誘引剤；植物生長調節剤<br><b><ul>注</ul></b><br>１．このサブクラスは以下のものを包含する：<br>・組成物，物理的形態，特定物質の適用方法，あるいは単一化合物又は組成物の使用；<br>・無脊椎動物，例．昆虫，を生殖不能にするための化学不妊剤，それ以外の目的の不妊剤はサブクラスＡ６１Ｋでカバーされる。<br>２．このサブクラスは，栄養を与えることによってのみ植物の生長に影響を及ぼす物質，すなわち育成のために通常必要とされる肥料，または植物のミネラル欠乏症を防ぐため，または回復させるために用いる物質，たとえば鉄分の欠乏によるクロロシスを直すために添加する鉄キレートなどは，包含しない。こうした物質はクラスＣ０５に分類される。<br>３．このサブクラスでは，下記の表現は以下に示す意味で用いる：<br>・”植物生長調節剤”とは，オーキシンのように植物の代謝を化学的に調節して植物を変える物質である。<br>４．化合物または合成から成る殺生物剤，有害生物忌避剤，有害生物誘引剤または植物生長調節剤活性は，さらにサブクラスＡ０１Ｐにも分類する。<br><b><ul>サブクラス内の索引</ul></b><br>人間または動物の死骸，または植物の保存　１／００，３／００<br>殺生物剤；有害生物忌避剤または誘引剤；植物生長調節剤<br>物理的形態または適用方法　２５／００<br>有機化合物を含むもの　２７／００〜５７／００，６１／００<br>無機化合物を含むもの　５９／００<br>微生物，酵素，動物または植物の抽出物を含むもの　６３／００，６５／００	PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23);BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES (preparations for medical, dental or toiletry purposes which kill or prevent the growth or proliferation of unwanted organisms A61K);PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>: compositions, physical forms, methods of application of specific materials or the use of single compounds or compositions;chemosterilants for the sexual sterilisation of invertebrates, e.g. insects, whereas sex sterilants for other purposes are covered by subclass A61K.This subclass <u>does not cover</u> materials which affect the growth of a plant solely by supplying nutrients, i.e. plant food, ordinarily required for growth or materials which are used to prevent or cure mineral deficiencies in plants, e.g. addition of iron chelates to cure iron chlorosis, which materials are covered by class C05.In this subclass, the following expression is used with the meaning indicated: "plant growth regulators" are those materials which alter the plant through a chemical modification of the plant metabolism, such as auxins.Biocidal, pest repellant, pest attractant or plant growth regulatory activity of compounds or preparations is further classified in subclass A01P.<br><br><b><u>Subclass indexes</u></b><br><br><br>PRESERVATION OF CORPSES OF HUMANS OR ANIMALS, OR OF PLANTS A01N1/00, A01N3/00<br>BIOCIDES, PEST REPELLANTS OR ATTRACTANTS, PLANT GROWTH REGULATORS<br>Physical form or method of application A01N25/00<br>containing organic compounds A01N27/00 to A01N57/00 , A01N61/00<br>containing inorganic compounds A01N59/00<br>containing microorganisms, enzymes, extracts of animals or plants A01N63/00, A01N65/00	8038
A01P		化合物または組成物の殺生物，有害生物忌避，有害生物誘引または植物生長調節活性［８］<br><b><ul>注</ul></b><br>（１）このサブクラスは，サブクラスＡ０１ＮもしくはＣ１２Ｎ，またはクラスＣ０１，Ｃ０７もしくはＣ０８に既に分類されている化合物または組成物の殺生物，有害生物忌避，有害生物誘引または植物生長調節活性を含む。［８］<br>（２）サブクラスＡ０１Ｎのタイトルに続く注に注意する。この注は，このサブクラスにも適用し得る。［８］<br>（３）このサブクラスでは，活性は適切な箇所すべてに分類する。［８］<br>（４）発明の主題が，化合物または組成物の殺生物，有害生物忌避，有害生物誘引または植物生長調節活性のみに関しており，発明のこの主題の化学構造，化合物，混合物または組成物が知られているケースに注意が必要である。そのようなケースでは，分類はサブクラスＡ０１ＮとＡ０１Ｐの両方に発明情報として付与される。加えて，化学構造，化合物，混合物または組成物，あるいは混合物または組成物の個々の含有物のいずれかが調査に重要な情報を示すものと考えられる場合は，それも付加情報として分類してもよい。［２０１２．０１］<br>（５）このサブクラスの分類記号は，特許文献に付与する際に最初には記入されない。［８］	BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations already classified as such in subclasses A01N or C12N, or in classes C01, C07 or C08.     Attention is drawn to the notes following the title of subclass A01N, which are also applicable to this subclass.     In this subclass, activity is classified in all appropriate places.     Attention is drawn to cases where the subject of the invention concerns only biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations, and the chemical structure, compound, mixture or composition of this subject of the invention is known. In such cases, classification is made in both subclass A01N and subclass A01P as invention information. In addition, if the chemical structure, compound, mixture or composition or any individual ingredient of a mixture or composition is considered to represent information of interest for search, it may also be classified as additional information. The classification symbols of this subclass are not listed first when assigned to patent documents.    	756
A21		ベイキング；生地製造または加工の機械あるいは設備；ベイキングの生地［１，８］	BAKING; EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; DOUGHS FOR BAKING	
A21B		ベイカー用焼がま；ベイキング用機械または装置（家庭用ベイキング装置Ａ４７Ｊ３７／００）［２００６．０１］	BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING(domestic baking equipment A47J37/00)	832
A21C		生地製造または加工の機械あるいは設備；生地を種としてベイク品を取扱うもの<br><b><ul>サブクラス内の索引</ul></b><br>ベイキング前の生地操作<br>混合，混捏，均質化　１／００，７／００<br>形どり　３／００，１１／００<br>分割；仕上げ　５／００；９／００，１１／００<br>発酵生地の膨脹装置　１３／００<br>生地の製造または加工の他の機械または装置　１４／００<br>ベイク品の仕上げ　１５／００	MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH; <br><br><b><u>Subclass indexes</u></b><br><br><br>WORKING DOUGH BEFORE BAKING<br>Mixing, kneading, homogenising A21C1/00, A21C7/00<br>Shaping A21C3/00, A21C11/00<br>Dividing; handling A21C5/00; A21C9/00, A21C11/00<br>APPARATUS PERMITTING DOUGH TO RISE A21C13/00<br>OTHER MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGH A21C14/00<br>HANDLING BAKED ARTICLES A21C15/00	1651
A21D		ベイキングの穀粉または生地の処理，例．材料の添加によるもの；ベイキング；ベイカリー製品（ベイキング前の穀粉または生地の保存Ａ２３Ｂ４０／００；ベイカリー製品の保存Ａ２３Ｂ４５／００）［２００６．０１］<br><b><ul>サブクラス内の索引</ul></b><br>ベイキング前の製品；それらの処理  Ａ２１Ｄ１０／００；Ａ２１Ｄ２／００ーＡ２１Ｄ６／００<br>生地のベイキング  Ａ２１Ｄ８／００<br>ベイカリー製品；それらの改良または再生  Ａ２１Ｄ１３／００；Ａ２１Ｄ１５／００，Ａ２１Ｄ１７／００	TREATMENT OF FLOUR OR DOUGH FOR BAKING, e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS(preservation of flour or dough before baking A23B40/00; preservation of bakery products A23B45/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>PRODUCTS BEFORE BAKING; TREATMENT THEREOFA21D10/00; A21D2/00 to A21D6/00 <br>BAKING OF DOUGHA21D8/00<br>BAKERY PRODUCTS; IMPROVING OR REFRESHING THEREOFA21D13/00; A21D15/00, A21D17/00	742
A22		屠殺；肉処理；家禽または魚の処理	BUTCHERING; MEAT TREATMENT; PROCESSING POULTRY OR FISH	
A22B		屠殺	SLAUGHTERING	291
A22C		食肉，家禽，魚の加工（保存Ａ２３Ｂ；食品用蛋白質組成物の採取Ａ２３Ｊ１／００；魚，肉，家禽の調整品Ａ２３Ｌ；細断，例．肉の切断Ｂ０２Ｃ１８／００；蛋白質の調整Ｃ０７Ｋ１／００）<br><b><ul>サブクラス内の索引</ul></b><br>肉類の処理<br>混合，すりつぶし，肉を柔らかくする装置　５／００，７／００，９／００<br>その他の装置　１１／００〜１７／００<br>工場，製造所またはこれらに類するもの　１８／００<br>家禽の加工　２１／００<br>魚または貝の処理　２５／００，２９／００	PROCESSING MEAT, POULTRY, OR FISH(preserving A23B; obtaining protein compositions for foodstuffs A23J1/00; fish, meat or poultry preparations A23L; disintegrating, e.g. chopping meat, B02C18/00; preparation of proteins C07K1/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>PROCESSING MEAT<br>Apparatus for mixing, pounding, tenderising A22C5/00, A22C7/00, A22C9/00<br>Other apparatus A22C11/00 to A22C17/00 <br>Plants, factories, or the like A22C18/00<br>PROCESSING POULTRY A22C21/00<br>PROCESSING FISH OR SHELLFISH A22C25/00, A22C29/00	1635
