E04G   7/00		足場部品間の連結（建築構造に対するもの一般Ｅ０４Ｂ１／３８；連結一般Ｆ１６Ｂ）	Connections between parts of the scaffold(for building structures in general E04B1/38; connections in general F16B)	1235
E04G   7/02	・	分離した連結要素を有するもの	with separate coupling elements	1465
E04G   7/04	・・	ブラケットを有しまたは有しない可とう性要素，例．ロープ，ケーブル，鎖（一般的なものＦ１６Ｇ）	Flexible elements, with or without brackets, e.g. ropes, cables, chains(in general F16G)	346
E04G   7/06	・・	一般形状の足場部材を連結するための堅い足場用クランプ	Stiff scaffolding clamps for connecting scaffold members of common shape	1704
E04G   7/08	・・・	平行に配列された部材に対するクランプ	Clamps for parallely-arranged members	447
E04G   7/10	・・・・	自身で堅く結ぶクランプ，例．巻き金物	Self-tightening clamps, e.g. stirrups	127
E04G   7/12	・・・	交さする部材のためのクランプまたはクリップ（Ｅ０４Ｇ７／２２が優先）	Clamps or clips for crossing members(E04G7/22 takes precedence)	1083
E04G   7/14	・・・・	部材を別々に締め付けるもの	for clamping the members independently	1403
E04G   7/16	・・・・・	相互の部材が回転できるような締め付け部分を有するもの	of which the clamping parts for the different members are rotatable with respect to one another	651
E04G   7/18	・・・・	部材を相互にまたは部材間に分離した緩衝片を介して締めつけるためのもの	for clamping the members against one another or against a separate cushioning piece between them	542
E04G   7/20	・・・	部材の端部のみのためもの，例．端と端とが接する部材の連結のためのもの	for ends of members only, e.g. for connecting members in end-to-end relation	2210
E04G   7/22	・・・	端部と側部が接する関係にある足場部材に対するもの	for scaffold members in end-to-side relation	2481
E04G   7/24	・・・	サブグループＥ０４Ｇ７／０８，Ｅ０４Ｇ７／１２，Ｅ０４Ｇ７／２０，Ｅ０４Ｇ７／２２の２以上を含む装置の連結具	Couplings involving arrangements covered by more than one of the groups E04G7/08, E04G7/12, E04G7/20, E04G7/22	632
E04G   7/26	・・	特別形状の足場部材に使用するもの	for use with specially-shaped scaffold members	693
E04G   7/28	・・	板を保持するクリップまたは連結具（ブラケットＥ０４Ｇ５／０６）	Clips or connections for securing boards(brackets E04G5/06)	2391
E04G   7/30	・	分離できないように固定された連結要素を有する足場用の棒または部材	Scaffolding bars or members with non-detachably fixed coupling elements	2746
E04G   7/32	・・	くさびを用いた連結要素を備えたもの［８］	with coupling elements using wedges	661
E04G   7/34	・・	ポジティブエンゲージメント（主体的な係止部）を用いる連結要素を備えたもの，例．鉤（かぎ）またはピン［８］	with coupling elements using positive engagement, e.g. hooks or pins	1312
E04G   9/00		一般的使用のための型枠または堰板	Forming or shuttering elements for general use	3309
E04G   9/02	・	型枠板または類似した要素（Ｅ０４Ｇ９／０８，Ｅ０４Ｇ９／１０が優先）	Forming boards or similar elements(E04G9/08, E04G9/10 take precedence)	4806
E04G   9/04	・・	表面が木製のもの［２］	the form surface being of wood	1464
E04G   9/05	・・	表面が合成樹脂製のもの［２］	the form surface being of plastics	3673
E04G   9/06	・・	表面が金属製のもの［２］	the form surface being of metal	6038
E04G   9/08	・	折りたたみまたは巻き上げできる型枠板または類似した要素	Forming boards or similar elements, which are collapsible, foldable, or able to be rolled up	3087
E04G   9/10	・	表面形成，絶縁または加熱，水または空気に対する浸透性のように付加的な特色を有するもの	with additional peculiarities such as surface shaping, insulating or heating, permeability to water or air	8679
E04G  11/00		壁，床，天井または屋根に対する型枠，堰板または仮設作業	Forms, shutterings, or falsework for making walls, floors, ceilings, or roofs	1214
E04G  11/02	・	部屋全体，階全体または建築物全体のためのもの	for rooms as a whole, whole storeys, or whole buildings	1436
E04G  11/04	・	球状，だ円体状または類似形の構造のための，あるいは水平または垂直断面の円形または多角の丸屋根構造のためのもの；膨張しうる型枠（膨張可能な弾性体への弁の取付けＢ６０Ｃ２９／００）	for structures of spherical, spheroid or similar shape, or for cupola structures of circular or polygonal horizontal or vertical section; Inflatable forms(connection of valves to inflatable elastic bodies B60C29/00)	1476
E04G  11/06	・	壁のためのもの，例．わん曲したもの（Ｅ０４Ｇ１１／０４が優先）	for walls, e.g. curved(E04G11/04 takes precedence)	5673
