F16B5/0225	｛厚板の平面に平行な調整を可能にするもの｝
F16B5/0233	｛厚板の平面に垂直な調整を可能にするもの｝
F16B5/0241	｛変形を吸収する結合を可能とするもの，例．熱または振動によるもの｝
F16B5/025	｛芯違いを補償または好ましくない遊びを排除するように特別に設計されたもの｝
F16B5/0258	｛弾力的変形可能なスリーブ，グロメットまたはそう入具を用いるもの（４３／００Ｂが優先）｝
F16B5/0266	｛ばねを用いるもの｝
F16B5/0275	｛｛少なくとも２箇所の軸方向に分離したねじ部を有するねじ山付き要素（Ｆ１６Ｂ５／０２８３が優先）｝
F16B5/0283	｛調整可能に厚板または枠または類似のものを固定要素に締め付けるためのねじ山付き要素の首または頭部のまわりに外部に螺装したスリーブを備えたもの｝
F16B5/0291	｛厚板の平面に軸線を持つ薄板の縁を通じて駆動されるねじ山付き要素｝
F16B5/04	リベット締めによるもの（リベットＦ１６Ｂ１９／０４）
F16B5/045	｛分離したリベットを使用しないもの｝
F16B5/06	クランプまたはクリップによるもの　（｛Ｆ１６Ｂ５／０００４が優先｝；摩擦握り締めによるはめはずしできる締め付け一般Ｆ１６Ｂ２／００）
F16B5/0607	｛薄板または厚板を互いに接合するもの（Ｆ１６Ｂ５／０６９２，Ｆ１６Ｂ２１／０８２が優先）｝
F16B5/0614	｛傾斜関係にあるもの｝
F16B5/0621	｛平行関係にあるもの（打ち込みピンにより締め付けられるもの１９／１０Ｂ２Ｄ；回転によりロックする装置により締め付けられるものＦ１６Ｂ２１／０２）｝
F16B5/0628	｛薄板または厚板の平面に平行または垂直な調整を許容するもの｝
F16B5/0635	｛薄板または厚板の縁にわたって締め付けられるもの｝
F16B5/0642	｛互いに完全密着して配置されるもの｝
F16B5/065	｛互いに離間して配置されるもの，例．距離を保つために突起を用いるもの｝
F16B5/0657	｛少なくとも一方が他方とクランプまたはクリップ接続するための隆起した構造，例．犬小屋型，をもつもの｝
F16B5/0664	｛少なくとも一方がスナップ留めの機能を有するもの｝
F16B2005/0671	｛回転による固定の解除をともなうもの｝
F16B2005/0678	｛突合せ関係にあるもの｝
F16B5/0685	｛薄板または厚板を帯板または棒材に接合するもの（Ｆ１６Ｂ５／０６９２が優先）｝
F16B5/0692	｛可とう性シートを他のシートまたは厚板に接合，または帯板または棒材に接合するもの（テントの締め付けＥ０４Ｈ１５／６４；封止用ホイルの固定手段を備えたスイミングプールの対処要素Ｅ０４Ｈ４／１４２；可とう性合成物質からなる温室Ａ０１Ｇ９／１４０７；袋または袋状物用の端部または開口部閉鎖配列または装置Ｂ６５Ｄ３３／１６）｝
F16B5/07	表面上の多数の相互係合突出部によるもの，例．フック，コイル，
F16B5/08	溶接または同様な手段によるもの（溶接Ｂ２３Ｋ）
F16B5/10	バヨネット結合によるもの　（｛Ｆ１６Ｂ５／００９２が優先｝；回転により固定する装置を締め付けるものＦ１６Ｂ２１／０２）
F16B5/12	薄板または厚板にクリップによって帯板または棒材を締め付けるもの，例．ゴム条片，車両用の装飾条片，（摩擦握り締めによるはめはずしできる締め付け一般Ｆ１６Ｂ２／００；平らな面にある角度をもって棒または管状部材を取り付けるものＦ１６Ｂ９／００）
F16B5/121	｛薄板または厚板の縁にわたって締め付けられるもの｝
F16B5/123	｛この目的のために特別に設計された補助固定具｝
F16B5/125	｛ワイヤまたは薄板材料を含むか、またはワイヤまたは薄板材料からなる補助固定具｝
F16B5/126	｛薄板、厚板、帯板または棒材の少なくとも一方は、一体的に形成され又は一体的に設けられたスナップ留めの機能を有するもの｝
F16B5/128	｛ＣまたはＵ形断面の帯板により締結手段が目に見えないままであるようなもの，例．締め付けるものが帯板によって完全に囲まれているもの｝
F16B7/00	棒または管体相互の結合，例．弾性結合を含む非円形断面の相互結合　（｛Ｆ１６Ｂ１１／００８，Ｆ１６Ｂ１７／００２が優先｝；かさのフレームＡ４５Ｂ２５／０２；溶接またははんだ付けによる結合Ｂ２３Ｋ；車両用連結一般Ｂ６０Ｄ；軌道の継手Ｂ６１Ｇ；自転車のフレームＢ６２Ｋ；回転伝達用継手Ｆ１６Ｄ；流体移送用の管の継手Ｆ１６Ｌ）
F16B7/02	円すい形部分をもつもの
