A47B49/006	｛コーナーキャビネット（回転部分のないものＡ４７Ｂ８１／００２）｝
A47B49/008	｛動力化手段の備わったもの｝
A47B51/00	区画部を上下する手段を有するキャビネット　｛（横軸周囲を回転する部分が備わったキャビネット用Ａ４７Ｂ４６／００５；展示会または展示用Ａ４７Ｆ３／０６）｝
A47B2051/005	｛天井が取り付けられた容器｝
A47B53/00	いくつかの区画が前後に並んだキャビネットまたはラック｛（展示会または展示用Ａ４７Ｆ３／０６）｝
A47B53/02	キャビネットシステム，例．隣接のキャビネット間の通路を開きまたは閉じる装置を備えて一列に配列したキャビネットからなるもの
A47B55/00	剛性構造を基本的な特徴とするキャビネット，ラックまたはシェルフユニット（金庫Ｅ０５Ｇ）
A47B55/02	針金製
A47B55/04	コンクリートまたは類似材質製
A47B55/06	ボール紙，紙，または類似材質製　｛（旅行用衣裳たんすＡ４７Ｂ６１／０６）｝
A47B57/00	棚または仕切を調節する機能に特徴のあるキャビネット，ラックまたは棚ユニット（｛積み重ね式側板を供えた棚ユニットＡ４７Ｂ８７／００｝；キャビネット，ラックまたは棚ユニット一般の細部一般Ａ４７Ｂ９６／００；ブラケット自体が調整できるものＡ４７Ｂ９６／０７）
A47B57/04	シェルフ用傾斜調節手段をもつもの
A47B57/045	｛片持ち梁ばり棚｝
A47B57/06	棚の高さを調節する手段を備えるもの（Ａ４７Ｂ５７／０４，Ａ４７Ｂ５７／３０が優先）
A47B57/08	溝または切り込みのあるたな段，直立材または側壁からなるもの　｛（Ａ４７Ｂ５７／２６５が優先）｝
A47B57/10	溝または切り込みのある部分が側壁または柱それら自体であるもの
A47B57/12	はしご形の側壁からなるもの
A47B57/14	はしごの横桟に掛けるシェルフ上のかぎ手を有するもの
A47B57/16	開口と協働するかぎ手からなるもの（はしご型Ａ４７Ｂ５７／１２）
A47B57/18	結合部材としてネジボルトからなるもの
A47B57/20	開口と協働する舌片，ピンまたは類似の突出手段からなるもの（Ａ４７Ｂ５７／０８，Ａ４７Ｂ５７／１６が優先）
A47B57/22	開口，の形状または方向に特徴があるもの，例．鍵穴
A47B57/26	クランプ手段からなるもの，例．滑りボルトまたは滑動するくさびを有するもの　｛（コード等の上に固定されたものＡ４７Ｂ４３／００６）｝
A47B57/265	｛ばらばらの位置，例．溝または孔を有する管の上，に固定されたもの｝
A47B57/30	取外しできるシェルフ支持材用高さの調節手段をもつもの
A47B57/32	溝または切り込みのあるたな段，直立材または側壁からなるもの　｛（Ａ４７Ｂ５７／５４５が優先）｝
A47B57/34	溝または切り込みのある部分が側壁または柱それら自体であるもの
A47B57/36	はしご形の側壁からなるもの
A47B57/38	はしごの横桟に掛けるシェルフ支持材上のかぎ手を有するもの
A47B57/40	開口と協働するかぎ手からなるもの（はしご型Ａ４７Ｂ５７／３６）
A47B57/402	｛立材の少なくとも２つの側面を囲む部材に取り付けられたかぎ手，例．角ブラケット｝　
A47B57/404	｛上向きの係合子を少なくとも１つ有するかぎ手（Ａ４７Ｂ５７／４０２が優先｝
A47B57/406	｛立材に取り付けられたかぎ手（Ａ４７Ｂ５７／４０２が優先）｝
A47B57/408	｛安全装置を有するもの｝
A47B57/42	シェルフ支持材が片持ちばりブラケットであるもの
A47B57/425	｛縦方向の枢動によって導かれるもの｝
A47B57/44	結合部材としてネジボルトからなるもの
A47B57/46	シェルフ支持材が片持ちばりブラケットであるもの
A47B57/48	開口と協働する舌片，ピンまたは類似の突出手段からなるもの（Ａ４７Ｂ５７／３２，Ａ４７Ｂ５７／４０が優先）
A47B57/482	｛舌片｝
A47B57/485	｛ストレートピン｝
A47B57/487	｛変化する断面を有するもの｝
A47B57/50	開口，の形状または方向に特徴があるもの，例．鍵穴
A47B57/52	シェルフ支持材が片持ちばりブラケットであるもの
A47B57/54	クランプ手段からなるもの，例．滑りボルトまたは滑動するくさびを有するもの　｛（コード等の上に固定されたものＡ４７Ｂ４３／００６）｝
A47B57/545	｛ばらばらの位置，例．溝または孔のある管の上，に固定されたもの（片持ちばりブラケットである棚支持材Ａ４７Ｂ５７／５６２）｝
A47B57/56	シェルフ支持材が片持ちばりブラケットであるもの
A47B57/562	｛ばらばらの位置にあるもの｝
A47B57/565	｛ねじ手段を用いるもの｝
A47B57/567	｛ねじ手段はなしにくさびまたはくさび効果を用いるもの｝
A47B57/58	仕切を横方向に調節する手段をもつもの（ブックエンドＡ４７Ｂ６５／００）
A47B57/581	｛管またはワイヤで作られた棚に特に適合するもの｝
A47B57/583	｛摺動によるもの｝
A47B57/585	｛レールの中で摺動可能な接続手段を備えるもの｝
A47B57/586	｛レールの外側で摺動することによって可動の接続手段を備えるもの｝
A47B57/588	｛舌片またはピンと協働する開口を備えた棚底部によるもの｝
A47B61/00	衣装だんす
A47B61/003	｛衣服支持具（伸縮式のものＡ４７Ｂ６１／０２）｝
A47B61/006	｛衣料品を虫から遠ざける手段，例．密閉手段（虫を撃墜するものＡ０１Ｍ１／２０）｝
A47B61/02	伸長する衣服支持具を有するもの
A47B61/04	靴，帽子，傘，または類似物用　｛（製靴用器具としての靴ラックＡ４３Ｄ１１７／００）｝
A47B61/06	旅行用またはトランク形衣装だんす｛また，ボール紙等からも作られるもの，例．行楽用の衣服支持具，アイロン台，洗濯用具が備えられたもの｝
A47B63/00	図書，文書，用紙または類似物を保管するために特に用いるキャビネット，ラックまたはシェルフユニット
A47B2063/005	｛垂直軸を中心にして回転可能なもの｝
A47B63/02	図面等を保管するように特に適合したもの（吊り下げれた図面をファイリングするものＢ４２Ｆ１５／００）
A47B63/04	筆記面を有するもの（拡張または枢動によって使用位置に移動するように適合した面一般Ａ４７Ｂ４６／００）
A47B63/06	回転軸，チェーンまたはベルト上で可動の部分，　例．盆，　｛カード容器｝を有するもの（回転キャビネット一般，回転部分を有するキャビネット一般Ａ４７Ｂ４９／００；区画を上下に移動させる手段を備えたキャビネット一般Ａ４７Ｂ５１／００）
A47B63/062	｛縦軸上で回転するトレーを備えたもの｝
A47B63/065	｛横軸上で回転するトレーを備えたもの｝
A47B63/067	｛水汲み水車リフトを備えたもの｝
A47B65/00	本立て；特に図書保管用に用いる付属具，例．ブックエンド　｛（棚用の調節可能仕切りＡ４７Ｂ５７／５８）｝
A47B65/10	｛調節可能｝
A47B65/15	｛仕切り，例．ディバイダー｝
A47B65/20	｛ブックエンド｝
A47B67/00	整理だんす；化粧台；メディシンキャビネットまたは類似物；引出しの配置に特徴のあるキャビネット
A47B67/005	｛ミラーキャビネット；化粧台｝
A47B67/02	ひげ剃り道具，メディシンまたは類似物用キャビネット
A47B2067/025	｛ 安全手段を持つもの｝
A47B67/04	引出したんす；引出しの配置に特徴のあるキャビネット（Ａ４７Ｂ６７／０２が優先；引出し，引出のガイド自体Ａ４７Ｂ８８／００）
A47B69/00	カクテルキャビネット（びん専用のキャビネットまたはラックＡ４７Ｂ７３／００）
A47B71/00	腐敗性食品用キャビネット，例．肉保存用冷蔵庫，はえ防止用キャビネット（果実またはジャガイモ貯蔵用キャビネット，ラックまたはトレーＡ４７Ｂ７５／００；アイスボックス，冷蔵庫Ｆ２５Ｄ）
A47B73/00	びん用戸だな；びん用ラック
A47B73/002	｛ワイヤで作られたラック｝
A47B73/004	｛ネックの部分のみでボトルをもつ｝
A47B73/006	｛同一ユニットのモジュール配置｝
A47B73/008	｛別のカップボードまたはラックの中に固定するための取付手段｝
A47B75/00	家庭用の果実またはばれいしょの貯蔵用キャビネット，ラックまたは盆
A47B77/00	台所用キャビネット（作業用に特に設計された天板Ａ４７Ｂ９６／１８）
