G01C17/22	投影によるもの
G01C17/24	照明
G01C17/26	最終指示器への伝達に電気的ピックオフ，例．フォトセル，を使用するもの
G01C17/28	電気磁気コンパス（指北用磁気要素および電気的ピックオフをもつものＧ０１Ｃ１７／２６）
G01C17/30	地磁気誘導コンパス
G01C17/32	電子コンパス
G01C17/34	太陽コンパスまたは星コンパス
G01C17/36	マスターコンパスの読取りを遠隔指示するためのリピーター
G01C17/38	コンパスの試験，較正，または補償
G01C19/00	ジャイロスコープ；振動状態の質量体を用いる回転感知装置；運動状態の質量体を持たない回転感知装置；ジャイロ効果を利用した角速度の測定
G01C19/005	
G01C19/02	回転体ジャイロスコープ
G01C19/025	｛短期間のジャイロ機能のための特別な装置｝
G01C19/04	細部
G01C19/06	回転体
G01C19/065	｛角速度の測定または制御，ジャイロロータに特に適合したもの｝
G01C19/08	電気的に駆動されるもの（Ｇ０１Ｃ１９／１４が優先）
G01C19/10	電力の供給
G01C19/12	流体で駆動されるもの（Ｇ０１Ｃ１９／１４が優先）
G01C19/14	流体回転体
G01C19/16	懸架手段；軸受
G01C19/18	ローターをその回転軸に対し可動に支持したもの（Ｇ０１Ｃ１９／２０，Ｇ０１Ｃ１９／２４が優先）
G01C19/20	液中
G01C19/22	ねじれ支持
G01C19/24	磁場または電場の使用
G01C19/26	鎖錠，すなわち可動部分の固定，例．輸送のためのもの
G01C19/28	ピックオフ，すなわち回転体の軸の変位の指示を取出すための装置
G01C19/30	起立装置，すなわち所望の位置に回転体の軸を戻す装置（垂直指示計器用Ｇ０１Ｃ１９／４６）
G01C19/32	回転体ジャイロスコープに特に適合する指示または記録手段
G01C19/34	水平面内での方向指示用，例．定針儀
G01C19/36	磁気的手段によって指北作用をもたせるもの，例．ジャイロ磁気コンパス
G01C19/38	磁気的手段以外により指北作用をもたせるもの，例．地球の自転を利用したジャイロコンパス
G01C19/40	マスターコンパスからの信号により制御するもの，すなわちリピーターコンパス
G01C19/42	旋回率指示用；旋回率積分用
G01C19/44	垂直方向指示用
G01C19/46	所望の位置へ回転体の軸を戻すための起立装置
G01C19/48	電気的手段により作動するもの（Ｇ０１Ｃ１９／５４が優先）
G01C19/50	機械的手段により作動するもの（Ｇ０１Ｃ１９／５４が優先）
G01C19/52	流体手段により作動するもの（Ｇ０１Ｃ１９／５４が優先）
G01C19/54	装置の運動による加速力の補正手段をもつもの
G01C19/56	振動状態の質量体を用いる回転感知装置，例．コリオリ力に基づく振動型角速度センサ
G01C19/5607	振動状態の音叉を用いるもの（平面状の複数の振動質量体を両側で支持した両終端音叉を用いるものはＧ０１Ｃ１９／５７１９）
G01C19/5614	信号処理
G01C19/5621	マイクロメカニカル構造を含む装置
G01C19/5628	製造；トリミング；据え付け；ハウジング
G01C19/5635	振動状態のワイヤーまたは弦を用いるもの
G01C19/5642	振動状態の棒状体または梁を用いるもの
G01C19/5649	信号処理
G01C19/5656	マイクロメカニカル構造を含む装置
G01C19/5663	製造；トリミング；据え付け；ハウジング
G01C19/567	振動の節または波腹の位相シフトを用いるもの
G01C19/5677	本質的に２次元振動する振動体，例．環状に形成された振動体，に関するもの
G01C19/5684	マイクロメカニカル構造を含む装置
G01C19/5691	本質的に３次元振動する振動体，例．ワイングラス型振動体，に関するもの
G01C19/5698	音響波を用いるもの，例．弾性表面波ジャイロ
G01C19/5705	駆動軸回りに往復回転する運動状態に駆動される質量体を用いるもの
G01C19/5712	マイクロメカニカル構造を含む装置
G01C19/5719	駆動軸沿いに移動する振動状態に駆動される平面状の振動質量体を用いるもの
G01C19/5726	信号処理
G01C19/5733	構造上の細部または幾何学的特徴
G01C19/574	逆位相で運動する２つの検知質量体を有するもの
G01C19/5747	各々の検知質量体が駆動質量体，例．駆動フレーム，に連結されているもの
G01C19/5755	単一の検知質量体を有するもの
G01C19/5762	検知質量体が駆動質量体，例．駆動フレーム，に連結されているもの
G01C19/5769	製造；据え付け；ハウジング
G01C19/5776	Ｇ０１Ｃ１９／５６０７〜Ｇ０１Ｃ１９／５７１９のグループに包含されるいずれの装置にも特有でない信号処理
G01C19/5783	Ｇ０１Ｃ１９／５６０７〜Ｇ０１Ｃ１９／５７１９のグループに包含されるいずれの装置にも特有でない据え付けまたはハウジング
G01C19/58	運動状態の質量体をもたない回転感知装置
G01C19/60	電子または核磁気共鳴ジャイロメータ
G01C19/62	オプチカルポンピングをもつもの
G01C19/64	サニャック効果，すなわち．互いに反対方向へ回転する電磁ビーム間の回転誘導偏移，を用いたジャイロメータ
G01C19/66	リングレーザジャイロメータ
G01C19/661	｛細部｝
G01C19/662	｛信号読み出し；ディザ補償装置｝
G01C19/664	｛ディザ信号を除去するための手段｝
G01C19/665	｛空洞の制御｝
G01C19/667	｛多重発振器リングレーザを用いるもの｝
G01C19/668	｛異なる軸に沿って測定するための装置，例．三幅対｝
G01C19/68	ロックイン防止
G01C19/70	機械的手段によるもの
G01C19/72	受動リング内で互いに反対方向へ回転する光ビームをもつもの，例．ファイバレーザジャイロメータ
G01C19/721	｛細部｝
G01C19/722	｛機械的な構造についてのもの｝
G01C19/723	｛ヘテロダインなファイバの光学ジャイロメータ｝
G01C19/725	｛ｎｘｎ光学カプラー，例．３×３カプラー，を用いるもの｝
G01C19/726	｛位相の無いジャイロメータ，すなわちすなわち閉ルーブ系内のサニャック位相推移を補償するもの｝
G01C19/727	｛受動リング共振器を用いるもの｝
G01C19/728	｛異なる軸，例．三幅対，の測定のための装置｝
G01C21/00	航行；グループＧ０１Ｃ１／００〜Ｇ０１Ｃ１９／００に分類されない航行装置（乗物による対地移動距離の測定Ｇ０１Ｃ２２／００；乗物の位置，進路，高度，または姿勢の制御Ｇ０５Ｄ１／００；車両にナビゲーション指示を伝えることを含む路上乗物の交通制御システムのためのものＧ０８Ｇ１／０９６８）<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／００はグループＧ０１Ｃ２１／３８−Ｇ０１Ｃ２１／３８９６への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G01C21/005	｛複数の情報源からの航行データの補正，例．地図または外形の合致，をともなうもの（Ｇ０１Ｃ２１／３０が優先）｝
G01C21/02	天文学的手段によるもの（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）
G01C21/025	｛星の追跡装置の使用をともなうもの｝
G01C21/04	地球上の手段によるもの（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）
G01C21/06	ドリフト角の測定を含むもの；ドリフトのための補正を含むもの
G01C21/08	地球磁場の使用を含むもの
G01C21/10	速度または加速度の測定を使用するもの（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）
G01C21/12	航行体上で実施するもの；推測航法
G01C21/14	航行体が通過する経路を記録することによるもの（Ｇ０１Ｃ２１／１６が優先）
G01C21/16	加速度または速度の積分によるもの，すなわち慣性航行<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１６はグループＧ０１Ｃ２１／１６６，Ｇ０１Ｃ２１／１８３，Ｇ０１Ｃ２１／１８５，およびＧ０１Ｃ２１／１８８への再分類の影響を受ける。<br>グループＧ０１Ｃ２１／１６，Ｇ０１Ｃ２１／１６６，Ｇ０１Ｃ２１／１８３，Ｇ０１Ｃ２１／１８５，およびＧ０１Ｃ２１／１８８はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/165	｛非慣性航行装置と結合したもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１６５はグループＧ０１Ｃ２１／１６５２，Ｇ０１Ｃ２１／１６５４，およびＧ０１Ｃ２１／１６５６への再分類の影響を受ける。<br>グループＧ０１Ｃ２１／１６５，Ｇ０１Ｃ２１／１６５２，Ｇ０１Ｃ２１／１６５４，およびＧ０１Ｃ２１／１６５６はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/1652	｛測距装置，例．ＬＩＤＡＲまたはＲＡＤＡＲ，をともなうもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１６５２はグループＧ０１Ｃ２１／１６５からの文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／１６５およびＧ０１Ｃ２１／１６５２はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/1654	｛電磁気コンパスをともなうもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１６５４はグループＧ０１Ｃ２１／１６５への文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／１６５およびＧ０１Ｃ２１／１６５４はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/1656	｛受動画像装置，例．カメラ，をともなうもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１６５６はグループＧ０１Ｃ２１／１６５からの文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／１６５およびＧ０１Ｃ２１／１６５６はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/166	｛航行システムの機械的，構造的または配置的な細部｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１６６はグループＧ０１Ｃ２１／１６からの文献の再分類が未完成であり保留されている<br>グループＧ０１Ｃ２１／１６およびＧ０１Ｃ２１／１６６はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/18	安定化プラットホーム，例．ジャイロスコープによるもの
G01C21/183	｛慣性測定の補償，例.温度効果のためのもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１８３はグループＧ０１Ｃ２１／１６からの文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／１６およびＧ０１Ｃ２１／１８３はコンプリートサーチの完遂のために考慮されるべきである。；
G01C21/185	｛重力のためのもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１８５はグループＧ０１Ｃ２１／１６からの文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／１６およびＧ０１Ｃ２１／１８５はコンプリートサーチの完遂のために考慮されるべきである。
G01C21/188	｛蓄積された誤差のためのもの，例．完全な位置システムをともなう内部システムとの組み合わせによるもの｝<br><br><u>警告</u><br><br>グループＧ０１Ｃ２１／１８８はグループＧ０１Ｃ２１／１６からの文献の再分類が未完成であり保留されている。<br>グループＧ０１Ｃ２１／１６およびＧ０１Ｃ２１／１８８はコンプリートサーチの完遂のために考慮されるべきである。
