D	繊維；紙
D04D	装飾品；他に分類されないリボン，テープまたはバンド（つば付き帽子のための付属品または装飾品，例．つば付き帽子のバンドＡ４２Ｃ５／００；装飾美術Ｂ４４；糸またはより糸Ｄ０２Ｇ；織成Ｄ０３；組みひもまたはレースＤ０４Ｃ；不織布Ｄ０４Ｈ）<br><br><u>注</u><br><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>−装飾品は，他に分類されておらず装飾の目的のために使用されるような繊維または類似材料，または繊維または類似材料の細長片で全部または一部が構成された装飾品を意味する。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D04G	フィラメント状材料の結節による製網；ノッテッドカーペットまたはタペストリの製造；他に分類されない結節（ハーベスタ用の糸結び器Ａ０１Ｄ５９／０４；金網Ｂ２１Ｆ；結節による包装Ｂ６５Ｂ；巻き付けまたは巻き返しに関連した結節Ｂ６５Ｈ６９／００；織成における結節Ｄ０３Ｊ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D04H	布帛（はく）の製造，例．繊維またはフィラメント状材料から（織成Ｄ０３；編成Ｄ０４Ｂ；組成Ｄ０４Ｃ；製網Ｄ０４Ｇ；縫成Ｄ０５Ｂ；タフティングＤ０５Ｃ；不織布の仕上げＤ０６）；そのような方法または装置で製造された布帛，例．フェルト，不織布；コットンウール；詰め物；｛結合中に少なくとも１つのウェブ状材料に接着される，ステープルファイバ，フィラメントまたは糸からの不織布｝（異種の中間層または外層，例．織成による織物，をもつ不織物Ｂ３２Ｂ）<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>−不織布は，セクションＤの他のサブクラスで準備された紡績糸，より糸またはフィラメントの織成，編成，組成，レース製造または製網とは異った操作からなる方法によって全部または一部の繊維原料で形成された布帛を意味する。この表現はフェルト，コットンウールおよび詰め物を包含する；<br>−繊維は比較的短く，細長い天然または人造の物質よりなるものを意味する；<br>−フィラメントはエンドレスまたは準エンドレスで，細長い天然または人造の物質よりなるものを意味する；<br>−糸は繊維の単一の集合体を意味し，通常紡績によって製造される；<br>−より糸は糸またはフィラメントの集合体を意味し，通常加ねんによって製造される；<br>−合成繊維またはフィラメントはポリマーまたは低分子を合成させたものから製造される繊維またはフィラメントまたは類似物を意味する。例は，ポリアミド，アクリル，ポリエステルまたは炭素繊維である；<br>−人工繊維またはフィラメントは天然ポリマーまたはその派生物から人が製造した繊維またはフィラメントまたは類似物を意味する。例は，再生セルロース繊維または半合成繊維である；<br>−人造繊維またはフィラメントは人が製造した繊維またはフィラメントを意味し，合成繊維または人工繊維を含む。<br>２．このサブクラスにおいては：<br>−不織布のいくつかは，サブクラスＢ３２Ｂの意味内で積層体とみなすこともでき，そこに記載されている前書きおよび説明にしたがってそのサブクラスの中においてさらに分類（ｆｕｒｔｈｅｒ　ｃｌａｓｓｉｆｉｃａｔｉｏｎ）を考慮すべきである。<br>−不織布の製造が，たとえば繊維，フィラメントまたは糸の処理または接着のために特別な化合物または組成物の使用を含む場合には，他の適切なサブクラスへのさらなる分類（ｆｕｒｔｈｅｒ　ｃｌａｓｓｉｆｉｃａｔｉｏｎ）を考慮すべきである。<br>３．繊維またはより糸と，化合物または組成物との割合を変えることにより，最終製品は紙，厚紙，皮革またはその他の同様な外観をもつことができる。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D05	縫製；刺しゅう；タフティング
D05B	縫製（裁縫師のための器具Ａ４１Ｈ；裁縫台Ａ４７Ｂ２９／００；製本におけるとじ付けＢ４２Ｂ２／００；編み物用に変形されたミシンＤ０４Ｂ３９／０８）<br><br><u>注</u><br><br>このサブクラスにおいては，縫製装置または機械を示しているグループは，それらを用いることによる縫製工程とそれらによって作られる縫い目とを包含する。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D05C	刺しゅう；タフティング（不織布の製造Ｄ０４Ｈ；縫製Ｄ０５Ｂ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D05D	縫製，刺しゅうおよびタフティングに関するＤ０５ＢおよびＤ０５Ｃに関連するインデキシング系列<br><br><u>注</u><br><br>このサブクラスはインデキシングのみのための内部分類を構成する。
D06	繊維または類似のものの処理；洗濯；他に分類されない可とう性材料
D06B	繊維材料の液体，気体または蒸気を用いる処理（繊維またはフィラメントを採取するための天然の繊維状またはフィラメント状材料の機械的処理Ｄ１０Ｂ）<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>−布帛は整経糸状またはシート状に並んだ糸を包含する；<br>−繊維材料は布帛，糸または他の繊維状物を包含する；<br>−不定長はその材料を前進させまたは移送する方法をとる限りにおいて，そのたて方向の長さが実質的に無限である特性をもつ材料の範囲を意味する。２．このサブクラスは，サブクラスＤ０６Ｌ−Ｄ０６Ｑに包含される純粋に化学的手段による繊維の処理は包含しない。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
D06C	布帛の仕上げ，化粧仕上げ，幅出しまたは伸張<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“布帛（はく）”は整経糸状またはシート状に並んだ糸を包含する。<br>２．このサブクラスは，サブクラスＤ０６Ｌ−Ｄ０６Ｑに包含される純粋に化学的手段による繊維の処理は包含しない。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
