C08J5/22	フイルム，膜または隔膜　｛（イオン交換一般，Ｂ０１Ｊ３９／１８〜Ｂ０１Ｊ３９／２２，Ｂ０１Ｊ４１／１２〜Ｂ０１Ｊ４１／１６，Ｂ０１Ｊ４３／００，Ｂ０１Ｊ４５／００，Ｂ０１Ｊ４７／１２〜Ｂ０１Ｊ４９／００；ポリマー電解物を有する燃料電池Ｈ０１Ｍ８／１０１８）｝<br><br><u>注</u><br><br>少なくともイオン交換部分が無機であるところの膜，すなわち，非ポリマーイオン交換化合物の混合，例．無機塩，および少なくとも１のポリマーがＣ０８Ｊ５／２２に分類される；セルロースに基づく膜はＣ０８Ｊ５／２２１２に分類される。<br>補強支持体または充填体を組み入れる方法はＣ０８Ｊ５／２２０６に分類される。（支持体または充填体はイオン交換活動を有していない）。<br>基，例．ＳＯ２Ｆ，はイオン交換特性を有していないが，アルカリ性，中性または酸性の媒体での単純な加水分解により，イオン交換基，例．ＳＯ２Ｈ，に変換されうるが，そのようなものとして考えられる。<br>イオン交換繊維織物が不均質膜として考えられＣ０８Ｊ５／２２７５に分類される；それらは複合膜，２以上の（イオン交換）ポリマーの混合物を包含する。<br>均質な溶解または溶液から得る膜は均質と考えられ，たとえ膜が（溶解または溶液の固形化後）不均質要素を含有する場合でもそうである，例．充填体，支持体，例．織物の形状または類似の場合，すなわち，イオン交換樹脂が膜を形成する。<br>イオン交換基の性質を変える反応，イオン交換基の移入，後処理（膜がすでに形成された）は，Ｃ０８Ｊ５／２２８７に分類される。<br>四級化反応は後処理としては考えられない。
C08J5/2206	｛有機および／または無機高分子化合物に基づくもの｝
C08J5/2212	｛天然高分子化合物｝
C08J5/2218	｛合成高分子化合物｝
C08J5/2225	｛フッ素を含有するもの｝
C08J5/2231	｛不飽和炭素ー炭素結合が関与する反応により得られた高分子化合物に基づくもの｝
C08J5/2237	｛フッ素を含有するもの｝
C08J5/2243	｛Ｃ０８Ｊ５／２２３１のタイプの化合物にイオン交換能を持つ活性基を移入することにより得られたもの　｝
C08J5/225	｛フッ素を含有するもの｝
C08J5/2256	｛炭素ー炭素結合が関与する反応以外の反応，例．重縮合により得られたもの，により得られた高分子化合物に基づくもの｝
C08J5/2262	｛フッ素を含有するもの｝
C08J5/2268	｛不飽和炭素ー炭素結合が関与する反応およびこのタイプの結合が関与しない反応によって得られた高分子化合物に基づくもの｝
C08J5/2275	｛不均質膜｝
C08J5/2281	｛フッ素含有不均質膜｝
C08J5/2287	｛後処理｝
C08J5/2293	｛フッ素含有膜の後処理｝
C08J5/24	その場で重合しうるプレポリマーによる物質の含浸，例．プレプレグの製造
C08J5/241	
C08J5/242	
C08J5/243	
C08J5/244	
C08J5/245	
C08J5/246	
C08J5/247	
C08J5/248	
C08J5/249	
C08J7/00	高分子物質から製造された成形体の化学的処理またはコーティング（金属材料によるコーティングＣ２３Ｃ；金属の電着Ｃ２５）
C08J7/02	溶媒，例．膨潤剤，を使用するもの
C08J7/04	コーティング　｛（コーティング組成物それ自体Ｃ０９Ｄ４／００，Ｃ０９Ｄ１０１／００〜Ｃ０９Ｄ２０１／００）｝
C08J7/042	｛少なくとも２層以上を有しており，そのうち少なくとも１層の組成物はポリマーバインダーを含有するもの｝
C08J7/0423	
C08J7/0427	
C08J7/043	
C08J7/044	
C08J7/046	
C08J7/048	
C08J7/05	
C08J7/052	
C08J7/054	
C08J7/056	
C08J7/06	高分子物質を含まない組成物を使用するもの
C08J7/065	｛低分子量有機物質，例．　物品の表面における添加剤の吸収｝
C08J7/08	｛熱処理｝
C08J7/12	化学的変性
C08J7/123	｛波動エネルギーまたは粒子放射線による処理（Ｃ０８Ｊ７／１８が優先；プラズマ処理による物品の表面形成Ｂ２９Ｃ５９／１４，波動エネルギーまたは粒子線によるものＢ２９Ｃ５９／１６）｝
C08J7/126	｛ハロゲン化｝
C08J7/14	酸，その塩または無水物を使用するもの
C08J7/16	重合性化合物を使用するもの
C08J7/18	波動エネルギーまたは粒子線を使用するもの
C08J9/00	多孔性または海綿状の物品または物質にするための高分子物質の処理；その後処理（機械的特徴Ｂ２９Ｃ４４／００；単量体または触媒に特徴のあるイソシアネートまたはイソチオシアネートの発泡重合生産物Ｃ０８Ｇ１８／００）｝
C08J9/0004	｛配合成分の使用，　化学組成が不明のもの，広く定義されたものまたは無関係のもの｝
C08J9/0009	｛相偏光物質｝
C08J9/0014	｛有機添加剤の使用｝
C08J9/0019	｛ハロゲン化されたもの｝
C08J9/0023	｛酸素を含有するもの｝
C08J9/0028	｛窒素を含有するもの｝
C08J9/0033	｛硫黄を含有するもの｝
C08J9/0038	｛リンを含有するもの｝
C08J9/0042	｛ケイ素を含有するもの｝
C08J9/0047	｛ホウ素を含有するもの｝
C08J9/0052	｛有機金属化合物｝
C08J9/0057	｛アンチモン，ヒ素またはビスマスを含有するもの｝
C08J9/0061	｛幾つかのポリマー配合剤の使用により特徴付けられたもの｝
C08J9/0066	｛無機配合成分の使用｝
C08J9/0071	｛｛ナノサイズの充填物，すなわち少なくとも１の線が１００ナノメータ未満のもの｝
C08J9/0076	｛ナノ繊維｝
C08J9/008	｛ナノ粒子｝
C08J9/0085	｛繊維質配合成分の使用（Ｃ０８Ｊ９／００７６が優先）｝
C08J9/009	｛前処理配合成分の使用｝
C08J9/0095	｛異なった１ドットのグループに属する少なくとも２種の配合成分の混合物｝
C08J9/02	高分子の製造または変性時に反応単量体または変性剤によって発生する発泡ガスを使用するもの
C08J9/04	予め添加された発泡剤によって発生する発泡ガスを使用するもの
C08J9/06	化学的発泡剤によるもの
C08J9/065	｛水素化物または炭化物｝
C08J9/08	二酸化炭素を生ずるもの
C08J9/10	窒素を生じるもの，　｛発泡剤が窒素ー窒素結合を含有する化合物であるもの｝
C08J9/101	｛発泡剤の分解温度を変化させるもの｝
C08J9/102	｛アゾ化合物｝
C08J9/103	｛アゾジカルボンアミド｝
C08J9/104	｛ヒドラジン；　ヒドラジド；　セミカルバジド；　セミカルバゾン；　ヒドラゾン；　それらの誘導体｝
C08J9/105	｛硫黄を含有するもの｝
C08J9/106	｛アジド｝
C08J9/107	｛ニトロソ化合物｝
C08J9/108	｛少なくとも１個の炭素原子を含有する複素環中の｝
C08J9/12	物理的発泡剤によるもの
C08J9/122	｛水素，酸素，二酸化炭素，窒素または貴ガス｝
C08J9/125	｛水，例．水和塩｝
C08J9/127	｛有機および無起泡剤の混合物｝
C08J9/14	有機性のもの
C08J9/141	｛炭化水素｝
C08J9/142	｛酸素を含有しハロゲン原子を含有しない化合物｝
C08J9/143	｛ハロゲン含有化合物｝
C08J9/144	｛炭素，ハロゲンおよび水素のみを含有する化合物｝
C08J9/145	｛ハロゲン原子として塩素のみを含有するもの｝
C08J9/146	｛ハロゲン原子としてフッ素のみを含有するもの｝
C08J9/147	｛炭素およびハロゲン原子のみを含有するもの｝
C08J9/148	｛ペルフルオロ化されたもの｝
C08J9/149	｛Ｃ０８Ｊ９／１４１〜Ｃ０８Ｊ９／１４３の２以上のグループに包含される発泡剤の混合物｝<br><br><u>注</u><br><br>グループ　Ｃ０８Ｊ９／１６〜Ｃ０８Ｊ９／２３２においては，　下記の用語は以下に示す意味で用いる：<br>発泡性　は，また，発泡するもの，前発泡または発泡したものを含む
C08J9/16	発泡性粒子の製造
C08J9/18	発泡剤をポリマー粒子に含浸させるもの
C08J9/20	発泡剤の存在下に懸濁重合するもの
C08J9/22	発泡性粒子の後処理；発泡生成物の成形
C08J9/224	表面処理
C08J9/228	発泡生成物の成形
C08J9/232	発泡性粒子の焼結によるもの
C08J9/236	結合剤を使用するもの
C08J9/24	粒子の表面溶触および結合による空隙の形成，例．焼結（発泡性粒子の焼結Ｃ０８Ｊ９／２３２）
C08J9/26	高分子組成物または物品から固相の除去，例．浸出
C08J9/28	高分子組成物または物品から液相の除去，例．凝固物の乾燥
