B23P19/043	｛シリンダ内にピストンと連接棒の組立品を挿入するためのもの｝
B23P19/045	｛エンジン弁の弁コッタおよびリテーナを組立てるためのもの｝
B23P19/046	｛ドラムからのリッドの分解，例．修繕または回復のための展開｝
B23P19/047	｛可撓性のプロファイル，例．可撓性のプロファイルに沿って移動する装置による溝内または他のプロファイル上に密封または装飾ストリップ（そのための手工具Ｂ２５Ｂ２７／００９２）｝
B23P19/048	｛ばね｝
B23P19/06	ねじまたはナットの締付けまたは緩め機
B23P19/061	｛管または管継手のためのもの｝
B23P19/062	｛ピアスナットの締付け機｝
B23P19/063	｛ナットのみが変形するもの｝
B23P19/064	｛支持材料，例．薄板または板，のみが変形するもの｝
B23P19/065	｛ねじまたはナットの締付け機におけるトルクリミッタまたはトルク指示器のための装置（手工具用Ｂ２５Ｂ２３／１４）｝
B23P19/066	｛電気的手段によるもの｝
B23P19/067	｛ボルトテンショナー（手工具のためのものＢ２５Ｂ２９／０２）｝
B23P19/068	｛加熱手段の使用によるもの｝
B23P19/069	｛マルチスピンドルマシン｝
B23P19/08	ボルトやその他の部材に座金，クリップ類をはめる機械
B23P19/082	｛ワッシャーをナットの上に配置するためのもの｝
B23P19/084	｛弾性または可撓性のリング，例．Ｏリング，クリップ，を配置するためのもの｝
B23P19/086	｛非金属の保護ベローズ｝
B23P19/088	｛ピストン溝内のピストンリング｝
B23P19/10	結合する部品を整列させる
B23P19/102	｛ＲＣＣ装置を用いるもの｝
B23P19/105	｛計測手段を用いるもの｝
B23P19/107	｛振子振動，回転または振動移動を用いるもの｝
B23P19/12	孔に挿入する部品の整列
B23P21/00	ユニットを構成するべく種々の多数の部品を組立てる機械で，そのような部品の先後加工があるものまたはないもの，例．プログラム制御付きのもの
B23P21/002	｛ユニットが構成される間，ユニットが静止しているもの｝
B23P21/004	｛ユニットが構成される間，ユニットが２またはそれ以上のワークステーションを通過するもの｝
B23P21/006	｛運搬手段が回転テーブルからなるもの｝
B23P21/008	｛ユニットが組立てられる間，組立て機械またはツールがユニットと同時に移動するもの｝
B23P23/00	単一の他のサブクラスに分類されないいろいろな金属加工作業を特別に組合せたものを行う機械または機械設備（もし特別の種類の作業が主要でないならばＢ２３Ｑ３７／００ーＢ２３Ｑ４１／００；他の金属の加工と組み合わされたレーザービームによる加工Ｂ２３Ｋ２６／００９３）
B23P23/02	いろいろな機械加工作業を行う工作機械（旋盤，例．タレット旋盤，Ｂ２３Ｂ）
B23P23/04	機械加工作業と他の金属加工作業とを行うもの
B23P23/06	多数の連合機械または装置より構成された金属加工プラント
B23P25/00	工具の作用または工作物の所望最終状態の達成を促進するべく機械加工の前に，または同作業中にする工作物への補助処理；例．内部応力の除去
B23P25/003	｛切削工具の直前に｝
B23P25/006	｛加工中のレーザによる工作物の加熱｝
B23P2700/00	処理，例．このサブクラスに分類される製造，修理，組立て，接合または他の作業，される物品に関するインデキシング系列
B23P2700/01	航空渠品
B23P2700/02	カム軸
B23P2700/03	触媒またはそのための部品
B23P2700/04	連接棒
B23P2700/05	調理容器
B23P2700/06	タービンの構成部品の冷却通路，例．タービンの構成部品の冷却通路の閉塞開放または閉塞の防止
B23P2700/07	クランク軸
B23P2700/08	建物の扉または窓のための取付具
B23P2700/09	ヒートパイプ
B23P2700/10	ヒートシンク
B23P2700/11	継手，例．玉継手，ユニバーサル継手
B23P2700/12	積層部品
B23P2700/13	タービン燃焼室の部品
B23P2700/14	自動車の懸架要素
B23P2700/50	他の自動車の部品，すなわち組立てラインで製造されるもの
