F16F1/366	繊維強化プラスチックからなるもの｛すなわちその様な材料の特殊構造によって特徴付けられるもの｝ <br><br><u>注</u><br><br> <br>特にグループＦ１６Ｆ１／３６６からＦ１６Ｆ１／３６８６の主題事項に関して，グループＦ１６Ｆの用語「プラスチック」の解釈に関するサブクラスタイトルに続く注に注意すること。
F16F1/3665	｛つるまきばね｝
F16F1/368	板ばね
F16F1/3683	｛付属品またはそのための装着部品｝
F16F1/3686	｛端部装着部品｝
F16F1/37	気泡材料よりなるもの，｛すなわち微小多孔性材料｝，例．スポンジゴム｛（車室内用詰め物をしたライニングＢ６０Ｒ２１／０４）｝
F16F1/371	挿入物（外部部材を含む）または補助伸長部材によって特徴づけられるもの，例．硬くするもの（Ｆ１６Ｆ１／３８７が優先；｛柔軟壁面で囲まれた空気ばね用の埋め込まれていない強化要素Ｆ１６Ｆ９／０４３６｝）
F16F1/3713	｛ばね剛性に受動的に影響する外部要素をもつもの，例．リングまたは輪｝
F16F1/3716	｛カバーのような外部要素，柔軟性があるもの｝
F16F1/373	特殊な形状をもつことに特徴のあるもの｛（Ｆ１６Ｆ９／５８が優先）｝
F16F1/3732	｛輪状または同様の形状，例．座金型弾性装着部品｝
F16F1/3735	｛複数の座金型弾性装着部品｝
F16F1/3737	｛平面，例．薄板形状のもの（１つ以上の強制粘弾性層からなる振動減衰装置Ｆ１６Ｆ９／３０６）｝
F16F1/374	球形または類似の形状を有するもの
F16F1/376	すくなくとも一面に突起，スタッド，セレ−ションまたは類似のものを有するもの（｛Ｆ１６Ｆ１／３８３５｝，Ｆ１６Ｆ１／３８７が優先）
F16F1/377	穴または開口部を有するもの（｛Ｆ１６Ｆ１／３７｝，Ｆ１６Ｆ１／３８７が優先）
F16F1/379	ばねの温度を調節する装置によって特徴付けられるもの，例．冷却によるもの
F16F1/38	堅い外側スリーブと堅い内側スリーブまたはピンとの間に弾性材料のスリーブをもつもの，｛すなわちブッシュ型式（液圧で減衰されたブッシュＦ１６Ｆ１３／１４；弾性部材を用いることによる回転機構の振動防止Ｆ１６Ｆ１５／１２６；ダイナミックダンピング質量を用いることによるものＦ１６Ｆ１５／１４；枢着そのものＦ１６Ｃ１１／００；弾性または圧力に対して柔軟な軸受または軸受支持物Ｆ１６Ｃ２７／００；すべり接触軸受の部品，例．ブッシュＦ１６Ｃ３３／０４）｝
F16F1/3807	｛特定モードの加圧を適用して特長付けられるもの｝
F16F1/3814	｛反軸力を適用することに特徴付けられるもの（Ｆ１６Ｆ１／３９３が優先）｝
F16F1/3821	｛反ねじり力を適用することに特徴付けられるもの｝
F16F1/3828	｛終端部の特徴またはバッファリング（Ｆ１６Ｆ１／３８０７が優先）｝
F16F1/3835	｛弾性材料のスリーブによって特徴付けられるもの，例．くぼみを有するものまたは異なる硬さの材料から作られたもの（Ｆ１６Ｆ１／３８０７，Ｆ１６Ｆ１／３８７が優先）｝
F16F1/3842	｛組立て，生産または処理方法；それ等の取付け（パイプ，ケーブルまたは保護管のための支持物Ｆ１６Ｌ３／００）｝
F16F1/3849	｛それ等の取付け用ブラケット，例．打抜いた鋼製ブラケット；拘束したリンク｝
F16F1/3856	｛剛性スリーブおよび弾性スリーブの間の表面の加硫または接着｝
F16F1/3863	｛剛体のスリーブまたはピンによって特徴付けられるもの，例．非円環状断面のもの（Ｆ１６Ｆ１／３８０７，Ｆ１６Ｆ１／３８７が優先）｝
F16F1/387	特定方向の剛性を修正する手段を含むもの｛（球面状または円錐形状スリーブＦ１６Ｆ１／３９３）｝
F16F1/3873	｛穴または開口部を有するもの｝
F16F1/3876	｛より硬質の材料の挿入物によるもの｝
F16F1/393	球形または円錐形のスリーブを有するもの
F16F1/3935	｛円錐形状のスリーブ｝
F16F1/40	非弾性中間層で分離された同質要素の層よりなるもの｛（Ｆ１６Ｆ９／３０６が優先；異常な外的影響に対して建物を保護する積層構造，例．地震，Ｅ０４Ｈ９／０２２）｝
F16F1/403	｛要素間にある非弾性の相互に重なった部分の形状によって特徴付けられるもの｝
F16F1/406	｛弾性要素の形状によって特徴付けられるもの｝
F16F1/41	一般に円錐状に配置した部材からなるもの｛（もしスリーブ状であるならば，すなわち回転面Ｆ１６Ｆ１／３９３５）｝
F16F1/42	応力状態によって特徴付けられるもの <br><br><u>注</u><br><br> <br>エラストマーばねの圧縮の方法に関する，グループＦ１６Ｆ１／４２からＦ１６Ｆ１／５４の文献の分類は他のサブグループＦ１６Ｆ１／３６の分類が不適当である場合にのみ、考慮される。Ｆ１６Ｆ２２３６／００より下のインデキシングコードの同等の体系に注意すること。
F16F1/422	｛ばねの曲がりに起因する加圧｝
F16F1/424	｛膜型式ばね｝
F16F1/426	｛環状ばねのラジアル方向の曲がり｝
F16F1/428	｛条片または脚形状ばね｝
F16F1/44	おもに圧縮により荷重されるもの
F16F1/445	｛一般的な密閉空間に含まれるばね材料（Ｆ１６Ｆ１／３９３が優先）｝
F16F1/46	おもに引張りにより荷重されるもの
F16F1/48	おもにねじりにより荷重されるもの
F16F1/50	おもにせん断により荷重されるもの
F16F1/505	｛回転せん断｝
F16F1/52	組み合わされた応力により荷重されるもの
F16F1/54	圧縮およびせん断により荷重されるもの
F16F1/545	｛ニーダー型ゴムばね（ニーダー型ゴムばねを有する車両用懸架装置Ｂ６０Ｇ１１／２２５）｝
F16F3/00	数個のばねよりなるばね装置，例．所要のばね特性をもたせるためのばね装置，（｛Ｆ１６Ｆ１／３２，Ｆ１６Ｆ１／３４，Ｆ１６Ｆ７／１４が優先｝；もし流体ばねを含む場合Ｆ１６Ｆ５／００，Ｆ１６Ｆ１３／００） <br><br><u>注</u><br><br> <br>このグループにおいては，車両用板ばね装置，すなわち個別のばね板の「束」は単一のばねと考える。
