C09B5/2409	｛Ｃ０９Ｂ５／２６からＣ０９Ｂ５／６２のサブグループに含まれないもの｝
C09B5/2418	｛酸素含有複素環のみ｝
C09B5/2427	｛硫黄含有複素環のみ｝
C09B5/2436	｛窒素のみを含む複素環｝
C09B5/2445	｛フタロイルイソインドール｝
C09B5/2454	｛５，６　フタロイルジヒドロイソインドール｝
C09B5/2463	｛１，３　オキソまたはイミノ誘導体｝
C09B5/2472	｛１，３ジオキソ誘導体｝
C09B5/2481	｛１−オキソ−３−イミノ誘導体｝
C09B5/249	｛１，３　ジイミノ誘導体｝
C09B5/26	アントラセン系のカルバゾール
C09B5/28	アントリイミドカルバゾール
C09B5/30	アントラセン系の１．２―アゾール
C09B5/32	アントラセン系の１．３―アゾール
C09B5/34	アントラキノンアクリドンまたはチオキサントン
C09B5/342	｛アントラキノン　チオキサントン｝
C09B5/345	｛チオキサントンおよびカルバゾール環を含む化合物｝
C09B5/347	｛アントラキノンアクリドン｝
C09B5/36	アミノアクリドン
C09B5/38	アクリドンおよびカルバゾール環を含む化合物
C09B5/40	ベンズアントロニルアミノアントラキノンの縮合生成物
C09B5/42	ピリジノアントラキノン
C09B5/44	アントラセン系のアジン
C09B5/46	パラ―ジアジン
C09B5/48	ビス―アントラキノンジアジン（インダントロン）
C09B5/50	２―アミノアントラキノンのアルカリ溶融による製造
C09B5/52	１．２―ハロゲノアミノーアントラキノンの縮合による製造
C09B5/54	２―アミノ―アントラヒドロキノンからの製造
C09B5/56	すでにインダンスレン核を含む出発物質からの製造
C09B5/58	ハロゲン化によるもの
C09B5/60	チアジン；オキサジン
C09B5/62	アントラセン，ベンズアンスレンまたはペリレン系のペリ―ジカルボン酸の環状イミドまたはアミジン
C09B6/00	上記に分類されないアントラセン染料
C09B7/00	インジゴイド染料
C09B7/02	ビス―インドールインジゴ
C09B7/04	そのハロゲン化
C09B7/06	インドール―チオナフテンインジゴ
C09B7/08	他のインドール―インジゴ
C09B7/10	ビス―チオナフテンインジゴ
C09B7/12	他のチオナフテンインジゴ
C09B9/00	建染染料のロイコ化合物のエステルまたはエステル塩
C09B9/02	アントラセン染料
C09B9/04	インジゴイド染料
C09B11/00	ジアリールまたはトリアリールメタン染料
C09B11/02	ジアリールメタンから誘導されたもの
C09B11/04	トリアリールメタンから誘導されたもの　｛すなわち，中央の炭素原子がアミノ基，シアノ基，アルキル基で置換されたもの｝
C09B11/06	少くとも１個のＯＨ基がアリール核に結合しているトリアリールメタンのヒドロキシ誘導体　｛およびそのエーテルまたはエステル｝
