F05D2240/122	固定子羽根の後縁に関するもの
F05D2240/123	固定子羽根の圧迫側に関するもの
F05D2240/124	固定子羽根の吸込み側に関するもの
F05D2240/125	固定子羽根の先端に関するもの
F05D2240/126	邪魔板またはリブ
F05D2240/127	混合用の渦発生器，攪拌器，または類似のもの（乱流の生成によるものＦ０５D２２６０／２２１２）
F05D2240/128	ノズル
F05D2240/1281	プラグノズル
F05D2240/129	カスケード，すなわち，並列に作用する類似の外形のものの組立体
F05D2240/14	その内側で組立体を保護または支持するケーシングまたはハウジング
F05D2240/15	熱遮蔽
F05D2240/20	回転子
F05D2240/24	タービン用
F05D2240/241	衝動型のもの
F05D2240/242	反動型のもの
F05D2240/243	アルキメデスねじ式のもの
F05D2240/30	回転子翼の特徴，すなわち，動的流体エネルギーを回転エネルギーにまたは回転エネルギーから動的流体エネルギーに変える要素および回転子に取り付けられる要素のもの
F05D2240/301	断面特性
F05D2240/302	衝撃波，遷音速流または超音速流に関する特徴
F05D2240/303	回転翼の前縁に関するもの
F05D2240/304	回転翼の後縁に関するもの
F05D2240/305	回転翼の圧迫側に関するもの
F05D2240/306	回転翼の吸込み側に関するもの
F05D2240/307	回転翼の先端に関するもの
F05D2240/31	粗面をもつもの
F05D2240/35	燃焼器または関連する装備
F05D2240/36	燃料気化器
F05D2240/40	同様の構成部品の多数の使用
F05D2240/50	軸受
F05D2240/51	磁気的なもの
F05D2240/511	永久磁石をもつもの
F05D2240/515	電磁的なもの
F05D2240/52	軸推力軸受
F05D2240/53	動圧または静圧軸受
F05D2240/54	ラジアル軸受
F05D2240/55	シール材
F05D2240/56	ブラシ状シール材
F05D2240/57	板状シール材
F05D2240/58	ピストンリングのシール
F05D2240/581	二重または複数のピストンリング装置，すなわち，２つ以上のピストンリング
F05D2240/59	薄板状のシール
F05D2240/60	ｲ
F05D2240/61	中空のもの
F05D2240/62	可撓性のもの
F05D2240/63	流体の軸への進入または軸からの除去のための腺
F05D2240/70	油切り板またはワッシャ
F05D2240/80	静止または可動翼用のプラットフォーム
F05D2240/81	冷却されたプラットフォーム
F05D2240/90	支持構造体または支持システムへの取り付け
F05D2240/91	静止構造体上のもの
F05D2250/00	幾何学的形状<br><br><u>注</u><br><br>幾何学的形状とは，機械または設備における構成部品の形状または形態または構成部品の構造または配置を示す。
F05D2250/10	二次元
F05D2250/11	三次元
F05D2250/12	矩形
F05D2250/121	正方形
F05D2250/13	台形
F05D2250/131	多角形
F05D2250/132	六角形
F05D2250/14	楕円形
F05D2250/141	円形
F05D2250/15	螺旋形
F05D2250/16	放物線
F05D2250/17	双曲線
F05D2250/18	模様づけられたもの
F05D2250/181	うね状
F05D2250/182	凹凸状，刻み目状
F05D2250/183	ジグザグ状
F05D2250/184	正弦曲線状
F05D2250/185	曲がりくねったもの
F05D2250/19	機械加工されたもの；その他のもの
F05D2250/191	穿孔されたもの
F05D2250/192	傾斜づけられたもの
F05D2250/193	フライス加工されたもの
F05D2250/20	三次元
F05D2250/21	角錐状
F05D2250/22	平行六面体状
F05D2250/221	立方体状
F05D2250/23	角柱状
F05D2250/231	円筒状
F05D2250/232	円錐状
F05D2250/24	長円状
F05D2250/241	球状
F05D2250/25	螺旋状
F05D2250/26	放物面状
F05D2250/27	双曲面状
F05D2250/28	模様づけられたもの
F05D2250/281	ねじ切りされたもの
F05D2250/282	立方体模様
F05D2250/283	蜂の巣状
F05D2250/29	機械加工されたもの；その他のもの
F05D2250/291	中空にされたもの
F05D2250/292	円錐加工されたもの
F05D2250/293	旋削されたもの，例．回転対称のもの
F05D2250/294	溝が形成されたもの
F05D2250/30	構成部品の配列
F05D2250/31	その主軸心または回転軸心の方向に沿うもの
F05D2250/311	軸心が整列しているもの
F05D2250/312	軸心が互いに平行であるもの
F05D2250/313	軸心が互いに垂直であるもの
F05D2250/314	軸心が互いに傾斜しているもの
F05D2250/315	主軸心が本質的に垂直であるもの
F05D2250/32	それらの形状に沿うもの
F05D2250/321	漸近
F05D2250/322	正接
