A21C9/06	ドーナツのような生地玉の詰込に用いる装置　｛（Ａ２１Ｃ１１／１６３が優先；ベーク品を詰込に用いる装置　Ａ２１Ｃ１５／００７）｝
A21C9/061	｛連続的に詰込まれる管状の生成物の作成｝
A21C9/063	｛折畳み，包込み，回転動作の適用（Ａ２１Ｃ９／０４５，Ａ２１Ｃ９／０６１が優先）｝
A21C9/065	｛生地玉への注入の諸手段が用いられるもの（詰込ベーク品　Ａ２１Ｃ１５／００７）｝
A21C9/066	｛詰込に二つの生地展延シートまたは生地玉を用いるもの，例．端を襞で合わせたもの；ラビオリ成形機（Ａ２１Ｃ１１／１６３が優先）｝
A21C9/068	｛端または縁の成形または襞を作るためのツール，例．手動のもの｝
A21C9/08	生地片，例．展延生地，を取扱うための載置，整列，移送装置
A21C9/081	｛生地の焼成容器または成形型への充填｝．．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．．　−　ここに分類されている文献は，生地の焼成容器または成形型への充填に関連するＩＤＴーグループに分類されていた。．．　−　管理上，これらは該ＩＤＴ−グループからこのグループに再分類された｝
A21C9/083	｛操作用容器，ナベ等，例．運びこみまたは運び出しコンベヤー，運搬車または焼きがま｝
A21C9/085	｛個々の生地玉の切離し，間隔取り，方向揃えまたは整列，例．切断具を通した後のもの｝
A21C9/086	｛個々の分離された展延生地シートの積み重ねまたは取り落ろし（シート間に詰め物があるもの　Ａ２１Ｃ９／０４５）｝
A21C9/088	｛個々の分離された生地玉または帯生地の折畳みまたは折り曲げ（ねじり帯生地　Ａ２１Ｃ３／０８；詰込み動作のあるもの　Ａ２１Ｃ９／０６３；トロイド形状の生地玉　Ａ２１Ｃ１１／００２）｝
A21C11/00	調理またはベイキング前に生地を最終の形に整形するその他の機械<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−　ここに分類されている文献は，バーミセリ，マカロニ，ヌードル成形装置に関連するＩＤＴーグループに分類されていた。　−　管理上，これらは該ＩＤＴ−グループからこのグループに再分類された｝
