A43B3/101	｛スリッパ，例．フリップフロップまたは鼻緒付きサンダル｝
A43B3/102	｛足のかかとが露出するもの（Ａ４３Ｂ３／１０６が優先）｝
A43B3/103	｛つま先用ストラップの取付けに特徴のあるもの｝
A43B3/105	｛つま先用ストラップの形状または配置に特徴のあるもの｝
A43B3/106	｛使い捨てスリッパ；単一部材からなるスリッパ｝
A43B3/107	｛材料に特徴のあるもの｝
A43B3/108	｛底に特徴のあるもの｝
A43B3/12	サンダル；ひもがその上につくもの
A43B3/122	｛ストラップの取り付けに特徴のあるもの｝
A43B3/124	｛使い捨てサンダル；単一部材からなるサンダル｝
A43B3/126	｛ストラップの形状または配置に特徴のあるもの｝
A43B3/128	｛底に特徴のあるもの｝
A43B3/14	モカシン，オパンケ，または類似のくつ
A43B3/16	オーバーシューズ
A43B3/163	｛健康または衛生目的に特に適合されたもの，例．静電気の放電を可能にする導電性材料からなるもの｝
A43B3/166	｛泥よけ｝
A43B3/18	オーバーシューズを定位置に固定するもの
A43B3/20	かかとなしオーバーシューズ
A43B3/24	折りたたみまたは転換できるもの
A43B3/242	｛甲被に特徴のあるもの｝
A43B3/244	｛甲被と底との間の取り付けに特徴のあるもの｝
A43B3/246	｛底に特徴のあるもの｝
A43B3/248	｛折りたたみできるもの，例．旅行用に折り曲げできるもの｝
A43B3/26	長さまたはサイズを調節できるもの
A43B3/30	特に幼児または小児用のもの
A43B3/34	電気または電子装置を有するもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／３４はグループＡ４３Ｂ７／００５からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ３／３４もまたグループＡ４３Ｂ３／３８，Ａ４３Ｂ３／４０，Ａ４３Ｂ３／４２，Ａ４３Ｂ３／４４，Ａ４３Ｂ３／４６，およびＡ４３Ｂ３／４８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A43B3/35	電気加熱装置を有するもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／３５はグループＡ４３Ｂ７／０２からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ３／３５もまたグループＡ４３Ｂ３／３８，Ａ４３Ｂ３／４０，およびＡ４３Ｂ３／４２への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A43B3/355	｛外部電源，例．自動車の電池，からの電流により加熱されるもの｝
A43B3/36	光源を有するもの
A43B3/38	電源を有するもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／３８はグループＡ４３Ｂ３／３４およびＡ４３Ｂ３／３５からの文献の再分類が未完成であり保留されている。<br>グループＡ４３Ｂ３／３８もまたグループＡ４３Ｂ３／４０およびＡ４３Ｂ３／４２への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A43B3/40	電池<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／４０はグループＡ４３Ｂ３／３４，Ａ４３Ｂ３／３５およびＡ４３Ｂ３／３８からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A43B3/42	機械的動作を電気に変換することで電力が発生するもの，例．圧電手段によるもの<br><br><u>警告</u><br><br>グループＡ４３Ｂ３／４２はグループＡ４３Ｂ３／３４，Ａ４３Ｂ３／３５およびＡ４３Ｂ３／３８からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
