G01P3/68	光学的手段を用いるもの，すなわち．赤外線，可視光線または紫外線を用いるもの（Ｇ０１Ｐ３／８０が優先；　｛波の反射によるものＧ０１Ｓ１７／５８）｝
G01P3/685	｛入射粒子速度の測定に関するもの｝
G01P3/80	自己相関検出手段または相互相関検出手段を用いるもの
G01P3/803	｛Ｇ０１Ｐ３／６６に分類されるべき種類の装置におけるもの｝
G01P3/806	｛Ｇ０１Ｐ３／６８に分類されるべき種類の装置におけるもの｝
G01P5/00	流体，例．空気流，の速度の測定；流体に対する物体，例．船舶の，航空機の，相対速度の測定（流体の量を測るために速度測定装置を用いるものＧ０１Ｆ）
G01P5/001	｛全視野流れ測定，例．全領域における流れの速度と方向の同時決定，流れの視覚化｝
G01P5/003	｛障害物正面の流体レベルの測定によるもの｝
G01P5/005	｛流体内に向けられるジェット噴流の利用によるもの｝
G01P5/006	｛使用されるジェット噴流はイオン化または放射性粒子である｝
G01P5/008	｛流体に加えた電解質の利用によるもの｝
G01P5/01	スワール渦型流速計
G01P5/02	流体によって固体に働く力の測定によるもの，例．風速計
G01P5/04	バッフル板の偏りを用いるもの
G01P5/06	翼の回転を用いるもの（回転軸の速度測定Ｇ０１Ｐ３／００）
G01P5/065	｛指示装置への機械的結合をもつもの｝
G01P5/07	指示装置へ電気的結合をするもの
G01P5/08	流れに直接影響される電気的変量の変化測定によるもの，例．発電作用の利用によるもの
G01P5/083	｛動電効果を測定する電子回路の利用によるもの｝
G01P5/086	｛動電効果を測定する特殊配置および構造の利用によるもの｝
G01P5/10	温度変量の測定によるもの
G01P5/12	加熱導体の抵抗変化を利用するもの
G01P5/14	流体における差圧測定によるもの
G01P5/16	ピトー管を利用するもの　｛例．マッハ計｝
G01P5/165	ピトー管の配置または構造
G01P5/17	指示装置への結合装置
G01P5/175	マッハ数を決定するもの（そのためのアナログ計算機Ｇ０６Ｇ７／５７）
G01P5/18	流体が一定距離を走行する時間の測定によるもの
G01P5/20	流体の流れによって運ばれる粒子を利用するもの（Ｇ０１Ｐ５／２２が優先）
G01P5/22	自己相関検出手段または相互相関検出手段を用いるもの
G01P5/24	流れている流体が検出音波の特性に及ぼす直接の影響を測定することによる
G01P5/241	｛音響波の反射を用いることによるもの，すなわちドップラー効果｝
G01P5/242	｛連続的，例．変調されたもしくは未変調の，波を包含するもの（Ｇ０１Ｐ５／２４４が優先）｝
G01P5/244	｛パルス化された波を包含するもの｝
G01P5/245	｛音響波の伝播時間を測定することによるもの（音響波の伝播速度の測定それ自体Ｇ０１Ｈ５／００）｝
G01P5/247	｛シングアラウンド系｝　Ｎ０５０４｝
G01P5/248	｛位相差を測定することによるもの｝
G01P5/26	流れている流体が検出光波の特性に及ぼす直接の影響を測定することによる
G01P7/00	加速度積算による速度測定（加速度の２重積分による移動距離の測定Ｇ０１Ｃ２１／１６）
G01P11/00	平均速度の測定（一定距離の走行時間の測定によるものＧ０１Ｐ３／６４，Ｇ０１Ｐ５／１８）
G01P11/02	多数物体，例．交通制御のための車輛，の平均速度の測定
G01P13/00	運動の有無または方向の指示または記録（電気スイッチＨ０１Ｈ；移動物体の計数Ｇ０６Ｍ７／００）
G01P13/0006	｛流体または粒子状または粉体状物質に関するもの｝
G01P13/0013	｛流体の動作により偏倚される固形物の利用によるもの｝
G01P13/002	｛指示装置への電気結合を有するもの｝
G01P13/0026	｛バッフル板の偏りを用いるもの｝
G01P13/0033	｛指示装置への電気結合を有するもの｝
G01P13/004	｛翼の回転を用いるもの｝
G01P13/0046	｛指示装置への電気結合を有するもの｝
G01P13/0053	｛動電効果の利用によるもの｝
G01P13/006	｛温度変量の利用によるもの｝
G01P13/0066	｛流体の圧力差の利用によるもの｝
G01P13/0073	｛流体により発生する振動の利用によるもの｝
G01P13/008	｛流体運搬管に装着される窓を利用するものＧ０１Ｐ１３／００１３，Ｇ０１Ｐ１３／００２６，Ｇ０１Ｐ１３／００４が優先）｝
G01P13/0086	｛光電検出によるもの｝
G01P13/0093	｛生成物，例．流体流を可視化するために点火される化学生成物を利用するもの｝
G01P13/02	方向だけの指示，例．風見板によるもの
G01P13/025	｛大気データ，すなわち航空機の飛行変数，例．迎え角，横滑り，せん断，ヨウの指示｝
G01P13/04	直線運動の正方向または逆方向の指示，または回転運動の右廻りまたは左廻りの指示
G01P13/045	｛速度指示を行うもの｝
G01P15/00	加速度の測定，減速度の測定；衝撃，すなわち加速度の急激な変化，の測定
G01P15/001	｛変位信号の３重微分を利用する加速度変化の測定によるもの｝
G01P15/003	｛運動学的加速度計，すなわち外部参照フレームに関し加速度を測定するもの，例．フェライト系加速度計（Ｇ０１Ｐ１５／００１，Ｇ０１Ｐ１５／１６，Ｇ０１Ｐ１５／１６５が優先）｝
G01P15/005	｛並進加速度を測定するもの｝
G01P15/006	｛流体地震質量の利用によるもの｝
G01P15/008	｛熱的ピックアップを用いることによるもの｝
G01P15/02	慣性力の利用によるもの　｛固体地震質量を用いるもの｝（Ｇ０１Ｐ１５／１４，Ｇ０１Ｐ１５／１８が優先）
G01P15/03	非電気的手段を使用するもの
G01P15/032	｛可動慣性質量の変位の測定によるもの｝
G01P15/034	｛角加速度の指示用（Ｇ０１Ｐ１５／０３６が優先）｝
G01P15/036	｛所定の加速度値の指示用｝
G01P15/038	｛流体式手段を利用するもの｝
G01P15/04	最大値指示用
G01P15/06	永久変形しやすい部材を用いるもの
G01P15/08	電気値または磁気値への変換を伴うもの
G01P15/0802	｛細部｝
G01P2015/0805	
G01P2015/0808	
G01P2015/0811	
G01P2015/0814	
G01P2015/0817	
G01P2015/082	
G01P2015/0822	
G01P2015/0825	
G01P2015/0828	
G01P2015/0831	
G01P2015/0834	
G01P2015/0837	
G01P2015/084	
G01P2015/0842	
G01P2015/0845	
G01P2015/0848	
G01P2015/0851	
G01P2015/0854	
G01P2015/0857	
G01P2015/086	
G01P2015/0862	
G01P2015/0865	
G01P2015/0868	
G01P2015/0871	
G01P2015/0874	
G01P2015/0877	
G01P2015/088	
G01P2015/0882	
G01P15/0885	｛磁わいピックアップによるもの｝
G01P15/0888	｛角加速度の指示用｝
G01P15/0891	｛所定の加速度値の指示によるもの（Ｇ０１Ｐ１５／１３５が優先）｝
G01P15/0894	｛非接触電子伝達，すなわち電子トンネル効果によるもの｝
G01P15/0897	｛熱的ピックアップによるもの（Ｇ０１Ｐ１５／００８が優先）｝
G01P15/09	｛圧電ピックアップによるもの｝
G01P15/0907	｛圧縮方式型に関するもの｝
G01P15/0915	｛せん断方式型に関するもの｝
G01P15/0922	｛曲げまたは屈曲方式型のもの｝
G01P15/093	光電型ピックアップによるもの
G01P15/097	振動要素によるもの
G01P15/0975	｛弾性表面波共振器または遅延線によるもの｝
G01P15/10	振動線によるもの
G01P15/105	磁力感知装置によるもの
G01P15/11	誘導型ピックアップによるもの
G01P15/12	電気抵抗の変化によるもの｛（Ｇ０１Ｐ１５／０８９７，Ｇ０１Ｐ１５／１０５が優先）｝
G01P15/121	｛電位差計によるもの｝
G01P15/122	｛金属耐性歪み計，例．抵抗線歪み計によるもの｝
G01P15/123	｛圧電素子，例．半導体歪み計によるもの｝
G01P15/124	｛少なくとも１つのＰＮ接合からなる半導体装置，例．トランジスタによるもの｝
G01P15/125	容量型ピックアップによるもの
G01P15/13	慣性力を受ける標準質量を零位置まで復帰させるに必要な力の測定によるもの
G01P15/131	｛静電釣合せ手段をもつもの｝
G01P15/132	｛電磁釣合せ手段をもつもの｝
G01P15/133	｛圧電釣合せ手段をもつもの｝
G01P15/135	可動の慣性質量によって動作する接点の使用によるもの
G01P15/14	ジャイロスコープの利用によるもの（Ｇ０１Ｐ１５／１８が優先；ジャイロスコープそれ自体Ｇ０１Ｃ１９／００）
G01P15/16	測定した速度信号の時間微分を評価することによるもの（Ｇ０１Ｐ１５／１８が優先）
G01P15/165	｛角加速度測定用｝
G01P15/18	二次元またはそれ以上の次元におけるもの
G01P21/00	上記のグループに包含される装置または器具の試験または較正
G01P21/02	速度計に関するもの
G01P21/025	｛流体速度測定用；流体に対する物質の速度の測定用（体積流量測定用Ｇ０１Ｆ２５／０００７）｝
