F03C1/2415	｛シリンダブロックと作動カムの両方が回転するもの（Ｆ０３Ｃ１／２４３１およびＦ０３Ｃ１／２４４６が優先）｝
F03C1/2423	｛２以上の直列のラジアルピストン−シリンダユニットをもつもの｝
F03C1/2431	｛シリンダブロックと作動カムの両方が回転するもの（Ｆ０３Ｃ１／２４４６が優先）｝
F03C1/2438	｛直接並んで位置するもの｝
F03C1/2446	｛シリンダブロックと作動カムの両方が回転するもの　｝
F03C1/2454	｛星形または扇形に配列されているシリンダをもつものであって，作動部材を有するピストンの連結部がシリンダの内端部にあるもの｝
F03C1/2462	｛回転シリンダがそのシリンダ内を往復動する１個のみのピストンを備えるもの｝
F03C1/247	星形または扇形に配列されているシリンダをもつもの｛であって，作動部材を有するピストンの連結部がシリンダの外端部にあるもの｝
F03C1/26	特殊用途に応用されるものまたは被駆動装置と組み合わされるもの（被駆動装置との関連性に特に特色が大きければそのような装置に該当するクラスを参照）
F03C2/00	回転ピストン機関（液体が回転シリンダ内を往復動する１個またはそれ以上のピストンを押しのけるものＦ０３Ｃ１／２４）<br><br><u>注</u><br><br>グループＦ０３Ｃ２／３０はグループＦ０３Ｃ２／０２〜Ｆ０３Ｃ２／２４に優先する。
F03C2/02	円弧状の係合をする形式，すなわち．共動部材が並進的な循環運動をするもので，各部材が同数の歯または歯に相当するものをもつもの
F03C2/08	相互にかみ合って係合する形式，すなわち．共動部材の係合が歯車伝動と同様のもの
F03C2/22	係合点で共動部材が同方向の運動をするか，または共動部材の一つが静止しており，内側部材が外側部材よりも多くの歯または歯に相当するものを備えている内部軸形式のもの
F03C2/24	逆に係合する形式，すなわち．係合点での共動部材の運動が反対方向であるもの
F03C2/30	２以上のグループＦ０３Ｃ２／０２，Ｆ０３Ｃ２／０８，Ｆ０３Ｃ２／２２，Ｆ０３Ｃ２／２４に包含される特徴をもつもの，または共動部材間の他の運動形式を合せもち，これらのグループの１つに包含される特徴をもつもの
F03C2/302	｛サブグル−プＦ０３Ｃ２／０２に規定された運動および共動部材間の相対的な往復運動の両方をするもの｝
F03C2/304	｛サブグル−プＦ０３Ｃ２／０８またはＦ０３Ｃ２／２２に規定された運動および共動部材間の相対的な往復運動の両方をするもの｝
F03C2/306	｛グル−プＦ０３Ｃ２／２２およびＦ０３Ｃ２／２４に規定された運動の両方をするもの｝
F03C2/308	｛グル−プＦ０３Ｃ２／０８に規定された運動をし，ちようつがい式に係合した部材をもつもの｝
F03C4/00	揺動ピストン機関
F03C7/00	可とう壁形の機関
F03C99/00	このサブクラスの他のグループに分類されない主題事項
F03C99/005	｛フリーピストン型の機関｝
