D03D39/18	２枚のパイル層の分離，例．切断によるもの
D03D39/20	たてワイヤを越してパイルを形成する織機
D03D39/22	わな織機
D03D39/223	｛布の制御｝
D03D39/226	｛スレーの制御｝
D03D39/24	織機上でパイルを切断する器具（パイル切断ワイヤＤ０３Ｄ３９／１４；２枚のパイル層の分離Ｄ０３Ｄ３９／１８）
D03D41/00	他に分類されない織機，例．シェニール糸を織成するための織機；これらの織機特有の細部
D03D41/001	｛ヘアークロス織機｝
D03D41/002	｛葦，麦わらまたは木を織るための織機｝
D03D41/004	｛立体的織物用の織機｝
D03D41/005	｛直線開口多相織機｝
D03D41/007	｛縦型織機｝
D03D41/008	｛平坦な糸を折るための織機｝
D03D43/00	ひ箱交換装置を有する織機
D03D43/02	上下動式ひ箱を有するもの
D03D43/04	作動機構
D03D43/06	回転式ひ箱を有するもの
D03D43/08	作動機構
D03D43/10	よこ糸保持具，すなわちよこ糸がもつれるのを防止する手段
D03D45/00	自動よこ糸補充装置を有する織機（細幅織機の自動補充Ｄ０３Ｄ３５／００，環状織機の自動補充Ｄ０３Ｄ３７／００）
D03D45/02	補充制御
D03D45/04	補充開始のためのウェフトフィーラまたはその他の検出器（よこ糸停止Ｄ０３Ｄ５１／３４）
D03D45/06	機械的なもの
D03D45/08	サイドスリップ形
D03D45/10	電気的なもの
D03D45/12	光学的なもの
D03D45/14	空ひが織機の補充位置に帰るまでに補充または要求される色のための必要物を用意するもの
D03D45/16	よこ糸の色を正確に選択するもの
D03D45/18	ひがひ箱に間違って入っているときの補充防止用シャットルフィーラまたはその他の器具（ひ停止機構Ｄ０３Ｄ５１／４０）
D03D45/20	よこ管またはひにより運ばれる他の織機部品の交換
D03D45/22	ひ箱内で行なわれるもの
D03D45/24	ひ箱外で行なわれるもの
D03D45/26	マガジン
D03D45/28	単一糸条用，例．同色
D03D45/30	回転式
D03D45/32	多種糸条用，例．多色
D03D45/34	ひ換え
D03D45/36	新旧ひを同一ひ箱内で交換するもの
D03D45/38	補充用の補助ひ箱を有するもの
D03D45/40	旧ひをひ箱で受け，新ひを補助ひ箱から打ち出すもの
D03D45/42	旧ひを補助ひ箱で受け，新ひをひ箱から打ち出すもの
D03D45/44	マガジン
D03D45/46	単一糸条用，例．単色
D03D45/48	多種糸条用，例．多色
D03D45/50	よこ糸端の切断，は持，取り扱いまたは整理
D03D45/52	旧ひのよこ糸のひの近くでの切断および織布に連絡されているよこ糸端のは持
D03D45/54	新よこ糸の切断およびそのよこ糸端のは持
D03D45/56	旧よこ糸と新よこ糸の耳部での切断
D03D45/58	新よこ管からのチップバンチまたは新糸端の解じょ
D03D45/60	空気流または吸引によるもの
D03D45/62	切断よこ糸端の廃棄部分の整理（Ｄ０３Ｄ４５／５８が優先）
D03D47/00	よこ糸貯蔵体が開口中を通らない織機，例．無ひ織機，グリッパーシャットル織機，ダミーシャットル織機（環状織機Ｄ０３Ｄ３７／００）
D03D47/02	連続よこ糸のループが入れられるもの，すなわち２本よこ入れ
D03D47/04	永久糸目をもつ往復ニードルによるもの
D03D47/06	永久糸目をもつ回動ニードルによるもの
D03D47/08	カム，リンクまたは他の手段でニードルの通路を限定するもの
D03D47/10	フオーク状ニードルでよこ糸のループを開口中にそう入するもの
D03D47/12	１本よこ入れ，すなわちそれぞれのよこ入れが開口をもつもの
D03D47/125	｛よこ糸の把持装置（よこ糸が次の開口に再挿入されるものＤ０３Ｄ４７／４８；ジェット織機におけるものＤ０３Ｄ４７／３０８｝
D03D47/14	よこ糸端をつまんだグリッパーニードルを開口中に通すもの
D03D47/16	空のグリッパーニードルを開口中に入れ，後退するときよこ糸を引き抜くもの
D03D47/18	２つのよこ糸そう入体が開口内で出合い，よこ糸を一方から他方に移送するもの
D03D47/20	そう入体の糸を引く装置に特徴があるもの
D03D47/22	よこ糸のループを開口中の通路の一部にそう入してから，引き延ばすようにしたもの
D03D47/23	糸把持具（ダミーシャットルまたはグリッパーシャットルＤ０３Ｊ５／０６）
D03D47/233	｛担体の把持具｝
D03D47/236	｛引き抜き把持具｝
D03D47/24	グリッパーシャットルまたはダミーシャットルによるもの（移動波状開口織機Ｄ０３Ｄ４７／２６；ひそう入機構Ｄ０３Ｄ４９／２４）
D03D47/25	織機の片側からのみ挿入するもの
D03D47/26	移動波状開口織機
D03D47/261	｛よこ糸の準備｝
D03D47/262	｛開口，よこ糸通しまたは打ち込み機構｝
D03D47/263	｛よこ糸通しおよび打ち込み機構｝
D03D47/265	｛打ち込み機構（Ｄ０３Ｄ４７／２６３が優先）｝
D03D47/266	｛よこ糸通し機構（Ｄ０３Ｄ４７／２６３が優先）｝
D03D47/267	｛開口機構｝
D03D47/268	｛たて糸の張力を補償するための機構｝
D03D47/27	よこ糸挿入のための駆動またはガイド機構
D03D47/271	｛レピア｝
D03D47/272	｛レピア帯｝
D03D47/273	｛レピア棹｝
D03D47/275	｛駆動機構｝
D03D47/276	｛スプロケットホィールの配置の細部｝
D03D47/277	｛ガイド機構（ひのためのものＤ０３Ｄ４９／２４）｝
D03D47/278	｛空気式織機のためのもの｝
D03D47/28	よこ糸自体が開口中に投射されるもの
D03D47/30	気体ジェットによるもの
D03D47/3006	｛ノズルの構成｝
D03D47/3013	｛主体となるノズル｝
D03D47/302	｛補助的なノズル｝
D03D47/3026	｛空気供給システム｝
D03D47/3033	｛空気の供給の制御｝
D03D47/304	｛補助的なノズルへの空気供給の制御｝
D03D47/3046	｛よこ糸の選択｝
D03D47/3053	｛空気供給システムの配置またはレイアウト｝
D03D47/306	｛部品，例．弁，ダクト，の構造または細部｝
D03D47/3066	｛到着時または到着後のよこ糸の制御または取扱い｝
D03D47/3073	｛そのための検知手段｝
D03D47/308	｛よこ糸の伸張またはは持｝
D03D47/3086	｛よこ糸の除去（織成過程における定位置停止後の欠陥のあるよこ糸の摘出Ｄ０３Ｄ５１／０８５）｝
D03D47/3093	｛表示データ｝
D03D47/32	液体ジェットによるもの
D03D47/34	貯蔵体とそう入手段間のよこ糸の取り扱い
D03D47/342	｛結び目の検知｝
D03D47/345	｛回転ボビン｝
D03D47/347	｛糸の制動（Ｄ０３Ｄ４７／３６４が優先）｝
D03D47/36	よこ糸の測長および切断
D03D47/361	｛ドラム型のよこ糸供給装置｝
D03D47/362	｛糸保持装置，例，停止ピン，を有するもの（Ｄ０３Ｄ４７／３６７が優先）｝
