F23G2203/204	非円形の内側断面を有するもの
F23G2203/205	水冷壁を有するもの
F23G2203/206	側壁に充填ポートを有するもの
F23G2203/207	側壁に空気供給ポートを有するもの
F23G2203/208	内部攪拌部材を有するもの
F23G2203/209	回転軸を可変傾斜させるもの
F23G2203/21	回転速度を可変にするもの
F23G2203/211	複数のドラムの配置
F23G2203/212	回転および静止部品間の密閉装置
F23G2203/30	サイクロン燃焼炉
F23G2203/40	静止層炉
F23G2203/401	火格子または開孔板を支持するもの
F23G2203/403	実質的に円筒形状燃焼室を有するもの
F23G2203/50	流動層炉
F23G2203/501	噴流層物質の外部再循環に関わるもの
F23G2203/502	燃焼室内部にある層物質の再循環に関わるもの
F23G2203/503	２またはそれ以上の流動層に関わるもの
F23G2203/504	実質的に水平に流れる層物質に関わるもの
F23G2203/505	全体として回転する流動層に関わるもの
F23G2203/60	可動炉
F23G2203/601	車両によって搬送されるもの
F23G2203/70	規格構造の炉
F23G2203/80	燃焼領域を通して廃棄物を動かす他の手段を有する炉
F23G2203/801	コンベヤを使用するもの
F23G2203/8013	スクリューコンベヤ
F23G2203/8016	ベルトコンベヤ
F23G2203/803	ラムまたはプッシャ
F23G2203/805	回転式炉床を使用するもの
F23G2204/00	補助加熱設備
F23G2204/10	補助燃料を使用するもの
F23G2204/101	固形燃料
F23G2204/103	ガスまたは液体燃料
F23G2204/20	電気エネルギを使用するもの
F23G2204/201	プラスマ
F23G2204/202	レーザ
F23G2204/203	極超短波
F23G2204/204	誘導
F23G2205/00	廃棄物供給設備
F23G2205/10	ラムまたはプッシャを使用するもの
F23G2205/101	連続的に操作されるもの
F23G2205/12	コンベヤを使用するもの
F23G2205/121	スクリューコンベヤ
F23G2205/122	ベルトコンベヤ
F23G2205/123	ローラコンベヤ
F23G2205/124	チェーンコンベヤ
F23G2205/125	振動コンベヤ
F23G2205/14	ホッパーまたは貯蔵所を使用するもの
F23G2205/16	シュートを使用するもの
F23G2205/18	空気閉塞システムを使用するもの
F23G2205/20	衝撃波または空圧供給を使用するもの
F23G2206/00	廃棄物加熱再循環
F23G2206/10	熱を同一プロセスに再導入，例．前乾燥のためのもの
F23G2206/20	他の取付け物と共同して熱を使用するもの
F23G2206/201	工業用炉をもつもの
F23G2206/202	内燃機関をもつもの
F23G2206/203	動力／熱発生設備をもつもの
F23G2207/00	制御
F23G2207/10	感知装置の配置
F23G2207/101	温度のためのもの
F23G2207/1015	炎の熱パターンの監視
F23G2207/102	圧力のためのもの
F23G2207/103	酸素のためのもの
F23G2207/104	一酸化炭素または二酸化炭素のためのもの
F23G2207/105	窒素酸化物のためのもの
F23G2207/106	硫黄酸化物のためのもの
F23G2207/107	ハロゲン濃度のためのもの
F23G2207/108	炭化水素濃度のためのもの
F23G2207/112	廃棄物供給流量のためのもの
F23G2207/113	酸化剤供給流量のためのもの
F23G2207/114	燃焼床高さのためのもの
F23G2207/20	廃棄物供給
F23G2207/30	酸化剤供給
F23G2207/40	補助熱供給
F23G2207/50	冷却流体供給
F23G2207/60	添加物供給
F23G2208/00	安全面
F23G2208/10	炎または爆発の防止または減少，例．パージによって
F23G2209/00	特定廃棄物
F23G2209/10	液状廃棄物
F23G2209/101	廃液
F23G2209/102	廃油
F23G2209/103	バガス，メガス
F23G2209/12	スラッジ，スラリーまたは液体の混合物
F23G2209/14	ガス状廃棄物または煙霧
F23G2209/141	爆発性ガス
F23G2209/142	ハロゲンガス，例．シラン
F23G2209/16	戦争用材料，例．弾薬
F23G2209/18	放射性物質
F23G2209/20	医用素材
F23G2209/22	廃棄紙
F23G2209/24	汚染土壌；鋳物砂
F23G2209/26	生物廃棄物
F23G2209/261	木材廃棄物
F23G2209/262	農業用廃棄物
F23G2209/28	プラスチックまたはゴム状物質
F23G2209/281	タイヤ
F23G2209/30	固体燃焼残滓，例．底付き物または飛灰
F23G2900/00	焼却炉の特別な事項または構成
F23G2900/00001	排ガスの再循環（その熱を利用するものＦ２３Ｇ２２０６／１０）
F23G2900/50001	２以上の炉の組み合わせ
F23G2900/50002	廃棄物塊を通る下向きの流れを伴った燃焼
F23G2900/50003	超臨界条件における水中での廃棄物の酸化，熱分解またはガス化
F23G2900/50004	傾斜した路床を有する炉
F23G2900/50005	特殊な材料からなる床の上に支持された燃焼室内の廃棄物
F23G2900/50006	室内の放射エネルギーを反射する燃焼室の壁
F23G2900/50007	炉内に別々に送り込まれる２以上の種類の廃棄物の共燃焼
F23G2900/50008	ガス流の上方につり下げられたまたは持ち上げられた廃棄物の燃焼
F23G2900/50009	垂直なまたは鋭く傾斜した方向へ繰り返し移動を伴う炉
F23G2900/50201	廃棄物の熱分解，ガス化または分解蒸留であって間接的な熱伝達によるもの
F23G2900/50202	廃棄物の熱分解，ガス化または分解蒸留であって触媒の存在下においてなされるもの
F23G2900/50203	廃棄物の熱分解，ガス化または分解蒸留であって機械的に流動化された，例．遠心力によって得られた，層でなされるもの
F23G2900/50204	廃棄物の予備処理であって熱分解，ガス化または分解蒸留によるもの
F23G2900/50205	廃棄物の予備処理であって熱分解，ガス化または分解蒸留によるものであってそれに続いてガスが可燃性の油または脂の中で凝縮するもの
F23G2900/50206	燃焼前の廃棄物のペレット化
F23G2900/50207	燃焼前のプラスチック廃棄物材料の熱成形
F23G2900/50208	燃焼前の生化学的処理，例．バイオガス生成
F23G2900/50209	燃える前の廃棄物のコンパクト化
F23G2900/50211	蒸発，例．燃える前の液体廃棄物を
F23G2900/50212	燃焼前の廃棄物の押出成形
F23G2900/50213	乾燥または熱分解以外の予備加熱プロセス
F23G2900/50214	非燃性物質の分離
F23G2900/50401	乾燥用化学物質と，例．ＣａＯと，混合することによる廃棄物の乾燥
F23G2900/508	燃焼のために追加的なエネルギーを，例．補助的加熱によって，供給すること
F23G2900/50801	外から加熱された物体，例．鋼球，からの熱を用いるもの
F23G2900/50802	固体推進剤を用いるもの
F23G2900/50803	太陽熱を用いるもの
F23G2900/50804	テルミット［アルミ粉と酸化鉄粉の混合物］または他の金属酸化物組成物を付加的な燃料として用いるもの
F23G2900/51001	アーク放電電極を用いて熱を供給するもの
F23G2900/52001	ロータリードラムであって廃棄物とガスとが同じ方向の流れを持つもの
F23G2900/52002	ロータリードラム炉であって廃棄物とガスとが対向する流れを持つもの
F23G2900/52003	ロータリードラム炉であって小孔のあるドラム壁を有するもの，例．火格子ドラム
F23G2900/53801	多段炉床型炉であって垂直の軸をもつもの
F23G2900/54001	炉床または支持具であって炉内へまたは炉から移動可能なもの，例．コンベアによって
F23G2900/54401	容器，バッグまたはバレルに入った廃棄物の供給
F23G2900/54402	焼却炉の中へ液体廃棄物を注入
F23G2900/54601	廃熱を海水の脱塩のために用いるもの
F23G2900/55	制御；監視または測定
F23G2900/55001	燃焼用空気の予熱の制御
F23G2900/55002	排ガスの透明度の検知
F23G2900/55003	排ガスの性状，例．酸素割合，の検知
F23G2900/55004	排ガス放射性の検知
F23G2900/55005	灰またはスラグの性状の検知
F23G2900/55006	物質の流量を測定するもの
F23G2900/55007	センサーであって廃棄物投入ゾーンに配置されたもの，例．供給ホッパーのレベル
F23G2900/55008	発生する蒸気の流量の測定
F23G2900/55009	ストーカー式火格子の廃棄物移動のための速度または振動の制御
F23G2900/55011	これから燃焼される廃棄物の性状，例．熱量，密度，の検出
F23G2900/70	特定の製品または廃棄物の焼却
F23G2900/7001	エアバッグまたはシートベルトのプリテンショナー
F23G2900/7002	動物性脂肪，例．ラード，獣脂，ステアリン
F23G2900/7003	動物からのリター，例．家禽用敷藁，の焼却
F23G2900/7004	汚染された動物飼料の焼却
F23G2900/7005	使用済アスベストの焼却
F23G2900/7006	使用済自動車の焼却
F23G2900/7007	使用済バッテリーの焼却または熱分解
F23G2900/7008	解体後の建築材料残渣，例．ファイバーグラスアスファルト屋根板，の焼却
F23G2900/7009	人または動物の遺体または残渣の焼却
F23G2900/7011	ＰＣＢ材料の焼却
F23G2900/7012	米または穀物の外皮または殻の焼却
F23G2900/7013	油質頁岩の焼却
F23G2900/70401	焼却炉の廃棄物ピットからのドレン水の焼却
F23G2900/70601	処理段の間に設けられた一時的な貯留手段，例．煙またはガスのためのバッファ
