F01M11/08	シリンダ内に吸入される前に空気または燃料空気混合物から潤滑剤を分離するもの（分離一般Ｂ０１Ｄ）
F01M11/10	指示装置，他の安全装置
F01M11/12	潤滑剤レベルに関するもの
F01M2011/14	｛オイル交換の必要を示すもの｝
F01M2011/1406	｛酸性度を考慮するもの｝
F01M2011/1413	｛誘電特性を考慮するもの｝
F01M2011/142	｛速度を考慮するもの，例．毎分回転数［RPM］｝
F01M2011/1426	｛距離を考慮するもの｝
F01M2011/1433	｛負荷を考慮するもの｝
F01M2011/144	｛オイルの磁気特性を考慮するもの｝
F01M2011/1446	｛圧力を考慮するもの｝
F01M2011/1453	｛油量を考慮するもの｝
F01M2011/146	｛水分レベルを考慮するもの｝
F01M2011/1466	｛すすの量を考慮するもの｝
F01M2011/1473	｛温度を考慮するもの｝
F01M2011/148	｛粘性を考慮するもの｝
F01M2011/1486	｛操作の継続時間を考慮するもの｝
F01M2011/1493	｛全塩基価［TBN］を考慮するもの｝
F01M13/00	クランク室の換気または息抜き
F01M2013/0005	｛カーターの圧力をシステム調整するもの｝
F01M13/0011	｛大気弁｝
F01M2013/0016	薄膜をもつもの
F01M2013/0022	電磁式なもの
F01M2013/0027	着氷防止または除霜方式をもつもの
F01M13/0033	｛大気吸入口空気ろ過器｝
F01M2013/0038	クランクケースのブリーザー系の配置
F01M2013/0044	１つまたはそれ以上の弁をもつもの
F01M2013/005	１つまたはそれ以上の脱油器をもつもの
F01M2013/0055	迂回路を持つもの
F01M2013/0061	複数の脱油器を持つもの
F01M2013/0066	並列であるもの
F01M2013/0072	連続であするもの
F01M2013/0077	クランクケースのブリーザー系に使用するエンジンパラメータ
F01M2013/0083	クランクケース圧力
F01M2013/0088	回転速度
F01M2013/0094	機関負荷
F01M13/02	付属の圧力源からの正圧または負圧によるもの
F01M13/021	｛負圧のもの｝
F01M13/022	｛機関入口吸気を利用するもの｝
F01M13/023	｛吸気導管の制御弁｝
F01M13/025	｛空気ろ過器を介する吸入口導管を有するもの｝
F01M2013/026	荷物部から空気またはガスを吸引するポンプをもつもの
F01M2013/027	ターボチャージャまたは圧縮機をもつもの
F01M13/028	｛正圧のもの｝
F01M13/04	クランク室を出る前に空気を浄化する手段があるもの，例．油の除去
F01M13/0405	｛おおうものの穴，例．キャップに配列されるもの｝
F01M2013/0411	冷却手段を使用するもの
F01M13/0416	｛弁ふたに配列されるもの｝
F01M2013/0422	遠心分離機により油とガスを分離すもの
F01M2013/0427	回転部を有しない遠心分離機間，例．　サイクロン
F01M2013/0433	偏向装置をもつもの，　例．　仕切り板
F01M2013/0438	フィルタを持つもの
F01M2013/0444	機関の動作または位置に適応させるための手段をもつもの
F01M2013/045	ガスの圧縮と復元を使用するもの
F01M2013/0455	着氷防止または除霜方式を持つもの（呼吸弁のためのもの　Ｆ０１Ｍ２０１３／００２７）
F01M2013/0461	迷路をもつもの
F01M2013/0466	静電力手段をもつもの
F01M2013/0472	加熱手段を使用するもの
F01M2013/0477	｛水や湿気を分離するもの｝
F01M2013/0483	｛触媒を用いるもの｝
F01M2013/0488	クランクケースへの戻流路にオイルトラップをもつもの
F01M2013/0494	逆止弁を使用するもの
F01M13/06	特に可潜機関に応用したもの，例．装甲車両の機関
F01M2250/00	測定
F01M2250/60	操作パラメータ
F01M2250/62	負荷
F01M2250/64	回転数
F01M2250/66	車両速度
