F16N29/00	望ましくない条件の指示または検出のために備えられた潤滑用装置または系における特別な手段；潤滑用装置または系における条件に応答する装置の使用（軸受におけるものＦ１６Ｃ；潤滑用装置または系の外における装置の構成は関連クラスを参照）
F16N29/02	潤滑剤の供給に影響を与えるためのもの
F16N29/04	警報を出すことができるもの；可動部を停止させることができるもの
F16N31/00	機械または装置の中または上で潤滑剤を集め保持し，または除くための手段（排出蒸気から油を分離するためのオイルセパレータＦ２２Ｇ）
F16N31/002	｛排出パン｝
F16N31/004	｛貯蔵容器と結合するもの｝
F16N31/006	｛滴下用トレイ｝
F16N2031/008	ドレンプラグ
F16N31/02	オイルキャッチャ；オイルワイパ（ピストン用オイルスクレイピングリングＦ１６Ｊ９／２０；　｛浸漬部材を示すまたは測定するための清掃用手段，例．浸漬棒のワイパＧ０１Ｆ２３／０４５｝）
F16N2031/025	オイルスリンガ
F16N33/00	潤滑装置を清浄にするための機械的装置；機械部品から潤滑剤をドレンするときに用いる特殊ラックまたはそれに類似のもの
F16N2033/005	フラッシング
F16N35/00	潤滑剤の配慮エンジン室または類似のものにおける潤滑剤の貯蔵（保存容器Ｂ６５）
F16N37/00	１つの容器から他の容器へ潤滑剤を移すための装置
F16N37/003	｛軸受を満たすためのもの｝
F16N2037/006	充填
F16N37/02	グリースガンを充填するためのもの
F16N39/00	潤滑系において潤滑剤の状態を調整するための装置（潤滑油の清浄，潤滑組成物Ｃ１０Ｍ）
F16N39/002	｛脱気によるもの（液体のガス抜きＢ０１Ｄ１９／００）｝
F16N39/005	｛蒸発または浄化によるもの（フィルター加熱冷却用めＢ０１Ｄ３５／１８，例．蒸発装置を構成するものＢ０１Ｄ３５／１８５）｝
F16N2039/007	ストレーナーを使用するもの
F16N39/02	冷却によるもの（熱交換器一般Ｆ２８）
F16N39/04	加熱によるもの（熱交換器一般Ｆ２８）
F16N39/06	濾過によるもの（フィルター一般Ｂ０１Ｄ；磁気分離器Ｂ０３Ｃ１／００；　｛遠心分離機またはフィルターＢ０４Ｂ５／００５｝）
F16N2039/065	吸入口足部フィルター
F16N39/08	希釈によるもの，例．燃料添加によるもの（機械または機関一般，内燃機関の潤滑Ｆ０１Ｍ）
F16N99/00	このサブクラスの他のグループに分類されない主題事項
F16N2200/00	潤滑剤の状態
F16N2200/02	酸化
F16N2200/04	残骸，チップ，削りくずの検出
F16N2200/06	油膜厚さ
F16N2200/08	酸性，ｐＨ値
F16N2200/10	温度
F16N2200/12	粘性
F16N2200/14	電気で処理するもの
F16N2200/16	トレーサを使用するもの
F16N2200/18	泡立ちを検出するもの
F16N2200/20	水を検出するもの
F16N2210/00	用途
F16N2210/02	タービン
F16N2210/025	風車
F16N2210/04	車両
F16N2210/06	船舶
F16N2210/08	航空機
F16N2210/09	背面飛行
F16N2210/10	冷凍機
F16N2210/12	伝動装置
F16N2210/14	軸受
F16N2210/16	ポンプ
F16N2210/18	電動機
F16N2210/20	発電機
F16N2210/22	遠心分離機
F16N2210/24	コンベア
F16N2210/26	回転するスピンドル
F16N2210/28	浸水されたもの
F16N2210/30	逆回転用の
F16N2210/32	ミシン
F16N2210/33	チェーン
F16N2210/34	ケーブルおよびワイヤー
F16N2230/00	信号処理
F16N2230/02	マイクロプロセッサ；マイクロコンピュータ
F16N2230/06	マッピング技術を使用するもの
F16N2230/10	タイミングネットワーク
F16N2230/12	空圧要素をもつもの
F16N2230/13	油圧要素をもつもの
F16N2230/14	バイメタル要素をもつもの
F16N2230/16	コンデンサーをもつもの
F16N2230/18	スイッチ
F16N2230/19	光センサー
F16N2230/20	リードリレー
F16N2230/22	計数管を使用するもの
F16N2250/00	測定
F16N2250/04	圧力
F16N2250/05	大気圧
F16N2250/06	流れを決定するためのもの
F16N2250/08	温度
F16N2250/11	周囲温度
F16N2250/16	回転数，ＲＰＭ
F16N2250/18	レベル
F16N2250/30	誘電体
F16N2250/32	誘導体
F16N2250/34	透明；光；光センサー
F16N2250/36	粘性
F16N2250/38	圧電性のもの；結晶
F16N2250/40	流れ
F16N2250/42	摩擦
F16N2250/50	サンプリング
F16N2250/52	磁気
F16N2260/00	フェールセーフ
F16N2260/02	表示
F16N2260/04	オイルレベル
F16N2260/05	オイルの流れ
F16N2260/06	温度
F16N2260/065	色素または染料によるもの
F16N2260/08	圧力
F16N2260/12	警報灯を使用するもの
F16N2260/14	音を使用するもの
F16N2260/16	記録を使用するもの
F16N2260/18	オイル交換の必要性
F16N2260/20	非常時
F16N2260/21	リンプホーム
F16N2260/22	破断
F16N2260/24	蓄圧器を使用するもの
F16N2260/30	目詰まりしたフィルター
F16N2260/32	ポンプ不良
F16N2260/40	予潤滑
F16N2260/50	後潤滑
F16N2260/60	リンプホーム
F16N2270/00	制御するもの
F16N2270/10	レベル
F16N2270/12	オーバーフローを使用するもの（Ｆ１６Ｎ２２７０／１８が優先）
F16N2270/14	フロート装置を使用するもの
F16N2270/18	充填によるオーバーフローを使用するもの
F16N2270/20	潤滑量
F16N2270/22	制限のあるもの
F16N2270/24	多孔材，フェルト材，セラミック材あるいは焼結材を使用するもの
F16N2270/26	可変なもの
F16N2270/30	間欠性のもの
F16N2270/32	固定パルス，固定長，固定振幅
F16N2270/48	圧力制御されたもの
F16N2270/50	状態
F16N2270/52	粘性
F16N2270/54	ｐＨ；酸性
F16N2270/56	温度
F16N2270/60	圧力
F16N2270/62	制限
F16N2270/64	設定圧
F16N2270/70	供給
F16N2270/72	オン−オフ
F16N2270/74	使用時のみ
F16N2280/00	弁
F16N2280/02	電磁的に操作されるもの
F16N2280/04	可変流量あるいは比例弁
