F21V7/09	異なる形状面を組み合わせたもの
F21V7/10	構造
F21V7/16	曲面の調整できるもの
F21V7/18	折りたたみできるもの
F21V7/22	材料，表面処理またはコーティングに特徴のあるもの，例．ダイクロイックリフレクタ
F21V7/24	材料に特徴のあるもの
F21V7/26	フォトルミネセンス物質からなる材料
F21V7/28	コーティングに特徴のあるもの
F21V7/30	フォトルミネセンス物質からなるコーティング
F21V9/00	放射光の分光特性，偏光または強度を修正する要素，例．フィルタ（色付きかさＦ２１Ｖ１／００；冷却手段に特徴のあるものＦ２１Ｖ２９／５０２）
F21V9/02	昼光に似せたもの（Ｆ２１Ｖ９／０４，Ｆ２１Ｖ９／０６が優先）
F21V9/04	赤外線カットフィルタ（ダイクロイックリフレクタＦ２１Ｖ７／２２；液体を満たした容器を用いるものＦ２１Ｖ９／１２）
F21V9/06	紫外線カットフィルタ
F21V9/08	色光，例．単色光，を作るもの；光の強度を減少するもの（色を制御するものＦ２１Ｖ９／４０）
F21V9/083	｛携帯用照明装置用のもの｝
F21V9/12	液体を満たした容器を用いるもの
F21V9/14	偏光を作るもの
F21V9/20	ダイクロイックフィルタ，すなわち，電波干渉の原理に基づき作動し，他をキャンセルする一方で波長の特定範囲を通過させるための装置
F21V9/30	光源とは異なる，または間隔がある，フォトルミネセンス材質を含有する要素（シェードＦ２１Ｖ１／１７；グローブ，ボウルまたは被覆ガラスＦ２１Ｖ３／０８，Ｆ２１Ｖ３／１２；屈折器Ｆ２１Ｖ５／１０；反射器Ｆ２１Ｖ７／２６，Ｆ２１Ｖ７／３０；分光特性または強度を制御するための装備Ｆ２１Ｖ９／４０）
F21V9/32	フォトルミネセンス素材の配置に特徴のあるもの
F21V9/35	焦点位置における，例．屈折器，レンズ，反射器または光源列のもの
F21V9/38	異なる材質の２以上のフォトルミネセンス要素の組み合わせ
F21V9/40	分光特性，例．色彩，または強度，を制御するための装備
F21V9/45	フォトルミネセンス要素の調整によるもの
F21V11/00	グループＦ２１Ｖ１／００，Ｆ２１Ｖ３／００，Ｆ２１Ｖ７／００またはＦ２１Ｖ９／００に包含されないスクリーン（冷却手段に特徴のあるものＦ２１Ｖ２９／５０２）
F21V11/02	平行な薄片または条片，例．ベネチアンブラインド形，を用いるもの（Ｆ２１Ｖ１１／０６が優先）
F21V11/04	調整できるもの
F21V11/06	交差する薄片または条片を用いるもの，｛例．格子の形状をしたルーバ｝；格子状またはハチの巣状を用いるもの
F21V11/065	｛調整できるもの｝
F21V11/08	開口のある絞りを用いるもの
F21V11/10	アイリス型のもの
F21V11/12	スロット型のもの
F21V11/14	多くの小さな開口を持つもの
F21V11/16	穴のない板を用いるもの，例．固定されたもの
F21V11/18	可動のもの，例．フラップ，スライド
F21V11/183	｛回転するもの｝
F21V11/186	｛摺動するもの｝
F21V13/00	メイングループＦ２１Ｖ１／００〜Ｆ２１Ｖ１１／００までの２以上にわたる要素の組み合わせにより，光の特有な性質または配光を得るもの（要素を調整して配光を制御するものＦ２１Ｖ１４／００）
F21V13/02	２種類のみの要素の組み合わせ
F21V13/04	要素が反射器および屈折器であるもの｛（車両の後部灯用のものＦ２１Ｓ４３／４０）｝
F21V13/045	｛携帯用照明装置用のもの｝
F21V13/06	反射器が回転できるもの
F21V13/08	要素がフィルタまたはフォトルミネセンス要素および反射器であるもの
F21V13/10	要素が反射器およびスクリーンであるもの
F21V13/12	３種類のみの要素の組み合わせ
F21V13/14	要素がフィルタまたはフォトルミネセンス要素，反射器および屈折器であるもの
F21V14/00	要素を調整して配光を制御するもの（曲面を調整できる反射器Ｆ２１Ｖ７／１６；色または強度を制御する光フィルタ等Ｆ２１Ｖ９／４０；調整可能な平行な薄片または条片を用いるスクリーンＦ２１Ｖ１１／０４；アイリス型絞りを用いるスクリーンＦ２１Ｖ１１／１０；穴のない可動板を用いるスクリーンＦ２１Ｖ１１／１８；照明装置の調整可能な取付具Ｆ２１Ｖ２１／１４）
F21V14/003	｛電気的に制御された可変の光透過率で要素を挿入することによるもの，例．液晶素子またはエレクトロクロミック装置｝
F21V14/006	｛ローラーの周りに巻き上げられる光学要素，例．フィルム，フィルタまたはスクリーン，によるもの｝
F21V14/02	光源を動かすことによるもの｛（車両のヘッドランプ用のものＦ２１Ｓ４１／６５７）｝
F21V14/025	｛携帯用照明装置におけるもの｝
F21V14/04	反射器を動かすことによるもの｛（車両のヘッドランプ用のものＦ２１Ｓ４１／６７５）｝
F21V14/045	｛携帯用照明装置におけるもの｝
F21V14/06	屈折器を動かすことによるもの｛（車両のヘッドランプ用のものＦ２１Ｓ４１／６３５）｝
F21V14/065	｛携帯用照明装置におけるもの｝
F21V14/08	スクリーン｛またはフィルター｝を動かすことによるもの
F21V14/085	｛携帯用照明装置におけるもの｝
F21V15/00	照明装置の防護（熱的損傷からの防護Ｆ２１Ｖ２９／００；気密または水密装置Ｆ２１Ｖ３１／００）
F21V15/005	｛破壊，盗難または改変を防ぐ手段（Ｆ２１Ｖ１５／０２，Ｆ２１Ｖ１５／０４が優先）｝
F21V15/01	ハウジング，例．ハウジング部品の素材または組立（Ｆ２１Ｖ１５／０２が優先；｛サインや文字を形作るハウジングＧ０９Ｆ１３／０４｝）
F21V15/012	｛可変な形状や寸法をもつハウジング，例．弾性変形可能な材料によるものまたはハウジングボディの伸縮延長部を構成する部品が動くことによるもの｝
F21V15/013	｛ハウジングが押し出し成型品であるもの｝
F21V15/015	隣接する照明装置間の接続部を覆う装置；端部の覆い
F21V15/02	かご
F21V15/04	弾性体，例．衝撃緩衝体｛（車両のヘッドランプのハウジングの衝撃緩衝体装置Ｂ６０Ｑ１／０４９１；一般にＦ１６Ｆ１５／０４）｝
F21V17/00	照明装置の部品の固定，例．かさ，グローブ，屈折器，反射器，フィルター，スクリーン，グリッド，または保護かごの固定（光源またはライト・ホルダーの固定Ｆ２１Ｖ１９／００）
F21V17/002	｛交換のための備えがあるもの，例．同一の他の部品または異なる機能の部品への代替に特に適合する構成部品（Ｆ２１Ｖ１７／１０が優先）｝
F21V17/005	｛キー手段をもつもの，すなわち構成部品の特定位置での組み立てを可能にするためのもの，例．誤組み付けを防止するためのもの｝
F21V17/007	｛出荷または保管のための備えがあるもの｝
F21V17/02	調整できるもの（Ｆ２１Ｖ１７／０４〜Ｆ２１Ｖ１７／０８が優先）
F21V17/04	固定具が光源の上部または側部にあるもの
F21V17/06	固定具がランプホルダの上部または側部にあるもの
F21V17/08	照明装置の支持またはつり下げ装置への部品の固定，例．電源コード，支柱への部品の固定
F21V17/10	特に固定手段または方法に特徴のあるもの（Ｆ２１Ｖ１７／０２〜Ｆ２１Ｖ１７／０８が優先）
F21V17/101	｛永久的なもの，例．溶接，接着またはリベット締め｝
F21V17/102	｛重力または吸引を用いるもの｝
F21V17/104	｛摩擦の有無に関係なく，さねはね継手を用いるもの，例．舌部と溝部｝
F21V17/105	｛磁石を用いるもの｝
F21V17/107	｛ヒンジ継手を用いるもの｝
F21V17/108	｛面ファスナーを用いるもの｝
F21V17/12	ねじによるもの
F21V17/14	バヨネット結合によるもの
F21V17/16	部品の変形によるもの；スナップ
