G06G5/00	計算動作が流体圧素子により行なわれる装置（流体圧素子一般Ｆ１５Ｃ）
G06G7/00	計算動作が電気的または磁気的量を変化させることにより行われる装置
G06G7/02	グループＧ０６Ｇ７／０４からＧ０６Ｇ７／１０に包含されない細部｛例．観察，構造，保守｝
G06G7/04	入出力装置（グラフ読みとり装置Ｇ０６Ｋ１１／００；関数プロッタ，座標プロッタＧ０６Ｋ１５／２２｛Ｇ０９Ｇ３／００１｝）
G06G7/06	プログラム装置，例．計算機の機能ユニットの相互接続用プラグボード；デジタルプログラミング｛ハイブリッド計算機Ｇ０６Ｊ｝
G06G7/10	電源装置
G06G7/12	計算動作を行なう装置，例．演算増幅器（増幅器一般Ｈ０３Ｆ；｛遠隔測定用または測定結果の表示または記録用に適用されるものＧ０１Ｄ１／１０，Ｇ０１Ｄ１／１６；ファジィ演算用Ｇ０６Ｎ７／０２｝）
G06G7/122	最適化のためのもの，例．最小自乗法による適合法，線形計画法，クリティカルパス解析法，勾配法
G06G7/14	加算または減算用のもの（ベクトル量についてはＧ０６Ｇ７／２２）｛加算による平均の計算；差動増幅器Ｈ０３Ｆ３／４５｝
G06G7/16	乗算または除算用のもの｛Ｇ０６Ｇ７／１９，Ｇ０６Ｇ７／２４が優先，電力測定Ｇ０１Ｒ２１／００｝
G06G7/161	パルス変調によるもの，例．振幅，幅，周波数，位相または波形の変調によるもの｛パルス変調器Ｈ０３Ｋ７／００｝
G06G7/162	電流―磁気効果，例．ホール効果，を用いるもの；同様な磁気効果を用いるもの
G06G7/163	一方の入力信号によって制御される可変インピーダンス，可変増幅度または伝達関数を用いるもの｛Ｇ０６Ｇ７／１６１，Ｇ０６Ｇ７／１６２が優先｝
G06G7/164	べきの計算のための手段を用いるもの，例．１／４自乗差乗算器（べきの計算Ｇ０６Ｇ７／２０）
G06G7/18	積分または微分のためのもの；積分実施用（Ｇ０６Ｇ７／１９が優先）
G06G7/1806	｛時間以外の変数に関して｝
G06G7/1813	｛電気化学的素子を用いるもの，例．ソリオン｝
G06G7/182	磁気的構成要素を用いるもの
G06G7/184	容量性構成要素を用いるもの
G06G7/186	帰還回路中にコンデンサまたは抵抗を含む演算増幅器を用いるもの
G06G7/1865	｛初期状態設定を備えるもの｝
G06G7/188	電気機械構成要素を用いるもの
G06G7/19	積の積分をするためのもの，例．フーリエ積分，ラプラス積分，相関積分；直交関数を用いて関数の解析または合成をするためのもの（フーリエまたはスペクトル分析Ｇ０１Ｒ２３／１６；音声の分析または合成Ｇ１０Ｌ）
G06G7/1907	｛電荷転送素子を用いるもの｝
G06G7/1914	｛磁気媒体，線形フイルタを用いるもの｝
G06G7/1921	｛フーリエ積分，調和解析および合成を実施するためのもの（スペクトル解析Ｇ０１Ｒ２３／００；Ｇ０１Ｒ７／１９５(ＥＣＬＡ)，Ｇ０１Ｒ７／１９Ｃ(ＥＣＬＡ)が優先）｝
G06G7/1928	｛相関積分実施用；畳み込み積分実施用（Ｇ０６Ｇ７／１９５，Ｇ０６Ｇ７／１９０７およびＧ０６Ｇ７／１９１４が優先）｝
G06G7/1935	｛少なくとも一つの入力信号を２レベル信号に変換することによるもの，例．極性相関器｝
G06G7/1942	｛積に対するその他の積分実施用，例．直交関数，ラプラス，ラゲール，ウォルシュ，アダマール，ヒルバート（Ｇ０６Ｇ７／１９５，Ｇ０６Ｇ７／１９０７，Ｇ０６Ｇ７／１９１４が優先）｝
G06G7/195	電気音響構成要素を用いるもの
