E01D22/00	現存する橋を修理または強化する方法または装置　｛（電気化学的淡水化または再アルカリ化Ｃ０４Ｂ４１／００）；橋梁の解体方法または装置｝
E01D2101/00	橋の材料構成
E01D2101/10	木材
E01D2101/20	コンクリート，石または石状材料
E01D2101/22	煉瓦積み；煉瓦
E01D2101/24	コンクリート
E01D2101/26	補強されたもの
E01D2101/262	鋼繊維を有するもの
E01D2101/264	ガラス繊維を有するもの
E01D2101/266	鋼またはガラス以外の繊維を有するもの
E01D2101/268	コンクリートと金属の複合材料
E01D2101/28	プレストレスコンリート
E01D2101/285	プレストレスコンクリートと金属の複合材料
E01D2101/30	金属（Ｅ０１Ｄ２１０１／２６　が優先）
E01D2101/32	プレストレス金属
E01D2101/34	非鉄金属，例．アルミニウム
E01D2101/40	プラスチック
