B31B50/28	マンドレルをとり囲むもの，例．底を形成するためのもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／２８〜Ｂ３１Ｂ５０／３４はグループＢ３１Ｂ５０／２６からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/282	｛形成された箱のマンドレルからの引き剥がしを含むもの｝
B31B50/30	マンドレルが動くもの
B31B50/32	円形の径路上を動くもの
B31B50/322	｛マンドレルがホイールの周縁から放射状に延びるもの｝
B31B50/324	｛マンドレルがドラムの軸と平行であるもの｝
B31B50/326	｛マンドレルがホイールの周縁から接線状に延びるもの｝
B31B50/34	それ自身の軸のまわりに動くもの
B31B50/36	シート，ブランクまたはウエブを静止した部材，例．平板，鋤形部材または芯棒，に連続的に送りながら折りたたむもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／３６はグループＢ３１Ｂ５０／２６からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／３６もまたグループＢ３１Ｂ５０／３８，Ｂ３１Ｂ５０／４０およびＢ３１Ｂ５０／４２への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/38	その部材が成形用チューブであるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／３８，Ｂ３１Ｂ５０／４０およびＢ３１Ｂ５０／４２はグループＢ３１Ｂ５０／２６およびＢ３１Ｂ５０／３６からの文献の再分類が未完であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B31B50/40	内面に作用して形成するもの
B31B50/42	外面に作用して形成するもの
B31B50/44	折りたたみ用の型内を動くプランジャによるもの<br><br><u>警告</u><br><br>グループＢ３１Ｂ５０／４４はグループＢ３１Ｂ５０／２６，Ｂ３１Ｂ５０／５２およびＢ３１Ｂ５０／５４からの文献の再分類が未完であり保留されている。<br>グループＢ３１Ｂ５０／４４もまたグループＢ３１Ｂ５０／４４２およびＢ３１Ｂ５０／４４４への再分類への影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
