H01P1/2002	｛誘電体導波管フィルタ（Ｈ０１Ｐ１／２１２，Ｈ０１Ｐ１／２１３，Ｈ０１Ｐ１／２１５，Ｈ０１Ｐ１／２１９が優先）｝
H01P1/2005	
H01P1/2007	｛ネットワークまたはＤＣリターンをバイアスするフィルタ装置｝
H01P1/201	横電磁波用のフィルタ（Ｈ０１Ｐ１／２１２，Ｈ０１Ｐ１／２１３，　Ｈ０１Ｐ１／２１５，Ｈ０１Ｐ１／２１９が優先）｝
H01P1/2013	｛コプレナー線路フィルタ｝
H01P1/2016	｛スロットラインフィルタ；フィンラインフィルタ｝
H01P1/202	同軸フィルタ（縦続接続同軸空洞Ｈ０１Ｐ１／２０５）
H01P1/203	ストリップ線路フイルタ
H01P1/20309	｛誘電体共振器をもつもの｝
H01P1/20318	
H01P1/20327	｛クシ形またはインターディジタル形フィルタ｝
H01P1/20336	
H01P1/20345	
H01P1/20354	
H01P1/20363	
H01P1/20372	
H01P1/20381	
H01P1/2039	
H01P1/205	クシ形またはインターディジタル形フィルタ；縦続接続同軸空洞（Ｈ０１Ｐ１／２０３が優先）
H01P1/2053	｛同軸空洞共振器は互いに平行に配置される｝
H01P1/2056	｛誘電体ブロックに金属化共振器穴をもつクシ形またはインターディジタル形フィルタ｝
H01P1/207	中空導波管フィルタ（Ｈ０１Ｐ１／２１２，Ｈ０１Ｐ１／２１３，Ｈ０１Ｐ１／２１５，Ｈ０１Ｐ１／２１９が優先）
H01P1/208	縦続接続空胴；中空導波管構造の内部に設けた縦続接続共振器（Ｈ０１Ｐ１／２０５が優先）
H01P1/2082	｛マルチモード共振器をもつもの（Ｈ０１Ｐ１／２０８６が優先）｝
H01P1/2084	｛誘電体共振器をもつもの｝
H01P1/2086	｛マルチモード｝
H01P1/2088	
H01P1/209	主たる導波管の外側に設けた１個以上の分岐腕または空胴からなるもの
H01P1/211	ワッフルーアイアンフイルタ；コルゲート構造
H01P1/212	高調波周波数を抑制または減衰するもの（Ｈ０１Ｐ１／２１５が優先）
H01P1/213	２以上の異なる周波数を合波または分波するもの（Ｈ０１Ｐ１／２１５が優先）
H01P1/2131	｛組合せまたは分離する偏波をもつもの｝
H01P1/2133	｛同軸フィルタを用いるもの（Ｈ０１Ｐ１／２１３１，Ｈ０１Ｐ１／２１３６が優先）｝
H01P1/2135	｛ストリップ線路フィルタを用いるもの（Ｈ０１Ｐ１／２１３１が優先）｝
H01P1/2136	｛クシ形またはインターディジタル形フィルタを用いるもの；縦続接続同軸空洞（Ｈ０１Ｐ１／２１３１，Ｈ０１Ｐ１／２１３５が優先）｝
H01P1/2138	｛中空導波管フィルタを用いるもの（Ｈ０１Ｐ１／２１３１が優先）｝
H01P1/215	強磁性体材料を用いるもの
H01P1/217	共振器中で同調素子として作用する強磁性体材料
H01P1/218	周波数選択結合素子として作用する強磁性体材料，例．ＹＩＧフイルタ
H01P1/219	減衰モードフイルタ
H01P1/22	減衰装置（損失のある終端装置Ｈ０１Ｐ１／２６）
