G11C5/00	Ｇ１１Ｃ１１／００に分類される記憶装置の細部
G11C11/4085	｛ワード線制御回路，例．ワード線ドライバ，?ブースタ，?プルアップ，?プルダウン，?プリチャージ｝
G11C11/4087	｛アドレスデコーダ，例．ビット?またはワード線デコーダ；多重線デコーダ｝
G11C11/409	読出し―書込み（Ｒ―Ｗ）回路
G11C11/4091	センスまたはセンス／リフレッシュ増幅器，または関連検知回路構成，例．ビット線対のプリチャージ，等化，または分離用のもの
G11C11/4093	入出力（Ｉ／Ｏ）データインターフェイス装置，例．データバッファ（レベル変換回路一般Ｈ０３Ｋ１９／０１７５）
G11C11/4094	ビット線管理または制御回路
G11C11/4096	入出力（Ｉ／Ｏ）データ管理または制御回路，例．読出しまたは書込み回路，Ｉ／Ｏドライバ，ビット線スイッチ
G11C11/4097	ビット線編成，例．ビット線レイアウト，折返しビット線
G11C11/4099	ダミーセル処理；基準電圧発生器
G11C11/41	整列しているスタティックセルで正帰還を有するもの，すなわちリフレッシングや電荷再生を必要としないセル，例．双安定マルチバイブレータまたはシュミットトリガ
G11C11/411	バイポーラトランジスタのみを用いるもの
G11C11/4113	｛少なくとも１個の上記トランジスタのベースまたはコレクタへの少なくとも１つのセルアクセスを有するもの，例．アクセスダイオード，アクセストランジスタによるもの｝
G11C11/4116	｛上記トランジスタの別々に接続されたエミッタによるか，または複数のエミッタによる少なくとも１つのセルアクセスを有するもの，例．Ｔ２Ｌ，ＥＣＬ｝
G11C11/412	電界効果トランジスタのみを用いるもの（潜像メモリＧ１１Ｃ７／２０；マルチポートセルＧ１１Ｃ８／００Ｍ(ＥＣＬＡ)）
G11C11/4125	｛情報の喪失に対する保護のための回路手段を取り入れたセル（一般Ｇ１１Ｃ５／００５）｝
G11C11/413	補助回路，例．アドレス指定，デコード，駆動，書込み，検知，タイミングおよび低電力化用（一般Ｇ１１Ｃ５／００?Ｇ１１Ｃ８／００）
G11C11/414	バイポーラ型のメモリセル用
G11C11/415	アドレス回路
G11C11/416	読出し―書込み回路
G11C11/417	電界効果型のメモリセル用
G11C11/418	アドレス回路
G11C11/419	読出し―書込み回路
G11C11/42	オプト―エレクトロニクス装置，すなわち電気的または光学的に帰還結合された発光および光電装置を用いるもの
G11C11/44	超電導素子，例．クライオトロン，を用いるもの（そのような素子を使用したパルス発生器Ｈ０３Ｋ３／３８；カウンタＨ０３Ｋ２３／００１）
G11C11/46	熱可塑性素子を用いるもの
G11C11/48	相互または自己インダクタンスを異なる状態の間で変化させるための移動可能な結合素子，例．強磁性コア，を用いるもの　｛文献を含まず；Ｇ１１Ｃ１７／００およびサブグループを参照｝
G11C11/50	電気接点を作動して情報を記憶するもの（機械的な記憶装置Ｇ１１Ｃ２３／００；操作部分の単一の手動操作によってある選択された数の連続的な接点動作を生じるスイッチＨ０１Ｈ４１／００）
G11C11/52	電磁リレーを用いるもの
G11C11/54	生物細胞，例．神経細胞（ニューロン），をシミュレーションした素子を用いるもの
G11C11/56	ステップによって表わされる３以上の安定状態を有する記憶素子を用いるもの，例．電圧によるもの，電流によるもの，位相によるもの，周波数によるもの（このタイプの多安定素子で構成される計数装置Ｈ０３Ｋ２５／００，Ｈ０３Ｋ２９／００）
G11C11/5607	｛磁気記憶素子を使用するもの｝
G11C11/5614	｛伝導性ブリッジＲＡＭまたはプログラム可能な金属化合物セルを使用するもの｝
G11C11/5621	｛浮遊ゲートにおいて電荷蓄積を使用するもの｝
G11C11/5628	｛プログラミングまたは書込み回路；データ入力回路｝
G11C11/5635	｛消去回路｝
