A63F1/00	カードゲーム
A63F2003/00561	
A63F2003/00564	
A63F2003/00567	
A63F2003/0057	
A63F3/00574	
A63F2003/00577	
A63F2003/0058	
A63F2003/00583	
A63F2003/00586	
A63F2003/00589	
A63F2003/00593	
A63F2003/00596	
A63F2003/00599	
A63F2003/00602	
A63F2003/00605	
A63F2003/00608	
A63F2003/00611	
A63F2003/00615	
A63F2003/00618	
A63F2003/00621	
A63F2003/00624	
A63F2003/00627	
A63F2003/0063	
A63F3/00634	
A63F2003/00637	
A63F2003/0064	
A63F3/00643	｛電気的のもの（電気的単語または数字ゲームＡ６３Ｆ３／０４２１；電気的富くじゲームＡ６３Ｆ３／０８１）｝
A63F2003/00646	
A63F2003/00649	
A63F2003/00652	
A63F2003/00656	
A63F2003/00659	
A63F2003/00662	電気的の戦争ゲーム
A63F2003/00665	
A63F2003/00668	
A63F2003/00671	
A63F2003/00675	
A63F2003/00678	
A63F2003/00681	
A63F2003/00684	
A63F2003/00687	
A63F2003/0069	
A63F3/00694	｛磁気的盤上ゲーム（Ａ６３Ｆ３／０２Ｍ(ＥＣＬＡ)が優先；他の磁気的盤上ゲームＡ６３Ｆ９／００Ｍ(ＥＣＬＡ)）｝
A63F3/00697	
A63F2003/007	ゲーム盤の特性
A63F2003/00703	
A63F2003/00706	
A63F2003/00709	
A63F2003/00712	
A63F2003/00716	
A63F2003/00719	
A63F2003/00722	
A63F2003/00725	
A63F2003/00728	
A63F2003/00731	
A63F2003/00735	
A63F2003/00738	
A63F2003/00741	
A63F2003/00744	
A63F2003/00747	
A63F2003/0075	
A63F2003/00753	
A63F2003/00757	
A63F2003/0076	
A63F2003/00763	
A63F2003/00766	
A63F2003/00769	
A63F2003/00772	
A63F2003/00776	
A63F2003/00779	
A63F2003/00782	
A63F2003/00785	
A63F2003/00788	
A63F2003/00791	
A63F2003/00794	
A63F2003/00798	
A63F2003/00801	
A63F2003/00804	
A63F2003/00807	
A63F2003/0081	
A63F2003/00813	
A63F2003/00817	
A63F2003/0082	
A63F2003/00823	
A63F2003/00826	
A63F2003/00829	
A63F2003/00832	
A63F2003/00835	
A63F2003/00839	
A63F2003/00842	
A63F2003/00845	
A63F2003/00848	
A63F2003/00851	
A63F2003/00854	
A63F2003/00858	
A63F2003/00861	
A63F2003/00864	
A63F2003/00867	
A63F2003/0087	
A63F2003/00873	
A63F2003/00876	
A63F2003/0088	
A63F2003/00883	
A63F2003/00886	
A63F2003/00889	
A63F2003/00892	
A63F3/00895	｛盤上ゲームのための付属品（Ａ６３Ｆ３／０２Ｐ(ＥＣＬＡ)，Ａ６３Ｆ３／０２Ｑ(ＥＣＬＡ)が優先；別に提供されていないその他の付属品Ａ６３Ｆ９／００Ｑ(ＥＣＬＡ)）｝
A63F2003/00899	遊戯小片のハンドル用機器
A63F2003/00902	粘着材
A63F2003/00905	吸着盤を有するもの
A63F2003/00908	クランプ手段を有するもの
A63F2003/00911	ホックまたは鳩目を有するもの
A63F2003/00914	フォーク
A63F2003/00917	ピンと孔を有するもの
A63F2003/00921	スナップ嵌合
A63F2003/00924	ねじ結合
