A63F1/00	カードゲーム
A63F2009/0457	４２面を持ったもの
A63F2009/0459	４９面を持ったもの
A63F2009/0462	５０面を持ったもの
A63F2009/0464	不規則な
A63F2009/0466	
A63F9/0468	｛電子さいころシミュレータ｝
A63F2009/0471	異なる色を有するもの
A63F2009/0473	さいころの異なった面に
A63F2009/0475	２色以上の色を有するもの
A63F2009/0477	異なった色からなるダイスのグループを有するもの
A63F2009/0479	３つ以上のグループを有するもの
A63F2009/0482	回転するさいころ用のガイドを有するもの
A63F2009/0484	絵または形象を有するもの
A63F2009/0486	シンボルを有するもの，例．遊戯用の指示表示
A63F2009/0488	
A63F2009/0491	交換できるまたは置き換えできる挿入具を有するもの
A63F2009/0493	内部に他のさいころを有するもの
A63F9/0495	収納手段，例．適合した箱
A63F2009/0497	
A63F9/06	ひとり遊びトランプ；その他のひとり遊びゲーム（小容器内で振り回すボールゲームＡ６３Ｆ７／０４；　｛パズル錠Ｅ０５Ｂ３７／２０｝）
A63F9/0601	動物用のもの
A63F9/0602	単一の遊技者に適応するひとり遊びゲーム
A63F9/0604	色に使用に基づくもの
A63F2009/0605	色理論に関するもの
A63F2009/0606	補色
A63F2009/0608	色の混合
A63F2009/0609	不可視光線の波長を使用するもの
A63F9/0611	多数の遊技者に適応するひとり遊びゲーム
A63F9/0612	電子パズル
A63F9/0613	｛光学フィルタまたは素子の使用に基づいたパズルまたはゲーム，例．カラーフィルタ，ポラロイドフィルタ，不透明部のある透明なシート（光学，カラーまたは陰影玩具Ａ６３Ｈ３３／２２）｝
A63F2009/0615	透明のもの
A63F2009/0616	色を有するもの
A63F2009/0618	遮蔽に使用されるもの，例．同色で不可視な物体を作成するためのもの
A63F2009/0619	不透明な部材を有するもの
A63F2009/062	重なるもの
A63F2009/0622	照準具
A63F2009/0623	鏡を有するもの
A63F2009/0625	全内面反射を使用するもの，例．プリズム内の
A63F2009/0626	潜望鏡
A63F2009/0627	部分的に透明なもの
A63F2009/0629	レンズまたは他の光学的屈折率素子を有するもの
A63F2009/063	光学素子意外の屈折を生じるレンズ，例．プリズム
A63F2009/0631	双眼鏡
A63F2009/0633	フレネルレンズ
A63F2009/0634	拡大鏡
A63F2009/0636	望遠鏡
A63F2009/0637	光ファイバー
A63F2009/0638	ポラロイドフィルター
A63F2009/064	不透明，例．目隠し，視界を妨げるもの
A63F9/0641	描画用マーカーまたは手段を使用するもの，例．ペン，鉛筆，チョーク
A63F2009/0643	消去可能
A63F2009/0644	黒板または石板
A63F2009/0645	フェルトペン消去用のもの
A63F2009/0647	濡れまたは湿った布またはスポンジを使用するもの
A63F2009/0648	ゴムを使用するもの
A63F2009/065	摺動機構を使用するもの
A63F2009/0651	コピー手段を有するもの
A63F2009/0652	カーボン紙を使用するもの
A63F2009/0654	デカルコマニア
A63F2009/0655	レリーフ面からのコピー，例．コイン
A63F2009/0656	スタンプを使用するもの
A63F2009/0658	マーキングポイント
A63F2009/0659	線を引くためのもの
A63F2009/0661	描画するもの
A63F2009/0662	塗装するもの
A63F2009/0663	金型を使用するもの
A63F2009/0665	複数のマーカーを使用するもの，例．違った色の
A63F9/0666	基本形状を対応する孔に調和すること
A63F2009/0668	孔を通して降下または押されるもの
A63F9/0669	モザイク細工のもの
A63F2009/067	特定の形態のタイルを使用するもの
A63F2009/0672	矢印形のもの，Ｖ字形のもの
A63F2009/0673	円形のもの
A63F2009/0675	弧のもの
A63F2009/0676	扇形のもの
A63F2009/0677	弧，扇，または形弓以外の円の一環
A63F2009/0679	楕円形のもの，だ円形のもの
A63F2009/068	六角形のもの
A63F2009/0681	五角形のもの
A63F2009/0683	四角形のもの
A63F2009/0684	平行四辺形のもの
A63F2009/0686	ひし形のもの
A63F2009/0687	長方形のもの
A63F2009/0688	正方形のもの
A63F2009/069	四角形のもの
A63F2009/0691	凧
A63F2009/0693	星形のもの
A63F2009/0694	三角形のもの
A63F2009/0695	異なったタイルを使用するもの
A63F2009/0697	
A63F2009/0698	
A63F9/08	互いに，関連して移動できる要素片を有するパズル｛すなわち，動かせて接続されたもの｝
A63F9/0803	｛スライド可能または回転可能な部材または部材群を有する２次元パズル，主配列は変わらず残っているもの｝
A63F9/0807	
A63F9/0811	｛回転可能な同心円状リングまたはディスクを有するもの（Ａ６３Ｆ９／０８３が優先）｝
A63F2009/0815	回転，積上げ要素を有するもの，例．曲線または円形の外側面パズルイメージを有する要素
A63F9/0819	｛回転可能な非同心円状ディスクを有するもの，例．ギアゲーム｝
A63F9/0823	｛交換可能な部材をもつ重複した円をもつもの｝
A63F9/0826	｛滑動可能または回転可能な部材または部材群を有する３次元パズル，主配列は変わらず残っているもの，例．ルービックキューブ（ちょうど一つの軸に対して回転可能な部材，例．円筒のように積み重ねられたディスクＡ６３Ｆ９／０８１１）｝
A63F9/083	｛空き位置を必要とするもの｝
A63F9/0834	只の２層からなるもの，例．８要素を有するもの
A63F9/0838	少なくとも３つの軸がの交差する位置の回りに回転可能なクモ状およびグループ要素を中心に保有する機能を持つ常時中心位置に留まっている要素，例．不可視のコア，を有するもの
A63F9/0842	各グループは両端部が３つの直交軸に回転可能な中心要素と複数の付加的要素とから構成され，付加的要素は少なくとも２つの軸の回りで回転可能である，例．ルービックキューブ
A63F2009/0846	パズルの形状によ特徴のあるもの
A63F2009/0849	１２角形のもの
A63F2009/0853	２０面体のもの
A63F9/0857	可視の中心体，例．溝の中のヘッド，にスライド可能なように接続された要素を有すもの
A63F9/0861	隣接要素，例．内部が中空なもの，にスライド可能なように接続された要素を有するもの
A63F9/0865	デザインのみを特徴とする中心本体に回転可能に接続されている複数の単一要素を有するもの，例．形，色または記号の使用
A63F9/0869	１点，例．ロイダル状，で交差しない少なくとも３つの軸の回りに回転可能な要素グループを有するもの
A63F9/0873	内部の球体に関して回転可能な球体
A63F9/0876	｛曲げワイヤまたはコードパズル｝
A63F9/088	｛紐体，ガットまたは蝶番で結合される部材を有するパズル，例．ルービック手品｝
A63F2009/0884	構成に静止または固定用の手段を有するもの，例．解決法
A63F2009/0888	戻り止めを使用するもの
A63F2009/0892	最終的な空所の付加的な要素を有するもの
A63F2009/0896	メビウスの輪
A63F9/10	平面的嵌め合せ絵
A63F2009/1005	両サイドにイメージを有するもの
A63F9/1011	｛個々の部分を表現した小片を用いた表面の組成物｝
A63F2009/1016	追加接続部を有する小片
A63F2009/1022	展示ボードに
A63F2009/1027	粘着性
A63F2009/1033	磁気のもの
A63F2009/1038	マジックテープを有するもの
A63F9/1044	｛表示ボード｝
A63F2009/105	中断されたゲームの保存と輸送ための準備を有するのもの
A63F2009/1055	弾性的に挟まれたもの
A63F2009/1061	電気的特徴，例．ライト，針金
A63F2009/1066	正しく解かれたときに完成する回路
A63F2009/1072	製造
A63F2009/1077	レリーフ構造を持つ表面を有するもの
A63F2009/1083	お互いの表面上に複数の層を有するもの
A63F2009/1088	２層のもの
A63F2009/1094	非平面状
A63F9/12	立体的嵌め合せ絵
A63F9/1204	｛非連動の同一ブロックで構成されるパズル，例．子供のブロックパズル｝
A63F9/1208	パズル要素間の接続
A63F2009/1212	
A63F2009/1216	
A63F2009/122	
A63F2009/1224	さらなる接続要素または接続手段を使用するもの
A63F2009/1228	スライド可能なように接続されたもの
A63F2009/1232	ダブ・テール
A63F2009/1236	箱または容器に入れられた最終的構成，例．解答
A63F2009/124	
A63F2009/1244	
A63F2009/1248	完成後の家または他の建築物を表すもの
A63F9/1252	木釘，ピン，棒または合わせくぎをパズル要素として使用するもの
A63F2009/1256	複数の止め釘を有するもの
A63F2009/126	くいの構造または配置
A63F2009/1264	平行のみ
A63F2009/1268	互いに角度をつける，例．３次元に直角なもの
A63F2009/1272	３次元に直角以外の角度を形成する
A63F2009/1276	異なった長さに特徴のあるもの
A63F2009/128	Ｖ　字型の刻み目を有するもの
A63F2009/1284	スクリュー要素，例．例．ナット
A63F9/1288	彫刻パズル
A63F2009/1292	積み重ね可能な要素よって形成されたもの
A63F2009/1296	
A63F9/14	遊戯者の動作によって動かされ形象に特徴のある，競争ゲーム，交通ゲーム，または障害物ゲーム（さいころを用いるゲームＡ６３Ｆ３／００）
A63F9/143	｛電気的のもの｝
A63F2009/146	馬または騎手の特徴，例．脚が動くもの
A63F9/16	回転こまゲーム
A63F2009/165	不規則な発電機としてこまを使用するもの
A63F9/18	解答つき質問ゲーム
A63F9/181	｛占いゲーム｝
A63F9/183	｛電気的のもの｝
A63F2009/185	回答が正解であると電気回路を閉じるもの
A63F2009/186	謎解きゲーム
A63F2009/188	詳細な質問，例．難易度が上がるもの
A63F9/20	ドミノゲームまたはそれに類似するゲーム；麻雀ゲーム
A63F2009/205	麻雀ゲーム
A63F9/24	他に分類されない電子回路を用いるゲーム　｛ゲーム遊戯それ自体のためのコンピュータＧ０６Ｆ１９／００Ｂ(ＥＣＬＡ)参照｝
A63F2009/2401	
A63F2009/2402	
A63F2009/2404	
A63F2009/2405	
A63F2009/2407	
A63F2009/2408	
A63F2009/241	
A63F2009/2411	
A63F2009/2413	
A63F2009/2414	
A63F2009/2416	
A63F2009/2417	
A63F2009/2419	
A63F2009/242	
A63F2009/2422	
A63F2009/2423	
A63F2009/2425	
A63F2009/2426	
A63F2009/2427	
A63F2009/2429	
A63F2009/243	
A63F2009/2432	
A63F2009/2433	
A63F2009/2435	
A63F2009/2436	
A63F2009/2438	
A63F2009/2439	
A63F2009/2441	
A63F2009/2442	
A63F2009/2444	
A63F2009/2445	
A63F2009/2447	
A63F2009/2448	出力装置
A63F2009/245	可視なもの
A63F2009/2451	ランプ
A63F2009/2452	
A63F2009/2454	
A63F2009/2455	プリンタ
A63F2009/2457	スクリーン
A63F2009/2458	液晶表示装置
A63F2009/246	コンピュータによって生成または合成されたイメージ
A63F2009/2461	
A63F2009/2463	
A63F2009/2464	
A63F2009/2466	
A63F2009/2467	
A63F2009/2469	
A63F2009/247	聞き取れるもの，例．拡声器を使用
A63F2009/2472	ブザー，呼び出し音または電鈴
A63F2009/2473	走行エンジンを模倣する装置
A63F2009/2475	ヘッドホーン
A63F2009/2476	音声または声の合成装置，例．音声チップの使用
A63F2009/2477	音質発生装置，発振器
A63F2009/2479	磁気のもの
A63F2009/248	
A63F2009/2482	
A63F2009/2483	
A63F2009/2485	
A63F2009/2486	
A63F2009/2488	
A63F2009/2489	
A63F2009/2491	
A63F2009/2492	
A63F2009/2494	
A63F2009/2495	
A63F2009/2497	
A63F2009/2498	
A63F9/26	バランスをとるゲーム，すなわち，もののバランスをとったり，または，くずしたりするゲーム
A63F9/28	倒れる要素を有する連鎖反応ゲーム，そのための分配，または配置装置
A63F9/30	対象物をひっかける，または閉じこめる捕獲ゲーム，例．釣りゲーム
A63F9/305	
A63F9/32	長い棒の束を使うゲーム，例．ミカド（９／３０が優先）
A63F9/34	グループ９／００の他のサブグループに分類されない，磁石で動く，または保持する小片を使うゲーム
A63F2009/345	
A63F11/00	一般的な用途のあるゲーム付属品<br>特定の種類のゲームだけに特に適用されるゲーム付属品は，その特定のゲームが分類されているグループ１／００〜９／００のいずれかに分類される。
A63F11/0002	
A63F2011/0004	
A63F2011/0006	
A63F2011/0009	
A63F11/0011	
A63F2011/0013	
A63F2011/0016	
A63F2011/0018	
A63F2011/002	
A63F2011/0023	
A63F11/0025	
A63F2011/0027	
A63F2011/003	
A63F2011/0032	
A63F2011/0034	
A63F2011/0037	
A63F2011/0039	
A63F2011/0041	
A63F2011/0044	
A63F2011/0046	
A63F2011/0048	
A63F11/0051	
A63F2011/0053	
A63F2011/0055	
A63F2011/0058	
A63F2011/006	
A63F2011/0062	
A63F2011/0065	
A63F2011/0067	
A63F2011/0069	
A63F2011/0072	
A63F11/0074	
A63F2011/0076	
A63F2011/0079	
A63F2011/0081	
A63F2011/0083	
A63F2011/0086	
A63F2011/0088	
A63F2011/009	
A63F2011/0093	
A63F2011/0095	
A63F2011/0097	
A63F13/00	２次元以上の表示ができるディスプレイを用いた電子ゲーム，例．テレビ画面を用いるゲーム（電気回路については，当該のサブクラスを参照のこと）
A63F13/20	
A63F13/21	
A63F13/211	
A63F13/212	
A63F13/213	
A63F13/214	
A63F13/2145	
A63F13/215	
A63F13/216	
A63F13/217	
A63F13/218	
A63F13/219	
A63F13/22	
A63F13/23	
A63F13/235	
A63F13/24	
A63F13/245	
A63F13/25	
A63F13/26	
A63F13/27	
A63F13/28	
A63F13/285	
A63F13/30	
A63F13/31	
A63F13/32	
A63F13/323	
A63F13/327	
A63F13/33	
A63F13/332	
A63F13/335	
A63F13/338	
A63F13/34	
A63F13/35	
A63F13/352	
A63F13/355	
A63F13/358	
A63F13/40	
A63F13/42	
A63F13/422	
A63F13/424	
A63F13/426	
A63F13/428	
A63F13/44	
A63F13/45	
A63F13/46	
A63F13/47	
A63F13/48	
A63F13/49	
A63F13/493	
A63F13/497	
A63F13/50	
A63F13/52	
A63F13/525	
A63F13/5252	
A63F13/5255	
A63F13/5258	
A63F13/53	
A63F13/533	
A63F13/537	
A63F13/5372	
A63F13/5375	
A63F13/5378	
A63F13/54	
A63F13/55	
A63F13/56	
A63F13/57	
A63F13/573	
A63F13/577	
A63F13/58	
A63F13/60	
A63F13/61	
A63F13/63	
A63F13/65	
A63F13/655	
A63F13/67	
A63F13/69	
A63F13/70	
A63F13/71	
A63F13/73	
A63F13/75	
A63F13/77	
A63F13/79	
A63F13/792	
A63F13/795	
A63F13/798	
A63F13/80	
A63F13/803	
A63F13/807	
A63F13/812	
A63F13/814	
A63F13/816	
A63F13/818	
A63F13/822	
A63F13/825	
A63F13/828	
A63F13/833	
A63F13/837	
A63F13/843	
A63F13/847	
A63F13/85	
A63F13/86	
A63F13/87	
A63F13/88	
A63F13/90	
A63F13/92	
A63F13/95	
A63F13/98	
A63F2250/00	
A63F2250/02	
A63F2250/021	
A63F2250/022	
A63F2250/024	
A63F2250/025	
A63F2250/027	
A63F2250/028	
A63F2250/04	
A63F2250/0407	
A63F2250/0414	
A63F2250/0421	
A63F2250/0428	
A63F2250/0435	
A63F2250/0442	
A63F2250/045	
A63F2250/0457	
A63F2250/0464	
A63F2250/0471	
A63F2250/0478	
A63F2250/0485	
A63F2250/0492	
A63F2250/05	
A63F2250/06	
A63F2250/063	
A63F2250/066	
A63F2250/08	
A63F2250/09	
A63F2250/10	
A63F2250/1005	
A63F2250/101	
A63F2250/1015	
A63F2250/1021	
A63F2250/1026	
A63F2250/1031	
A63F2250/1036	
A63F2250/1042	
A63F2250/1047	
A63F2250/1052	
A63F2250/1057	
A63F2250/1063	
A63F2250/1068	
A63F2250/1073	
A63F2250/1078	
A63F2250/1084	
A63F2250/1089	
A63F2250/1094	
A63F2250/11	
A63F2250/115	
A63F2250/12	
A63F2250/121	
A63F2250/122	
A63F2250/124	
A63F2250/125	
A63F2250/127	
A63F2250/128	
A63F2250/13	
A63F2250/133	
A63F2250/136	
A63F2250/14	
A63F2250/142	
A63F2250/144	
A63F2250/146	
A63F2250/148	
A63F2250/16	
A63F2250/162	
A63F2250/164	
A63F2250/166	
A63F2250/168	
A63F2250/18	
A63F2250/183	
A63F2250/186	
A63F2250/20	
A63F2250/202	
A63F2250/205	
A63F2250/207	
A63F2250/21	
A63F2250/215	
A63F2250/22	
A63F2250/24	
A63F2250/245	
A63F2250/26	
A63F2250/265	
A63F2250/28	
A63F2250/282	
A63F2250/285	
A63F2250/287	
A63F2250/30	
A63F2250/302	
A63F2250/305	
A63F2250/307	
A63F2250/32	
A63F2250/323	
A63F2250/326	
A63F2250/34	
A63F2250/36	
A63F2250/38	
A63F2250/42	
A63F2250/423	
A63F2250/426	
A63F2250/48	
A63F2250/481	
A63F2250/482	
A63F2250/483	
A63F2250/484	
A63F2250/485	
A63F2250/486	
A63F2250/487	
A63F2250/488	
A63F2250/489	
A63F2250/49	
A63F2250/491	
A63F2250/492	
A63F2250/494	
A63F2250/495	
A63F2250/497	
A63F2250/498	
A63F2250/50	
A63F2250/505	
A63F2250/52	
A63F2250/54	
A63F2250/58	
A63F2250/60	
A63F2250/601	
A63F2250/602	
A63F2250/603	
A63F2250/604	
A63F2250/605	
A63F2250/606	
A63F2250/609	
A63F2250/64	
A63F2250/645	
A63F2300/00	ゲームに関連する描写を上映する２次元以上，例．テレビ画面，の電子的に生成された表示部を使用するゲームの特徴
A63F2300/10	入力手段の詳細
A63F2300/1006	さらなる自由度を有する
A63F2300/1012	バイオセンサー，例．心拍や四肢の動きの測定用，を含むもの
A63F2300/1018	目盛；キーとボタンの割り当て
A63F2300/1025	入力手段とプラットフォーム間の接続，すなわち．電気的な見地
A63F2300/1031	
A63F2300/1037	プラットフォームにより制御情報を受信するもの，例．フォース・フィードバック
A63F2300/1043	機械的な特徴，人間工学的な特徴
A63F2300/105	
A63F2300/1056	
A63F2300/1062	ゲームの特定な入力手段，例．運転ハンドル
A63F2300/1068	
A63F2300/1075	
A63F2300/1081	音声認識を介しての入力
A63F2300/1087	
A63F2300/1093	
A63F2300/20	ゲームプラットフォームの詳細に特徴のあるもの
A63F2300/201	プラットフォームレベルに与えられた遊戯権限
A63F2300/202	
A63F2300/203	イメージを生成するハードウエアで
A63F2300/204	プラットフォームが手動操作機器であるもの
A63F2300/205	
A63F2300/206	ゲーム情報記録，例．カートリッジ，ＣＤ−ＲＯＭ，ＤＶＤ，スマートカード
A63F2300/207	
A63F2300/208	
A63F2300/209	音を処理するハードウエア
A63F2300/30	出力情報の詳細に特徴のあるもの
A63F2300/301	
A63F2300/302	遊技者以外の表示部または入力手段によって提供されるフィードバック，例．運転席の振動
A63F2300/303	画面指示器上に，例．位置または状態のためのもの
A63F2300/305	
A63F2300/306	
A63F2300/307	
A63F2300/308	ユーザインタフェース細部
A63F2300/40	プラットフォームのネットワークに特徴のあるもの
A63F2300/401	安全な通信，例．暗号化または認証の使用
A63F2300/402	プラットフォーム間の通信，すなわち．プロトコルに物理的結合
A63F2300/403	プラットフォームと握り装置間の接続
A63F2300/404	端末に読み込むためのシステムまたは方法
A63F2300/405	
A63F2300/406	ワイヤレスネットワークを介して発信するもの，例．ポケットベルまたはＧＳＭ
A63F2300/407	インターネットを介してのデータ転送
A63F2300/408	ピアツーピア接続
A63F2300/409	テレビジョン・ネットワークを介してのデータ転送
A63F2300/50	
A63F2300/51	
A63F2300/513	
A63F2300/516	
A63F2300/53	
A63F2300/531	
A63F2300/532	
A63F2300/534	
A63F2300/535	
A63F2300/537	
A63F2300/538	
A63F2300/55	
A63F2300/5506	
A63F2300/5513	
A63F2300/552	
A63F2300/5526	
A63F2300/5533	
A63F2300/554	
A63F2300/5546	
A63F2300/5553	
A63F2300/556	
A63F2300/5566	
A63F2300/5573	
A63F2300/558	
A63F2300/5586	
A63F2300/5593	
A63F2300/57	
A63F2300/572	
A63F2300/575	
A63F2300/577	
A63F2300/60	実施の詳細部に特徴のあるもの
A63F2300/6009	
A63F2300/6018	
A63F2300/6027	
A63F2300/6036	
A63F2300/6045	
A63F2300/6054	
A63F2300/6063	
A63F2300/6072	
A63F2300/6081	
A63F2300/609	
A63F2300/61	得点の計算
A63F2300/63	ゲーム制御の時間的見地
A63F2300/632	ストーリーの分岐を含むもの
A63F2300/634	
A63F2300/636	ゲームの開始または再開の工程を含むもの
A63F2300/638	操作のタイミング
A63F2300/64	動的モデル；文字以外の対象物の位置計算，例．車体
A63F2300/643	
A63F2300/646	
A63F2300/65	ゲーム文字の状態，例．物理的または知的な力
A63F2300/66	グラフィカル見地
A63F2300/6607	ゲームキャラクタのアニメーション
A63F2300/6615	
A63F2300/6623	
A63F2300/663	
A63F2300/6638	
A63F2300/6646	
A63F2300/6653	
A63F2300/6661	観点を置くこと
A63F2300/6669	
A63F2300/6676	
A63F2300/6684	
A63F2300/6692	
A63F2300/69	ゲームの世界における現実の世界，例．ライブレースまたは現実のビデオ，を含むもの
A63F2300/695	輸入された写真，例．遊技者の
A63F2300/80	ゲームの種類に特徴のあるもの
A63F2300/8005	運動競技
A63F2300/8011	ボール
A63F2300/8017	陸地または水上の運転；飛行
A63F2300/8023	
A63F2300/8029	発砲なしの格闘技
A63F2300/8035	
A63F2300/8041	スキー，スケートまたはボードを利用したスケート
A63F2300/8047	音楽ゲーム
A63F2300/8052	
A63F2300/8058	仮想飼育，例．たまごっち
A63F2300/8064	
A63F2300/807	ロールプレイニングまたは戦略ゲーム
A63F2300/8076	射撃
A63F2300/8082	仮想現実
A63F2300/8088	
A63F2300/8094	
