B67B   7/12  \	1	1	3E081	B67B   7/12	244	円盤状閉鎖具を取り外すためのもの	for removing disc-closures
B67B   7/14  \	1	1	3E081	B67B   7/14	98	ぴったり閉まった蓋またはカバー，例．くつ磨き用缶の，をつかんでまわすことによって取り外すためのもの	for removing tightly-fitting lids or covers, e.g. of shoe-polish tins, by gripping and rotating
B67B   7/15  \	2	2	3E081	B67B   7/15	3	フィンガ部でつかむタイプのもの［５］	finger grapple type [5]
B67B   7/16  \	1	1	3E081	B67B   7/16	1250	フランジ付きキャップ，例．王冠，を取り外すためのもの	for removing flanged caps, e.g. crown caps
B67B   7/18  \	1	1	3E081	B67B   7/18	693	ねじキャップを取り外すためのもの（Ｂ６７Ｂ７／１４が優先，レンチＢ２５Ｂ１３／００）［２］	for removing threaded caps (B67B 7/14 takes precedence; wrenches B25B 13/00) [2]
B67B   7/20  \	1	1	3E081	B67B   7/20	9	保存用広口びんの本体と蓋またはカバーとの間の真空シールを破るためのもの，例．くさび作用によるもの	for breaking vacuum seals between lids or covers and bodies of preserving jars, e.g. by wedge action
B67B   7/22  \	2	2	3E081	B67B   7/22	2	シールのまわりに締め付けられるループ，例．金属線の，を組み込んだもの	incorporating loops, e.g. of wire, which are tightened around seal
B67B   7/40  \	1	1	3E081	B67B   7/40	211	引き剥がすことによって開けるために，タグ，ストリップまたはつまみに係合させる装置，例．サーディン缶を開けるための穴あきキー	Devices for engaging tags, strips, or tongues for opening by tearing, e.g. slotted keys for opening can of sardine
B67B   7/42  \	1	1	3E081	B67B   7/42	3	たる栓の取り外し装置	Devices for removing barrel bungs
B67B   7/44  \	1	1	3E081	B67B   7/44	578	組合せ工具，例．コルクスクリュー，缶穴あけ具，王冠栓抜きを有するもの（切断工具と開口装置の組合せＢ２６，他の目的に役立つ装置をもつもの，適切な箇所を参照，例．Ｂ２５Ｆ，Ｂ４３Ｋ２９／００）	Combination tools, e.g. comprising cork-screws, can openers, crown-cap removers (combinations of opening devices with cutting tools B26, with devices serving other purposes, see the appropriate places, e.g. B25F, B43K 29/00)
B67B   7/46  \	1	1	3E081	B67B   7/46	612	切断装置，すなわち，密閉容器の壁を貫通するための一以上の刃先を持つ少なくとも一つの切断要素を含む装置，例．缶切り装置（Ｂ６７Ｂ７／４４が優先；複数の互換性のあるユニットを有する家庭用機械Ａ４７Ｊ４３／０６，Ａ４７Ｊ４４／００；手持ち切断工具，切断，分離一般Ｂ２６）［４］	Cutting devices, i.e. devices including at least one cutting element having one or more cutting edges for piercing through the wall of a closed container, e.g. can openers (B67B 7/44 takes precedence; machines for domestic use with a plurality of interchangeable units A47J 43/06, A47J 44/00; hand-held cutting tools, cutting, severing, in general B26) [4]
B67B   7/48  \	2	2	3E081	B67B   7/48	27	ポンチ型，すなわち，通常は一回の切断操作により容器壁を貫通することに適合した，少なくとも一つの鋭利な切断刃を有する切断要素［４］	punch type, i.e. the cutting element including at least one sharp cutting edge adapted to pierce through the container wall in, ordinarily, a single operating stroke [4]
B67B   7/48  A	2	0	3E081	B67B   7/48	264	手動のもの	manually operated
B67B   7/48  B	2	0	3E081	B67B   7/48	68	動力源を有するもの	with power sources
B67B   7/48  Z	2	0	3E081	B67B   7/48	30	その他のもの	Others
B67B   7/50  \	3	3	3E081	B67B   7/50	28	支点を持つもの，すなわち，回転中心点を設定するための部位を有するレバー類似の作動ハンドル［４］	with fulcrum, i.e. a lever-like actuating handle with provision to establish a pivot point [4]
B67B   7/52  \	3	3	3E081	B67B   7/52	19	一回の切断操作中に容器を貫通する複数の間隔を有する切断刃をもつもの［４］	Plural spaced cutting edges adapted to pierce the container during a single operating stroke [4]
B67B   7/54  \	2	2	3E081	B67B   7/54	126	旋回式切断型，すなわち，切断要素と容器の間に回転中心を設定するための手段と，切断要素を回転中心点を中心として移動させる手段を有する開封装置［４］	sweep cutter type, i.e. an opening device including means to establish a pivot point between the cutting element and the container and having means to move the cutting element about the pivot point [4]
