F03C   2/24  \	1	1	3H084	F03C   2/24	21	逆に係合する形式，すなわち．係合点での共動部材の運動が反対方向であるもの［３］	of counter-engagement type, i.e. the movement of co-operating members at the points of engagement being in opposite directions [3]
F03C   2/30  \	1	1	3H084	F03C   2/30	3	２以上のグループＦ０３Ｃ２／０２，Ｆ０３Ｃ２／０８，Ｆ０３Ｃ２／２２，Ｆ０３Ｃ２／２４に包含される特徴をもつもの，または共動部材間の他の運動形式を合せもち，これらのグループの１つに包含される特徴をもつもの［３］	having the characteristics covered by two or more of groups F03C 2/02, F03C 2/08, F03C 2/22, F03C 2/24 or having the characteristics covered by one of these groups together with some other type of movement between co-operating members [3]
F03C   2/30  B	1	0	3H084	F03C   2/30	16	グル−プ２／０２に規定された運動および共動部材間の相対的な往復運動の両方をするもの	Both the motion specified in group 2/02 and relative reciprocal motion between cooperatively acting members performed
F03C   2/30  A	1	0	3H084	F03C   2/30	410	グル−プ２／０８または２／２２に規定された運動および共動部材間の相対的な往復運動の両方をするもの	Both the motion specified in group 2/08 or 2/22 and relative reciprocal motion between cooperatively acting members performed
F03C   2/30  C	1	1	3H084	F03C   2/30	60	外側部材については往復運動するベ−ンをもつもの	Outer member having a vane that performs reciprocal motion
F03C   2/30  D	1	0	3H084	F03C   2/30	0	グル−プ２／２２および２／２４に規定された運動の両方をするもの	Both motions specified in group 2/22 and group 2/24 performed
F03C   2/30  E	1	0	3H084	F03C   2/30	4	グル−プ２／０２に規定された運動をし，ちようつがい式に係合した部材をもつもの〔Ｂが優先〕	Motion specified in group 2/02 performed and a member engaged in a form of hinge provided (B takes precedence.)
F03C   2/30  F	1	0	3H084	F03C   2/30	25	グル−プ２／０８または２／２２に規定された運動をし，ちようつがい式に係合した部材をもつもの	Motion specified in group 2/08 or 2/22 performed and a member engaged in a form of hinge provided
F03C   2/30  G	1	0	3H084	F03C   2/30	12	グロボイドウオ−ム型のもの	Globoid worm type
F03C   2/30  Z	1	0	3H084	F03C   2/30	61	その他のもの	Others
F03C   4/00  \	0	0	3H084	F03C   4/00	67	揺動ピストン機関［３］	Oscillating-piston engines [3]
F03C   7/00  \	0	0	3H084	F03C   7/00	31	可とう壁形の機関［２０１０．０１］	Engines of flexible-wall type [2010.01]
F03C  99/00  \	0	0	3H084	F03C  99/00	16	このサブクラスの他のグループに分類されない主題事項［２０１０．０１］	Subject matter not provided for in other groups of this subclass [2010.01]
