F42C15/196	担体への遠心力または慣性の作用によるもの，例．担体が偏心的に取付けられたおもりまたは重心の偏心を有するもの
F42C15/20	信管を安全解除するために安全針またはかんぬきを抜くもの，例．撃針から抜くもの　（｛Ｆ４２Ｃ９／０４１および｝Ｆ４２Ｃ１５／４０が優先）
F42C15/21	ばね作用を使用するもの（Ｆ４２Ｃ１５／３２が優先）
F42C15/22	遠心力を使用するもの（Ｆ４２Ｃ１５／２３が優先）
F42C15/23	曲げやすいリボンまたはテープを巻き戻すことによるもの
F42C15/24	安全または安全解除作動が慣性により行なわれるもの（Ｆ４２Ｃ１５／１９６，Ｆ４２Ｃ１５／２０が優先）
F42C15/26	遠心力の使用
F42C15/28	流動物質の流れにより作動するもの，例．弾丸，流体（Ｆ４２Ｃ１５／２６が優先）
F42C15/285	信管外筒内に貯蔵されるもの
F42C15/29	流体振動により作動するもの，動的流体圧力により作動するもの，例．ラムエアで作動するもの
F42C15/295	タービンまたはプロペラにより作動するもの；そのための装着手段
F42C15/30	推進ガスの，例．推進薬またはロケット原動機から引き出されたもの
F42C15/31	信管内の火工品または爆薬の燃焼により起るもの
F42C15/32	流体圧の変化により作動するもの（Ｆ４２Ｃ５／００，Ｆ４２Ｃ１５／２９が優先）
F42C15/33	真空または圧力容器の破壊によるもの
F42C15/34	安全または安全解除作動が火管と主装薬との間の火工品または火薬系列の遮断部品により行なわれるもの（Ｆ４２Ｃ１５／１８，Ｆ４２Ｃ１５／４０が優先）
F42C15/36	安全解除がある要素の燃焼または溶融により行なわれるもの；　｛安全解除方法が温度差を使用するもの｝（Ｆ４２Ｃ１５／３１が優先）
F42C15/38	安全解除が化学作用により行なわれるもの（Ｆ４２Ｃ３／００が優先）
F42C15/40	安全または安全解除作動が電気的に行なわれるもの
F42C15/42	遠隔場所から，例．制御された機雷または機雷海域用
F42C15/44	信管の安全解除後，例．発射後，信管を安全化または無能化する装置
F42C17/00	信管設定装置
F42C17/02	信管設定用かぎ
F42C17/04	電気信管用
F42C19/00	信管の細部（Ｆ４２Ｃ１５／００を除く）
F42C19/02	信管の本体；信管の外筒
F42C19/04	保護キャップ
F42C19/06	特に電気信管に使用する電気的接触部品　｛速度の変化により作動するスイッチＨ０１Ｈ３５／０６；加速度の変化により作動するスイッチ，例．衝撃または振動，慣性スイッチＨ０１Ｈ３４／１４(ＥＣＬＡ)；流体圧作動スイッチＨ０１Ｈ３５／２４｝
F42C19/07	発射体または飛しょう体のための頭部接触
F42C19/08	火管（爆破薬包用点火装置Ｆ４２Ｂ３／１０）；ロケットエンジン設備用点火手段Ｆ０２Ｋ９／９５；起爆筒
F42C19/0803	
F42C19/0807	
F42C19/0811	
F42C19/0815	
F42C19/0819	
F42C19/0823	
F42C19/0826	
F42C19/083	
F42C19/0834	
F42C19/0838	
F42C19/0842	
F42C19/0846	
F42C19/085	無薬きょう弾薬用火管
F42C19/09	中空装薬を含む火管または起爆筒
F42C19/095	弾頭のまわりに配置された多数の火管または起爆筒が指向性の爆発効果のため選択されるもの
F42C19/10	撃発雷管
F42C19/12	電気的のもの
F42C19/14	撃発式としても使用できるもの
F42C21/00	信管の検査；信管の試験
F42C99/00	このサブクラスの他のグループに分類されない主題事項
