A01K5/0128	｛ライナーを含むペット給餌器；そのためのライナー；ペット給餌器にライナーを支持するための手段｝
A01K5/0135	｛漏れを防止するまたは受けるための手段を有するもの｝
A01K5/0142	｛他の動物または昆虫が食べるのを防ぐための手段を有するもの｝
A01K5/015	岩塩支持具；｛ミネラル用の他の分配器｝
A01K5/02	自動機具｛（自動家畜識別装置Ａ０１Ｋ１１／００６）｝
A01K5/0208	｛搬送ベルトまたは類似のものを有するもの｝
A01K5/0216	｛液体飼料の分配用のもの（Ａ０１Ｋ９／００が優先）｝
A01K5/0218	
A01K5/0225	｛貯蔵装置，例．ホッパー，からの重力による補給（家禽用のものＡ０１Ｋ３９／０１２）｝
A01K5/0233	｛動物によって能動的に作動される投与手段による分配｝
A01K5/0241	｛動物によって作動される攪拌機構または攪拌機による分配｝
A01K5/025	｛給餌場所または飼葉桶に侵入する動物により活動する扉または蓋を有するもの｝
A01K5/0258	｛無端スクリューを有するもの｝
A01K5/0266	｛畜舎トロリー，例．吊り下げられたもの，を有するもの｝
A01K5/0275	｛測定された投与量を配達する機構を有するもの（Ａ０１Ｋ５／０２３３が優先）｝
A01K5/0283	｛重量によるもの｝
A01K5/0287	
A01K5/0291	｛時間調節機構，例．ペット給餌器，を有するもの｝
A01K7/00	家畜用または猟鳥獣用給水具
A01K7/005	｛水はねを防止またはこぼれを防止する機能を有する飲料用のお椀｝
A01K7/02	自動機具；｛薬物分配具｝
A01K7/022	｛水を飲む動物によって作動させられるポンプ｝
A01K7/025	｛水タンク｝
A01K7/027	｛水の加熱器，冷却器または凍結防止のための手段を有する飲料設備｝
A01K7/028	
A01K7/04	浮子により作動するもの
A01K7/06	家畜により作動するもの｛（家禽用のものＡ０１Ｋ３９／０２１３）｝
A01K9/00	幼家畜用授乳用具；｛固形食糧を液体と混合する装置｝
A01K9/005	｛乳首または乳頭（人用の哺乳瓶用の乳首Ａ６１Ｊ１１／００）｝
A01K11/00	動物の標識付け（家禽またはその他の鳥の標識付けＡ０１Ｋ３５／００）
A01K11/001	｛耳標｝
A01K11/002	｛耳に耳標を取付けるために特に適合したペンチ｝
A01K11/003	｛組織のサンプルを採取するための手段，例．ＤＮＡ分析のためのもの｝
A01K11/004	｛電子的な識別手段，例．トランスポンダ｝
A01K11/005	｛動物用の焼印または入墨装置｝
A01K11/006	｛動物用の自動識別機構，例．電子装置，動物用トランスポンダ（給餌舎に立入るための識別機構Ａ０１Ｋ１／０２０９；電子識別手段を有する耳標Ａ０１Ｋ１１／００４）｝
A01K11/007	｛ボーラス｝
A01K11/008	｛ＧＰＳを組み込むもの｝
A01K13/00	動物の手入れまたは管理用具，例．馬ぐし；球節環；尾保定具（馬具の部品としての保定具Ｂ６８Ｂ５／０４）；かいば桶噛みつき防止具；洗浄具；天候または昆虫に対する防護
A01K13/001	｛洗浄具，清掃具，または乾燥具（獣医用Ａ６１Ｄ７／００，Ａ６１Ｄ１１／００）｝
A01K13/002	｛馬ぐし；ブラシ（羊の刈り込みＢ２６Ｂ１９／２４）｝
A01K13/0021	
A01K13/003	｛殺昆虫剤または薬物の適用装置（Ａ０１Ｋ２７／００７が優先；獣医用Ａ６１Ｄ７／００）｝
A01K13/0034	
A01K13/004	｛こすりつけ柱｝
A01K13/005	｛尾保定具｝
A01K13/006	｛防護覆い（弾性的な動物の装蹄または覆いＡ０１Ｌ５／００，Ａ０１Ｌ７／０２；獣医用Ａ６１Ｄ）｝
A01K13/007	｛脚，蹄または足の保護具｝
A01K13/008	｛馬用の毛布｝
A01K14/00	生きている羊または類似の動物から毛を刈込むもの（手持ちの複数の切刃をもつ刈り道具または剃り道具で，動物，例．羊，の毛を刈るために特別に適合されたものＢ２６Ｂ１９／２４）
A01K15/00	動物飼育用具，例．鼻環または足枷；動物転倒用具一般；訓律具；しゃへい箱
A01K15/003	｛鼻環；そのためのけい留具；捕獲または駆動装置｝
A01K15/006	｛動物による柵の下の通り抜けを防止，衝突または類似のものを防止するための装置｝
A01K15/02	訓律具または訓練具，例．動物用の迷路または迷宮（Ａ０１Ｋ１５／０４が優先）；｛電気衝撃装置（そのための回路Ｈ０３Ｋ３／５３７）；動物に特に適合された玩具｝
A01K15/0201	
A01K15/0203	
A01K15/0207	
A01K15/021	｛犬または猫に特に適合する電子訓律装置｝
A01K15/022	｛吠えるのを防止する装置｝
A01K15/023	｛逃走防止装置｝
A01K15/024	｛引掻き装置，例．猫用｝
A01K15/025	｛動物に特に適合された玩具｝
A01K15/0252	
A01K15/0257	
A01K15/0258	
A01K15/026	｛咀嚼可能なおもちゃ，例．ペットの歯科治療のためのもの｝
A01K15/027	｛訓練具，例．トレッドミル，回転ラック（競走または乗馬運動競技のための用具Ａ６３Ｋ）｝
A01K15/0275	
A01K15/028	｛牛の訓律装置｝
A01K15/029	｛電気または類似の衝撃装置，例．突き棒｝
A01K15/04	動きを阻止する装置；柵の通り抜けを防止する装置，｛例．足枷または類似のもの；足蹴防止装置（柵の下の通り抜け防止Ａ０１Ｋ１５／００６）｝
A01K17/00	除角具；矯角具
A01K19/00	離乳具
A01K21/00	交配補助または防止具
A01K23/00	ふん尿袋
A01K23/005	｛動物に関係なく用いられる，すなわち，動物が装着するのでなく人が操作する，堆厩肥または尿を収集する装置｝
A01K25/00	口輪
A01K27/00	曳き綱または首環，例．犬用
A01K27/001	｛首環｝
A01K27/002	｛装着帯｝
A01K27/003	｛曳き綱，繋ぎ紐｝
A01K27/004	｛格納可能な繋ぎ紐｝
A01K27/005	｛繋ぎ紐と首環との間の迅速な結合，安全な結合または衝撃吸収のための装置｝
A01K27/006	｛発光または装飾装置を有するもの｝
A01K27/007	｛殺昆虫剤分配手段を有するもの｝
A01K27/008	｛付属品を運ぶためのポケットまたは類似のものを有するもの｝
A01K27/009	｛電気ショック，音，磁力波または電波を発する装置を有するもの｝
A01K29/00	他の家畜用具
A01K29/002	
A01K29/004	
A01K29/005	｛活動，例．熱または交配の監視または測定｝
A01K29/007	
A01K31/00	鳥舎
A01K31/002	｛家禽の檻，例．輸送箱（家禽の収穫または輸送Ａ０１Ｋ４５／００５）｝
A01K31/005	｛補助的な特徴，例．給餌，給水，鶏糞除去，加温，通風，を有するまたは有しない一連の飼育用檻｝
A01K31/007	｛床（畜舎用Ａ０１Ｋ１／０１５）｝
A01K31/02	扉口装置；自動開扉装置
A01K31/04	糞受板；排泄物の排除用具
A01K31/06	檻，｛例．鳴き鳥のためのもの（家禽用Ａ０１Ｋ３１／００２）｝
A01K31/07	移動可能な篭（Ａ０１Ｋ３１／０８が優先）；｛鳩のための旅行用檻；檻の開閉｝
A01K31/08	組立篭
A01K31/10	扉；落し戸
A01K31/12	｛家禽または鳥類用の｝とまり木
A01K31/14	巣箱，｛例．鳴き鳥または類似のもの用｝
A01K31/16	家禽用産卵巣；集卵
A01K31/165	｛卵の収集または計数｝
A01K31/17	巣箱，産卵小屋，｛補助的な特徴，例．給餌，給水，鶏糞除去，加温，通風，を含むもの｝
A01K31/18	｛初生びな用の｝ひよこ用小舎または小屋；ひな保育箱，｛補助的な特徴，例．給餌，給水，鶏糞除去，加温，通風，を含むもの（一連の飼育用檻Ａ０１Ｋ３１／００５）｝
A01K31/19	ひな保育器；｛ひな保育器；育雛小屋｝
A01K31/20	加熱装置；｛通風｝
A01K31/22	家禽飼育場；｛家禽舎，補助的な特徴，例．給餌，給水，鶏糞除去を含むもの（家禽飼育場または家禽舎の空調Ａ０１Ｋ１／００４７）｝
A01K31/24	ハト小屋；ハト用屋根裏部屋
A01K33/00	抱き卵
A01K35/00	家禽または他の鳥類の標識付け｛（食肉のマーキングＡ２２Ｃ１７／１０）｝
A01K37/00	鳥類の拘束，例．締翼具
A01K39/00	家禽または他の鳥類用給餌具または給水具｛（Ａ０１Ｋ３１／００５，Ａ０１Ｋ３１／０６，Ａ０１Ｋ３１／１７が優先）｝
A01K39/01	給餌装置，｛例．連鎖給餌器｝（Ａ０１Ｋ３９／０４が優先；｛皿への給餌機構，給餌皿Ａ０１Ｋ３９／０１２５｝）
A01K39/0106	｛固形飼料のためのもの，例．グリット塊支持具（家畜または猟鳥獣用の岩塩支持具Ａ０１Ｋ５／０１５）｝
A01K39/0113	｛他の動物または昆虫，例．リスまたはアリ，が食べることをも防止する手段を有するもの｝
A01K39/012	自動供給するもの，｛例．貯蔵装置から重力によるもの｝
A01K39/0125	｛皿への給餌機構；そのための給餌皿｝
A01K39/014	給餌樋；給餌投与具
A01K39/02	給水具（Ａ０１Ｋ３９／０４が優先）
A01K39/0206	｛ハチドリへの給餌に特に適合した飲み水器｝
A01K39/0213	｛乳首付飲み水器｝
A01K39/022	重量で制御される供給具をもつもの
A01K39/024	浮子により制御される供給具をもつもの
A01K39/026	結合された貯水槽により水位を一定レベルに保たせるもの
A01K39/04	給餌器および給水器の結合したもの，｛例．一連の養鶏小屋用にも用いられるもの｝
A01K39/06	強制肥育用具，｛例．螺旋状強制給餌器｝
A01K41/00	家禽用孵卵器
A01K41/02	加熱装置
A01K41/023	｛温度を調節するための装置｝
A01K41/026	｛水による加温｝
A01K41/04	孵卵器の湿度制御
A01K41/06	孵卵器の卵回転装置
A01K41/065	｛卵引出具｝
A01K43/00	卵の検査，選別または洗浄（卵の調査または分析，例．照明によるものＧ０１Ｎ３３／０８）；｛運搬装置（一連の養鶏小屋用Ａ０１Ｋ３１／１６５）；拾上げ装置｝
A01K43/005	｛卵の清浄化，洗浄｝
A01K43/04	卵の等級付け
A01K43/06	大きさによるもの
A01K43/08	重さによるもの
A01K43/10	等級付けおよび検印
A01K45/00	他の鳥類飼育具，例．鳥が卵を産もうとしているかどうかの判定装置
A01K45/002	｛鳥類の水浴びまたはシャワー｝
A01K45/005	｛家禽の収獲または輸送｝
A01K45/007	｛孵化卵の注射または他の処理｝
A01K47/00	蜜蜂の巣箱
A01K47/02	巣枠の構成と配列
A01K47/04	人工巣窩
A01K47/06	蜂巣の他の細部，例．換気具，巣口，防護物，隔壁または蜜蜂の避難設備
A01K49/00	飼育箱；女王蜂輸送用または案内用かご
A01K51/00	巣箱または部品取扱い用具，例．洗浄または消毒用
A01K53/00	蜜蜂用給餌または給水用具
A01K55/00	蜜蜂くん煙器；養蜂者の用具，例．覆面
A01K57/00	分蜂の補助，防止または捕獲用具；雄蜂捕獲具
A01K59/00	蜂蜜の採集
A01K59/02	蜜蓋剥離具
A01K59/04	蜂蜜濾器；｛遠心分離機または加圧器付の濾器｝
A01K59/06	蜜蝋抽出用具
A01K61/00	水棲動物の養殖（生魚容器，例．アクアリュウムＡ０１Ｋ６３／００）
A01K61/10	魚
A01K61/13	魚病の予防または治療
A01K61/17	孵化，例．孵卵器
A01K61/20	動物プランクトン，例．ミジンコまたはワムシ
A01K61/30	海綿，ウニまたはナマコ
A01K61/40	環形動物，例．ゴカイまたはイソメ
A01K61/50	貝類（Ａ０１Ｋ６１／３０，Ａ０１Ｋ６１／４０が優先）
A01K61/51	巻き貝，例．アワビまたはサザエ
A01K61/53	そのための篭
A01K61/54	二枚貝，例．カキまたはイガイ
A01K61/55	そのための篭
A01K61/56	真珠生産のためのもの
A01K61/57	真珠核
A01K61/59	甲殻類，例．ロブスターまたはエビ
A01K61/60	浮遊式養殖装置，例．筏または浮遊式養魚場
A01K61/65	そのための連結または係留装置
A01K61/70	人工魚礁または人工礁
A01K61/72	タイヤで作られたもの
A01K61/73	組立型（Ａ０１Ｋ６１／７２が優先）
A01K61/75	浮遊型（Ａ０１Ｋ６１／７２が優先）
A01K61/77	一体成型，例．ブロック
A01K61/78	沈設または係留するための装置
A01K61/80	給餌装置
A01K61/85	水槽での使用のためのもの
A01K61/90	生きている水棲動物の選別，等級付け，計数またはマーキング，例．性別判定
A01K61/95	特に魚に適合したもの
A01K63/00	生魚容器，例．アクアリュウム（捕獲魚を保存するための網ビクまたは他の容器Ａ０１Ｋ９７／２０）；テラリュウム
A01K63/003	｛アクアリュウム；テラリュウム（Ａ０１Ｋ６３／０４，Ａ０１Ｋ６３／０６が優先）｝
A01K63/006	｛アクアリュウムまたはテラリュウム用の付属具｝
A01K63/02	生魚輸送のために特に適合した容器
A01K63/04	生魚容器に特に適合した水処理のための装置
A01K63/042	｛水中への気体の導入，例．曝気装置，空気ポンプ｝
A01K63/045	｛アクアリュウム用濾過器｝
A01K63/047	｛アクアリュウム用液体ポンプ（アクアリュウム用空気ポンプＡ０１Ｋ６３／０４２）｝
A01K63/06	生魚容器の中にある，または取り付けられた，加熱または照明装置
A01K63/065	｛加熱または冷却装置｝
A01K63/10	池または容器の底や壁の清掃
A01K65/00	魚刺具｛（糸に魚類を串ざしする装置Ａ２２Ｃ２５／１０）｝
A01K67/00	他に分類されない動物の飼育または繁殖；新規な動物<br><br><u>注</u><br><br>このグループにおいては，下記の用語は以下に示す意味で用いる：<br>―繁殖は動物を増やすことおよびその出産または孵化を含むことを意味する。
A01K67/02	脊椎動物の繁殖<br><br><u>注</u><br><br>新規なペプチドまたはペプチドをエンコードする新規なＤＮＡまたは対応するｍＲＮＡ，および遺伝子導入動物の獲得のためのそれらの使用に関連する文献は，ペプチドにより，適切なインデキシングコードを付してサブクラスＣ０７ＫまたはグループＣ１２Ｎ９／００に分類される
A01K67/027	新規な脊椎動物<br><br><u>注</u><br><br>グループＡ０１Ｋ６７／０２７においては，種によって特徴づけられる動物に関するＡ０１Ｋ２２２７／００およびサブグループのインデキシングコードを付加することが望ましい。グループＡ０１Ｋ６７／０２７においては，目的によって特徴づけられるＡ０１Ｋ２２６７／００およびサブグループのインデキシングコードを付加することが望ましい。
A01K67/0271	｛キメラ動物，例．外因性細胞からなるもの｝
A01K67/0273	｛クローン動物｝
A01K67/0275	｛遺伝子組換え脊椎動物，例．遺伝子導入動物｝
A01K67/0276	｛ノックアウト動物｝
A01K67/0278	｛ヒト化動物，例．ノックイン｝
A01K67/30	
A01K67/31	
A01K67/32	
A01K67/33	
A01K67/34	
A01K67/35	
A01K67/36	
A01K67/362	
A01K67/364	
A01K67/366	
A01K67/368	
A01K67/60	
A01K67/61	
A01K67/62	
A01K67/63	
A01K67/64	
A01K67/65	
A01K67/67	
A01K67/68	
A01K69/00	定置式捕獲具
A01K69/02	わなを用いない定置網
A01K69/04	わなを用いる定置網
A01K69/06	わな
A01K69/08	折りたためないわな，例．えび捕りかご
A01K69/10	折りたたみ式わな
A01K71/00	流し網｛（引く場合Ａ０１Ｋ７３／００）｝
A01K73/00	引き網
A01K73/02	トロール網<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０２はグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０２，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/025	｛網の深さの調整｝<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０２５はグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０２５，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/04	拡張または位置ぎめのための装置，例．その制御<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０４ｈグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０４，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/045	横方向に展開させるための装置，例．トロールボード<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０４５はグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０４５，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/05	垂直方向に展開させるための装置<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０５はグループＡ０１Ｋ７３／０６５およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０５，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/053	グラウンドロープ用ローラ<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０５３はグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０５３，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/06	浮き網のたぐり用具<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０６はグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／０６，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/063	｛排除装置をもつもの｝<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０６３はグループＡ０１Ｋ７３／０２，Ａ０１Ｋ７３／０２５，Ａ０１Ｋ７３／０４，Ａ０１Ｋ７３／０４５，Ａ０１Ｋ７３／０５，Ａ０１Ｋ７３／０５３，Ａ０１Ｋ７３／０６，およびＡ０１Ｋ７３／１０からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A01K73/067	｛魚または水棲動物の制御に電気ショックを用いるもの｝<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／０６７はグループＡ０１Ｋ７３／０２，Ａ０１Ｋ７３／０２５，Ａ０１Ｋ７３／０４，Ａ０１Ｋ７３／０４５，Ａ０１Ｋ７３／０５，Ａ０１Ｋ７３／０５３，Ａ０１Ｋ７３／０６，Ａ０１Ｋ７３／１０，およびＡ０１Ｋ７９／０２からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
A01K73/10	漁獲量の測定，例．綱を引き寄せたりまたは綱を探ぐることによるもの<br><br><u>警告</u><br><br>グループＡ０１Ｋ７３／１０はグループＡ０１Ｋ７３／０６３およびＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７３／１０，Ａ０１Ｋ７３／０６３，およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K73/12	水中に垂直に張った網，例．セイン
A01K74/00	他の捕獲網またはその類似物
A01K75/00	漁撈用の網の付属品；漁撈用の網の細部、例．構造<br><br><u>警告</u><br><br>グループＡ０１Ｋ７５／００はグループＡ０１Ｋ７５／００５への再分類の影響を受ける。<br>グループＡ０１Ｋ７５／００およびＡ０１Ｋ７５／００５はコンプリートサーチの完遂のために考慮されるべきである。
A01K75/005	｛網の構造，例．網の面の構造的配置｝<br><br><u>警告</u><br><br>グループ鋳Ａ０１Ｋ７５／００５はグループＡ０１Ｋ７５／００からの文献の再分類が未完成であり保留されている。<br>グループＡ０１Ｋ７５／００およびＡ０１Ｋ７５／００５はコンプリートサーチの完遂のために考慮されるべきである。
A01K75/02	網用照明具
A01K75/04	浮子
A01K75/06	沈子
A01K77/00	漁撈用の陸揚網；漁撈用の陸揚げすくい具<br><br><u>警告</u><br><br>グループＡ０１Ｋ７７／００はグループＡ０１Ｋ７７／００５への再分類の影響を受ける。<br>グループＡ０１Ｋ７７／００およびＡ０１Ｋ７７／００５はコンプリートサーチの完遂のために考慮されるべきである。
A01K77/005	｛折りたたみ可能なもの｝<br><br><u>警告</u><br><br>グループＡ０１Ｋ７７／００５はグループＡ０１Ｋ７７／００からの文献の再分類が未完成であり保留されている。<br>グループＡ０１Ｋ７７／００およびＡ０１Ｋ７７／００５はコンプリートサーチの完遂のために考慮されるべきである。
A01K79/00	グループＡ０１Ｋ６９／００〜Ａ０１Ｋ７７／００に属さないその他の多量漁獲法または用具，｛例．魚ポンプ；魚の検知；捕鯨｝
A01K79/02	感電死による<br><br><u>警告</u><br><br>グループＡ０１Ｋ７９／０２はＡ０１Ｋ７３／０６７への再分類の影響を受ける。<br>グループＡ０１Ｋ７９／０２およびＡ０１Ｋ７３／０６７はコンプリートサーチの完遂のために考慮されるべきである。
A01K80/00	かき，貝，海綿または類似物の採取<br><br><u>警告</u><br><br>グループＡ０１Ｋ８０／００はグループＡ０１Ｋ８０／００５への再分類の影響を受ける。<br>グループＡ０１Ｋ８０／００およびＡ０１Ｋ８０／００５はコンプリートサーチの完遂のために考慮されるべきである。
A01K80/005	｛地面上または地面下の水棲微生物を捕獲するために水底上を走行するそり｝<br><br><u>警告</u><br><br>グループＡ０１Ｋ８１／００５はＡ０１Ｋ８０／００からの文献の再分類が未完成であり保留されている。<br>Ａ０１Ｋ８０／００およびＡ０１Ｋ８０／００５はコンプリートサーチの完遂のために考慮されるべきである。
A01K81/00	発射体を用いた漁撈（やす以外の武器，発射体Ｆ４１，Ｆ４２）
A01K81/04	やす
A01K81/06	水面下の捕獲用具（水泳用具Ａ６３Ｂ３１／００〜Ａ６３Ｂ３５／００）
A01K83/00	釣針<br><br><u>警告</u><br><br>グループＡ０１Ｋ８３／００はグループＡ０１Ｋ８３／０６６，Ａ０１Ｋ８３／０６７，およびＡ０１Ｋ８３／０６９への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
