C09J123/14	プロペンの共重合体（Ｃ０９Ｊ１２３／１６が優先）
C09J123/142	｛少なくとも部分的に結晶化したプロペンと他のオレフィンとの共重合体｝　
C09J123/145	｛プロペンと２個以上の　Ｃ＝Ｃ二重結合を持つモノマーとの共重合体｝　
C09J123/147	｛プロペンと炭素または水素原子以外の原子を持つモノマーとの共重合体｝　
C09J123/16	｛エラストマー系｝　エチレン−プロペン共重合体またはエチレン−プロペン−ジエン共重合体，｛例．　ＥＰＲゴムおよびＥＰＤＭゴム｝　．．[Ｎ:<br><br><u>注</u><br><br>このグループはエチレンとプロピレンの両方からなる重合体に使用される。]
C09J123/18	４以上の炭素原子を有する炭化水素の単独重合体または共重合体
C09J123/20	炭素数が４〜９のもの
C09J123/22	イソブテンの共重合体；ブチルゴム　｛このグループには，他のイソオレフィンの単独重合体または共重合体も分類される｝
C09J123/24	炭素数が１０以上のもの
C09J123/26	化学的な後処理によって変性されたもの
C09J123/28	ハロゲンまたはハロゲン含有化合物との反応による（Ｃ０９Ｊ１２３／３２が優先）
C09J123/283	｛ハロゲン化されたイソオレフィンの単独重合体または共重合体｝
C09J123/286	｛塩素化ポリエチレン｝
C09J123/30	酸化による
C09J123/32	りんまたはいおうを含有する化合物との反応による
C09J123/34	クロロスルホン化によるもの
C09J123/36	窒素含有化合物との反応，例．ニトロ化による
C09J125/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少なくとも１つが芳香族炭素環によって停止されている化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J125/02	炭化水素の単独重合体または共重合体
C09J125/04	スチレンの単独重合体または共重合体
C09J125/06	ポリスチレン
C09J125/08	スチレン共重合体　（Ｃ０９Ｊ１２９／０８，　Ｃ０９Ｊ１３５／０６，　Ｃ０９Ｊ１５５／０２が優先）
C09J125/10	共役ジエンとの
C09J125/12	不飽和ニトリルとの
C09J125/14	不飽和エステルとの
C09J125/16	アルキル置換スチレンの単独重合体または共重合体
C09J125/18	炭素および水素以外の元素を含有する芳香族単量体の単独重合体または共重合体
C09J127/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少なくとも１つがハロゲンによって停止されている化合物の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J127/02	化学的後処理によって変性されていないもの
C09J127/04	塩素原子を含有するもの
C09J127/06	塩化ビニルの単独重合体または共重合体
C09J127/08	塩化ビニリデンの単独重合体または共重合体
C09J127/10	臭素原子またはよう素原子を含有するもの
C09J127/12	ふっ素を含有するもの
C09J127/14	ふっ化ビニルの単独重合体または共重合体
C09J127/16	ふっ化ビニリデンの単独重合体または共重合体
C09J127/18	テトラフルオロエテンの単独重合体または共重合体
C09J127/20	ヘキサフルオロプロペンの単独重合体または共重合体
C09J127/22	化学的な後処理によって変性されたもの
C09J127/24	ハロゲン化されたもの
C09J129/00	ただ１つの炭素―炭素二重結合を含有する，１個以上の不飽和脂肪族基をもち，その少なくとも一つがアルコール，エーテル，アルデヒド，ケトン，アセタールまたはケタール基によって停止されている化合物の単独重合体または共重合体に基づく接着剤；不飽和アルコールと飽和カルボン酸とのエステルの重合体を加水分解したものに基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J129/02	不飽和アルコールの単独重合体または共重合体（Ｃ０９Ｊ１２９／１４が優先）
C09J129/04	ポリビニルアルコール；不飽和アルコールと飽和カルボン酸とのエステルの単独重合体または共重合体の部分加水分解物
C09J129/06	アリルアルコールの共重合体
C09J129/08	ビニル芳香族単量体との
C09J129/10	不飽和エーテルの単独重合体または共重合体（Ｃ０９Ｊ１３５／０８が優先）
C09J129/12	不飽和ケトンの単独重合体または共重合体
C09J129/14	不飽和アセタールまたはケタールの重合によって，または不飽和アルコールの重合体の後処理によって得られるアセタールまたはケタールの単独重合体または共重合体
C09J131/00	ただ１つの炭素―炭素二重結合を含有する１個以上の不飽和脂肪族基をもち，その少くとも１つが飽和カルボン酸，炭酸またはハロぎ酸のアシロキシ基によって停止されている化合物の単独重合体または共重合体に基づく接着剤（加水分解重合体に基づくものＣ０９Ｊ１２９／００）；そのような重合体の誘導体に基づ接着剤
C09J131/02	モノカルボン酸のエステルの単独重合体または共重合体
C09J131/04	酢酸ビニルの単独重合体または共重合体
C09J131/06	多価カルボン酸のエステルの単独重合体または共重合体
C09J131/08	フタル酸の
