H10H20/813	複数の発光領域を有するもの，例．多接合ＬＥＤまたは本体の内部にフォトルミネセント領域を有する発光装置<br><br><u>警告</u><br><br>グループH10H20/813はグループH10H20/8131，H10H20/8132およびH10H20/8133への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8131	｛積層された発光領域｝<br><br><u>警告</u><br><br>グループH10H20/8131はグループH10H20/813からの文献の再分類が未完成であり保留されている。<br>グループH10H20/813およびH10H20/8131はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8132	｛横方向に配置された発光領域，例．ナノ−ロッド｝<br><br><u>警告</u><br><br>グループH10H20/8132およびH10H20/8133はグループH10H20/813からの文献の再分類が未完成であり保留されている。<br>グループH10H20/813，H10H20/8132およびH10H20/8133はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8133	｛コア−シェル構造を有するもの｝
H10H20/814	反射手段を有するもの，例．半導体ブラッグ反射鏡
H10H20/8142	｛共鳴空洞構造を形成するもの｝
H10H20/815	応力緩和構造を有するもの，例．バッファ層
H10H20/816	電流制御構造を有するもの，例．高濃度ドープ半導体層，電流ブロック構造
H10H20/8162	｛電流ブロック構造｝
H10H20/817	結晶構造または結晶方位に特徴のあるもの，例．多結晶，アモルファスまたはポーラス
H10H20/818	発光領域内にあるもの<br><br><u>注</u><br><br>このグループに分類する場合，発光領域の化学組成を特定するために，グループＨ１０Ｈ２０／８２２にも分類する。
H10H20/819	その形状に特徴のあるもの，例．湾曲または面取りされた基板
H10H20/82	粗面化された表面，例．エピタキシャル層の界面にあるもの
H10H20/821	発光領域にあるもの，例．非プレーナー接合
H10H20/8215	｛結晶の不完全性，例．配置の異なり，に特徴のあるもの；ドーパントの分布，例．デルタ−ドーピング，に特徴のあるもの｝
H10H20/822	発光領域の材料<br><br><u>注</u><br><br>このグループに分類する場合，ドーパントまたは他の不純物に関係なく，材料の成分を考慮する。
H10H20/823	ＩＩ−ＶＩ族の材料のみからなるもの，例．ＺｎＯ
H10H20/8232	｛ドーパントに特徴のあるもの｝
H10H20/824	ＩＩＩ−Ｖ族の材料のみからなるもの，例．ＧａＰ
H10H20/8242	｛ドーパントに特徴のあるもの｝
H10H20/825	窒素を含むもの，例．ＧａＮ
H10H20/8252	｛ドーパントに特徴のあるもの｝
H10H20/826	ＩＶ族の材料のみからなるもの<br><br><u>警告</u><br><br>グループH10H20/826はグループH10H20/8264への再分類の影響を受ける。<br>グループH10H20/826およびH10H20/8264はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8262	｛ドーパントに特徴のあるもの｝
H10H20/8264	｛多結晶，アモルファスまたはポーラスのＩＶ族材料からなるもの｝<br><br><u>警告</u><br><br>グループH10H20/8264はグループH10H20/826からの文献の再分類が未完成であり保留されている。br>グループH10H20/826およびH10H20/8264はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/83	電極<br><br><u>警告</u><br><br>グループH10H20/83はグループH10H29/832への再分類の影響を受ける。<br>グループH10H20/83およびH10H29/832はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/831	その形状に特徴のあるもの<br><br><u>警告</u><br><br>グループH10H20/831はグループH10H29/8321への再分類の影響を受ける。<br>グループH10H20/831およびH10H29/8321はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8312	｛本体を通して少なくとも部分的に延在するもの｝
H10H20/8314	｛本体の外側表面上に少なくとも部分的に延在するもの｝
H10H20/8316	｛少なくとも一つの非連続層からなる多層電極｝
H10H20/832	その材料に特徴のあるもの<br><br><u>警告</u><br><br>グループH10H20/832はグループH10H29/8322への再分類の影響を受ける。<br>グループH10H20/832およびH10H29/8322はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/833	透明材料<br><br><u>警告</u><br><br>グループH10H20/833はグループH10H29/8323への再分類の影響を受ける。<br>グループH10H20/833およびH10H29/8323はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/835	｛反射材料｝<br><br><u>警告</u><br><br>グループH10H20/835はグループH10H29/8325への再分類の影響を受ける。<br>グループH10H20/835およびH10H29/8325はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/84	コーティング，例．パッシベーション層または反射防止コーティング<br><br><u>警告</u><br><br>グループH10H20/84はグループH10H29/842，H10H29/8517およびH10H29/8552への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H20/841	反射コーティング，例．誘電体ブラッグ反射鏡<br><br><u>警告</u><br><br>グループH10H20/841はグループH10H29/8421への再分類の影響を受ける。<br>グループH10H20/841およびH10H29/8421はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/85	パッケージ<br><br><u>警告</u><br><br>グループH10H20/85はグループH10H20/8504，H10H20/8508，H10H29/85，H10H29/8508，H10H29/8517およびH10H29/8552への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H20/8502	｛表面実装技術［ＳＭＴ括弧］型パッケージ｝<br><br><u>警告</u><br><br>グループH10H20/8502はグループH10H20/8506からの文献の再分類が未完成であり保留されている。<br>グループH10H20/8506およびH10H20/8502はコンプリートサーチの完遂のために考慮されるべきである。
