B60T7/14	運転者が倒れたときに作動するもの（電気的推進車両用デッドマン装置Ｂ６０Ｌ３／０２）
B60T7/16	遠隔制御によって作動するもの，すなわち初動装置が乗物にとりつけられていないもの
B60T7/18	路傍装置によって作動するもの
B60T7/20	トレーラ用の特別なもの，例．トレーラの連結解除の場合｛またはトレーラのオーバーランの場合｝（慣性作動されるオーバーランブレーキＢ６０Ｔ１３／０８）
B60T7/203	｛後進時に自動制動を解除または縮小するもの，例．牽引棒に取り付けられた機構によるもの｝
B60T7/206	｛トレーラのドラムブレーキに取り付けられた機構によるもの｝
B60T7/22	車両，例．バンパー，と外部物体，例．別の車両，との接触により始動されるもの，｛または車両に取り付けられた非接触型の障害物検出器によるもの｝
B60T8/00	車両の状態または路面状況の変化に適合するための車輪制動力の調整装置，例．制動力の配分を制限または変更するための装置（動力制動方式において有効な制動シリンダの数を変えることによるものＢ６０Ｔ１７／１０）
B60T8/17	ブレーキを制御するために電気調整手段または電子調整手段を用いるもの｛（誤動作を検出または表示するものＢ６０Ｔ８／８８５）｝
B60T8/1701	｛特定の型式の車両に特に適合する制動または駆動の制御手段（１より多い駆動軸を有する車両用Ｂ６０Ｔ８／１７６９）｝
B60T8/1703	｛航空機用のもの｝
B60T8/1705	｛鉄道車両用のもの｝
B60T8/1706	｛単車，例．オートバイ，用のもの｝
B60T8/1708	｛トラック用または牽引車とトレーラーの連結車両用のもの｝
B60T8/171	この調整で使用されるパラメータを検知するもの；この調整で使用される値を測定するもの
B60T8/172	この調整で使用される制御パラメータを決定するもの，例．測定または検知されたパラメータに関する計算によるもの｛（Ｂ６０Ｔ８／１７５５１が優先）｝
B60T8/1725	｛タイヤセンサ，例．サイドウオールのねじれセンサ［ＳＷＴ］，を用いるもの（タイヤ圧および温度検出用Ｂ６０Ｃ２３／００）｝
B60T8/173	望ましくない信号による影響，例．振動または電子ノイズによるもの，を除去または減少させるもの
B60T8/174	特殊な制御理論の使用に特徴を有するもの，例．ファジー理論，｛ニューラル計算｝
B60T8/175	車両の加速時の過度な車輪回転の防止に特に適したブレーキ調整，例．トラクション制御のためのもの（車輪のすべりに反応する，またはすべりを防止する推進装置の制御のための安全装置Ｂ６０Ｋ２８／１６）
B60T8/1755	車両の安定の制御に特に適したブレーキ調整，例．カーブでのヨーレートまたは横加速度を考慮したもの（特定のサブユニットの制御以外の方法による車両の安定の制御のための，路面車両の制御方式Ｂ６０Ｗ３０／０２）
B60T8/17551	｛調整に用いられる車両安定性に関連する制御パラメータを決定するもの，例．測定または検知されたパラメータを含んだ計算によるもの｝
B60T8/17552	｛タイヤのサイドスリップ角または車体のスリップ角に反応するもの｝
B60T8/17554	｛車両の前後方軸周りの安定性を高めることに特に適合するもの，すなわち．横転防止（特定のサブユニットの制御以外の方法による横転防止のための路面車両の走行制御方式Ｂ６０Ｗ３０／０４）｝
