B	処理操作；運輸
B03B	液体による，または，風力テーブルまたはジグによる固体物質の分離（固体から流体の除去Ｂ０１Ｄ；固体物質または流体から固体物質の磁気または静電気による分離，高圧電界による分離Ｂ０３Ｃ；浮遊選別，差別沈降Ｂ０３Ｄ；乾式による分離Ｂ０７；ふるい分けによる分離Ｂ０７Ｂ；選び取るものＢ０７Ｃ；特別な物質の特別な分離であって他の単一のクラスに分類されるものは，関連するクラスを参照）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B03C	固体物質または流体から固体物質の磁気または静電気による分離；高圧電界による分離（電気または磁気を利用するろ過機Ｂ０１Ｄ３５／０６；同位元素の分離Ｂ０１Ｄ５９／００；磁気分離または静電分離と他の方法による固体の分離との組合せＢ０３Ｂ，Ｂ０７Ｂ；パイルからのシートの分離Ｂ６５Ｈ３／００；磁石または磁石コイルそれ自体Ｈ０１Ｆ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B03D	浮遊選別；差別沈降（沈でん一般Ｂ０１Ｄ２１／００；固体相互の他の分離との組合せＢ０３Ｂ；浮沈分離Ｂ０３Ｂ５／２８；洗浄剤，石けんＣ１１Ｄ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B04	物理的または化学的工程を行なうための遠心装置または機械<br>サブセクションタイトル分離；混合に続く注に注意すること。
B04B	遠心分離機（高速ドラムミルＢ０２Ｃ１９／１１；家庭用遠心脱水機Ｄ０６Ｆ；遠心分離中の試料の物理的あるいは化学的特性の分析，測定あるいは監視はこれら処置のための適切なサブクラス，例．Ｇ０１Ｎ，を参照）<br><br><u>注</u><br><br>このサブクラスは分離，混合，乾燥，抽出，精製または類似の処理のため，回転容器または他の回転体によって遠心力を生ぜしめる機械または装置を包含する。機械または装置がポンプ効果を含む場合には，その効果は処理に付随するかまたは副次的なものでなければならない。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B04C	自由過流を利用する装置，例．サイクロン（｛水蒸気から水の遠心分離Ｂ０１Ｄ４５／１２｝；ジェットミルＢ０２Ｃ１９／０６；｛風ふるいＢ０７Ｂ７／００｝；サイクロン型燃焼装置Ｆ２３；｛サイクロン型燃焼装置用渦式バーナーＦ２３Ｄ１／０２；ガスタービン用サイクロン型燃焼装置Ｆ２３Ｒ３／００｝）<br><br><u>注</u><br><br>このサブクラスは回転容器，回転体または曲った通路以外の自由渦流によって遠心力が与えられるような分離，混合または類似の処理を行なうための装置を包含する。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B05	霧化または噴霧一般；液体または他の流動性材料の表面への適用一般
B05B	霧化装置；噴霧装置；ノズル（｛特に治療目的に適するスプレーまたはアトマイザーＡ６１Ｍ１１／００｝；ノズルをもつスプレーミキサーＢ０１Ｆ５／２０；噴霧によって液体または他の流動性材料を表面に適用する方法Ｂ０５Ｄ；｛プラスチックまたはプラスチック状物質の射出成型に特に適合されたノズルＢ２９Ｃ４５／１６０３，Ｂ２９Ｃ４５／２０；風防ガラスの洗浄器に特に適合されたノズルＢ６０Ｓ１／５２｝；ポンプで流体をくみ揚げるための手段Ｆ０４；弁，例．水栓，Ｆ１６Ｋ）<br><br><u>注</u><br><br>１．このサブクラスはミストまたはその類似物を形成するために大気中または室中への液滴または微細液滴の吐出や射出のための装置を特に包含する。この目的のために，射出される材料は気体または蒸気の流れの中に懸濁されてもよい。<br>２．クラスＢ０５のタイトルに続く注に注意すること。<br>３．このサブクラスにおいては，流量を制御する手段は最も一般的な意味合いで用いられ，流れを開始および停止させるだけの手段も含む。<br>４．このサブクラスにおいては，人により運搬される装置という表現は，使用中に人によって運搬される少なくとも一つの被噴霧材用容器からなる装置の全てを含む。<br>５．このサブクラスにおいては，容器とは噴霧される材料を内容する最も内側の囲いとして理解される。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B05C	液体または他の流動性材料を表面に適用する装置一般（霧化装置，噴霧装置，ノズルＢ０５Ｂ；静電噴霧によって液体または他の流動性材料を対象物に適用するための設備Ｂ０５Ｂ５／０８；液体または他の流動性材料を表面に適用する方法Ｂ０５Ｄ；｛食品材料の被覆Ａ２３Ｐ２０／１５，Ａ２３Ｐ２０／１７，Ａ２３Ｐ２０／１８，セラミック物品の成形または予成形のものＢ２８Ｂ１１／０４｝）<br><br><u>注</u><br><br>１．このサブクラスは，あらゆる機械的または物理的方法によって，液体または他の流動性材料を表面の全部または一部に適用する装置または手工具一般，特に液体または他の流動性材料を表面に均一に分布させるための装置を包含する。<br>２．クラスＢ０５のタイトルに続く<br><br><u>注</u><br><br>に注意すること。<br><br><u>警告</u><br><br>　以下のＩＰＣグループはＣＰＣ分類体系にはない。これらのグループに含まれる主題事項は以下のＣＰＣの各グループに分類される：<br>Ｂ０５C５／０４ は Ｂ０５Ｃ５／００１，Ｂ０５Ｃ１１／１０４２ に分類される。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B05D	液体または他の流動性材料を表面に適用する方法一般（液体または他の流動性材料を表面に適用する装置Ｂ０５Ｂ，Ｂ０５Ｃ；｛食料材料の被覆Ａ２３Ｐ２０／１７，Ａ２３Ｐ２０／１５，Ａ２３Ｐ２０／１８｝）<br><br><u>注</u><br><br>１．このサブクラスは，以下のものを包含する：<br>−あらゆる機械的または物理的方法により，液体または他の流動性材料を表面の全部または一部に適用する方法一般および特に表面に液体または他の流動性材料を均一に分布させる方法；<br>−液体または他の流動性材料を適用する表面の前処理；<br>−適用されたコーディングの後処理<br>２．クラスＢ０５のタイトルに続く<br><br><u>注</u><br><br>に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
