B	処理操作；運輸
B22D	　金属の鋳造；同じ方法または装置による他の物質の鋳造（プラスチックまたは可塑状態の物質の成形Ｂ２９Ｃ；冶金的方法，金属への添加剤の選定Ｃ２１，Ｃ２２）<br><br><u>｛注</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）１８Ｂおよび３１Ｃの有効期限の満了に伴い１９７７年３月２５日に導入された２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．ＩＰＣからＩｄＴグループへの一般的なコンコーダンスは以下のとおりである。Ｂ２２Ｄ１／００:１８ＢＢ２２Ｄ２／００:３１Ｃ３０Ｂ２２Ｄ３／００:３１Ｃ２８Ｂ２２Ｄ５／００:３１Ｃ２８Ｂ２２Ｄ７／００:３１Ｃ１６Ｂ２２Ｄ１３／００:３１Ｃ３４Ｂ２２Ｄ１５／００:３１Ｃ２４，３１Ｃ２５，３１Ｃ２６Ｂ２２Ｄ１９／００:３１Ｃ１６，３１Ｃ１７，３１Ｃ２４Ｂ２２Ｄ２１／００:３１Ｃ２７Ｂ２２Ｄ２５／００:３１Ｃ１９−３１Ｃ２６，３１Ｃ３４Ｂ２２Ｄ２７／００:３１Ｃ１５Ｂ２２Ｄ２９／００:３１Ｃ３１Ｂ２２Ｄ３１／００:３１Ｃ３１，３１Ｃ３２Ｂ２２Ｄ３３／００:３１Ｃ２９，３１Ｃ３０，３１Ｃ３３Ｂ２２Ｄ３５／００:３１Ｃ３０Ｂ２２Ｄ３７／００:３１Ｃ２７Ｂ２２Ｄ４１／００:３１Ｃ２７Ｂ２２Ｄ４３／００:３１Ｃ３３Ｂ２２Ｄ４５／００:３１Ｃ２６，３１Ｃ２８Ｂ２２Ｄ４７／００:３１Ｃ２９下記のグループは，以下に示す日付をもって本分類表から削除した。これらのグループに属する特許文献は，以下に示す新設グループに移動した。Ｂ２２Ｄ１１／０４Ａ→Ｂ２２Ｄ１１／０４１（２００３年９月）Ｂ２２Ｄ１１／０４Ｂ→Ｂ２２Ｄ１１／０４３（２００３年９月）Ｂ２２Ｄ１１／０４Ｃ→Ｂ２２Ｄ１１／０４５（２００３年９月）Ｂ２２Ｄ１１／０４Ｃ１→Ｂ２２Ｄ１１／０４５５（２００３年９月）Ｂ２２Ｄ１１／０４Ｃ３→Ｂ２２Ｄ１１／０４７（２００３年９月）Ｂ２２Ｄ１１／０４Ｃ３Ａ→Ｂ２２Ｄ１１／０４７５（２００３年９月）Ｂ２２Ｄ１１／０４Ｄ→Ｂ２２Ｄ１１／０５（２００３年９月）Ｂ２２Ｄ１１／０４Ｅ→Ｂ２２Ｄ１１／０５３（２００３年９月）Ｂ２２Ｄ１１／０４Ｅ１→Ｂ２２Ｄ１１／０５３５（２００３年９月）Ｂ２２Ｄ１１／０４Ｆ→Ｂ２２Ｄ１１／０５９（２００３年９月）Ｂ２２Ｄ１１／０４Ｈ→Ｂ２２Ｄ１１／０５５（２００３年９月）Ｂ２２Ｄ１１／０４Ｋ→Ｂ２２Ｄ１１／０４９（２００３年９月）Ｂ２２Ｄ１１／０４Ｒ→Ｂ２２Ｄ１１／０５７（２００３年９月）Ｂ２２Ｄ１１／１０Ａ→Ｂ２２Ｄ１１／１０（２００３年９月）Ｂ２２Ｄ１１／１０Ａ１→Ｂ２２Ｄ４１／１３（２００３年９月）Ｂ２２Ｄ１１／１０Ａ７→Ｂ２２Ｄ１１／１０６（２００３年９月）Ｂ２２Ｄ１１／１０Ａ９→Ｂ２２Ｄ１１／１０３（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ→Ｂ２２Ｄ１１／１１（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ１→Ｂ２２Ｄ１１／１１５（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ２→Ｂ２２Ｄ１１／１１１（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ４→Ｂ２２Ｄ１１／１０８（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ７→Ｂ２２Ｄ１１／１１２（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ１０→Ｂ２２Ｄ１１／１１３（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ１５→Ｂ２２Ｄ１１／１１４（２００３年９月）Ｂ２２Ｄ１１／１０Ｂ２０→Ｂ２２Ｄ１１／１１９（２００３年９月）｝<br><br><u>注</u><br><br>このサブクラスにおいては，鋳造されるどのような材料も金属と見なされる。<br><br><u>｛注</u><br><br>このサブクラスにおいて，＋ＩＤＴという表現は以下を示す為に用いられている:　−ここに分類されている文献は，鋳造工程および鋳造用装置並びに鋳造後の最終手段に関連するＩＤＴ−グループに分類されていた:‐これらは，管理上の目的で上述のＩＤＴグループからこのサブクラスに分類された。｝
B22F	金属質粉の加工；金属質粉からの物品の製造；金属質粉の製造（微粉物質に対する方法または装置一般Ｂ０１Ｊ２／００；成形または焼成によるセラミックスの製造Ｃ０４Ｂ，例．Ｃ０４Ｂ３５／６４；金属自体の精製はＣ２２を参照；金属化合物の還元または分解一般Ｃ２２Ｂ；粉末治金による合金の製造Ｃ２２Ｃ；金属粉の電解製造Ｃ２５Ｃ５／００）<br><br><u>｛注</u><br><br>[Ｎ０２０７｝下記のグループは，以下に示す日付をもって本分類表から削除した。これらのグループに属する特許文献は，以下に示す新設グループに移動した。Ｂ２２Ｆ３／１８Ｂ→Ｂ２２Ｆ５／００６（２００２年７月）｝<br><br><u>注</u><br><br>１．このサブクラスは，特定の物理的性質を有する粉末の製造に関する限りにおいてのみ，金属粉の製造を包含する；２．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる:　−金属質粉は非金属材料を相当な量含む粉末を包含する；　−粉末は粉末と類似な方法で加工され，得られまたは作用するやや大きな小片，例．繊維，を含む。<br><br><u>｛注</u><br><br>１．このサブクラスにおいては，粉末冶金の方法または材料の組合わせの個々の観点に関するインデキシングコードを加えることが必要である。Ｂ２２Ｆ１／００からＢ２２Ｆ９／００までのグループまたはＣ２２Ｃ１／００からＣ２２Ｃ４９／００までのグループから選ばれたインデキシングコードは，分類記号と同じ番号を有するが，スラッシュの代わりにコロンが使用され，リンクさせてもリンクさせなくてもよい。２．注（１）に記載されたインデキシングコードを基にしたコンピュータ探索は，Ｃ．Ｉ．Ｓ．データベースで一部のみ可能である。３．このサブクラスにおいては，１９９８年１月１日以降，ＩＣＯ＋記法を用いて，注（１）に記載された技術面に対して文献の索引をつけてある。４．このサブクラスにおいて，＋ＩＤＴ，例．Ｂ２２Ｆ３／１１＋ＩＤＴ，という表現は以下を示す為に用いられている:　−ここに分類されている文献は，金属粉および金属粉からなる物品に関連するＩＤＴ−グループに分類されていた:　−これらは管理上前記ＩＤＴグループからこのサブクラスのそれぞれのグループへ再分類された。複数のグループへ管理上再分類されたため，いくつかの文献は余分な分類記号を付与された可能性がある。]
B23	工作機械；他に分類されない金属加工<br>（１）このクラスは以下のものを包含する:<br>―他のいかなるクラスにも分類されない作業；<br>―クラスＢ２１からＢ２４までの異なるサブクラスに包含される作業の組合せであり，かつサブクラスＢ２３Ｐに包含される組合せ，ただし，単一のサブクラスに包含される主作業に関連して行なわれる補助作業は除く；<br>―サブクラスＢ２３Ｑに包含されるものであって工作機械の個々の種類に特有でない性質の要請または問題，例．加工物の供給，に関する特徴。もっともその特徴の実施形態は適用される機械の種類に応じて異ってもよい。<br>たとえ，その特徴または特定の機能が，実際上ある特定の作業用に設計された工作機械にかなりな程度特有であり，またはその工作機械用にのみクレームされていても，その特徴は一般に前記サブクラスに分類され，例外的にのみ関係する工作機械のサブクラスに分類される。しかしながら，この一般的性質をもつ特徴のあるものは個々の金属加工作業に関するサブクラス，特にＢ２３Ｂに分類される。この場合，当該サブクラスはこれらの特徴に関しては主に関係する工作機械の種類に制限されない。<br>（２）このサブクラスにおいては，下記の用語または表現は以下の意味で用いる:<br>―金属加工は文脈上，他の解釈を必要とする場合を除いて，他の材料の加工を含む；<br>―作業の種類という用語およびそれに類する表現は中ぐり，穴あけ，フライス削りおよび研削のような金属加工作業に関する；<br>―機械の種類という用語は１つの特定の金属加工作業のために設計された機械を意味する（例．旋盤）；<br>―機械の形式という用語は加工の特定の方法または特定の工作物のために適用または構成される特定種類の機械，例．正面旋盤，心押台旋盤，タレット旋盤，を意味する；<br>―種々の機械は同種の金属加工を行う種々の形式の工作機械全部，たとえば立て中ぐり盤と横中ぐり盤とを含む。<br>（３）もし，細部，構成部分または付属品が工作機械に固有の本質的特徴をもたないならばさらに一般的なクラス，例．Ｆ１６，が優先する。
B23B	旋削；中ぐり（倣い削りまたは制御のための装置Ｂ２３Ｑ）<br><br><u>｛注</u><br><br>以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ２３Ｂ３／１８はＢ２３Ｂ３／１６に包含される。Ｂ２３Ｂ３／２０はＢ２３Ｂ３／１６に包含される。Ｂ２３Ｂ３／２８はＢ２３Ｂ３／００に包含される。Ｂ２３Ｂ５／２２はＢ２３Ｂ３１／００に包含される。Ｂ２３Ｂ５／２４はＢ２３Ｑ２７／００；Ｂ２３Ｂ３５／００に包含される。Ｂ２３Ｂ５／３０はＢ２３Ｑ３５／００に包含される。Ｂ２３Ｂ５／３４はＢ２３Ｂ３１／００；Ｂ２３Ｂ３３／００に包含される。Ｂ２３Ｂ５／４２はＢ２３Ｑ３５／００に包含される。Ｂ２３Ｂ５／４４はＢ２３Ｑ２７／００に包含される。Ｂ２３Ｂ７／０８はＢ２３Ｂ７／０４に包含される。Ｂ２３Ｂ７／１４はＢ２３Ｂ７／１２に包含される。Ｂ２３Ｂ７／１６はＢ２３Ｂ７／１２に包含される。Ｂ２３Ｂ９／０４はＢ２３Ｂ９／０２に包含される。Ｂ２３Ｂ９／０６はＢ２３Ｂ９／０２に包含される。Ｂ２３Ｂ９／１０はＢ２３Ｂ９／０８に包含される。Ｂ２３Ｂ９／１２はＢ２３Ｂ９／０８に包含される。Ｂ２３Ｂ１５／００はＢ２３Ｑ７／００に包含される。Ｂ２３Ｂ１７／００はＢ２３Ｑ１／０１；Ｂ２３Ｑ１／０３；Ｂ２３Ｑ１／２５に包含される。Ｂ２３Ｂ１９／００はＢ２３Ｑ１／７０に包含される。Ｂ２３Ｂ１９／０２はＢ２３Ｑ１／７０に包含される。Ｂ２３Ｂ２１／００はＢ２３Ｑ１／００に包含される。Ｂ２３Ｂ２９／３０はＢ２３Ｂ２９／２８に包含される。Ｂ２３Ｂ３１／１６３はＢ２３Ｂ３１／１６００４に包含される。Ｂ２３Ｂ３１／１６５はＢ２３Ｂ３１／１６０４５に包含される。Ｂ２３Ｂ３１／１６７はＢ２３Ｂ３１／１６０４５に包含される。Ｂ２３Ｂ３１／１６９はＢ２３Ｂ３１／１６０８３に包含される。Ｂ２３Ｂ３１／１７１はＢ２３Ｂ３１／１６１２に包含される。Ｂ２３Ｂ３１／１７３はＢ２３Ｂ３１／１６１５８に包含される。Ｂ２３Ｂ３１／１７５はＢ２３Ｂ３１／１６１９５に包含される。Ｂ２３Ｂ３１／１７７はＢ２３Ｂ３１／１６２３３に包含される。Ｂ２３Ｂ４１／０８はＦ１６Ｌ４１／０４に包含される。Ｂ２３Ｂ４５／１４はＢ２５Ｈ１／００２１に包含される。Ｂ２３Ｂ４５／１６はＢ２５Ｄ１６／００に包含される。Ｂ２３Ｂ４７／０２はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／０４はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／０６はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／０８はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／１０はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／１２はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／１４はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／１６はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／１８はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／２０はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／２２はＢ２３Ｑ５／００に包含される。Ｂ２３Ｂ４７／２４はＢ２３Ｑ１６／００に包含される。｝<br><br><u>｛注</u><br><br>このサブクラスにおいて，＋ＩＤＴという表現は以下を示す為に用いられている:‐ここに分類された文献はインデキシングコードＬ２３Ｂ７００／００　からＬ２３Ｂ７１０／０８Ｄで表わされる範囲のＩＤＴグループに分類された。‐これらは，管理上の目的で上述のＩＤＴグループからこのサブクラスに分類された。｝
B23C	フライス削り（ブローチ加工Ｂ２３Ｄ；歯車製造におけるブローチミーリングＢ２３Ｆ；倣いまたは制御装置Ｂ２３Ｑ）<br><br><u>｛注</u><br><br>このサブクラスにおいて，＋ＩＤＴという表現は以下を示す為に用いられている:‐ここに分類された文献はインデキシングコードＬ２３Ｃ７００／００　からＬ２３Ｃ７００／２２で表わされる範囲のＩＤＴグループに分類された。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。｝
B23D	平削り；みぞ削り；せん断；ブローチ加工；のこ引き；やすり掛け；キサゲ加工；他に分類されない，切粉を出す金属加工のための類似の作業（歯車加工Ｂ２３Ｆ；金属の加熱溶断は一部Ｂ２３Ｋ；倣い制御に関するものＢ２３Ｑ）<br><br><u>｛注</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）４９Ｍの有効期限の満了に伴い１９７３年９月５日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．ＩＰＣからＩｄＴグループへの一般的なコンコーダンスは以下のとおりである。Ｂ２３Ｄ８１／００　:　４９Ｍ２｝<br><br><u>｛注</u><br><br>１．このサブクラスにおいて，＋ＩＤＴという表現は以下を示す為に用いられている:‐ここに分類された文献はインデキシングコードＬ２３Ｄ７００／００　からＬ２３Ｄ９００／１２で表わされる範囲のＩＤＴグループに分類された。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。２．グループＢ２３Ｄ１５／００からＢ２３Ｄ３６／００９１においては，２００４年１１月１日以降，新たな文献は改訂されたＥＣＬＡの基準に準拠し分類されている。すなわち重要な（発明のような）情報はＥＣＬＡの分類符号，例．Ｂ２３Ｄ１５／００，他の（二次的）情報はＩＣＯの符号，例．Ｂ２３Ｄ１５／００を付して表している。｝
B23F	　歯車またはラックの製造（型打鍛造によるものＢ２１Ｄ；転造によるものＢ２１Ｈ；鍛造またはプレスによるものＢ２１Ｋ；鋳造によるものＢ２２；倣い装置または制御装置Ｂ２３Ｑ；研削または研摩のための機械または装置一般Ｂ２４Ｂ）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する:−必要な相対運動を確実にするための歯車装置の適正な噛み合いに不可欠の歯形を正確に製造するための特に考案された方法または装置の使用；−他の歯付物品あるいは他の類似した形状の物品，例．かみ合いクラッチ，スプライン軸，フライスカッター，の製造における類似した方法または装置の使用。２．このサブクラスには上記<br><br><u>注</u><br><br>（１）で述べたもの以外の方法または装置を用いたその種の他の歯付物品または他の類似した形状の物品の製造は包含しない。３．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる:−歯車の歯は，歯または回転ポンプや送風機のローターなどの同種の相対運動をする他の正確にかみ合う部材の突出部を含む；−形状は，歯の両面または片面のみ，または隣接する歯の対向面の輪郭を含む場合がある；−ストレートとは歯全体（歯面のみ，例．クラウニング，の多少の曲面は無視する）がその長さ方向において，例えば，平歯車の半径方向で見られるように，真っ直ぐであることを意味する。従って、ハスバ歯車の歯および通常のかさ歯車の歯を含む；−　ブローチフライス削りは，漸進的に大きくなる深さと幅をもつ歯を多く有する回転式カッターによるフライス削りを意味する。<br><br><u>｛注</u><br><br>このサブクラスにおいて＋ＩＤＴという表現は以下を示す意味で用いる:‐ここに分類された文献はインデキシングコードＬ２３Ｆ３００／００　からＬ２３Ｆ９００／１２で表わされる範囲のＩＤＴグループに分類された。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。｝
B23G	ねじ切り；ねじ切りと関連した，ねじ，ボルト頭，またはナットの加工（旋削によるらせん溝の作成Ｂ２３Ｂ５／４８，フライス削りによるらせん溝の作成Ｂ２３Ｃ３／３２，鍛造，圧搾またはつちうちによるらせん溝の作成Ｂ２１Ｋ１／５６，研削によるらせん溝の作成Ｂ２４Ｂ１９／０２；ならい削りまたは制御のための装置Ｂ２３Ｑ；管を波形に縮めることによるねじ形成Ｂ２１Ｄ１５／０４，転造によるねじ形成Ｂ２１Ｈ３／０２）<br><br><u>注</u><br><br>ねじ切りという用語は，形状および使用方法の両方においてねじ切り工具と類似した工具の使用を含むが，どのような材料も除去しないものを含むものとして理解される。<br><br><u>｛注</u><br><br>このサブクラスにおいて＋ＩＤＴという表現は以下を示す意味で用いる:−　ここに分類される文献はインデキシングコードＬ２３Ｇ７００／００からＬ２３Ｇ７００／２２で表される範囲のＩＤＴグル−プに分類された。−　これらは管理上，前述のＩＤＴグル−プからこのサブクラスへ再分類された。｝
B23H	工具としての電極を使用し，工作物に高密度の電流を作用させることにより行う金属加工；このような加工と他の形式の金属加工とを複合させたもの（電解または電気泳動による被覆の形成方法，電気成形，またはそのための装置Ｃ２５Ｄ；対象物からの材料の電解除去方法Ｃ２５Ｆ；所望導電性パターンを形成するために，導電性材料の沈澱技術を用いる印刷回路の製造Ｈ０５Ｋ３／１８）<br><br><u>注</u><br><br>このサブクラスは電食と言われる金属加工を包含する。
B23K	ハンダ付またはハンダ離脱；溶接；ハンダ付または溶接によるクラッドまたは被せ金；局部加熱による切断，例．火炎切断:レーザービームによる加工（金属の押出しによる金属被覆製品の製造Ｂ２１Ｃ２３／２２；鋳造によるライニングまたは被覆の製作Ｂ２２Ｄ１９／０８；浸漬による鋳造Ｂ２２Ｄ２３／０４；金属粉末焼結による被合層の製造Ｂ２２Ｆ７／００；倣いまたは制御のための工作機械の装置Ｂ２３Ｑ；他に分類されない金属への被覆または材料への金属による被覆Ｃ２３Ｃ；バーナーＦ２３Ｄ）<br><br><u>注</u><br><br>このサブクラスにはサブクラスのタイトルに包含される目的に特に適した電気回路も包含する。このサブクラスにおいては，下記の用語は以下に示す意味で用いる：ハンダ付はハンダを用い接合されるどちらの部品も溶かさずに加熱し金属を接合することを意味する。<br><br><u>警告</u><br><br>B23K35/04 - B23K35/20は、B23K35/0205 -　23K35/0294に包含される。B23K35/363　 B23K35/3601 - B23K35/3618<br>
B23P	他に分類されない金属加工；複合作業；万能工作機械（ならい装置または制御装置Ｂ２３Ｑ）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する；<br>−クラスＢ２１〜Ｂ２４の異なるサブクラスに包含されるワーク加工作業の組み合わせ；<br>−例えばＣ２１Ｄ，Ｃ２２Ｃ，Ｃ２２ＦまたはＣ２３といった他の分類箇所に規定されない限りにおける，金属の非機械的処理を含む金属材料加工作業の組み合わせ。<br>このサブクラスは以下のものを包含しない：<br>−非金属材料に対して行う非機械的作業，ただしそのような作業がこのサブクラスに明文で定めてある場合を除く；<br>−単一サブクラスに包含される主作業と結合して行われる，それ自体は作業とみなされない付随作業，例．その後に続く金属加工作業にとって本質的な性質を持つ部品の組立て。<br>３．クラスＢ２３のタイトルに続く注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B23Q	工作機械の細部；構成部分，または付属装置，例．倣いまたは制御装置（旋盤またはボール盤の工具Ｂ２３Ｂ２７／００）；特定の細部または構成部分の構造により特徴づけられる工作機械一般；特定の結果を目的としない金属加工機械の組合わせ<br><br><u>｛注</u><br><br>[Ｃ０５０１｝以下に示す日付以降，下記のグループは分類表から削除された。これらのグループの文献は以下のとおりに新たなグループに移行された:Ｂ２３Ｑ１／１６Ｃ２はＢ２３Ｑ１／５２２に移行された。（２００５年１月）Ｂ２３Ｑ１／１６Ｃ３はＢ２３Ｑ１／５２５へ移行された。（２００５年１月）Ｂ２３Ｑ１／１６Ｃ４はＢ２３Ｑ１／５２７に移行された。（２００５年１月）Ｂ２３Ｑ１／１６Ｄ２ＢはＢ２３Ｑ１／５４３７に移行された。（２００５年１月）Ｂ２３Ｑ１／１６Ｄ２ＣはＢ２３Ｑ１／５４４３に移行された。（２００５年１月）Ｂ２３Ｑ１／１８Ｃ２はＢ２３Ｑ１／５８５に移行された。（２００５年１月）｝<br><br><u>注</u><br><br>１．このサブクラスにおいては，機械工具の部品を指定するグループにはそのような部品の構造的特徴に特色のある機械工具を包含する。２．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる:―制御とは，多少とも変量に影響をあたえること，例．その向きまたは値を変えること（それを零にまたは零から変化させることも含む），それを一定に保つこと，その変化範囲を制限すること，を意味する；―調整とは，変量を自動的に目標値または目標範囲に保つことを意味する。目標値または目標範囲は固定してもよいし，手入力で変えてもよく，あるいはあらかじめ定められたプログラムにしたがってまたは他の変量にしたがって時間的に変化してもよい。調整は制御の一形態である；―自動制御という語はこの技術分野では調整と同義語としてしばしば用いられる。３．クラスＢ２３のタイトルに続く<br><br><u>注</u><br><br>に注意すること。<br><br><u>｛注</u><br><br>このサブクラスにおいては　＋ＩＤＴの表現は次の意味で用いる:‐ここに分類される文献は一連のインデキシングコードＢ２３Ｑ２７０１／００からＢ２３Ｑ２７３５／０８７で表わされる範囲のＩＤＴグループに分類されていた。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。]
B24	研削；研磨<br>このクラスにおいては，下記の表現は以下に示す意味で用いる:<br>―「研削」は機械加工を意味する最も一般的な意味で用いられる。特に「矯正的な」操作を包含する。
B24B	　研削または研磨するための機械，装置，または方法（歯車の研削Ｂ２３Ｆ；ネジの研削Ｂ２３Ｇ１／３６；電気的浸食加工によるものＢ２３Ｈ；砥粒の吹付けまたは関連した吹付けＢ２４Ｃ；研削，バフ加工または刃砥ぎ用の工具Ｂ２４Ｄ；研磨用組成物Ｃ０９Ｇ１／００；研磨Ｃ０９Ｋ３／１４；電解エッチングまたは電解研磨Ｃ２５Ｆ３／００；敷設された軌道上で使用される研削装置Ｅ０１Ｂ３１／１７）；研削面のドレッシングまたは正常化；研削剤，研磨剤，またはラッピング剤の供給<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語は以下に示す意味で用いる:―研磨とは表面の平滑化を意味する，すなわち表面の改良だが研削工程で生じるような寸法精度の改善ではない。２．サブクラスＢ２３Ｆのタイトルに続く注（１）（２）に注意すること。３．グループＢ２４Ｂ１／００からＢ２４Ｂ２７／００において，ガラスに関連した研削および研磨の用語は同義として扱われる。<br><br><u>｛注</u><br><br>このサブクラスにおいては，＋ＩＤＴの表現は以下に示す意味で用いる:‐ここに分類された文献は一連のインデキシングコードＬ２４Ｂ７００／０１からＬ２４Ｂ７００／３５で表わされる範囲のＩＤＴグループに分類された。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。｝
B24C	　粒状物質を用いた研削性のまたはこれに類以のブラスト加工<br><br><u>注</u><br><br>１．　このサブクラスは以下のものを包含する:−―面処理または材料切断のために空気，ガスまたは液体に分散しているなんらかの微粒子または小球の吹き付けを用いるもの。なお，微粒子は通常砥材である；−気流以外の手段により噴射または付勢される微粒子または小球のジェットを同等に使用するもの２．このサブクラスにおいては，下記の用語は以下に示す意味で用いる:−�狹嵶貝爐肋綉�注（１）に記載した方法で使用する材料を包含する；−�狄疉佞鵜爐肋綉�注（１）に記載した材料の同等な噴射を包含する。<br><br><u>｛注</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）６７Ｂの有効期限の満了に伴い１９７３年９月５日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．　一般的なＩＰＣ　−　ＩＤＴコンコーダンスは以下のとおりである　:Ｂ２４Ｃ７／００　:　６７Ｃ３｝
B24D	　研削，バフ加工，または刃砥ぎ用工具（レンズ上の光学面または類似形状の表面の研削または研磨Ｂ２４Ｂ１３／０１；研削ヘッドＢ２４Ｂ４１／００；高分子物質を含む砥粒，摩擦粒子または成形材料の製造Ｃ０８Ｊ５／１４；研磨用組成物Ｃ０９Ｇ１／００；砥粒Ｃ０９Ｋ３／１４）<br><br><u>｛警告</u><br><br>１．このサブクラスは旧分類表（ＩｄＴ）２２Ｇの有効期限の満了に伴い１９７３年９月５日に導入された。２．特許文献は，有効期限が満了したＩｄＴ分類表からＩＰＣ分類表へ現在も継続的に再分類されている。３．一般的なＩＰＣ−ＩＤＴコンコ−ダンスは以下のとおりである。Ｂ２４Ｄ３／００　:　２２Ｇ１７Ｃ｝<br><br><u>注</u><br><br>１．このサブクラスはどのような材質も加工する研削工具を包含する。２．単一の他の箇所に分類された特定の目的のために特に考案された研削工具，バフ研磨工具または刃砥ぎ用工具は，その箇所，例．Ｂ２３Ｆ２１／０２，に分類される。<br><br><u>｛注</u><br><br>このサブクラスにおいて＋ＩＤＴという表現は以下を示す為に用いられている:　−ここで分類される文献はＬ２４Ｄ７００／０３からＬ２４Ｄ７００／０５Ｄの一連のインデキシングコードによりその範囲が示されるＩＤＴグループに分類されていた。　−これらは管理上の目的で上述のＩＤＴグループからこのサブクラスに再分類された。｝
B25	手工具；可搬型動力工具；手工具用の柄；作業場設備；マニプレータ<br>このクラスにおいては，下記の用語は以下に示す意味で用いる:<br>―可搬型は人手で取扱い易いようにするための，例．組立てラインにそって使用されるばねで吊り下げられた可搬型の装置に関連した，吊り下げ具を含む。
