H02K5/14	刷子または刷子保持器を支持または保護するための手段
H02K5/141	｛集電環との協働のためのもの｝
H02K5/143	｛整流子との協働のためのもの｝
H02K5/145	｛固定保持される刷子または刷子保持器，例．板ばね状のまたは板ばねが装着された刷子｝
H02K5/146	｛枢動保持された刷子または刷子保持器｝
H02K5/148	｛摺動保持された刷子｝
H02K5/15	軸受密封装置または端板の固定装置
H02K5/16	軸受を支持するための手段，例．絶縁支持体または軸受の覆い内で軸受を持ち上げるための手段（磁気軸受Ｈ０２Ｋ７／０９）
H02K5/161	｛回転子の両端で回転軸を径方向に支持するもの（Ｈ０２Ｋ５／１６５，Ｈ０２Ｋ５／１６７，Ｈ０２Ｋ５／１７３が優先）｝
H02K5/163	｛回転子の一端のみで回転軸を径方向に支持するもの（Ｈ０２Ｋ５／１６５，Ｈ０２Ｋ５／１６７，Ｈ０２Ｋ５／１７３が優先）｝
H02K5/165	｛固定された軸芯の周りに回転子を径方向に支持するもの；回転子を径方向に直接支持するもの（Ｈ０２Ｋ５／１６７，Ｈ０２Ｋ５／１７３が優先）｝
H02K5/167	滑り接触または球面キャップの軸受を用いたもの
H02K5/1672	｛回転子の両端で回転軸を径方向に支持するもの（Ｈ０２Ｋ５／１６７７が優先）｝
H02K5/1675	｛回転子の一端のみで回転軸を径方向に支持するもの（Ｈ０２Ｋ５／１６７７が優先）｝
H02K5/1677	｛固定された軸芯の周りに回転子を径方向に支持するもの；回転子を径方向に直接支持するもの｝
H02K5/173	転がり接触をともなう軸受，例．玉軸受，を用いたもの
H02K5/1732	｛回転子の両端で回転軸を径方向に支持するもの（Ｈ０２Ｋ５／１７３７が優先）｝
H02K5/1735	｛回転子の一端のみで回転軸を径方向に支持するもの（Ｈ０２Ｋ５／１７３７が優先）｝
H02K5/1737	｛固定された軸芯の周りに回転子を径方向に支持するもの；回転子を径方向に直接支持するもの｝
H02K5/18	熱伝達を改善するためのリブまたはフィンをもつもの
H02K5/20	冷却媒体を流すための溝またはダクトをもつもの
H02K5/203	｛液体に特に適合したもの，例．冷却ジャケット｝
H02K5/207	｛周囲の空気に特に適合した外箱における開口を有するもの｝
H02K5/22	グループＨ０２Ｋ５／０６〜Ｈ０２Ｋ５／２０に包含されない外枠の補助的な部品，例．接続箱または端子箱を形成するもの
H02K5/225	｛端子箱または接続装置（潜水電動機に特に適合するものＨ０２Ｋ５／１３２)｝
H02K5/24	騒音または振動の抑制または減少に特に適合するもの
H02K5/26	支持体に対して外箱を調節するための手段
H02K7/00	発電機または電動機と構造的に結合して機械的エネルギを取り扱うための装置，例．機械的駆動原動機または補助発電機または補助電動機との構造的結合
H02K7/003	｛継手；軸の細部（回転子を軸に載置する装置Ｈ０２Ｋ１／２８）｝
H02K7/006	｛電動機または発電機の自動車の駆動系との構造的結合｝
