B62J6/052	機械的手段，例．回転するアーム<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／０５２−Ｂ６２Ｊ６／０５４はグループＢ６２Ｊ６／０５からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J6/053	ロープまたはチェーンによって駆動されるもの
B62J6/054	手動のもの
B62J6/055	電気的手段のもの，例．ランプ<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／０５５−Ｂ６２Ｊ６／０５７はグループＢ６２Ｊ６／０５からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J6/056	制御手段に特徴があるもの
B62J6/057	自動作動，例．センサーによるもの
B62J6/06	照明用発電機の配置またはそのための装置
B62J6/08	タイヤ駆動
B62J6/10	ギヤ駆動（Ｂ６２Ｊ６／１２が優先）
B62J6/12	ハブ内に配置した発電機
B62J6/14	ベルト駆動
B62J6/16	スイッチの配置<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／１６はグループＢ６２Ｊ６／１６５への再分類の影響を受ける。<br>グループＢ６２Ｊ６／１６およびＢ６２Ｊ６／１６５はコンプリートサーチの完遂のために考慮されるべきである。
B62J6/165	無線スイッチ<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／１６５はグループＢ６２Ｊ６／１６からの文献の再分類が未完成であり保留されている。<br>グループＢ６２Ｊ６／１６およびＢ６２Ｊ６／１６５はコンプリートサーチの完遂のために考慮されるべきである。
B62J6/20	反射器の配置，｛例．車輪用スポークにあるもの｝（反射器を組み込んだペダルＢ６２Ｍ３／１２）；｛車輪スポークに取り付けられた照明装置｝
B62J6/22	警告灯またはインフォメーションライト<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／２２−Ｂ６２Ｊ６／２６はグループＢ６２Ｊ６／００からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J6/24	運転者に警告または知らせるためのもの，例．燃料減少警告灯
B62J6/26	他の道路使用者に警告または知らせるためのもの，例．警光灯
B62J7/00	荷物台
B62J7/02	自転車にそれを装置することに特徴のあるもの
B62J7/04	後輪の上方または後方に配置されるもの
B62J7/06	前輪の上方に配置されるもの，例．ハンドルバー上のもの
B62J7/08	荷物台に荷物を取付けるための装置
B62J9/00	自転車またはモーターサイクルに適合した特別の入れ物，例．荷かごまたはサドルバッグ<br><br><u>警告</u><br><br>グループＢ６２Ｊ９／００はグループＢ６２Ｊ９／１０，Ｂ６２Ｊ９／１２，Ｂ６２Ｊ９／１４，Ｂ６２Ｊ９／１６，Ｂ６２Ｊ９／１８，Ｂ６２Ｊ９／２３，Ｂ６２Ｊ９／２４，Ｂ６２Ｊ９／２６，Ｂ６２Ｊ９／２７，Ｂ６２Ｊ９／２８，およびＢ６２Ｊ９／３０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J9/10	自転車またはモーターサイクルに結合するもの<br><br><u>警告</u><br><br>グループＢ６２Ｊ９／１０−Ｂ６２Ｊ９／１２はグループＢ６２Ｊ９／００，Ｂ６２Ｊ９／２０，Ｂ６２Ｊ９／４０およびＢ６２Ｊ１１／２２からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J9/12	フェアリング内の
