G08B13/19658	｛カメラとの通信に用いられる電話方式，例．ＰＳＴＮ，ＧＳＭ，ＰＯＴＳ｝
G08B13/1966	｛カメラとの通信に用いられる電話方式以外の無線方式｝
G08B13/19663	｛カメラに局所的になされる処理に関する監視｝
G08B13/19665	｛ビデオ監視データの記憶装置に関する細部（テレビ信号の記憶Ｈ０４Ｎ５／７６）｝
G08B13/19667	｛データ圧縮，暗号化または符号化に関する細部，例．伝送帯域幅またはメモリ要件を下げるためにデータ容量を縮小させる解像度モード｝
G08B13/19669	｛事象が契機となる記憶または記憶手段の変更｝
G08B13/19671	｛ビデオストリームへの非ビデオデータ，すなわち．メタデータ，の追加｝
G08B13/19673	｛ビデオストリームへのタイムスタンプ，すなわち，時間のメタデータ，の追加｝
G08B13/19676	｛一時的記憶装置，例．循環メモリ，予備警報の緩衝記憶装置｝
G08B13/19678	｛ユーザインターフェイス｝
G08B13/1968	｛装置の設立または改造のためのインターフェイス｝
G08B13/19682	｛データをユーザに提示する画像インターフェイス［ＧＵＩ］装置，例．警報装置と対話するユーザを支援するスクリーン上の情報｝
G08B13/19684	｛遠隔地からビデオで見るために用いられる携帯端末，例．携帯電話｝
G08B13/19686	｛プライバシーのために個人的な細部を隠すインターフェイス，例．車両のナンバープレートに入れるぼかし｝
G08B13/19689	｛カメラの遠隔制御，例．ＰＴＺカメラのための遠隔での方向または画像ズームの制御｝
G08B13/19691	｛ユーザのよりよい知覚のための信号事象，例．表示器をより明るくすること，文字の追加，音の発生による警報表示｝
G08B13/19693	｛単一または合成のスクリーン上で見られる複数の映像源を用いるもの｝
G08B13/19695	｛ビデオ記録を開始または前進させしかしそれ自身では警報を発しない非ビデオ検知器をもつ装置｝
G08B13/19697	｛それ自身で警報を発する非ビデオ検知器をもつ装置｝
G08B13/20	流体圧の変化により動作するもの
G08B13/22	電気的に動作するもの｛（Ｇ０８Ｂ１３／２４９４が優先）｝
G08B13/24	電磁場の分布を妨害することにより動作するもの
G08B13/2402	｛電子式商品監視［ＥＡＳ］，すなわち，タグ付けされたものの保全区域からの移動を検出するためのタグ，すなわち万引き検出用のタグ，を用いる装置（タグの機械的観点，例．鎖錠に関するものＥ０５Ｂ７３／００１７；ＲＦＩＤ読取器Ｇ０６Ｋ７／００；ＲＦＩＤタグＧ０６Ｋ１９／００；アクセス制御装置Ｇ０７Ｃ９／００；販売装置における盗難防止制御Ｇ０７Ｇ３／００３；封かんＧ０９Ｆ３／０３）｝
G08B13/2405	｛使用されたタグ技術に特徴のあるもの｝
G08B13/2408	｛強磁性のタグを用いるもの｝
G08B13/2411	｛タグの非活性化｝
G08B13/2414	｛誘導性のタグを用いるもの｝
G08B13/2417	｛無線周波数識別チップを備えるもの（無線周波数識別タグそれ自体Ｇ０６Ｋ１９／００；資産またはロジスティックス一般Ｇ０６Ｑ１０／００）｝
G08B13/242	｛タグの非活性化｝
G08B13/2422	｛音響またはマイクロ波を用いるタグ｝
G08B13/2425	｛タグの非活性化｝
G08B13/2428	｛タグの細部｝
G08B13/2431	｛タグ回路の細部｝
G08B13/2434	｛タグの箱体および取付けの細部（容器のトランスポンダ一般Ｂ６５Ｄ２２０３／１０；容器の盗難防止手段Ｂ６５Ｄ２２１１／００）｝
G08B13/2437	｛タグ層構造，層にされたタグを製作するための処理｝
G08B13/244	｛タグの製造，例．連続製造処理｝
G08B13/2442	｛タグ材料およびそのタグ特性，例．磁性材料の細部｝
G08B13/2445	｛保護する物の中へのタグの組み込み，例．源へのタグ付け（容器の盗難防止手段Ｂ６５Ｄ２２１１／００）｝
G08B13/2448	｛少なくとも２重の検出手段をもつタグ，例．誘導性と強磁性を組み合わされたタグ，タグにおける単一技術で２重の周波数，不正検出または信号手段｝
G08B13/2451	｛ＥＡＳと組み合わされた特別な用途｝
G08B13/2454	｛ＥＡＳ装置におけるタグ付けされた物へアクセスする人の権限の確認｝
G08B13/2457	｛タグが再使用可能であるＥＡＳタグを用いる貸出装置，例．二度以上活性化され不活性化できるもの，例．図書館におけるもの｝
G08B13/246	｛ＥＡＳと組み合わされたチェックアウト装置，例．ＥＡＳタグに格納された価格情報（販売装置における盗難防止制御Ｇ０７Ｇ３／００３）｝
G08B13/2462	｛ＥＡＳと組み合わされた資産位置特定装置（資産，追跡，ロジスティックスＧ０６Ｑ１０／００；入場管理装置Ｇ０７Ｃ９／００）｝
G08B13/2465	｛ＥＡＳ装置に関する観点，例．タグ以外の装置構成部品｝
G08B13/2468	｛装置におけるアンテナおよび信号処理に関連するもの｝
G08B13/2471	｛受信器または送信器によるアンテナ信号処理｝
G08B13/2474	｛アンテナまたはアンテナ活性機の構造，装置または配置（ループアンテナＨ０１Ｑ１／２２）｝
G08B13/2477	｛アンテナまたはアンテナ活性機の回路｝
G08B13/248	｛他の検出技術と組み合わされたＥＡＳ装置，例．ＥＡＳとビデオまたは他の存在検出装置｝
G08B13/2482	｛ＥＡＳ法，例．検出処理のフローチャートの記述｝
G08B13/2485	｛多数のＥＡＳタグの同時検出｝
G08B13/2488	｛タイミング問題，例．多数の発生器または信号発生器および受信器における信号衝突を回避する同期手段｝
G08B13/2491	｛潜入検出装置，すなわち潜入者の体が電磁界に対する干渉を引き起こすことによるもの｝
G08B13/2494	｛他の電気的感知手段と組み合わされた電磁界分布の干渉によるもの，例．他の感知手段と組み合わされたマイクロ波検出器｝
G08B13/2497	｛伝送線，例．ケーブルを用いるもの｝
G08B13/26	潜入者の接近によって生じる回路のキャパシタンスまたはインダクタンスの変化を利用するもの
G08B15/00	夜盗，泥棒または潜入者を検出するもの，威嚇するものまたはその行為をできなくするもの，例．爆薬などによるもの
G08B15/001	｛隠されたシステム，例．隠密のシステムをなす偽装警報システム｝
G08B15/002	｛居住を装うもの｝
