B62K25/30	ペダルクランクハンガーに枢着したもの（Ｂ６２Ｋ２５／３２が優先）
B62K25/32	チエーンカバーを構成するチエーンステー
B62K27/00	サイドカー；前方に連結する車体またはそれに類似のもの（推進装置に特徴をもつものＢ６２Ｍ；トレイラーＢ６０Ｐ，Ｂ６２Ｄ）
B62K27/003	
B62K27/006	
B62K27/02	フレーム
B62K27/04	車体；形状
B62K27/06	弾性的車軸支持装置
B62K27/08	フレーム上の弾性的車体支持装置
B62K27/10	他の構成部品または附属品
B62K27/12	車体取付けのための連結部品；それの装置
B62K27/14	弾性的連結部材
B62K27/16	車蓋；雨覆い，例．風防
B62K2201/00	自転車フレームまたはその部品内に使用されるばね
B62K2201/02	ゴムばね
B62K2201/04	コイルばね
B62K2201/06	板ばね
B62K2201/08	流体ばね
B62K2202/00	電動スクーター
B62K2204/00	
B62K2206/00	
