D06F81/00	アイロンかけ台（カバー又はパットＤ０６Ｆ８３／００；使用位置へ引き出し可能なアイロンかけ台を備えた台所用キャビネットＡ４７Ｂ７７／１０）
D06F81/003	｛平らな鉄の支持体を有するもの｝
D06F81/006	｛布の支持体または衣服棚を有するもの｝
D06F81/02	折りたたみ式の脚枠をもつもの
D06F81/04	高さの調節手段をもつもの
D06F81/06	独立した支持体，例．壁，に取り付けられるもの
D06F81/08	加熱，蒸気噴霧，強制通風の手段を兼ね備えたもの
D06F81/10	上面板
D06F81/12	そで板；その取り付け手段
D06F81/14	カバー取り付け手段
D06F83/00	アイロンかけまたはプレスこてに用いるカバーまたはパット
D06F85/00	製品とアイロンまたはプレス面間に介在する独立した部材
D06F87/00	アイロンかけまたはプレスかけする製品に含湿またはその他の状態を与える装置（成形台，芯体，伸張具または内挿組立台を用い，熱または蒸気を作用させることによって，衣服その他の布帛製品からしわを除去しまたは平滑加工する装置Ｄ０６Ｆ７３／００；｛洗たく物乾燥機と組み合わせて使用される装置Ｄ０６Ｆ５８／２０３｝）
D06F89/00	布帛製品のステープル留めをともなうまたはともなわない折り畳み装置
D06F89/005	｛手動折り畳み装置，例．ベッドシーツを折り畳むためのもの（Ｄ０６Ｆ８９／０２が優先）｝
D06F89/02	着用する布帛製品，例．シャツ
D06F89/023	｛シャツ｝
D06F89/026	｛細部，例．えり保持具｝
D06F91/00	のり付け装置
D06F93/00	特にラウンドリーに適合する計数，仕分け，印付け装置
D06F93/005	｛印付け装置｝
D06F95/00	ラウンドリーシステム又はその装置あるいは機械の配置；移動式洗濯所（Ｄ０６Ｆ３１／００が優先）
D06F95/002	｛洗たく物の保持または運搬に特に適したかごまたは袋；そのための支持具｝
D06F95/004	｛袋；そのための支持具｝
D06F95/006	｛洗たく中，洗たく物を保持するための袋（Ｄ０６Ｆ５／００５が優先）｝
D06F95/008	｛洗たく中，物品を一緒にしておく装置，例．靴下を対にしておくもの（Ｄ０６Ｆ９５／００４が優先）；洗たく中，物品のある部分を保護または守るための装置，例．ボタン保護具｝
D06F2101/00	家庭用洗濯機，洗濯乾燥機又は衣類乾燥機の制御のためにユーザが入力するもの
D06F2101/02	衣類又は負荷の特徴
D06F2101/04	量，例．重量
D06F2101/06	種類又は素材
D06F2101/10	回転速度
D06F2101/12	洗濯温度
D06F2101/14	時間設定
D06F2101/16	乾燥工程のための目標湿度，例．強乾燥サイクル
D06F2101/18	乾燥工程のための目標温度，例．低温サイクル
