E05Y2400/334	パルス発生器の使用による
E05Y2400/336	角形式の
E05Y2400/337	エンコーダホイール
E05Y2400/338	直線形式の
E05Y2400/34	パルス計測限界値設定
E05Y2400/342	パルス計測値設定または修正
E05Y2400/35	特定の位置に関連する
E05Y2400/354	端位置
E05Y2400/356	事前に定義された中間位置
E05Y2400/358	端位置の付近
E05Y2400/36	速度の制御，検出または監視
E05Y2400/37	
E05Y2400/40	それらのための制御単位
E05Y2400/41	複数の発電機のためのもの
E05Y2400/415	複数のウイングのためのもの
E05Y2400/42	複数の開口部分のためのもの
E05Y2400/44	それらのためのセンサー（Ｅ０５Ｙ２４００／３２２，Ｅ０５Ｙ２４００／３３，Ｅ０５Ｙ２４００／５５，Ｅ０５Ｙ２４００／５６，Ｅ０５Ｙ２４００／８５２が優先）
E05Y2400/445	スイッチ
E05Y2400/446	
E05Y2400/447	
E05Y2400/449	
E05Y2400/45	制御モード
E05Y2400/452	省エネのため
E05Y2400/454	障害のあるユーザーの便宜を図るため
E05Y2400/456	プログラミングのため
E05Y2400/458	サービス信号を発信するため
E05Y2400/50	故障検出
E05Y2400/502	構成部品の
E05Y2400/504	制御の
E05Y2400/506	平衡力の
E05Y2400/508	検出の
E05Y2400/51	位置の，バックドライブの
E05Y2400/512	電力の
E05Y2400/514	速度の
E05Y2400/52	安全対策（ウイングの手動操作のための安全手段Ｅ０５Ｙ２８００／１１６）
E05Y2400/522	バックドライブ防止
E05Y2400/525	車両乗っ取り防止
E05Y2400/528	
E05Y2400/53	ウイング衝撃の防止または減少
E05Y2400/532	緊急ブレーキ
E05Y2400/54	障害または抵抗の検出
E05Y2400/55	負荷センサーの使用による（蝶番，ウイング，窓などのようなものの電子制御のためのセンサーＥ０５Ｙ２４００／４４）
E05Y2400/552	スイッチ
E05Y2400/554	発電級荷の感知
E05Y2400/56	速度センサーの使用による（蝶番，ウイング，窓などのようなものの電子制御のためのセンサーＥ０５Ｙ２４００／４４）
E05Y2400/562	スイッチ
E05Y2400/564	発電機速度の感知
E05Y2400/57	それの無効化
E05Y2400/58	感度の設定または調節
E05Y2400/60	電源装置；電力または信号の伝送
E05Y2400/61	電源装置
E05Y2400/612	バッテリー
E05Y2400/614	それの充電
E05Y2400/616	ジェネレーター
E05Y2400/628	太陽電池
E05Y2400/65	電力または信号の伝送
E05Y2400/652	バスによる
E05Y2400/654	ケーブルによる
E05Y2400/656	進行接触による
E05Y2400/658	電流レールと共に
E05Y2400/66	無線伝送
E05Y2400/662	光波による
E05Y2400/664	電波による
E05Y2400/80	ユーザーインターフェース
E05Y2400/81	ユーザーディスプレー
E05Y2400/812	音響表示と共に
E05Y2400/814	発音装置，例．スピーカー
E05Y2400/816	発声装置
E05Y2400/818	映像ディスプレー
E05Y2400/82	イメージ，シンボル
E05Y2400/822	光放出器，例．ＬＥＤ
E05Y2400/83	
E05Y2400/85	ユーザー入力手段
E05Y2400/8505	
E05Y2400/851	
E05Y2400/8515	
E05Y2400/852	センサー
E05Y2400/854	スイッチ
E05Y2400/856	それの作動
E05Y2400/858	人体部分による
E05Y2400/86	手による
E05Y2600/00	このサブクラスに包含される素子のための取付または連結の手配
E05Y2600/10	調節可能または移動可能
E05Y2600/11	自動的に作動する手段による
E05Y2600/12	手動操作による
E05Y2600/13	発電機，磁石，ばね，重しによる
E05Y2600/14	位置を保持する手段と共に
E05Y2600/20	動きの伝送により特徴づけられるもの
E05Y2600/30	動きの形式により特徴づけられるもの
E05Y2600/31	直線的動き
E05Y2600/312	水平の動き
E05Y2600/314	垂直の動き
E05Y2600/32	回転的動き
E05Y2600/322	水平軸の周囲を回転
E05Y2600/324	垂直軸の周囲を回転
E05Y2600/33	段階的動き
E05Y2600/40	取付場所；素子にとっての可視性
E05Y2600/41	隠す
E05Y2600/412	溝の中に
E05Y2600/45	固定枠の中または上に
E05Y2600/452	床または壁の中または上に
E05Y2600/454	発電機の中または上に
E05Y2600/456	サスペンション部材の中または上に
E05Y2600/458	伝送部材の中または上に
E05Y2600/46	ウイングの中または上に
E05Y2600/50	取付方法；位置づけ
E05Y2600/502	クランピング
E05Y2600/504	膨張
E05Y2600/506	プラスチック変型
E05Y2600/508	リベット締め（一般Ｂ２１Ｊ）
E05Y2600/51	ねじ締めまたはボルト締め
E05Y2600/52	工具不要
E05Y2600/522	軸状スタッキング
E05Y2600/524	摩擦
E05Y2600/526	接着または合着
E05Y2600/528	フッキング，例．銃剣の使用；錠掛け
E05Y2600/53	スナッピング
E05Y2600/54	溶接（一般Ｂ２３Ｋ，Ｂ２９Ｃ６５／０２）
E05Y2600/56	位置づけまたは先行取付
E05Y2600/58	
E05Y2600/60	部材の取付または連結（構造素子または機械部品をまとめて留めるまたは締める装置，例．釘，ボルト，一般Ｆ１６Ｂ）；そのための付属品
E05Y2600/61	ねじ状部材
E05Y2600/62	ボルト
E05Y2600/622	合わせ釘；ピン
E05Y2600/624	ナット
E05Y2600/626	皿またはブラケット
E05Y2600/628	プロフィール
E05Y2600/63	リテーナ
E05Y2600/632	スクリュー
E05Y2600/634	スペーサー
E05Y2600/636	ワッシャー
E05Y2800/00	他の箇所に分類されない詳細，付属品および補助操作
E05Y2800/10	追加的機能
E05Y2800/102	追加的ウイング動作
E05Y2800/104	加熱
E05Y2800/106	照明
E05Y2800/108	潤滑
E05Y2800/12	封孔
E05Y2800/122	テレスコピック動作
E05Y2800/13	
E05Y2800/15	適応性
E05Y2800/16	固定および可動ウイングの組合せに適合可能
E05Y2800/162	可動ウイングが閉じた状態にあるときの両ウイングが共角
E05Y2800/17	普遍的に適応可能
E05Y2800/172	異なるウイングまたは枠の場所に
E05Y2800/174	左にも右に
E05Y2800/176	異なるウイング形式に
E05Y2800/178	異なる厚さをもつウイングに
E05Y2800/20	素子の組合せ
E05Y2800/205	単位の形成
E05Y2800/21	同一素子の，例．同一の押しばねの
E05Y2800/22	同一カテゴリーの異なる素子の，例．同一でないばねの組合せ
E05Y2800/23	異なるカテゴリーの素子の
E05Y2800/232	発電機と伝動装置の
E05Y2800/234	発電機と制動装置の
