A46B11/0031	｛ノブの回転に影響するための手段，例．ラチェット，クリック機構，一方向クラッチ｝
A46B11/0034	｛段階的に進むためのラチェット機構または同等の機構からなる手段｝
A46B11/0037	｛ピストンまたはプランジャがブラシの柄の側面に沿って直接押圧されることにより進むもの｝
A46B11/0041	｛可撓性または変形可能な貯槽，例．弾性バルブ，圧縮可能な管｝
A46B11/0044	｛管が長手方向に対する横方向を軸として巻き上げられるもの｝
A46B11/0048	｛管が長手方向に沿ってねじられるもの｝
A46B11/0051	｛ぜん動ポンプ｝
A46B11/0055	｛加圧手段として作用する往復動ピストンまたはプランジャのあるもの｝
A46B11/0058	｛計測された投入量であるもの｝
A46B11/0062	｛貯槽が空になったときに貯槽が再充填されることが特に意図されたブラシ｝
A46B11/0065	｛貯槽が空になったときに貯槽が交換されることが特に意図されたブラシ｝
A46B11/0068	｛貯槽が固形物質が徐々にとけるように特に意図されたブラシ｝
A46B11/0072	｛細部｝
A46B11/0075	｛密封された貯槽を開ける，刺すまたは孔をあけるたけにブラシに一体化された手段，例．挿入器｝
A46B11/0079	｛望まれない漏れまたは排出を防ぐための装置｝
A46B11/0082	｛閉塞，密封または毛細管現象を用いた流量制御のための手段｝
A46B11/0086	｛閉塞または密封のための手段，例．ブラシを使用していないときの漏れまたは乾燥を防ぐための歯磨き剤の取り出し口｝
A46B11/0089	｛毛のためのキャップまたはカバー｝
A46B11/0093	｛滴下または溢出を受け止めるための装置｝
A46B11/0096	｛残った液体の液面高さの表示、例．透明な壁を通してのもの｝
A46B11/06	供給管｛または他の外部供給手段｝に連結されたもの｛（Ａ４６Ｂ１１／０００３およびＡ４６Ｂ１１／０００６が優先）｝
A46B11/063	｛供給管によるもの｝
A46B11/066	｛付加剤，例．石鹸，を導入する手段のあるもの｝
A46B11/08	加熱装置を有するもの
A46B13/00	駆動されるブラシ台｛または支持体｝を有するブラシ（動力駆動歯ブラシＡ６１Ｃ１７／１６）
A46B13/001	｛筒状または環状のブラシ台｝
A46B13/003	｛一連の環状ブラシリングでできたもの；そのための環状ブラシリング｝
A46B13/005	｛一連の長い帯状体または部分でできたもの｝
A46B13/006	｛帯状体の房を台の回りに螺旋状に巻き上げて形成されたもの｝
A46B13/008	｛円板状のブラシ台｝
A46B13/02	動力で駆動される｛支持体｝
A46B13/023	｛毛に振動を与える手段のあるもの｝
A46B13/026	｛回転の方向が自動的に逆転されるブラシ，例．重力スイッチを用いるもの｝
A46B13/04	物質を供給する貯槽または他の装置を有するもの
A46B13/06	供給された媒体によって駆動されるブラシを有するもの
A46B13/08	手動によるもの
A46B15/00	その他のブラシ；付属装置を有するブラシ
A46B15/0002	｛ブラシ掛け作用の監視または制御を促進する装置｝
A46B15/0004	｛制御手段のあるもの｝
A46B15/0006	｛ブラシ制御技法装置，例．ストローク変位測定装置，のあるもの｝
A46B15/0008	｛期間，例．ブラシ掛け時間，を制御するための手段のあるもの｝
A46B15/001	｛ブラシの残りの使える期間を表示する装置のあるもの｝
A46B15/0012	｛圧力制御装置のあるもの｝
A46B15/0014	｛温度制御装置のあるもの｝
A46B15/0016	｛改良手段のあるもの｝
A46B15/0018	｛帯電防止特性のあるもの｝
A46B15/002	｛静電気を除去または発生させるための手段のあるもの｝
A46B15/0022	｛電気的手段のあるもの｝
A46B15/0024	｛イオン発生手段のあるもの｝
A46B15/0026	｛磁気手段のあるもの｝
A46B15/0028	｛音響手段のあるもの｝
A46B15/003	｛熱に関する改良｝
A46B15/0032	｛歯を磨くための突起のあるもの｝
A46B15/0034	｛歯および関連する表面に照射するための放射線，例．紫外線，赤外線，レーザ，Ｘ線，の光源のあるもの｝
A46B15/0036	｛照明手段，例．レーザ，電球，のあるもの（Ａ４６Ｂ１５／００３４が優先｝
A46B15/0038	｛信号手段のあるもの｝
A46B15/004	｛音響信号手段，例．ノイズ，のあるもの｝
A46B15/0042	｛音楽信号手段のあるもの｝
A46B15/0044	｛光信号手段のあるもの（Ａ４６Ｂ１５／００３４，Ａ４６Ｂ１５／００３６が優先）｝
A46B15/0046	｛振動信号手段のあるもの｝
A46B15/0048	｛しずくの収集器，例．ブラシ掛け動作中のブラシからの液体のしずくの収集｝
A46B15/0051	｛換気手段，例．空気バッファ，空気抜き，が取り付けられたブラシ｝
A46B15/0053	｛換気吸引器が取り付けられたブラシ，例．ごみを取り除くためのもの（真空掃除機Ａ４７Ｌ７／００）｝
A46B15/0055	｛通常のブラシ掛け動作とは異なる他の用具，例．櫛，かみそり，鏡，と組み合わされたブラシ｝
A46B15/0057	｛耳を掃除するための装置が取り付けられたブラシ｝
A46B15/0059	｛櫛を備えたブラシ｝
A46B15/0061	｛付属品，例．錠剤，磨き剤，コンドーム，薬剤，のための容器を備えたもの（Ａ４６Ｂ１１／００が優先）｝
A46B15/0063	｛容器，例．靴磨き剤，を開けるための装置を備えたブラシ（Ａ４６Ｂ１１／００９３が優先）｝
A46B15/0065	｛付属的な切断具，例．爪切り，髪切り，を備えたブラシ｝
A46B15/0067	｛飲用装置が取り付けられたブラシ，すなわち，飲用を可能にする装置を備えたブラシ｝
A46B15/0069	｛歯間装置，例．爪楊枝，が取り付けられたブラシ（Ａ４６Ｂ２２００／１０８が優先）｝
A46B15/0071	｛フロス掛け装置を備えた歯ブラシ（Ａ６１Ｃ１５／０４が優先）｝
A46B15/0073	｛フロスを用いるための装置を備えたブラシ｝
A46B15/0075	｛付属的なマッサージ装置を備えたブラシ｝
A46B15/0077	｛鏡が取り付けられたブラシ｝
A46B15/0079	｛かみそりまたは他のひげそり具が取り付けられたブラシ｝
A46B15/0081	｛へら，例．舌へら，を備えたブラシ｝
A46B15/0083	｛靴べらを備えたブラシ｝
A46B15/0085	｛識別，マーキング用の装置またはデザインを備えたブラシ｝
A46B15/0087	｛柄の表面または中に装飾を備えたブラシ｝
A46B15/0089	｛柄に動物などの人形を備えたブラシ｝
A46B15/0091	｛さまざまな装置が集められた容器，例．袋または箱｝
A46B15/0093	｛ブラシ部品が連続装填されたものまたはセット，例．複数のブラシが連なってパッケージになったもの｝
A46B15/0095	｛使用後に収納するための機能を備えたブラシ｝
A46B15/0097	｛自己支持，例．まっすぐにまたは他の特定の方向に立つブラシ｝
A46B17/00	ブラシの付属品
A46B17/02	使用するのにブラシを保持するための装置
A46B17/04	毛に対する保護カバー
A46B17/06	使用後のブラシを掃除する装置
A46B17/065	｛ブラシの殺菌；ブラシを殺菌するために一体化された製品，例．錠剤，すすぎ液，消毒薬｝
