C03C4/0007	｛生物学的に調和するガラス用｝
C03C4/0014	｛生分解性ガラス｝
C03C4/0021	｛歯科用｝
C03C4/0028	｛クリスタルガラス，例．無鉛クリスタルガラス，用｝
C03C4/0035	｛ガラス中に含まれた化合物を制御しつつ放出するための可溶ガラス用｝
C03C4/0042	｛特定の同位体からなるまたは特定の同位体を含むガラス用｝
C03C4/005	｛オパール質ガラス用｝
C03C4/0057	｛超音波遅延線ガラス用｝
C03C4/0064	｛自己破壊性ガラス用（Ｃ０３Ｃ４／００１４が優先）｝
C03C4/0071	｛レーザーガラス用｝
C03C4/0078	｛線量計ガラス用｝
C03C4/0085	｛紫外線透過ガラス用｝
C03C4/0092	｛改善された高透過率を有するガラス，例．格別に透明なガラス．用｝
C03C4/02	着色ガラス用
C03C4/04	感光性ガラス用
C03C4/06	ホトトロピックまたはホトクロミックガラス用
C03C4/065	｛銀ハロゲン化物を含まないホトクロミックガラス用｝
C03C4/08	特定波長の放射線を選択的に吸収するガラス用
C03C4/082	｛赤外線吸収ガラス用｝
C03C4/085	｛紫外線吸収ガラス用｝
C03C4/087	｛エックス線吸収ガラス用｝
C03C4/10	赤外線透過ガラス用
C03C4/12	発光ガラス用；けい光ガラス用
C03C4/14	導電性ガラス用
C03C4/16	誘電性ガラス用
C03C4/18	イオン感応性ガラス用
C03C4/20	耐薬品性ガラス用
C03C8/00	ほうろう；うわ薬；非フリット添加物をもつフリット組成物である溶融封止剤組成物
C03C8/02	フリット組成物，つまり粉末化または粉砕された形にあるもの
C03C8/04	亜鉛を含むもの
C03C8/06	ハロゲンを含むもの
C03C8/08	りんを含むもの
C03C8/10	鉛を含むもの
C03C8/12	チタンまたはジルコニウムを含むもの
C03C8/14	非フリット添加物をもつガラスフリット混合物，例．乳白剤，着色剤，ミル添加物
C03C8/16	ビヒクルまたは懸濁化剤をもつもの，例．スリップ
C03C8/18	遊離金属を含むもの
C03C8/20	チタン化合物を含むもの；ジルコニウム化合物を含むもの
C03C8/22	異なる組成をもつ二つ以上の異ったフリットを含むもの
C03C8/24	非フリット添加物をもつフリット組成である溶融封止剤組成物，すなわち．異種材料，例．ガラスおよび金属，の間のシールとして用いるためのもの；ガラスはんだ
C03C8/245	｛重量比５０％以上の酸化鉛を含むもの｝
C03C10/00	失透ガラス―セラミックス，すなわち．ガラス相内に分散され，全組成の少なくとも５０重量％を構成する結晶相をもつガラスセラミックス
C03C10/0009	｛主成分としてシリカを含むもの｝
C03C10/0018	｛主成分としてＳｉＯ２，Ａｌ２Ｏ３および一価金属の酸化物を含むもの｝
C03C10/0027	｛主成分としてＳｉＯ２，Ａｌ２Ｏ３，Ｌｉ２Ｏを含むもの｝
C03C10/0036	｛主成分としてＳｉＯ２，Ａｌ２Ｏ３および二価金属の酸化物を含むもの｝
C03C10/0045	｛主成分としてＳｉＯ２，Ａｌ２Ｏ３およびＭｇＯを含むもの｝
C03C10/0054	｛ＰｂＯ，ＳｎＯ２，Ｂ２Ｏ３を含むもの｝
C03C10/0063	｛廃棄物，例．スラグ，を含むもの｝
C03C10/0072	｛フェロエレクトリック結晶相をもつもの｝
C03C10/0081	｛磁性結晶相をもつもの｝
C03C10/009	｛超電導性結晶相をもつもの｝
C03C10/16	ハロゲン含有結晶質相
C03C11/00	あわガラス；｛多孔質または中空のガラスまたはガラス粒子｝
C03C11/002	｛中空ガラス粒子｝
C03C11/005	｛相を分離する工程後の脱塩化により得られるもの｝
C03C11/007	｛発泡ガラス，例．発泡剤の添加および加熱により得られるもの｝
C03C12/00	粉末ガラス（Ｃ０３Ｃ８／０２が優先）；ビーズ組成物
C03C12/02	反射性ビーズ
C03C13/00	繊維またはフィラメント組成物（繊維またはフィラメントの製造Ｃ０３Ｂ３７／００）
C03C13/001	｛アルカリ抵抗性繊維｝
C03C13/002	｛ジルコニウムを含むもの｝
C03C13/003	｛導電性または半導電性の繊維｝
C03C13/005	｛可溶性相の脱塩化および固化により得られるもの｝
C03C13/006	｛ガラスセラミック繊維｝
C03C13/007	｛ジルコニウムを含むもの｝
C03C13/008	｛多結晶光ファイバー｝
C03C13/04	光ファイバー，例．コアおよびクラッド繊維組成物（ライトガイドＧ０２Ｂ６／００）
C03C13/041	｛非酸化物ガラス組成物｝
C03C13/042	｛ふっ化物ガラス組成物｝
C03C13/043	｛カルコゲナイドガラス組成物｝
C03C13/044	｛ハロゲンを含むもの，例．カルコハロゲン化物ガラス組成物｝
C03C13/045	｛シリカを含む酸化物ガラス組成物｝
C03C13/046	｛多成分ガラス組成物｝
C03C13/047	｛重水素を含有するもの｝
C03C13/048	｛シリカを含まない酸化物ガラス組成物｝
C03C13/06	鉱物繊維，例．スラグウール，ミネラルウール，ロックウール
C03C14/00	一つの非ガラス成分を含有するガラス組成物，例．ガラスマトリックス内に分散された繊維，フィラメント，ウィスカー，小薄板または類似のものを含む組成物（失透したガラスセラミックスＣ０３Ｃ１０／００）
C03C14/002	｛非ガラス成分が繊維，フィラメント，糸，フェルトまたは織布の形態であるもの｝
C03C14/004	｛非ガラス成分が粒子または薄片の形態であるもの｝
C03C14/006	｛非ガラス成分が微結晶，例．光学的または電気的に活性な物質，の形態であるもの｝
C03C14/008	｛非ガラス成分が分子状であるもの｝
C03C15/00	繊維やフィラメントの形態をとらないガラスの，エッチングによる表面処理（エッチングまたは表面のつや出し用組成物一般Ｃ０９Ｋ１３／００）
C03C15/02	なめらかな表面を作るためのもの
C03C15/025	｛結晶ガラスのつやだしのためのもの，すなわち，鉛ガラス｝
C03C17/00	繊維やフィラメントの形態をとらないガラスの被覆による表面処理（光学要素の光学的被覆Ｇ０２Ｂ１／１０）
C03C17/001	｛被覆のための一般的方法；そのための装置｝
C03C17/002	｛平板ガラスのためのもの，例．フロートガラス｝
C03C17/003	｛中空品，例．容器，のためのもの｝
C03C17/004	｛内側の被覆｝
C03C17/005	｛外側の被覆｝
C03C17/006	｛複合特性をもつ物質によるもの｝
C03C17/007	｛連続相中に分散相，例．粒子，繊維，薄片，をもつもの｝
C03C17/008	｛グループＣ０３Ｃ１７／０２，Ｃ０３Ｃ１７／０６，Ｃ０３Ｃ１７／２２およびＣ０３Ｃ１７／２８の２つ以上に包含される物質の混合物からなるもの｝
C03C17/009	｛有機および無機物質の混合物，例．オルモシルおよびオルモセル｝
C03C17/02	ガラスによるもの（Ｃ０３Ｃ１７／３４，Ｃ０３Ｃ１７／４４が優先）
C03C17/04	ガラス粉末を撒布，焼結することによる
C03C17/06	金属によるもの（Ｃ０３Ｃ１７／３４，Ｃ０３Ｃ１７／４４　が優先）
C03C17/09	蒸気相からの析出によるもの
C03C17/10	液相からの析出によるもの
C03C17/22	他の無機物によるもの（Ｃ０３Ｃ１７／３４，Ｃ０３Ｃ１７／４４が優先）
C03C17/225	｛窒化物｝
C03C17/23	酸化物（Ｃ０３Ｃ１７／０２が優先）
C03C17/245	蒸気相からの析出によるもの
C03C17/2453	｛ＳｎＯ２を含む被覆｝
C03C17/2456	｛ＴｉＯ２を含む被覆｝
C03C17/25	液相からの析出によるもの
C03C17/253	｛ＳｎＯ２を含む被覆｝
C03C17/256	｛ＴｉＯ２を含む被覆｝
C03C17/27	前に行った被覆の酸化によるもの
C03C17/28	有機物質によるもの（Ｃ０３Ｃ１７／３４，Ｃ０３Ｃ１７／４４が優先）
C03C17/30	けい素含有化合物によるもの
C03C17/32	合成または天然樹脂によるもの（Ｃ０３Ｃ１７／３０が優先）
C03C17/322	｛ポリウレタンまたはポリイソシアネート｝
C03C17/324	｛ポリエステル｝
C03C17/326	｛エポキシ樹脂｝
C03C17/328	｛ポリオレフィン｝
C03C17/34	組成の異なる少くとも２種の被覆を有するもの（Ｃ０３Ｃ１７／４４が優先）
C03C17/3405	｛有機材料の少くとも２種の被覆を有するもの（Ｃ０３Ｃ１７／３６，Ｃ０３Ｃ１７／４２が優先）｝
C03C17/3411	｛無機材料の少なくとも２種の被覆を有するもの（Ｃ０３Ｃ１７／３６，Ｃ０３Ｃ１７／４２が優先）｝
C03C17/3417	｛全ての被覆が酸化物被覆であるもの｝
C03C17/3423	｛少なくとも１つの被覆が亜酸化物からなるもの｝
C03C17/3429	｛少なくとも１つの被覆が非酸化物であるもの｝
C03C17/3435	｛窒化物，酸窒化物，ほう窒化物または炭窒化物からなるもの｝
C03C17/3441	｛炭素，炭化物またはオキシ炭化物からなるもの｝
C03C17/3447	｛ハロゲン化物からなるもの｝
C03C17/3452	｛ふっ化物からなるもの｝
C03C17/3458	｛塩化物からなるもの｝
C03C17/3464	｛カルコゲン化物からなるもの｝
C03C17/347	｛硫化物またはオキシサルファイドからなるもの｝
C03C17/3476	｛セレン化物またはテルル化物からなるもの｝
C03C17/3482	｛けい素，水素化けい素またはけい化物からなるもの｝
C03C17/3488	｛ほう化物またはりん化物からなるもの｝
C03C17/3494	｛他の塩，例．硫酸塩，りん酸塩からなるもの｝
C03C17/36	少くとも１つの被覆が金属であるもの
C03C17/3602	｛金属が層として存在するもの｝
C03C17/3605	｛ガラス／金属／無機化合物，の型の被覆｝
C03C17/3607	｛ガラス／無機化合物／金属，の型の被覆｝
C03C17/361	｛ガラス／金属／無機化合物／金属／無機化合物／他のもの，の型の被覆｝
C03C17/3613	｛ガラス／無機化合物／金属／無機化合物／金属／他のもの，の型の被覆｝
C03C17/3615	｛少くとも１つの層が非金属である，ガラス／金属／他の無機層，の被覆｝
C03C17/3618	｛少くとも１つの層が金属である，ガラス／無機化合物／他の無機層，の被覆｝
C03C17/3621	｛１つの層が少くともふっ化物を含むもの｝
C03C17/3623	｛１つの層が少くとも塩化物，臭化物またはよう化物を含むもの｝
C03C17/3626	｛１つの層が少くとも窒化物，酸窒化物，ほう窒化物または炭窒化物を含むもの｝
C03C17/3628	｛１つの層が少くとも硫化物を含むもの｝
