H01H2003/0233	｛警報の作動のためのもの，例．火災報知，ガラスの破壊によって操作される緊急オフスイッチ｝
H01H2003/024	｛それを引っ張ることで双安定緊急操作部がリセットされるもの｝
H01H2003/0246	｛それ自身または付属部材を回転させることで双安定緊急操作部がリセットされるもの｝
H01H3/0253	｛個別に作用する２個の接触子（組み合わせ回路遮断器用Ｈ０１Ｈ８９／１０）｝
H01H2003/026	｛事故時の車の乗員の負傷の防止に特に適合されたもの｝
H01H2003/0266	｛操作部が非作動位置から電気駆動によって移動可能であるもの｝
H01H2003/0273	｛手動で不可逆的に作動するスイッチ｝
H01H2003/028	｛回転するノブまたはレバーまたは槓桿が一方向のみに手で回転または押動できるもの，例．タンブラーに手の届かない一面を作ることによるもの｝
H01H2003/0286	｛異常な外力が加わった際に破壊または結合が外れる弱点をもつもの｝
H01H2003/0293	｛組み込まれたタッチスイッチをもつもの｝
H01H3/04	レバー（タンブラＨ０１Ｈ２３／１４）
H01H3/06	駆動機構の軸に対する固着装置
H01H3/08	回転つまみ
H01H2003/085	｛収納可能なターンノブをもつもの，例．フラッシュが取り付けられたもの｝
H01H3/10	駆動機構の軸に対する固着装置
H01H2003/105	｛操作部，駆動機構とスイッチとの間のリンクの不整列，例．２軸間の不整列，を補償するもの｝
H01H3/12	押ボタン
H01H3/122	｛拡大した動作領域をもつもの，例．細長い棒状のもの；その安定化手段｝
H01H3/125	｛安定装置としてはさみの機構をもちいるもの｝
H01H2003/127	｛爪による作動に関するまたは長爪での使用を許容する構成をもつキーキャップの細部｝
H01H3/14	手以外の人体の部分による操作に適したもの，例．足によるもの
H01H3/141	｛クッションまたはマットスイッチ｝
H01H3/142	｛細長い帯状のもの｝
H01H2003/143	｛細長い帯状のものが曲げられた時の接触作動を避けるための構成｝
H01H2003/145	｛製造中または取り付け中に閉じてしまうことまたは接点が損傷することを避けるための構成｝
H01H2003/146	｛通常は閉じられているもの｝
H01H2003/147	｛マットスイッチの周縁部に関する特別な態様｝
H01H2003/148	｛マットスイッチが独立した並置接点タイルで構成されるもの，例．可変な保護領域を得るもの｝
H01H3/16	物体の通路内の限られた位置または予定位置で作動するに適するもの，スイッチと物体との相対運動が最初スイッチの作動とは別な目的であるもの，例．ドアスイッチ，リミットスイッチ，昇降機の床のレベリングスイッチ
H01H3/161	｛閉塞部材を移動させることにより作動するもの，例．扉，蓋またはとじ蓋（スイッチ制御閉鎖装置Ｈ０１Ｈ９／２２６；その中にキーの１回の挿入移動が開錠行程及びスイッチ作動行程からなるものである，着脱部材により操作されるスイッチ，例．安全ガードの保安スイッチＨ０１Ｈ２７／００２）｝
H01H3/162	｛遮蔽部材のヒンジに関連するもの｝
H01H3/163	｛遮蔽部材のロックまたは操作手段｝
H01H2003/165	｛遮蔽部材のエッジに関連するもの｝
H01H3/166	｛自己調整装架，伝送など｝
H01H2003/167	｛独立した動作によって調整された位置に調整された部品のロックを行うもの｝
H01H3/168	｛いかなる方向への移動による動作｝
H01H3/18	１方向の運動が手により意識的にされるもの，例．方向指示器を自動的に消す装置のためのもの
