B03C3/86	電極搬送装置（Ｂ０３Ｃ３／４０が優先）
B03C3/88	収集した粒子の一掃
B03C3/885	｛移動または振動する電界によるもの，例．電界カーテン（機械的でない静電気的なコンベヤ一般Ｂ６５Ｇ５４／０２）｝
B03C5/00	液体からの分散粒子の静電力による分離（｛電界により引き起こされる帯電粒子の凝集または塊状集積Ｂ０１Ｄ２１／０００９；マイクロリアクターＢ０１Ｊ１９／００９３｝；遠心分離機と結合したものＢ０４Ｂ５／１０；｛微生物の処理およびそのための装置Ｃ１２Ｍ１／４２，Ｃ１２Ｎ１３／００，Ｃ１２Ｑ１／２４；電気的手段による生物学的材料の分析Ｇ０１Ｎ３３／４８７０７｝）<br><br><u>注</u><br><br>このグループにおいては，下記の用語は以下に示す意味で用いる：<br>−分離とは粒子−液体の分布の変更を意味する，例．粒子の不動化，ケージング，並進または回転運動
B03C5/005	｛誘電泳動，すなわち誘電体粒子の電界強度の最も高い領域への移動（Ｂ０３Ｃ５／０２が優先；電気泳動Ｂ０１Ｄ５７／０２）｝
B03C5/02	分離装置
B03C5/022	｛不均等静電場による分離装置｝
B03C5/024	｛高勾配差動誘電分離，すなわち外部電界により分極化した誘電体マトリックス，を用いるもの｝
B03C5/026	｛開放勾配差動誘電分離，すなわち不均等電界形成のため特殊形状の電極，を用いるもの，例．流体集積回路［ＦＩＣ］｝
B03C5/028	｛移動する電界，すなわち進行波誘電泳動［ＴＷＤ］，を用いるもの｝
B03C7/00	固体から固体の静電力による分離
B03C7/003	｛静電分離に先立つ固体の前処理｝
B03C7/006	｛電気供給を伴わない帯電，例．摩擦電気，焦電によるもの｝
B03C7/02	分離装置
B03C7/023	｛不均等静電場による分離装置｝
B03C7/026	｛移動または振動する電界を用いるもの｝
B03C7/04	トレー，トラフ，テーブル状の材料搬送装置を有するもの
B03C7/06	円筒形の材料搬送装置を有するもの
B03C7/08	ベルト状の材料搬送装置を有するもの
B03C7/10	カスケードによる材料落下装置を有するもの
B03C7/12	材料の自由落下装置を有するもの
B03C9/00	このサブクラスの何れのメイングループにも分類されない静電気的分離
B03C11/00	このサブクラスの他のグループに分類されない高圧電界による分離
B03C2201/00	磁気または静電気による分離の細部
B03C2201/02	液体からの液体の静電力による分離
B03C2201/04	イオン化電極がワイヤ状であるもの
B03C2201/06	イオン化電極が針状であるもの
B03C2201/08	イオン化電極が棒状であるもの
B03C2201/10	イオン化電極が多数の鋸刃状の端または部分を有するもの
B03C2201/12	収集された粒子を燃焼させることによる浄化
B03C2201/14	気体が電気動力学的に移動されるもの
B03C2201/16	気体からの気体の，例．空気からの酸素の，磁気分離
B03C2201/18	液体中に懸濁した粒子の磁気分離
B03C2201/20	固体から分離される粒子の磁気分離
B03C2201/22	磁界の特別な形状または生成に特徴のあるもの
B03C2201/24	パラメータ，効果，等を測定または計算するためのもの
B03C2201/26	医療用に用いられるもの
B03C2201/28	清掃のために容易に取り外せる部分
B03C2201/30	車両内にまたは車両に用いられるもの
B03C2201/32	結果の品質または装置の良好な作動を確認するもの
