H02J9/068	
H02J9/08	原動機起動を必要とするもの
H02J11/00	電力を発電，配電または変換される局の補助設備に必要電力を供給するための回路装置
H02J13/00	回路網状態の遠隔指示を備える回路装置，例．回路網内の各々の遮断器の開閉状態の瞬時記録，電力配電回路網内にあるスイッチ手段の遠隔制御を備える回路装置，例．回路網によって伝送されるパルスコードシグナルを使うことにより需用家のスイッチを入，切するもの｛（単一スイッチを指示するための回路Ｈ０１Ｈ９／１６７；電力線を介した照明の遠隔切替に特に適合された回路Ｈ０５Ｂ３７／０２６３）｝
H02J13/00001	
H02J13/00002	
H02J13/00004	
H02J13/00006	
H02J13/00007	
H02J13/00009	
H02J13/0001	
H02J13/00012	
H02J13/00014	
H02J13/00016	
H02J13/00017	
H02J13/00018	
H02J13/00019	
H02J13/0002	
H02J13/00022	
H02J13/00024	
H02J13/00026	
H02J13/00028	
H02J13/00032	
H02J13/00034	
H02J13/00036	
H02J13/0004	
H02J13/0005	
H02J15/00	電気エネルギーを蓄積するための方式（そのための機械的な方式Ｆ０１〜Ｆ０４；化学的形態におけるものＨ０１Ｍ）
H02J15/003	｛水圧エネルギーの形におけるもの｝
H02J15/006	｛空気圧エネルギーの形におけるもの（圧力下で流体を供給するためのアキュムレータＦ１５Ｂ１／０４）｝
H02J15/007	
H02J15/008	
H02J50/00	ワイヤレスで電力給電または電力配電を行うための回路装置または方式<br><br><u>注</u><br><br>１．このメイングループにおいては，電力伝送のために使用される特定の型式の無線技術はグループＨ０２Ｊ５０／０５〜Ｈ０２Ｊ５０／３０に包含され，回路装置または方式自体に関連する観点はグループＨ０２Ｊ５０／４０〜Ｈ０２Ｊ５０／９０に包含される。<br>２．このメイングループには，多観点分類が適用される。そのため２以上のグループにより包含される観点により特徴付けられる主題事項は，それら各々のグループに分類されるべきである。<br><br><u>警告</u><br><br>グループＨ０２Ｊ５０／００〜Ｈ０２Ｊ５０／９０はグループＨ０２Ｊ５／００，Ｈ０２Ｊ５／００５，Ｈ０２Ｊ７／０２およびＨ０２Ｊ１７／００からの文献の再分類が未完であり保留されている。<br>グループＨ０２Ｊ５／００，Ｈ０２Ｊ５／００５，Ｈ０２Ｊ７／０２およびＨ０２Ｊ１７／００およびＨ０２Ｊ５０／００〜Ｈ０２Ｊ５０／９０はコンプリートサーチの完遂のために考慮されるべきである。
H02J50/001	
H02J50/005	
H02J50/05	容量結合を用いるもの
H02J50/10	誘導結合を用いるもの
H02J50/12	共振方式による
H02J50/15	超音波を用いるもの
H02J50/20	マイクロ波や高周波［ＲＦ］を用いるもの
H02J50/23	送電アンテナの型式により特徴付けられるもの，例．指向性アレイアンテナまたは八木アンテナ
H02J50/27	受電アンテナの型式により特徴付けられるもの，例．レクテナ
H02J50/30	光を用いるもの，例．レーザー
H02J50/40	２つ以上の送電装置または受電装置を用いるもの（Ｈ０２Ｊ５０／５０が優先）
H02J50/402	
H02J50/50	送電装置と受電装置の間に追加の電力中継器を用いるもの
H02J50/502	
H02J50/60	異物の存在に対応するもの，例．生き物の検出
H02J50/70	電界，磁界または電磁界の漏洩の低減を含むもの
H02J50/80	送電装置と受電装置の間での電力の給電または配電に関するデータの交換を含むもの
H02J50/90	位置検出や位置最適化を含むもの，例．位置合わせ
H02J2203/00	
H02J2203/10	
H02J2203/20	
H02J2207/00	
H02J2207/10	
H02J2207/20	
H02J2207/30	
H02J2207/40	
H02J2207/50	
H02J2213/00	
H02J2213/10	
H02J2300/00	
H02J2300/10	
H02J2300/20	
H02J2300/22	
H02J2300/24	
H02J2300/26	
H02J2300/28	
H02J2300/30	
H02J2300/40	
H02J2310/00	
H02J2310/10	
H02J2310/12	
H02J2310/14	
H02J2310/16	
H02J2310/18	
H02J2310/20	
H02J2310/22	
H02J2310/23	
H02J2310/40	
H02J2310/42	
H02J2310/44	
H02J2310/46	
H02J2310/48	
H02J2310/50	
H02J2310/52	
H02J2310/54	
H02J2310/56	
H02J2310/58	
H02J2310/60	
H02J2310/62	
H02J2310/64	
H02J2310/66	
H02J2310/70	
