H04W4/00	無線通信ネットワークに特に適合するサービスまたは設備
H04W4/02	ユーザまたは端末の位置を利用したサービス
H04W4/021	
H04W4/022	
H04W4/023	
H04W4/024	
H04W4/025	
H04W4/026	
H04W4/027	
H04W4/029	
H04W4/06	選択的配信または放送；ユーザグループへのサービス；１方向選択呼出サービス
H04W4/08	ユーザグループの管理
H04W4/10	プッシュ・トゥー・トークサービス，プッシュ・オン・コールサービス
H04W4/12	｛メッセージ，例．ＳＭＳ［ショートメッセージサービス］；メールボックス；アナウンス，例．ユーザへの通信要求の状況の送信｝
H04W4/14	ショートメッセージサービス，例．ＳＭＳ，ＵＳＳＤ（Ｕｎｓｔｒｕｃｔｕｒｅｄ　Ｓｕｐｐｌｅｍｅｎｔａｒｙ　Ｓｅｒｖｉｃｅ　Ｄａｔａ）
H04W4/16	｛通信に関連する補助的なサービス，例．呼の転送，保留｝
H04W4/18	｛情報フォーマットまたはコンテンツの変換，例．ユーザまたは端末へ無線配信するため送信または受信した情報を適応させるもの｝
H04W4/185	
H04W4/20	補助的なデータ信号伝送，すなわちトラヒックチャネル以外のチャネルを介したデータの伝送
H04W4/203	
H04W4/21	
H04W4/23	
H04W4/24	課金処理
H04W4/30	
H04W4/33	
H04W4/35	
H04W4/38	
H04W4/40	
H04W4/42	
H04W4/44	
H04W4/46	
H04W4/48	
H04W4/50	
H04W4/60	
H04W4/70	
H04W4/80	
H04W4/90	
H04W8/00	ネットワークデータの管理
H04W8/005	
H04W8/02	モビリティデータ，例．ＨＬＲ［ホームロケーションレジスタ］またはＶＬＲ［ビジタロケーションレジスタ］での登録情報，の処理；モビリティデータの転送，例．ＨＬＲ，ＶＬＲまたは外部ネットワーク間
H04W8/04	ＨＬＲまたはホーム加入者サーバへの登録
H04W8/06	在圏ネットワークロケーションレジスタ，ＶＬＲまたはユーザ移動管理サーバへの登録
H04W8/065	
H04W8/08	モビリティデータの転送
H04W8/082	
H04W8/085	
H04W8/087	
H04W8/10	ロケーションレジスタと外部ネットワーク間の転送
H04W8/12	ロケーションレジスタ間またはモビリティサーバ間の転送
H04W8/14	端末間の転送
H04W8/16	選択的に移動状態の追跡を制限するもの
H04W8/18	ユーザまたは加入者データ，例．加入者サービス，ユーザの嗜好またはユーザのプロファイル，の処理；ユーザまたは加入者データの転送
H04W8/183	
H04W8/186	
H04W8/20	ユーザまたは加入者データの転送
H04W8/205	
H04W8/22	端末データ，例．状態または物理的能力，の処理または転送
H04W8/24	端末データの転送
H04W8/245	
H04W8/26	モビリティをサポートするためのネットワークアドレス管理または番号管理
H04W8/265	
H04W8/28	ナンバーポータビリティ
H04W8/30	ネットワークのデータの回復
H04W12/00	セキュリティ装置，例．接続のセキュリティまたは不正行為の検出；認証，例．身元または承認されているかの確認；プライバシーの保護または匿名
H04W12/009	
H04W12/02	プライバシーの保護または匿名
H04W12/03	
H04W12/033	
H04W12/037	
H04W12/04	鍵管理
H04W12/041	
H04W12/043	
H04W12/0431	
H04W12/0433	
H04W12/047	
H04W12/0471	
H04W12/06	認証
H04W12/062	
H04W12/065	
H04W12/068	
H04W12/069	
H04W12/08	接続のセキュリティ
H04W12/082	
H04W12/084	
H04W12/086	
H04W12/088	
H04W12/10	情報の完全性
H04W12/102	
H04W12/104	
H04W12/106	
H04W12/108	
H04W12/12	不正行為の検出
H04W12/121	
H04W12/122	
H04W12/125	
H04W12/126	
H04W12/128	
H04W12/30	
H04W12/33	
H04W12/35	
H04W12/37	
H04W12/40	
H04W12/42	
H04W12/43	
H04W12/45	
H04W12/47	
H04W12/48	
H04W12/50	
H04W12/55	
H04W12/60	
H04W12/61	
H04W12/63	
H04W12/64	
H04W12/65	
H04W12/66	
H04W12/67	
H04W12/68	
H04W12/69	
H04W12/71	
H04W12/72	
H04W12/73	
H04W12/75	
H04W12/76	
H04W12/77	
H04W12/79	
H04W12/80	
H04W16/00	ネットワーク設計，例．サービスエリアまたはトラヒック設計ツール；ネットワークの配置，例．リソースの分配またはセル構成
H04W16/02	ネットワークの構成要素間でのリソースの分配，例．リユースパーティショニング
H04W16/04	トラヒックに適応させたリソース分配
H04W16/06	ハイブリッドリソース分配，例．チャネルの借用
H04W16/08	負荷分散のための取り決め
H04W16/10	ダイナミックリソース分配
H04W16/12	固定リソース分配
H04W16/14	周波数帯共用のための取り決め
H04W16/16	プライベート基地局のための取り決め
H04W16/18	ネットワーク設計ツール
H04W16/20	屋内サービスエリアまたはショートレンジネットワークの配置のためのもの
H04W16/22	トラヒックシミュレーションツールまたはモデル
H04W16/225	
H04W16/24	セル構成
H04W16/26	セルエンハンサー、例、トンネルまたはビル影の対策
H04W16/28	ビームステアリングを使用するもの
H04W16/30	特殊なセル形状，例．ドーナツまたはリングセル
H04W16/32	階層的セル構成
H04W24/00	管理，監視または試験
H04W24/02	運用状態を最適化するための技術
H04W24/04	運用状態を持続させるための技術
H04W24/06	シミュレートしたトラヒックを使った試験
H04W24/08	実際のトラヒックを使った試験
H04W24/10	測定報告のスケジューリング
H04W28/00	ネットワークトラヒックまたはリソースマネージメント
H04W28/02	トラヒック管理，例．フロー制御または輻輳制御
H04W28/0205	
H04W28/021	
H04W28/0215	
H04W28/0221	
H04W28/0226	
H04W28/0231	
H04W28/0236	
H04W28/0242	
H04W28/0247	
H04W28/0252	
H04W28/0257	
H04W28/0263	
H04W28/0268	
H04W28/0273	
H04W28/0278	
H04W28/0284	
H04W28/0289	
H04W28/0294	
H04W28/04	エラー制御
H04W28/06	最適化，例．ヘッダ圧縮または情報の大きさ調整
H04W28/065	
H04W28/08	負荷の平準化または負荷分散
H04W28/082	
H04W28/0827	
H04W28/0831	
H04W28/0835	
H04W28/0838	
H04W28/084	
H04W28/0846	
H04W28/0858	
H04W28/086	
H04W28/0861	
H04W28/0862	
H04W28/0864	
H04W28/0865	
H04W28/0866	
H04W28/0867	
H04W28/0875	
H04W28/088	
H04W28/0883	
H04W28/0892	
H04W28/09	
H04W28/0908	
H04W28/0917	
H04W28/0925	
H04W28/0933	
H04W28/0942	
H04W28/095	
H04W28/0958	
H04W28/0967	
H04W28/0975	
H04W28/0983	
H04W28/0992	
H04W28/10	フロー制御
H04W28/12	ネットワーク要素間での信号伝送を使用するもの
H04W28/14	中間記憶媒体を使用するもの
H04W28/16	集中リソースマネージメント；リソースのネゴシエーション，例．バンド幅またはＱｏＳのネゴシエーション
H04W28/18	無線通信パラメータのネゴシエーション
H04W28/20	バンド幅のネゴシエーション
H04W28/22	通信レートのネゴシエーション
H04W28/24	ＳＬＡ[サービス品質保証｝のネゴシエーション；ＱｏＳのネゴシエーション
H04W28/26	リソースの予約
H04W36/00	ハンドオフまたは再選択
H04W36/0005	
H04W36/0007	
H04W36/0009	
H04W36/0011	
H04W36/0016	
H04W36/0019	
H04W36/0022	
H04W36/00222	
H04W36/00224	
H04W36/00226	
H04W36/0027	
H04W36/0033	
H04W36/0038	
H04W36/0044	
H04W36/005	
H04W36/0055	
H04W36/0058	
H04W36/0061	
H04W36/0064	
H04W36/0066	
H04W36/0069	
H04W36/00692	
H04W36/00695	
H04W36/00698	
H04W36/0072	
H04W36/00725	
H04W36/0077	
H04W36/0079	
H04W36/0083	
H04W36/00833	
H04W36/00835	
H04W36/008355	
H04W36/008357	
H04W36/00837	
H04W36/008375	
H04W36/00838	
H04W36/0085	
H04W36/0088	
H04W36/0094	
H04W36/02	再選択中のバッファリングまたは欠落した情報の回復
H04W36/023	
H04W36/0235	
H04W36/026	
H04W36/03	
H04W36/033	
H04W36/035	
H04W36/037	
H04W36/04	マルチレイヤセルでのセルレイヤの再選択
H04W36/06	在圏アクセスポイント内での通信リソースの再選択
H04W36/08	アクセスポイントの再選択
H04W36/083	
H04W36/085	
H04W36/087	
H04W36/10	アクセスポイント制御装置の再選択
H04W36/12	在圏バックボーンネットワークの交換機またはルータの再選択
H04W36/125	
H04W36/13	
H04W36/14	ネットワークまたはエアーインターフェースの再選択
H04W36/142	
H04W36/144	
H04W36/1443	
H04W36/1446	
H04W36/16	特定の目的のための再選択
H04W36/165	
