B41B15/28	写真装置（一般Ｇ０３）
B41B15/30	植字カメラ
B41B15/32	フィルム処理機構
B41B15/34	引伸しまたは見当合せの調節；露出時間の修正
B41B17/00	固定されたまたは可動性文字担体を有するが，写真より先に行を構成する装置を有さない写真植字機
B41B17/02	連続して文字が写真に撮られるように，手動的に調整できる文字担体をもつもの
B41B17/04	少なくとも１フォントの文字全部につき一つの担体を有するもの
B41B17/06	調整可能担体をもつもの
B41B17/08	固定担体をもつもの
B41B17/10	連続移動可能担体をもつもの
B41B17/12	文字を撮影するために光線経路を移動させる装置をもつもの，例．断続的に
B41B17/14	連続的のもの
B41B17/16	順次文字を写真に撮るためにフィルムをその平面内で移動させる装置をもつもの
B41B17/18	細＃
B41B17/20	文字担体；そのための清掃装置
B41B17/22	単一文字をもつもの；二つ以上の書体の単一文字をもつもの
B41B17/24	すべての文字をもつもの
B41B17/26	ベルト上のもの
B41B17/28	多角形ロッド上のもの
B41B17/30	正方形または長方形のシート上のもの
B41B17/32	平らな円板上のもの
B41B17/34	円筒上のもの
B41B17/36	選択指示器をもつもの
B41B17/38	幅を指示するための装置をもつもの
B41B17/40	コンパス型
B41B17/42	符号型
B41B19/00	光電式植字機
B41B19/01	少くとも一文字の写真像をつくるための電子線管を有するもの
B41B19/02	順次スクリーンに現われる文字
B41B19/04	同一個所のもの
B41B19/06	異った決った個所のもの
B41B19/08	同時にスクリーンに現われる文字の組合せをもつもの
B41B19/10	完全な行または欄のもの
B41B19/12	不完全な行または欄のもの
B41B19/14	しかも２行以上の本文を表示するもの
B41B19/16	電子線管と組合わさった文字担体
B41B21/00	グループＢ４１Ｂ１７／００およびＢ４１Ｂ１９／００に属する種類の写真植字機の一般的な細部
B41B21/02	光学系におけるシャッター（一般Ｇ０３Ｂ）
B41B21/04	文字選択用
B41B21/06	露出調整用
B41B21/08	光源；それらと組合った装置，例．調節装置
B41B21/10	単一光源
B41B21/12	ストロボ光源
B41B21/14	光源の組合せ
B41B21/16	光学系（シャッターＢ４１Ｂ２１／０２；光源Ｂ４１Ｂ２１／０８）
B41B21/18	単一光線経路に規定するもの
B41B21/20	段階式移動用装置をもつもの
B41B21/22	連続式移動用装置をもつもの
B41B21/24	多光線経路に規定するもの
B41B21/26	各個光線経路を選択する装置をもつもの（光線経路を移動させる装置Ｂ４１Ｂ１７／１２）
B41B21/28	フォント選択用装置
B41B21/30	電子線管またはキャラクトロン（一般Ｈ０１Ｊ３１／００）
B41B21/32	フイルム支持体；フイルム送り装置または位置決め装置（行植字写真装置におけるフイルム処理装置Ｂ４１Ｂ１５／３２；順次文字を写真に撮るためにフイルムをその平面内で移動させる装置をもつ機械Ｂ４１Ｂ１７／１６）
B41B21/34	位置決め機構をもつもの
B41B21/36	フィルムを行方向へ段階的に供給するもの
B41B21/38	フィルムを行方向へ連続的に供給するもの
B41B21/40	行間用
B41B21/42	サブスクリプトまたはスーパースクリプト記入用
B41B21/44	拡大用調整可能なもの
B41B23/00	写真植字または光電式植字と結合した本文やレイアウトの修正，混合または訂正用の補助装置
B41B23/02	多数のフィルムから他のフィルムへ，本文の一部を一行ごとの映写によって混合するためのもの
B41B23/04	本文を容易に手修正するためのもの
B41B23/06	或るフィルムから未訂正行を除去し，他のフィルムから訂正済の行を挿入接続することによる本文の訂正のためのもの
B41B25/00	システム植字機制御のための記録担体の製造に特に適した装置（個々の文字またはスペースを鋳造するためのもの，例．モノタイプ機におけるものＢ４１Ｂ７／０４；デジタルデータを有する記録担体に記録または複製する方法一般Ｇ０６Ｋ１／００）
B41B25/10	行そろえ装置のあるもの，例．行長のための計数および指示装置
B41B25/12	マガジンからマガジンへ順回させる要素を含むもの
B41B25/14	スペースバンドなしで操作するもの
B41B25/16	母型幅用に２進法記号を使用するもの
B41B25/18	植字機と結合せしめたもの
B41B25/20	付属装置；特殊目的用装置
B41B25/22	行長を指示するためのもの
B41B25/24	誤謬訂正用
B41B25/26	活字のフォントを変えるためのもの
B41B27/00	あらゆる種類形式の植字機用制御，指示あるいは安全装置およびシステム（コンピューター一般Ｇ０６Ｆ）
B41B27/02	全操作制御用システム
B41B27/04	キイボード
B41B27/06	記録または収蔵された情報の入出による操作可能のもの，例．穿孔テープ
B41B27/08	多数のソースからのもの
B41B27/10	記録または収蔵された情報の入力による，全操作の直接制御を行なうもの
B41B27/12	テープ上
B41B27/14	穿孔テープ上
B41B27/16	磁気テープ上
B41B27/18	記憶装置からのもの
B41B27/20	電磁装置からのもの，例．メモリー・マトリックス
B41B27/22	多数のソースからのもの
B41B27/24	多数の結合された装置からのもの
B41B27/26	時間遅れを導入するために，記録または収蔵された情報の入力を一時的に阻止するための装置をもつもの
B41B27/28	各個操作または機械要素用の制御，指示または安全装置（湯供給用装置Ｂ４１Ｂ１１／８６，Ｂ４１Ｂ１１／８８；光源Ｂ４１Ｂ２１／０８）
B41B27/30	破損または他の操作の速さの変化に応じて操作を阻止または速さを変化させるためのもの
B41B27/32	行そろえ操作用
B41B27/34	スペースバンドを使用しないもの
B41B27/36	電子装置を使用するもの
B41B27/38	植字された行の長さ測定用；植字文字の判読用
B41B27/40	校正用
B41B27/41	活版式植字機と組合された印刷機構
B41B27/42	母型マガジンの選択または移動制御用
B41B27/44	母型およびスペースバンドの組合制御
B41B27/46	スペースバンドの挿入制御用（行そろえＢ４１Ｂ２７／３２）
B41B27/48	誤謬の削除または訂正挿入用（タイプライタまたは選択的印字機構における誤謬の抹消または訂正のための手段Ｂ４１Ｊ２９／２６）
B41B27/50	連結機械によって操作されるもの
