H01R4/4811	
H01R4/4814	
H01R4/4816	
H01R4/48185	
H01R4/4819	
H01R4/4821	
H01R4/4823	
H01R4/4826	
H01R4/48275	
H01R4/4828	
H01R4/483	
H01R4/4833	
H01R4/4835	
H01R4/48365	
H01R4/4837	
H01R4/484	
H01R4/4842	
H01R4/4844	
H01R4/48455	
H01R4/4846	
H01R4/4848	
H01R4/485	
H01R4/4852	
H01R4/4854	｛線ばねを使用するもの｝
H01R4/4863	｛コイルばねを使用するもの｝
H01R4/4872	｛電線端部を保持するために軸方向に圧縮されるもの｝
H01R4/4881	｛ルーバー形のばねを使用するもの｝
H01R4/489	｛ねじ，カム，楔または他の固着手段でばね力で強化したもの｝
H01R4/50	カム，楔，コーンまたはボールを使用するもの ｛さらにねじも結合させたもの｝
H01R4/5008	｛回転可能なカムを使用するもの｝
H01R4/5016	｛コーンを使用するもの｝
H01R4/5025	｛導体と平行な方向に作用するねじを切った嵌め輪と結合させたもの｝
H01R4/5033	｛電線の軸方向に電線の端部に突き刺す楔またはピンを使用するもの｝
H01R4/5041	｛テーパー状の溝を使用するもの｝
H01R4/505	｛偏心素子を使用するもの｝
H01R4/5058	｛ボールを使用するもの｝
H01R4/5066	｛締付け力を与えるカバー付き絶縁ハウジングに取付けられたもの｝
H01R4/5075	｛接触を改良するために不ぞろいの電線受け面を有するもの｝
H01R4/5083	｛楔を使用するもの｝
H01R4/5091	｛ねじと結合したもの｝
H01R4/52	ばねに取り付けたもの
H01R4/54	｛バヨネットまたは鍵穴｝
H01R4/56	一方の導体を他方の導体へねじ込むもの
H01R4/58	接触する部材の形状または材質に特徴のあるもの（Ｈ０１Ｒ４／０１が優先）
H01R4/60	管状の導体との接続または管状の導体間の接続（Ｈ０１Ｒ４／５６が優先）
H01R4/62	異なる材質の導体間の接続；アルミニウム導体もしくは鋼心アルミニウム導体との接続またはアルミニウム導体もしくは鋼芯アルミニウム導体間の接続（Ｈ０１Ｒ４／６８が優先）
H01R4/625	｛ハンダ付けまたは溶接接続した接続｝
H01R4/64	本質的に非電気的機能をもつ導電部分（例．フレーム，ケーシングまたはレール）との接続または本質的に非電気的機能をもつ導電部分間の接続
H01R4/643	｛剛性の円筒形本体のためのもの｝
H01R4/646	｛ケーブルまたは可撓性のある円筒形本体のためのもの｝
H01R4/66	大地との接続，例．接地板，接地ピン
H01R4/68	超電導体へのまたは間の接続
H01R4/70	接続の絶縁（端末キャップＨ０１Ｒ４／２２）
H01R4/72	熱収縮絶縁スリーブを用いるもの
H01R4/723	｛熱収縮と同時にハンダ付けの電気接続を行うもの｝
H01R4/726	｛熱収縮と同時にハンダ付け以外の電気接続を行うもの｝
H01R9/00	相互絶縁されている多数の電気接続部材（例，端子片，端子ブロック）の構造的な集合体；基台上またはケース内に取り付けられた端子または締め付け端子柱；そのための基台
H01R9/03	多導体ケーブルの多数の導体と接続する接続器，｛例．タッピング接続｝
H01R9/031	｛多相ケーブル用のもの，例．複数の導体の絶縁部に突き刺す接触部材を備えたもの（接触部材に突き刺す絶縁部一般Ｈ０１Ｒ４／２４）｝
H01R9/05	同軸ケーブルに対するもの
H01R9/0503	｛２つのケーブル端部間の接続｝
H01R9/0506	｛３つ以上のケーブル端子間の接続｝
H01R9/0509	｛タッピング接続｝
H01R9/0512	｛補助的な接地導体への接続｝
H01R9/0515	｛剛性のプレーナー基板への接続，例．プリント基板への接続｝
H01R9/0518	｛圧縮により，または圧縮嵌め輪による外部導体への接続｝
H01R9/0521	｛ナットの作用による外部導体への接続｝
H01R9/0524	｛締付け部材の作用による外部導体への接続，例．ねじ固着手段（Ｈ０１Ｒ９／０５１５が優先）｝
H01R9/0527	｛弾性部材の作用による外部導体への接続，例．ばね｝
H01R9/053	絶縁体を突き刺す接触子を用いるもの
H01R9/11	ケーブルにより支持されかつ他の導電部材への接続を容易にするための多導体ケーブルの端子片，｛例．液体冷却溶接ケーブル用のもの｝
