H05H1/00	プラズマの発生；プラズマの取扱い
H05H3/02	分子ビームまたは原子ビームの発生　｛（電荷交換装置Ｇ２１Ｋ１／１４；分極装置Ｇ２１Ｋ１／１６；被加熱材の分析または調査のために共鳴または分子ビームを使用するものＧ０１Ｎ２４／００２；原始時計Ｇ０４Ｆ５／１４；ビームメーザＨ０１Ｓ１／０６）｝
H05H3/04	電磁波圧力による加速
H05H3/06	中性子ビームを発生するもの（核反応を起すためのターゲットＨ０５Ｈ６／００；中性子源Ｇ２１Ｇ４／０２）
H05H5/00	直流電圧型加速器；単一パルスを使用する加速器（Ｈ０５Ｈ３／０６が優先する）
H05H5/02	細部（核反応を起こすためのターゲットＨ０５Ｈ６／００）
H05H5/03	加速管（容器表面に改良されたポテンシャル分布を有する放電管のうつわまたは容器Ｈ０１Ｊ５／０６；うつわまたは容器に組み合わされたＸ線管の遮へいＨ０１Ｊ３５／１６）
H05H5/04	静電発電機により，例．バンデグラフ発電機により，加速されるもの
H05H5/042	
H05H5/045	
H05H5/047	
H05H5/06	タンデム型加速器；多段型加速器
H05H5/063	
H05H5/066	
H05H5/08	昇圧トランス，例．共振トランス，を使用する粒子加速器
H05H6/00	核反応を起こすための目標物（照射されるターゲットまたは物体の支持具Ｇ２１Ｋ５／０８）　｛三重水素の準備Ｃ０１Ｂ４／００｝；｛目標物，例．レーザまたは荷電粒子ビーム注入による核融合反応のためのペレットＨ０５Ｈ１／２２｝
H05H2006/002	
H05H6/005	｛分極された目標物（分極装置，例．分極イオンビームを得るためのものＧ２１Ｋ１／１６）｝
H05H2006/007	
H05H7/00	グループＨ０５Ｈ９／００，Ｈ０５１１／００，Ｈ０５Ｈ１３／００によって包含される型の装置の細部（核反応を起こすための目標物Ｈ０５Ｈ６／００）
H05H7/001	
H05H2007/002	
H05H2007/004	
H05H2007/005	
H05H2007/007	
H05H2007/008	
H05H7/02	高周波エネルギを供給するための回路および方式（高周波発生器Ｈ０３Ｂ）
H05H2007/022	
H05H2007/025	
H05H2007/027	
H05H7/04	磁石システム　｛例．アンジュレータ，ウイグラ（自由電子レーザＨ０１Ｓ３／０９０３）｝；その励振電力
H05H2007/041	
H05H2007/043	
H05H2007/045	
H05H2007/046	
H05H2007/048	
