D01F9/1272	｛メタン｝
D01F9/1273	｛アルケン類またはアルキン｝
D01F9/1274	｛ブタジエン｝
D01F9/1275	｛アセチレン｝
D01F9/1276	｛芳香族，例．トルエン｝
D01F9/1277	｛他の有機物｝
D01F9/1278	｛一酸化炭素｝
D01F9/133	そのための装置
D01F9/14	有機フィラメントの分解によるもの
D01F9/145	ピッチまたは蒸留残留物からのもの
D01F9/15	石炭系ピッチからのもの
D01F9/155	石油系ピッチからのもの
D01F9/16	植物性の産物またはその誘導体，例．セルロースアセテート，からのもの（Ｄ０１Ｆ９／１８が優先）
D01F9/17	リグニンからのもの
D01F9/18	蛋白質，例．羊毛，からのもの
D01F9/20	付加重合，重縮合または重合生成物からのもの（Ｄ０１Ｆ９／１４５，Ｄ０１Ｆ９／１６，Ｄ０１Ｆ９／１８が優先）
D01F9/21	炭素―炭素不飽和結合のみの反応によって得られる高分子化合物からのもの
D01F9/22	ポリアクリロニトリル類からのもの
D01F9/225	｛安定化ポリアクリロニトリル類からのもの｝
D01F9/24	炭素―炭素不飽和結合のみの反応以外の方法で得られる高分子化合物からのもの
D01F9/245	｛ポリウレタンからのもの｝
D01F9/26	ポリエステルからのもの
D01F9/28	ポリアミドからのもの
D01F9/30	芳香族ポリアミドからのもの
D01F9/32	そのための装置
D01F9/322	｛ピッチからフィラメントを製造するためのもの｝
D01F9/324	｛植物性の産物からフィラメントを製造するためのもの｝
D01F9/326	｛蛋白質からフィラメントを製造するためのもの｝
D01F9/328	｛重付加，重縮合または重合生成物からフィラメントを製造するためのもの｝
D01F11/00	製造中における人造フィラメントまたは類似物の化学的後処理
D01F11/02	セルロース，セルロース誘導体または蛋白質についてのもの
D01F11/04	合成重合体についてのもの
D01F11/06	炭素―炭素不飽和結合のみが関与する反応によって得られる高分子化合物についてのもの
D01F11/08	炭素―炭素不飽和結合のみが関与する反応以外の反応によって得られる高分子化合物についてのもの
D01F11/10	炭素についてのもの
D01F11/12	無機物質によるもの；｛挿入層｝
D01F11/121	｛ハロゲン，ハロゲン酸または他の塩｝
