B66F9/00	荷積みまたは荷おろしの目的のために，かさばったまたは重い物を昇降するための装置（建物の中にあるか，建物に付随している可動または移送可能なリフトであって，建物または他の構造物の一つの部所からもう一つの部所へ，あるいはもう一つの別の建物または構造物へ移動できるように特に適用されたものＢ６６Ｂ９／１６；クレーンＢ６６Ｃ）
B66F9/02	定着式荷積みまたは荷おろし装置，例．袋のためのもの
B66F9/04	液圧により作動または制御されるもの
B66F9/06	荷積みをした状態で，車輪またはそれに類似するものにより移動可能なもの，例．フォークリフト（車両の形状Ｂ６０〜Ｂ６２；おもに荷物を移送するための車両および荷積み荷卸しを容易にするためのものＢ６０Ｐ１／００；荷物移送用ローリフトハンドトラックＢ６２Ｂ３／０６）
B66F9/061	｛もち上げ用ジブを持つことを特徴とするもの｝
B66F9/063	｛自動的に誘導されるもの｝
B66F9/065	マストをもたないもの（車輪上またはローラ上にすえ付けられたガレージ型の移動ジャッキＢ６６Ｆ５／００）
B66F9/0655	｛伸縮自在なブームをもつもの｝
B66F9/07	床から屋根へ荷積みする装置，例．スタッカクレーン，レトリーバー
B66F9/072	｛それのための移動式用具一式｝
B66F9/075	構造上の特徴および細部
B66F9/07504	
B66F9/07509	
B66F9/07513	
B66F9/07518	
B66F9/07522	
B66F9/07527	
B66F9/07531	
B66F9/07536	
B66F9/0754	
B66F9/07545	｛頭上ガード｝
B66F9/0755	｛位置制御；位置検出器｝
B66F9/07554	｛釣合いおもり｝
B66F9/07559	｛安定化手段｝
B66F9/07563	｛輸送車で運搬できるように改良されたフォークリフトトラック｝
B66F9/07568	
B66F9/07572	
B66F9/07577	
B66F9/07581	
B66F9/07586	
B66F9/0759	
B66F9/07595	
B66F9/08	マスト，ガイド，チェーン
B66F9/082	｛可傾式のもの｝
B66F9/085	
B66F9/087	
B66F9/10	トラックに対して水平方向に移動できるもの
B66F9/105	
B66F9/12	プラットフォーム；フォーク；他の荷物支持または把持部材
B66F9/122	｛縦方向に移動可能なもの｝
B66F9/125	｛縦軸まわりに回転可能なもの｝
B66F9/127	｛作業用プラットフォーム｝
B66F9/14	回転または横行運動のために横に移動，例．揺動，できるもの
B66F9/141	｛往復動するもの｝
B66F9/142	
B66F9/143	
B66F9/144	
B66F9/145	
B66F9/146	
B66F9/147	
B66F9/148	
B66F9/149	
B66F9/16	マストに対して傾斜できるもの
B66F9/165	
B66F9/18	荷物把持または保持手段
B66F9/181	｛吸着手段によるもの｝
B66F9/182	｛磁気手段によるもの｝
B66F9/183	｛同一平面上にあるサイドクランプ｝
B66F9/184	｛ロールクランプ｝
B66F9/185	｛内部拡張式把持器によるもの｝
B66F9/186	｛コンテナもち上げ枠｝
B66F9/187	｛ドラムもち上げ装置｝
B66F9/188	｛積上げブロックもち上げ装置｝
B66F9/19	荷卸しを容易にするための付加的手段
B66F9/195	｛荷物を押し動かすためのもの｝
B66F9/20	マスト，プラットフォーム，またはフォークを作動または制御するための手段（車両推進系統と結合した動力伝達手段からの動力取出しＢ６０Ｋ）
B66F9/205	｛可動部または可動装置に空気圧，水圧，または電力を伝達するための装置（クレーン用Ｂ６６Ｃ１３／１２）｝
B66F9/22	液圧装置または方法
B66F9/24	電気装置または方法
B66F11/00	他に分類されない特殊な用途に特に適合させたもち上げ装置（車両を支持，持上げ，または移動するため地面に置かれる車両用付属品Ｂ６０Ｓ９／００）
B66F11/04	所望の操作を遂行するため運転者自身を希望の場所へ位置させることができる移動プラットフォームまたは移動運転室，例．車両上のもの，のためのもの　（｛フォークリフトトラックに設けられた作業用プラットフォームＢ６６Ｆ９／１２７；｝業務用車両の形状Ｂ６０Ｐ３／１４；窓清掃用プラットフォームＡ４７Ｌ３／０２；建物から人を救助する装置Ａ６２Ｂ１／０２；はしご上で使用する昇降台Ｅ０６Ｃ７／１６；橋のための維持走行台Ｅ０１Ｄ１９／１０；伸長可能な仮設構造物上の足場Ｅ０４Ｇ１／２２）
B66F11/042	｛伸縮トング装置または連接レバーで作動されるもの｝
B66F11/044	｛ブームから懸吊された作業用プラットフォーム｝
B66F11/046	｛伸縮自在型のもの｝
B66F11/048	｛移動カメラプラットフォーム｝
B66F13/00	共通の構造的特徴または付属物
B66F13/005	｛スラストチェーン装置｝
B66F15/00	金てこまたはレバー
B66F17/00	安全装置，例．もち上げ力を制限したりまたは表示したりするもの
B66F17/003	｛フォークリフトトラック用｝
B66F17/006	｛作業用プラットフォーム用｝
B66F19/00	他に分類されない巻上げ，もち上げ，牽引または押進
B66F19/005	｛マンホールカバー用もち上げ装置｝
B66F2700/00	持ち上げ装置
B66F2700/02	歯付き支柱および歯止めラッチをもつまたは支柱および鎖錠要素をもつ持ち上げ装置
B66F2700/025	支柱および鎖錠要素をもつもの
B66F2700/03	ピニオンおよびラックをもつ持ち上げジャッキ
B66F2700/04	ネジおよびナットをもつジャッキ
B66F2700/05	油圧ジャッキ
B66F2700/052	支持または伝達部材
B66F2700/055	単筒のジャッキ
B66F2700/057	ピストン，例．伸縮可能なもの；シリンダまたは封止ジョイント；液圧式走行制限装置または衝撃緩衝
B66F2700/07	水の駆動力により作動する持ち上げ装置
B66F2700/09	他の持ち上げ装置
B66F2700/12	車両またはオートバイ用持ち上げプラットフォームまたは同様の持ち上げ装置
B66F2700/123	支持部材に関する細部または持ち上げ自体に関しない装置
B66F2700/126	プラットフォームが１つのまたは複数のジャッキの上端に固定されている配列
