F02F7/0043	｛機械的駆動要素の配列｝
F02F7/0046	｛機関部品の取付または分解を容易にするために適用されるケーシングの形｝
F02F7/0048	｛トンネル形骨組｝
F02F7/0051	｛クランクケースポンプ機関｝
F02F7/0053	｛クランクケースに嵌合したクランク軸用軸受｝
F02F2007/0056	
F02F7/0058	｛縦または横に分離できるクランクケース｝
F02F7/006	｛カムシャフトまたはプッシュロッド用ハウジング（油溜Ｆ０１Ｍ１１／０００４）｝
F02F2007/0063	
F02F7/0065	｛他の機械部品及びその目的のためのケーシングの形状，例．　利用目的，安全｝
F02F7/0068	｛他の付属部品用に適用｝
F02F7/007	｛冷却用に適用｝
F02F7/0073	｛機関の取付に適用，例．　前面板またはベルハウジング｝
F02F2007/0075	
F02F2007/0078	
F02F7/008	｛遮音（Ｆ０２Ｂ７７／１３も参照）｝
F02F7/0082	｛機関ケーシングの取付｝
F02F7/0085	｛機関またはその部品の組立用材料｝
F02F7/0087	｛セラミック材料｝
F02F2007/009	
F02F2007/0092	
F02F7/0095	｛機関ケーシングの組立（溶接ケーシングＦ０２Ｆ７／００３４）｝
F02F2007/0097	
F02F11/00	燃焼機関内の密封装置の構成（ピストン・リングＦ０２Ｆ５／００　｛現在この分類は使用していない，Ｆ１６Ｊ９／００を参照｝；密封装置それ自体Ｆ１６Ｊ）
F02F11/002	｛シリンダヘッドに関するもの｝
F02F11/005	｛シリンダライナーに関するもの｝
F02F11/007	｛回転用途に関するもの｝
F02F2200/00	
F02F2200/02	
F02F2200/04	
F02F2200/06	
F02F2200/08	
F02F2200/11	
