C09K8/10	｛ＩＰＣ８｝セルロースまたはその誘導体
C09K8/12	｛ＩＰＣ８｝合成有機高分子化合物またはその前駆物質を含有するもの
C09K8/14	｛ＩＰＣ８｝粘土を含有する組成物（無機化合物のみを含有するものＣ０９Ｋ８／０５）
C09K8/145	｛粘土の組成に特徴のあるもの｝
C09K8/16	｛ＩＰＣ８｝粘土以外の無機化合物に特徴のあるもの
C09K8/18	｛ＩＰＣ８｝有機化合物に特徴のあるもの
C09K8/20	｛ＩＰＣ８｝天然有機化合物またはその誘導体，例．多糖類またはリグニン誘導体
C09K8/203	｛木材誘導体，例．リグノスルホン酸塩，タンニン，トール油，亜硫酸溶液｝
C09K8/206	｛他の天然生成物の誘導体，例．セルロース，デンプン，糖類｝
C09K8/22	｛ＩＰＣ８｝合成有機化合物
C09K8/24	｛ＩＰＣ８｝高分子化合物
C09K8/26	｛ＩＰＣ８｝水中油型乳剤
C09K8/265	｛無機添加剤を含有するもの｝
C09K8/28	｛ＩＰＣ８｝有機添加剤を含有するもの
C09K8/32	｛ＩＰＣ８｝非水性削井用組成物，例．油性のもの
C09K8/34	｛ＩＰＣ８｝有機液体
C09K8/36	｛ＩＰＣ８｝水中油型乳剤
C09K8/38	｛ＩＰＣ８｝気体状削井用組成物または発泡状削井用組成物
C09K8/40	｛ＩＰＣ８｝スペーサー組成物，例．削井具をセメント結合塊から分離させる際に用いる組成物
C09K8/42	｛ＩＰＣ８｝セメント結合用組成物，例．試錐孔中に鋼管をセメント結合するためのもの；塞ぐための組成物，例．井戸を埋めるためのもの（しっくいで塞ぐための組成物Ｃ０９Ｋ８／５０）
C09K8/422	
C09K8/424	｛スペーサー組成物を使用するもの｝
C09K8/426	｛塞ぐためのもの｝
C09K8/428	｛スクイズセメンチング，例．修理のためのもの｝
C09K8/44	｛ＩＰＣ８｝有機結合剤のみを含有するもの
C09K8/46	｛ＩＰＣ８｝無機結合剤を含有するもの，例．ポルトランドセメント
C09K8/467	｛ＩＰＣ８｝特定の目的のための添加剤を含有するもの
C09K8/473	｛ＩＰＣ８｝低密度化添加剤，例．発泡セメント組成物を得るためのもの
C09K8/48	｛ＩＰＣ８｝高密度化添加剤または増量用添加剤
C09K8/487	｛ＩＰＣ８｝液体損失調整用添加剤；液体の流通損失減少用添加剤または液体の流通損失防止用添加剤
C09K8/493	｛ＩＰＣ８｝ガス移動減少用添加剤またはガス移動防止用添加剤
C09K8/50	｛ＩＰＣ８｝試錐孔の壁にしっくいを塗るための組成物，すなわち，試錐孔の壁の一時的強化のための組成物（井戸の周囲のばら砂またはその類似物を強化するための組成物Ｃ０９Ｋ８／５６）
C09K8/501	｛スペーサ組成物を用いるもの｝
C09K8/502	｛ＩＰＣ８｝油性組成物
C09K8/504	｛ＩＰＣ８｝水溶媒または極性溶媒系の組成物（Ｃ０９Ｋ８／５０２が優先）
C09K8/5045	｛無機化合物を含有するもの｝
C09K8/506	｛ＩＰＣ８｝有機化合物を含有するもの
C09K8/508	｛ＩＰＣ８｝高分子化合物｛（Ｃ０９Ｋ８／５１２が優先）｝
C09K8/5083	｛炭素−炭素不飽和結合のみの反応によって得られるもの｝
C09K8/5086	｛炭素−炭素不飽和結合のみの反応以外によって得られるもの｝
C09K8/512	｛ＩＰＣ８｝架橋剤を含有するもの
C09K8/514	｛ＩＰＣ８｝天然由来のもの，例．多糖類，セルロース（Ｃ０９Ｋ８／５１２が優先）
C09K8/516	｛ＩＰＣ８｝その形状またはその成分の形状に特徴のあるもの，例．カプセル化物質
C09K8/518	｛ＩＰＣ８｝発泡体
C09K8/52	｛ＩＰＣ８｝沈着物の防止，制限または除去用組成物，例．洗浄用のもの
C09K8/524	｛ＩＰＣ８｝有機性沈着物，例．パラフィンまたはアスファルテン
C09K8/528	｛ＩＰＣ８｝無機性沈着物，例．硫酸塩または炭酸塩
C09K8/532	｛ＩＰＣ８｝硫黄
C09K8/536	｛ＩＰＣ８｝その形状またはその成分の形状に特徴のあるもの，例．カプセル化物質
C09K8/54	｛ＩＰＣ８｝試錐孔または井戸内の腐食をその場で抑制するための組成物
C09K8/56	｛ＩＰＣ８｝井戸の周囲のばら砂またはその類似物の透水性を過度に低下させることなく，井戸の周囲のばら砂またはその類似物を強化するための組成物（試錐孔の壁にしっくいを塗るための組成物Ｃ０９Ｋ８／５０；｛土壌改良材または土壌安定化材一般Ｃ０９Ｋ１７／００｝）
C09K8/565	｛ＩＰＣ８｝
C09K8/57	｛ＩＰＣ８｝水溶媒または極性溶媒系の組成物（Ｃ０９Ｋ８／５６５が優先）
C09K8/572	｛無機化合物を含有するもの｝
C09K8/575	｛ＩＰＣ８｝有機化合物を含有するもの
C09K8/5751	｛高分子化合物（Ｃ０９Ｋ８／５７５６が優先）｝
C09K8/5753	｛炭素−炭素不飽和結合のみの反応によって得られるもの｝
C09K8/5755	｛炭素−炭素不飽和結合のみの反応以外によって得られるもの｝
C09K8/5756	｛架橋剤を含有するもの｝
C09K8/5758	｛天然由来のもの，例．多糖類，セルロース（Ｃ０９Ｋ８／５７５６が優先）｝
C09K8/58	｛ＩＰＣ８｝炭化水素採取用の改良型回収法のための組成物，すなわち，油の流動性を高めるためのもの，例．流体を移動させるもの
C09K8/582	｛ＩＰＣ８｝バクテリアの使用に特徴のあるもの
C09K8/584	｛ＩＰＣ８｝特定の界面活性剤の使用に特徴のあるもの
C09K8/588	｛ＩＰＣ８｝特定の高分子化合物の使用に特徴のあるもの
C09K8/592	｛ＩＰＣ８｝発生した熱と組み合わせて用いる組成物，例．水蒸気圧入によるもの
C09K8/594	｛ＩＰＣ８｝圧入された気体｛例．二酸化炭素または炭酸ガス｝と組み合わせて用いる組成物（Ｃ０９Ｋ８／５９２が優先）
C09K8/60	｛ＩＰＣ８｝地下形成に作用することにより増産するための組成物
C09K8/601	｛スペーサ組成物を用いるもの｝
C09K8/602	｛界面活性剤を含有するもの｝
C09K8/604	
C09K8/605	｛殺虫剤を含有するもの｝
C09K8/607	｛粘土の形成に特に適応したもの｝
C09K8/608	｛高分子組成物｝
C09K8/62	｛ＩＰＣ８｝裂け目または割れ目を形成するための組成物
C09K8/64	｛ＩＰＣ８｝油性組成物
C09K8/66	｛ＩＰＣ８｝水溶媒または極性溶媒系の組成物（Ｃ０９Ｋ８／６４が優先）
C09K8/665	｛無機化合物を含有するもの｝
C09K8/68	｛ＩＰＣ８｝有機化合物を含有するもの
C09K8/685	｛架橋剤を含有するもの｝
C09K8/70	｛ＩＰＣ８｝その形状またはその成分の形状に特徴のあるもの，例．発泡体
C09K8/703	｛発泡体｝
C09K8/706	｛密閉型ブレーカ｝
C09K8/72	｛ＩＰＣ８｝腐食用化学薬品，例．酸
C09K8/725	｛高分子化合物を含有する組成物｝
C09K8/74	｛ＩＰＣ８｝特定の目的のために添加された添加剤と組み合わされたもの
C09K8/76	｛ＩＰＣ８｝液体の損失を減少または防止するためのもの
C09K8/78	｛ＩＰＣ８｝遮水を防止するためのもの
C09K8/80	｛ＩＰＣ８｝割れ目を補強するための組成物，例．割れ目を開いたままにしておくために用いるプロパントの組成物
C09K8/805	
C09K8/82	オイルベース系の組成物（８／６４が優先）
C09K8/84	水または極性溶剤系の組成物（８／６６，８／８２が優先）
C09K8/845	
C09K8/86	有機化合物を含有するもの
C09K8/88	高分子化合物
C09K8/882	
C09K8/885	
C09K8/887	
C09K8/90	天然由来のもの，例．多糖類，セルロース
C09K8/905	
C09K8/92	その形状またはその成分の形状に特徴のあるもの，例．被包性物質（８／７０が優先）
C09K8/94	気泡
C09K9/00	テネブレセッンス物質，すなわち，ある種のエネルギーによる励起の結果，エネルギー吸収の波長領域を変える物質（｛液晶物質　Ｃ０９Ｋ１９／００；　フォトクロミックガラスＣ０３Ｃ４／０６；　温度計内のもの　Ｇ０１Ｋ１１／１２；フォトクロミツクフィルター内のもの　Ｇ０２Ｂ５／２３；　光学的変調装置内のもの　Ｇ０２Ｆ１／００｝；　写真のための感光性材料　Ｇ０３Ｃ；｛カソードクロミツクスクリーン内のもの　Ｈ０１Ｊ２９／１４｝）　[Ｎ:<br><br><u>注</u><br><br>グループＣ０９Ｋ９／０２に分類する場合，Ｃ０９Ｋ２２１１／００からＭ０９Ｋ２１１／１８Ｂ１４(ＥＣＬＡ)の中から選ばれるＩＣＯインデキシングコードを用いてテネブレセッンス物質の化学的性質をさらにインデキシングすることができる。]
C09K9/02	有機テネブレッセンス物質
C09K11/00	発光性物質，例．電気発光性物質；化学発光性物質　
C09K11/01	発光性材料の回収
C09K11/02	バインダー，被覆素子またはこれらの懸濁媒体として特定物質の使用
C09K11/025	｛結合剤以外の非発光物質の使用｝
C09K11/04	天然または人工の放射性元素または不特定放射性元素を含有するもの
C09K11/06	有起光性物質を含有するもの．<br><br><u>｛注</u><br><br>グループＣ０９Ｋ１１／０６および　Ｃ０９Ｋ１１／０７に分類するときは，発光物質の化学的性質は，　Ｃ０９Ｋ２２１１／００からＭ０９Ｋ２１１／１８Ｂ１４(ＥＣＬＡ)の中から選ばれたＩＣＯインデキシングコードを用いてさらに分類される｝
C09K11/07	化学的に相互に反応する成分をもつもの，例．反応性化学発光組成物
C09K11/08	無起光性物質を含有するもの
C09K11/0805	｛カルコゲン化物｝
