C21C5/4686	｛転換炉容器の支持および運搬用車輌｝
C21C5/4693	｛スカル除去；　転換炉口部のクリーニング｝
C21C5/48	転炉炉底または転炉羽口
C21C5/50	転炉の傾動機構
C21C5/52	電気炉による鋼の製造　（｛Ｃ２１Ｃ５／００５が優先｝；　電気加熱それ自体　Ｈ０５Ｂ）
C21C5/5205	｛プラズマ加熱炉によるもの｝　
C21C5/5211	｛交流（ＡＣ）アーク炉によるもの｝
C21C5/5217	｛炉中にガス，すなわち，酸素，または粉末材料を注入するためのバーナーまたは装置を備えたもの｝
C21C2005/5223	
C21C5/5229	｛直流（ＤＣ）アーク炉によるもの｝
C21C2005/5235	底部電極を持つもの
C21C5/5241	｛誘導的加熱炉によるもの｝
C21C5/5247	｛電磁場を通過しつつ，例．電磁石向流チャネル，移動する金属流を処理するもの｝
C21C5/5252	｛電気加熱多段チャンバー炉，電気炉の組み合わせまたは電気炉以外の炉とともに作用するように調整した電気炉によるもの｝
C21C2005/5258	
C21C5/5264	｛鉄合金を含む合金鋼の製造｝
C21C5/527	｛電気炉の負荷｝
C21C2005/5276	液状残余物または固形残余物によるもの，例．液だまり，　液だめ
C21C2005/5282	有機物で汚染された鉄屑によるもの
C21C2005/5288	測定またはサンプリング装置
C21C5/5294	｛電気溶解工場の一般的配置またはレイアウト｝
C21C5/54	特殊な成分組成のスラグをつくる方法
C21C5/56	他の方法による鋼の製造（直接法による溶鋼の製造Ｃ２１Ｂ１３／００）　｛（Ｃ２１Ｃ５／００５　が優先）｝
C21C5/562	｛鉄屑から出発するもの｝
C21C5/565	｛鉄屑の予熱（鉄屑の予熱装置一般Ｆ２７Ｄ１３／００２）｝
C21C5/567	｛連続的に動作するもの｝
C21C7/00	グループＣ２１Ｃ１／００〜Ｃ２１Ｃ５／００に包含されない溶融鉄系合金，例．鋼，の処理（鋳造中の溶融金属の処理Ｂ２２Ｄ１／００，Ｂ２２Ｄ２７／００；鉄系金属の再溶融Ｃ２２Ｂ）
C21C7/0006	｛金属質添加物の添加｝　
C21C2007/0012	鉛
C21C2007/0018	ほう素
C21C7/0025	｛炭素材の添加｝
C21C2007/0031	
C21C7/0037	｛粉末材料の注入によるもの｝
C21C7/0043	｛溶融金属の降下流に｝
C21C7/005	｛加熱反応組成物を用いるもの｝
C21C7/0056	｛コアドワイヤを用いるもの｝
C21C2007/0062	
C21C7/0068	｛金属流への材料の注入によるもの｝
C21C7/0075	｛とりべ炉中での処理，例．とりべ炉中での溶融鋼の再加熱｝
C21C7/0081	｛加圧下での処理および取り扱い｝
C21C7/0087	｛鋼浴を覆うスラグの処理，例．溶融金属からのスラグの分離のためのもの｝
C21C2007/0093	二重プロセス；　二段階プロセス
C21C7/04	処理剤の添加による不純物の除去
C21C7/06	脱酸，例．キリング
C21C7/064	脱リン；脱硫
C21C7/0645	｛脱りんまたは脱いおうのために用いられる試剤｝
C21C7/068	脱炭
C21C7/0685	｛ステンレス鋼の｝
C21C7/072	ガスによる処理（Ｃ２１Ｃ７／０６，Ｃ２１Ｃ７／０６４，Ｃ２１Ｃ７／０６８が優先）
C21C7/076	処理剤としてのスラグまたは溶剤の使用（Ｃ２１Ｃ７／０６，　Ｃ２１Ｃ７／０６４，　Ｃ２１Ｃ７／０６８が優先）
C21C7/10	真空中における処理
C21C2100/00	
C21C2100/02	
C21C2100/04	
C21C2100/06	
C21C2200/00	
C21C2250/00	
C21C2250/02	
C21C2250/04	
C21C2250/042	
C21C2250/06	
C21C2250/08	
C21C2300/00	
C21C2300/02	
C21C2300/04	
C21C2300/06	
C21C2300/08	
