H03F1/345	｛ハイブリッドまたは方向性結合器をもちいるもの｝．．<br><br><u>｛注</u><br><br>．．未完，Ｈ０３Ｆ１／３４も参照｝
H03F1/347	｛トランスを用いるもの｝
H03F1/36	電子管増幅器におけるもの
H03F1/38	負帰還をもたない正帰還回路配置
H03F1/40	電子管増幅器におけるもの
H03F1/42	帯域幅を拡げるための増幅器の変形
H03F1/48	非同調増幅器の
H03F1/483	｛ＦＥＴ増幅器をもつもの｝
H03F1/486	｛ＩＣ増幅器ブロックをもつもの｝
H03F1/50	電子管のみをもつもの
H03F1/52	増幅器を保護するための回路配置　｛（監視配置　Ｇ０１Ｒ３１／２８；通信システムの信頼性増強のためのもの，例．冗長化を用いるもの　Ｈ０４Ｂ１／７４）｝
H03F1/523	｛電界効果装置を用いる増幅器のためのもの（Ｈ０３Ｆ１／５２６が優先）｝
H03F1/526	｛冗長増幅器を用いて保護するもの｝．．<br><br><u>｛注</u><br><br>．．未完，Ｈ０３Ｆ１／５２３も参照｝
H03F1/54	電子管のみもつもの　｛（真空管のテスト　Ｇ０１Ｒ３１／２５）｝
H03F1/542	｛予備デバイスで交換するもの｝
H03F1/544	｛フィラメントの保護｝
H03F1/546	｛フィラメント熱力供給の応用に関する陽極供給電力の応用を遅らせる｝
H03F1/548	｛過負荷に対する陽極または格子回路の保護｝
H03F1/56	他に分類されない，入力インピーダンスまたは出力インピーダンスの変形
H03F1/565	｛帰納的素子を用いるもの｝
H03F3/00	増幅素子として電子管のみまたは半導体装置のみをもつ増幅器
H03F3/005	｛被開閉コンデンサーを用いるもの，例．ダイナミック増幅器；被開閉コンデンサーを抵抗器として用いるもの（Ｈ０３Ｆ３／４５Ｂ３Ｓ(ＥＣＬＡ)が優先）｝．<br><br><u>｛注</u><br><br>．未完，Ｈ０３Ｆ１／０２，Ｈ０３Ｆ３／７０，Ｈ０３Ｆ３／７２も参照｝．<br><br><u>注</u><br><br>グループＨ０３Ｆ３／２０からＨ０３Ｆ３／７２がグループＨ０３Ｆ３／０２からＨ０３Ｆ３／１９５より優先
H03F3/02	電子管のみをもつもの（後続のサブグループが優先）
H03F3/04	半導体装置のみをもつもの（後続のサブグループが優先）
H03F3/06	ホール蓄積効果を用いるもの
H03F3/08	光によって制御されたもの
H03F3/082	｛ＦＥＴをもつもの（Ｈ０３Ｆ３／０８５）が優先｝
H03F3/085	｛ステージ間でオプトカプラ−を用いるもの｝
H03F3/087	｛ＩＣ増幅器ブロックをもつもの（Ｈ０３Ｆ３／０８５）が優先｝
H03F3/10	ダイオードをもつもの　｛（パラメトリック増幅器Ｈ０３Ｆ７／００）｝
H03F3/12	エサキダイオードをもつもの
H03F3/14	４つ以上の電極または３つ以上のＰＮ接合を有する増幅装置をもつもの
H03F3/16	電界効果装置をもつもの
H03F3/165	｛接合形ＦＥＴをもつもの｝
H03F3/181	低周波増幅器，例．可聴周波前置増幅器
H03F3/183	半導体装置のみをもつもの
H03F3/185	電界効果装置をもつもの（Ｈ０３Ｆ３／１８７が優先）
H03F3/1855	｛接合形ＦＥＴデバイスをもつもの｝
H03F3/187	集積回路におけるもの
H03F3/189	高周波増幅器，例．無線周波増幅器
H03F3/19	半導体装置のみをもつもの
H03F3/191	同調増幅器（Ｈ０３Ｆ３／１９３，Ｈ０３Ｆ３／１９５が優先）
H03F3/193	電界効果装置をもつもの（Ｈ０３Ｆ３／１９５が優先）
H03F3/1935	｛接合形ＦＥＴデバイスをもつもの｝
H03F3/195	集積回路におけるもの
H03F3/20	電力増幅器，例．Ｂ級増幅器，Ｃ級増幅器（Ｈ０３Ｆ３／２６〜Ｈ０３Ｆ３／３０が優先）
H03F3/21	半導体装置のみをもつもの　｛（Ｈ０３Ｆ３／２４５が優先）｝
H03F3/211	｛数台の増幅器の組合せを用いるもの（Ｈ０３Ｆ３／６０が優先）｝．．．<br><br><u>｛注</u><br><br>．．．不完全，Ｈ０３Ｆ３／２１，Ｈ０３Ｆ３／６８を参照｝
H03F3/213	集積回路におけるもの
H03F3/217	Ｄ級電力増幅器；スイッチング増幅器
H03F3/2171	｛電界効果装置をもつもの（Ｈ０３Ｆ３／２１７３からＨ０３Ｆ３／２１７８が優先）｝
H03F3/2173	｛ブリッジ型のもの｝
H03F3/2175	｛アナログ−デジタルまたはデジタル−アナログ変換を用いるもの（Ｈ０３Ｆ３／２１７３が優先）｝
H03F3/2176	｛Ｅ級増幅器｝
H03F3/2178	｛並列または直列にひとつ以上のスイッチまたはスイッチング増幅器を用いるもの（Ｈ０３Ｆ３／２１７３，Ｈ０３Ｆ３／２１７５が優先）｝
H03F3/22	電子管のみをもつもの（Ｈ０３Ｆ３／２４が優先）
H03F3/24	送信機出力段の
H03F3/245	｛半導体装置のみをもつもの｝
H03F3/26	プッシュプル増幅器；そのための位相分割器（対になったシングルエンデットプッシュプル配置またはそのための位相分割器Ｈ０３Ｆ３／３０）
H03F3/265	｛ＦＥＴのみをもつもの｝
H03F3/28	真空管のみをもつもの
H03F3/30	シングルエンド型プッシュプル　｛（ＳＥＰＰ）｝増幅器｛（シングルエンド形センスアンプＧ１１Ｃ７／０６７）｝；その位相分割器
H03F3/3001	｛ＦＥＴをもつもの｝
H03F3/3008	｛ＢｉＦＥＴ　ＳＥＰＰ出力段｝
H03F3/301	｛ＣＭＯＳ共通ドレイン出力ＳＥＰＰ増幅器（Ｈ０３Ｆ３／３００８が優先）｝
H03F3/3011	｛最終ステージの非対称運転をもつもの｝
