A61H33/08	保険を目的とする空気灌注浴（ヘアドライアーＡ４５Ｄ２０／００；身体乾燥装置Ａ４７Ｋ１０／４８；電気加熱素子Ｈ０５Ｂ）
A61H33/10	蒸気浴槽用具
A61H33/12	顔面の蒸気浴
A61H33/14	オゾン，水素，または類似物のガス浴装置（オゾンまたは水素の製造Ｃ０１Ｂ，Ｃ２５Ｂ１／０２）
A61H2033/141	イオン化ガス，例．オゾン，によるもの
A61H2033/143	酸素によるもの
A61H2033/145	ＣＯ２によるもの
A61H2033/146	窒素によるもの
A61H2033/148	水素によるもの
A61H33/60	｛グループＡ６１Ｈ３３／００の治療用入浴のために特に設計された部品（配管Ｅ０３Ｃ１／００）｝
A61H33/6005	｛浴槽の特に構造的な細部，例．壁または指示構造｝
A61H33/601	｛風呂へのインレット｝
A61H33/6015	｛段階的なマッサージ｝
A61H33/6021	｛ノズル｝
A61H33/6026	｛壁の修正なしで外のポンプ回路と接続した浴槽内のノズル｝
A61H33/6031	｛延長可能または引き込み可能なもの｝
A61H33/6036	｛供給ホースへ手持ち接続されるもの｝
A61H33/6042	｛アウトレットとしても使用されるもの｝
A61H33/6047	｛組み込まれたポンプ手段によるもの｝
A61H33/6052	｛流れ調整手段を持つもの｝
A61H33/6057	｛脈動または間欠的な流れを生じさせる手段からなるもの｝
A61H33/6063	｛浴槽の壁に装着することに特に適したもの｝
A61H33/6068	｛風呂からのアウトレット｝
A61H33/6073	｛渦巻き風呂内の流体の再循環のための取り入れ口｝
A61H33/6078	｛排出アウトレットと結合したもの｝
A61H33/6084	｛風呂の境界または縁を充填するもの，例．境界を見えなくするもの｝
A61H33/6089	｛追加的なマッサージ手段のための特別な構造的特徴，例．ノズルのためではないもの｝
A61H33/6094	｛入浴装置の壁を通じて伸びるもの｝
A61H35/00	風呂　｛又はシャワー囲い｝身体の特定部位のためのもの，例．胸部灌注浴（上向き噴射手段なしのビデＡ４７Ｋ３／２２(ＥＣＬＡ)；でん部洗浄用装置Ａ４７Ｋ７／０８；水中腸洗浄のためのものＡ６１Ｍ９／００）
A61H35/002	｛乳房浴｝
A61H2035/004	頭部を除く全身のためのもの
A61H35/006	｛足のためのもの｝
A61H35/008	｛頭部のためのもの（Ａ６１Ｈ３５／０２およびＡ６１Ｈ３５／０４が優先）｝
A61H35/02	目のためのもの
A61H35/04	鼻のためのもの
A61H36/00	発汗着
A61H37/00	マッサージ用補助具
A61H37/005	｛水中でリラックスさせるための身体浮揚支持具｝
A61H39/00	物理療法のため人体の特別なつぼの位置を検出または刺激する装置，例．鍼術（手足治療師用道具Ａ６１Ｂ１７／５４；　｛放射線治療用のものＡ６１Ｎ５／０６１９｝）
A61H39/002	｛電流を使用すること｝
A61H2039/005	電磁波，例．赤外線，紫外線の手段による物
A61H39/007	｛機械的振動による刺激，例．超音波｝
A61H39/02	つぼの位置を検出する装置
A61H39/04	つぼを圧迫する装置，例．指圧（一般部位のマッサージ又は加圧Ａ６１Ｈ９／００からＡ６１Ｈ２３／００）
A61H39/06	このようなつぼ部分を細胞の生命限界内で加熱または冷却する装置（焼灼器，百草焼き器，極低温装置Ａ６１Ｂ１７／３６(ＥＣＬＡ)；人体の一般的な部分の医学的治療のための温熱または冷却器具Ａ６１Ｆ７／００）
A61H39/08	身体の部分に針を適用する，すなわち針療法，のための用具
A61H39/083	
A61H39/086	
A61H99/00	このサブクラスの他のグループに分類されない主題事項
A61H2201/00	前述のコードには含まれていない装置の特徴
A61H2201/01	構造的細部
A61H2201/0103	膨張可能な
A61H2201/0107	モジュール形式の
A61H2201/0111	水密性
A61H2201/0115	水中で使用するもの
A61H2201/0119	装置の支持
A61H2201/0123	ドア上
A61H2201/0126	壁上
A61H2201/013	吸盤
A61H2201/0134	緩衝具または類似の支持手段
A61H2201/0138	家具に組み込まれたもの
A61H2201/0142	ベッド
A61H2201/0146	マットレス
A61H2201/0149	シートまたはいす
A61H2201/0153	手持ち式
A61H2201/0157	携帯式
A61H2201/0161	不使用時、保管時または移送時のコンパクト化のための装置
A61H2201/0165	減衰、振動に関する特徴
A61H2201/0169	消音
A61H2201/0173	けがを防止するための装置
A61H2201/0176	停止操作によるもの
A61H2201/018	トルクまたは力を制限することによるもの
A61H2201/0184	警報によるもの
A61H2201/0188	照明に関する特徴
A61H2201/0192	寸法調整のための特別な手段
A61H2201/0196	使用者の人体測定データに基づいて自動的に調節されるもの
A61H2201/02	加熱または冷却されるもの
A61H2201/0207	加熱
A61H2201/0214	冷却
A61H2201/0221	加熱または冷却のための機構
A61H2201/0228	電気抵抗加熱によるもの
A61H2201/0235	PTC（正温度係数）を持つサーミスタ（熱により直接に感応する電気素子または磁気素子を用いた温度計）
A61H2201/0242	装置内を循環する流体によるもの
A61H2201/025	患者の身体の上の直接的な空気流によるもの
A61H2201/0257	蓄熱器によるもの，例．砂または流体を蓄熱体としたもの
A61H2201/0264	熱交換器を用いるもの，例．
A61H2201/0271	モーターの熱損失を用いるもの
A61H2201/0278	化学反応によるもの
A61H2201/0285	ペルチェ効果によるもの
A61H2201/0292	マイクロ波によるもの
A61H2201/10	さらなる特別な治療手段，例． 電気療法、磁気療法または放射線療法、クロモ療法、赤外線または紫外線療法によるもの
A61H2201/102	アロマセラピー
A61H2201/105	媒体を送達するための手段，例．  薬物または化粧品
A61H2201/107	呼吸ガス
A61H2201/12	駆動手段
A61H2201/1207	電気的または磁気的駆動式のもの
A61H2201/1215	回転駆動
A61H2201/1223	周波数制御の交流電動機
A61H2201/123	直線駆動
A61H2201/1238	液体駆動式のもの
A61H2201/1246	ピストンーシリンダーシステムによるもの
A61H2201/1253	人によって駆動されるもの，例．手動駆動
A61H2201/1261	患者の能動的な運動と組み合わされるもの
A61H2201/1269	健康な手足の運動によって引き起こされる受動的な運動
A61H2201/1276	他の脚または腕によるもの
A61H2201/1284	自重を用いるもの
A61H2201/1292	動物による人間の治療
A61H2201/14	特別な力伝達手段，すなわち．駆動手段と使用者とのインターフェイス
A61H2201/1409	液圧式または空気圧式手段
A61H2201/1418	カム
A61H2201/1427	揺動板
A61H2201/1436	特別なクランクアセンブリ
A61H2201/1445	オーバランニングクラッチ；一方向クラッチ
A61H2201/1454	特別なベアリングアレンジメント
A61H2201/1463	特別な速度変動手段，すなわち，減速機
A61H2201/1472	遊星歯車
A61H2201/1481	特別な運動変換手段
A61H2201/149	回転から直動またはその逆
A61H2201/16	患者との物理的インターフェース
A61H2201/1602	インターフェイスの種類，例．ヘッドレスト、膝の支え、ランバーサポート
A61H2201/1604	頭部
A61H2201/1607	その保持手段
A61H2201/1609	首部
A61H2201/1611	その保持手段
A61H2201/1614	肩，例．首のストレッチのためのもの
A61H2201/1616	その保持手段
A61H2201/1619	胸部
A61H2201/1621	その保持手段
A61H2201/1623	背部
A61H2201/1626	その保持手段
A61H2201/1628	骨盤
A61H2201/163	その保持手段
A61H2201/1633	シート（Ａ６１Ｈ２２０１／０１４９が優先）
A61H2201/1635	手または腕，例．ハンドル（手持ち式Ａ６１Ｈ２２０１／０１５３；前腕置き台Ａ６１Ｈ２００３／００６）
A61H2201/1638	その保持手段
A61H2201/164	足または脚，例．ペダル
A61H2201/1642	その保持手段
A61H2201/1645	ユーザーに合った輪郭を描くもの
A61H2201/1647	特定の個体の形状に沿うもの
A61H2201/165	ウェアラブルインターフェイス
A61H2201/1652	ハーネス
A61H2201/1654	肌とマッサージ要素との間の層，例．流体またはボール
A61H2201/1657	インターフェイスの動き，例．力の適用手段
A61H2201/1659	作用領域内における自動的なインターフェイスの自由な移動，例．ロボット
A61H2201/1661	ウォブリングインターフェース，例えば． スチュワートプラットフォームまたはヘキサポッド（関節接合はＡ６１Ｈ２００１／０２０７優先）
A61H2201/1664	直動
A61H2201/1666	多次元の
A61H2201/1669	身体に沿って往復運動するもの
A61H2201/1671	回動
A61H2201/1673	多次元の回転
A61H2201/1676	枢軸動
A61H2201/1678	角運動を起こすマッサージ要素
A61H2201/168	動かないもの
A61H2201/1683	インターフェイスの表面
A61H2201/1685	交換可能（モジュール形式の装置はＡ６１Ｈ２２０１／０１０７）
A61H2201/1688	使い捨ての
A61H2201/169	表面の物理的性質，例．材質、凹凸、質感またはしるし
A61H2201/1692	もみ効果を強化するもの
A61H2201/1695	押圧効果を強化するもの，例．実質的に鋭い突起、針またはピラミッド
A61H2201/1697	材料の通気性
A61H2201/50	その制御手段
A61H2201/5002	患者の異なる位置で順番に作用する同様のマッサージ装置のセットを制御するための手段
A61H2201/5005	駆動信号の周波数分布、変調または干渉を制御する
A61H2201/5007	コンピュータ制御
A61H2201/501	外部コンピュータまたはネットワークに接続されたもの
A61H2201/5012	インターネットの使用
A61H2201/5015	特別なインターフェイスまたは規格を用いるもの，例．ＵＳＢ、シリアル、パラレル
A61H2201/5017	コインにより作動されるもの
A61H2201/502	カードにより作動されるもの，例．プリペイドカード、ＩＤカード
A61H2201/5023	使用者のためのインターフェイス
A61H2201/5025	活性化手段
