C10B49/04	処理される固体物質の移動中におけるもの
C10B49/06	移動床形式によるもの
C10B49/08	分散した形におけるもの
C10B49/10	流動床方式によるもの
C10B49/12	接線方向の混合によるもの，例．渦巻室
C10B49/14	高温液体によるもの，例．溶融塩
C10B49/16	分割した形における固体熱運搬体の移動によるもの
C10B49/18	移動床形式によるもの
C10B49/20	分散した形におけるもの
C10B49/22	流動床方式によるもの
C10B51/00	直接加熱と間接加熱の組み合わせによる固体炭素質物の乾留
C10B53/00	特殊な固体原料または特殊な形態の固体原料に特に適用される乾留（でい炭の湿式炭化Ｃ１０Ｆ）
C10B53/02	繊維素含有物質（木酢液質酸の製造Ｃ１０Ｃ５／００）
C10B53/04	微粉炭
C10B53/06	油頁岩および／または瀝青岩
C10B53/07	｛ＩＰＣ８｝｛以下の固体原料｝合成高分子材料，例．タイヤ[Ｎ:（廃物一般，例．家庭廃棄物Ｃ１０Ｂ５３／００）]（一部解重合された材料を得るための乾熱処理による有機高分子化合物またはそれを基にした組成物の廃物材料の回収または処理Ｃ０８Ｊ１１／１０；ゴムまたはゴム廃物からの液体炭化水素混合物の製造Ｃ１０Ｇ１／１０）．[Ｎ:<br><br><u>注</u><br><br>グループＣ１０Ｂ５３／０７は未完成である。Ｃ１０Ｂ５３／００の他のサブグループに現在分類されている文献はＣ１０Ｂ５３／０７に再分類中である。]
C10B53/08	ブリケット，塊および類似物におけるもの
C10B55/00	鉱油，ビチューメン，タールおよび類似物またはこれらの混合物と固体炭素質物を用いるコークス化（油の分解Ｃ１０Ｇ）
C10B55/02	固体物質を用いるもの
C10B55/04	移動する固体物質を用いるもの
C10B55/06	移動床形式によるもの
C10B55/08	分散した形におけるもの
C10B55/10	流動床方法によるもの
C10B57/00	上記に含まれないその他の方法；一般的な乾留方法の特徴
C10B57/005	｛コークスの後処理，例．か焼，脱硫｝
C10B57/02	多段式炭化またはコークス化方法
C10B57/04	特別な組成をもつ装入物の使用
C10B57/045	
C10B57/06	添加剤を含有するもの
C10B57/08	装入物の非機械的な前処理（Ｃ１０Ｌ９／００が優先）　｛例．脱硫｝
C10B57/10	乾燥
C10B57/12	コークス化中の添加剤の使用
C10B57/14	低温炭化方法の特徴
C10B57/16	高温炭化方法の特徴
C10B57/18	コークス炉内での乾留ガスの性質の改質（コークス炉外側はＣ１０Ｋ）
