F05B2240/142	標準ＩＳＯコンテナの形態のもの
F05B2240/20	回転子
F05B2240/201	マグヌス効果を用いるもの
F05B2240/202	遮断された流体の調整可能域をもつもの
F05B2240/2021	伸縮翼によるもの
F05B2240/2022	テザーリングまたはコーニング羽根によるもの
F05B2240/2023	径方向に畳み込まれる羽根によるもの
F05B2240/21	風力タービン用のもの
F05B2240/211	垂直軸をもつもの
F05B2240/212	ダリウス型のもの
F05B2240/213	サボニウス型のもの
F05B2240/214	マスグローブまたはＨ型のもの
F05B2240/215	垂直軸風車または車両換気装置型のもの
F05B2240/216	風速計型のもの
F05B2240/217	交差流型またはバンキ型または複動型のもの
F05B2240/218	垂直に枢動された羽根をもつもの
F05B2240/221	水平軸をもつもの
F05B2240/2211	多翼で低速，例．アメリカンファーム型，のもの
F05B2240/2212	風向きに対して垂直なもの
F05B2240/2213	かつ偏揺れ旋回軸より風下に回転翼をもつもの
F05B2240/231	空力的揚力効果により駆動されるもの
F05B2240/232	抗力により駆動されるもの
F05B2240/24	タービン用
F05B2240/241	衝動型のもの
F05B2240/2411	ペルトン型
F05B2240/242	反動型のもの
F05B2240/243	アルキメデスねじ式のもの
F05B2240/244	交差流型，例．バンキ型，オスバーガー型のもの
F05B2240/30	回転子翼の特徴，すなわち動的流体エネルギーを回転エネルギーにまたは回転エネルギーから動的流体エネルギーに変える要素および回転子に取り付けられる要素のもの
F05B2240/301	断面特性
F05B2240/302	分割型のまたは部分的な翼
F05B2240/303	前縁の細部
F05B2240/304	後援の細部
F05B2240/3042	鋸歯状の後援
F05B2240/305	フラップ，スラットまたはスポイラー
F05B2240/3052	調整可能なもの
F05B2240/306	表面の手段
F05B2240/3062	渦の発生器
F05B2240/307	翼の先端，例．ウィングレット
F05B2240/31	可変の形態または形状のもの
F05B2240/311	可撓性または弾性のもの
F05B2240/312	たたみ込まれることが可能なもの
F05B2240/3121	回転子の回転軸に対して直交する軸の周りでのもの
F05B2240/313	調整可能な流れ遮断域をもつもの（Ｆ０５Ｂ２２４０／３１２が優先）
F05B2240/32	粗面をもつもの
F05B2240/33	回転子の一部であるまたは回転子と共に回転しているシュラウド
F05B2240/37	多数の回転子
F05B2240/372	同軸に配置されたもの
F05B2240/374	主回転子の翼に取り付けられた補助回転子
F05B2240/40	同様の構成部品の多数の使用
F05B2240/50	軸受
F05B2240/51	磁気的なもの
F05B2240/511	永久磁石をもつもの
F05B2240/515	電磁的なもの
F05B2240/52	軸推力軸受
F05B2240/53	動圧または静圧軸受
F05B2240/54	ラジアル軸受
F05B2240/57	シール材
F05B2240/571	ブラシ状シール材
F05B2240/572	板状シール材
F05B2240/60	ｲ
F05B2240/61	中空のもの
F05B2240/62	可撓性のもの
F05B2240/63	流体の軸への進入または軸からの除去のための腺
F05B2240/70	油切り板またはワッシャ
F05B2240/80	静止または可動翼用のプラットフォーム
F05B2240/801	冷却されたプラットフォーム
F05B2240/85	電気的な結合装置
F05B2240/90	支持構造体または支持システムへの取り付け
F05B2240/91	静止構造体上のもの
F05B2240/911	優先する目的のために既に存在するもの
F05B2240/9111	それが煙突であるもの
F05B2240/9112	それが煙突であるもの建物であるもの
F05B2240/9113	それが走行する車両からエネルギーを回収するための道路，鉄軌道，または類似のものであるもの
F05B2240/912	塔上のもの
F05B2240/9121	格子塔上のもの
F05B2240/913	帆柱上のもの
F05B2240/914	膨張式の構造体上のもの
F05B2240/915	垂直に調整可能なもの
F05B2240/9151	伸縮性のもの
F05B2240/9152	枢動によるもの
F05B2240/91521	地表面のもの
F05B2240/916	構造体上に巻き上げるための装備をもつもの
F05B2240/917	鋼索に取り付けられたもの
F05B2240/9172	牽引および被牽引をともなう凧型のもの
F05B2240/9174	タービンおよび飛行パターンをともなう凧型のもの
F05B2240/9176	飛行パターンなく取り付けられたタービンをもつ羽，凧またはブイ体
F05B2240/92	空中構造体上のもの
F05B2240/921	空力効果により空中に保たれているもの
F05B2240/922	浮力効果により空中に保たれているもの
F05B2240/923	乗り物であるもの
F05B2240/93	液面上に浮く構造体上のもの
F05B2240/931	乗り物であるもの
F05B2240/932	双胴船状の構造であるもの
F05B2240/94	可動性の車輪付きの構造体上のもの
F05B2240/941	陸上移動体であるもの
F05B2240/95	沖合いのもの
F05B2240/96	風力タービン発電地帯の一部としてのもの
F05B2240/965	水力タービン発電地帯の一部としてのもの
F05B2240/97	水中構造体上のもの
F05B2240/98	膨張式のもの
F05B2240/99	色または色模様に特徴のあるもの
F05B2250/00	幾何学的形状<br><br><u>注</u><br><br>幾何学的形状とは，機械または設備における構成部品の形状または形態または構成部品の構造または配置を示す。
F05B2250/02	可変
F05B2250/10	二次元
F05B2250/11	三次元
F05B2250/12	矩形
F05B2250/121	正方形
F05B2250/13	台形
F05B2250/131	多角形
F05B2250/132	六角形
F05B2250/14	楕円形
F05B2250/141	円形
F05B2250/15	螺旋形
F05B2250/16	放物線
F05B2250/17	双曲線
F05B2250/18	模様づけられたもの
F05B2250/181	うね状
F05B2250/182	凹凸状，刻み目状
F05B2250/183	ジグザグ状
F05B2250/184	正弦曲線状
F05B2250/19	機械加工されたもの；その他のもの
F05B2250/191	穿孔されたもの
F05B2250/192	傾斜づけられたもの
F05B2250/193	フライス加工されたもの
F05B2250/20	三次元
F05B2250/21	角錐状
F05B2250/22	平行六面体状
F05B2250/221	立方体状
F05B2250/23	角柱状
F05B2250/231	円筒状
F05B2250/232	円錐状
F05B2250/24	長円状
F05B2250/241	球状
F05B2250/25	螺旋状
F05B2250/26	放物面状
F05B2250/27	双曲面状
F05B2250/28	模様づけられたもの
F05B2250/281	ねじ切りされたもの
F05B2250/282	立方体模様
F05B2250/283	蜂の巣状
F05B2250/29	機械加工されたもの；その他のもの
F05B2250/291	中空にされたもの
F05B2250/292	円錐加工されたもの
F05B2250/293	旋削されたもの，例．回転対称のもの
F05B2250/30	構成部品の配列
F05B2250/31	その主軸心または回転軸心の方向に沿うもの
F05B2250/311	軸心が整列しているもの
F05B2250/312	軸心が互いに平行であるもの
F05B2250/313	軸心が互いに垂直であるもの
F05B2250/314	軸心が互いに傾斜しているもの
F05B2250/315	主軸心が本質的に垂直であるもの
F05B2250/32	それらの形状に沿うもの
F05B2250/321	漸近
F05B2250/322	正接
F05B2250/323	収束
F05B2250/324	発散
F05B2250/33	対称
F05B2250/34	移動されたもの
F05B2250/35	回転したもの
F05B2250/36	内部と外部との関係におけるもの，例．軸−軸受装置
F05B2250/40	構成部品の動き
F05B2250/41	自由度を１つもつもの
F05B2250/411	回転におけるもの
F05B2250/42	自由度を２つもつもの
F05B2250/43	自由度を３つもつもの
F05B2250/44	一つの要素が他のものの内部に移動するもの，例．波動により操作される部材［ｗｏｍ］が他の部材［ｒｅｍ］の内側に移動するもの
F05B2250/50	吸入口または流出口
F05B2250/501	吸入口
F05B2250/5011	増大するもの，すなわち遮断流体流の断面積が吸入口後方の機械の残りの部分より大きいもの
F05B2250/5012	集束するのみのもの，すなわち遮断流体流の断面積が吸入口後方の機械の残りの部分より大きくないもの
F05B2250/502	流出口
F05B2250/503	再生式ポンプであるもの
F05B2250/60	構造体；表面組織
F05B2250/61	波形のもの
F05B2250/611	うねり形状のもの
F05B2250/62	平滑なもの
F05B2250/621	研磨されたもの
F05B2250/70	形状
F05B2250/71	湾曲したもの
F05B2250/711	凸状のもの
F05B2250/712	凹状のもの
F05B2250/713	内曲したもの
F05B2250/72	対称形のもの
F05B2250/73	非対称形のもの
F05B2250/80	機械の寸法または出力領域
F05B2250/82	マイクロ機械
F05B2250/84	ナノ機械（相互作用，感知または駆動のためのナノテクノロジーＢ８２Ｙ１５／００）
F05B2250/86	メガ機械
F05B2260/00	機能
F05B2260/02	輸送，例．運搬のための特定の適用または装置（風力タービンまたは装置のための輸送Ｆ０３Ｄ１３／４０）
F05B2260/04	設置，例．水面下構造物の設置
F05B2260/10	特定の周期
F05B2260/20	熱伝達，例．冷却
F05B2260/201	流体の衝突によるもの
F05B2260/202	膜冷却によるもの
F05B2260/203	蒸散冷却によるもの
F05B2260/205	冷却流体の再循環，すなわち１つ以上の構成部品を冷却した後，冷却流体が回収されて他の目的のために他の場所で用いられるもの
F05B2260/207	相変化塊を用いるもの，（例．溶解または沸騰による熱吸収）
F05B2260/208	熱パイプを用いるもの
F05B2260/209	渦チューブを用いるもの
F05B2260/211	中間冷却によるもの，例．圧縮周期中のもの
F05B2260/212	水噴射によるもの
F05B2260/221	熱伝達の改善
F05B2260/222	乱流の発生によるもの（混合用の渦発生器，攪拌器または類似のものＦ０５Ｂ２２４０／１２２）
F05B2260/224	熱を伝達する表面の増加によるもの
F05B2260/2241	ひれまたはリブを用いるもの
F05B2260/231	熱の伝達の防止
F05B2260/232	冷却媒体に特徴のあるもの
F05B2260/233	媒体が蒸気であるもの
F05B2260/24	太陽光または他の熱源を用いる，煙突における通風の促進のためのもの
F05B2260/30	所望の相互の位置での構成部品の保持
F05B2260/301	ボルトまたはナットの保持
F05B2260/3011	脆弱または剪断型のもの
F05B2260/302	磁力または電磁力の手段によるもの
F05B2260/303	バヨネット式軸継手をもつもの
F05B2260/304	再生回転子にかかる径方向または軸方向の力の平衡をとるもの
F05B2260/305	再生羽車円板とケーシング壁との間の摩擦の減少
F05B2260/31	特定の位置での回転子の固定
F05B2260/40	動力の伝達
F05B2260/402	摩擦式駆動装置を通してのもの
F05B2260/4021	ベルト式駆動装置を通してのもの
F05B2260/4022	無端チェーンを通してのもの
F05B2260/4023	摩擦クラッチを通してのもの
F05B2260/403	駆動部品の形状を通してのもの
F05B2260/4031	歯車伝動装置内のものとしてのもの
F05B2260/40311	周転円，遊星または差動型のもの
F05B2260/40312	爪歯車
F05B2260/404	磁気的駆動継手を通してのもの
F05B2260/4041	駆動磁石の周りを取り囲む従動磁石
F05B2260/406	液圧系統を通してのもの
F05B2260/407	圧電変換を通してのもの
F05B2260/408	磁気流体力学的変換を通してのもの
F05B2260/42	エネルギーの蓄積
F05B2260/421	回転運動エネルギーの形態でのもの，例．フライホィール
F05B2260/422	位置エネルギーの形態であるもの，例．圧力をかけられたまたはポンプされたもの
F05B2260/50	運動学的連結，すなわち位置の伝達
F05B2260/502	ばねを含むもの
F05B2260/503	歯車を用いるもの
F05B2260/5032	傘型または角度付きの型のもの
F05B2260/504	平またはＶベルトおよびプーリを用いるもの
F05B2260/505	チェーンおよびスプロケットを用いるもの；歯付きベルトを用いるもの
F05B2260/506	カムまたは偏心体を用いるもの
F05B2260/507	サーボモータ，独立したアクチュエータ等を用いるもの
F05B2260/60	流体の伝達
F05B2260/601	イジェクタまたはジェットポンプを用いるもの
F05B2260/602	排水
F05B2260/603	シール材を通過した漏洩のもの（シール材Ｆ０５Ｂ２２４０／５７；腺Ｆ０５Ｂ２２４０／６３）
F05B2260/604	渦状非閉塞型ポンプ
F05B2260/63	ごみ，粉塵または異物の微粒子による流路の詰まりまたは障害の防止
F05B2260/64	閉空間の通気，換気，除湿または湿気の除去
F05B2260/70	回転翼の入射角または迎角の調整
F05B2260/71	流速の関数としてのもの
F05B2260/72	回転子の中心線に平行な軸心の周りの回動によるもの
F05B2260/74	回転子の中心線に垂直な軸心の周りの回動によるもの
F05B2260/75	調整機構が補助動力源を用いないもの（サーボ機構）
F05B2260/76	調整機構が補助動力源を用いるもの
F05B2260/77	調整機構が遠心力により駆動または始動されるもの
F05B2260/78	調整機構が動的空気力により駆動または始動されるもの
F05B2260/79	それらのための軸受，支持体または差動装置
F05B2260/80	診断
F05B2260/82	予測
F05B2260/821	パラメータの評価または予測
F05B2260/8211	天候についてのもの
F05B2260/83	試験，例．それらのための方法，構成部品または道具
F05B2260/84	モデリングまたはシミュレーション
F05B2260/845	冗長性
F05B2260/85	始動
F05B2260/87	発電機の原動機としての使用
F05B2260/90	制動
F05B2260/901	動的空気力，すなわち揚力または抗力，を用いるもの
F05B2260/9011	回転翼の先端のもの
F05B2260/902	摩擦機械力を用いるもの
F05B2260/903	電気力または磁力を用いるもの
F05B2260/904	動圧力を用いるもの
F05B2260/95	腐食の防止（被覆または表面処理Ｆ０５Ｂ２２３０／９０）
F05B2260/96	振動または騒音の防止，相殺または減少
F05B2260/962	耐騒音を生成する手段によるもの
F05B2260/964	減衰手段によるもの
F05B2260/966	静的または動的な不均衡の是正によるもの
F05B2260/97	風損の低減
F05B2260/972	径方向流機械におけるもの
F05B2260/98	潤滑
F05B2260/99	電波探知の吸収
F05B2270/00	制御
F05B2270/10	制御系の目的
F05B2270/101	回転速度（ｎ）を制御するためのもの
F05B2270/1011	速度超過を防止するためのもの
F05B2270/1012	速度不足を防止するためのもの
F05B2270/1013	異なるスプールまたは軸のもの
F05B2270/1014	回転速度を一定に保つためのもの
F05B2270/1016	可変速度操作におけるもの
F05B2270/102	加速度（ｕ）を制御するためのもの
F05B2270/1021	加速度を危険な高いレベルの値以下に保つもの
F05B2270/1022	加速度をできるだけ高くするもの
F05B2270/103	機関の出力に影響を与えるためのもの
F05B2270/1031	推力
F05B2270/1032	トルク
F05B2270/1033	動力（明確に表示されている場合）
F05B2270/104	機関を被駆動装置に合わせるためのもの
F05B2270/1041	特に被駆動発電機の電気的周波数におけるもの
F05B2270/107	緊急事態への対処のためのもの
F05B2270/1071	特に突発的な負荷の喪失におけるもの
F05B2270/10711	方法を通じて低電圧での駆動を適用するもの
F05B2270/1072	特に吹き消しおよび再点火におけるもの
F05B2270/1073	複数機関系における１台の機関のもの
F05B2270/1074	バックアップ制御の使用によるもの
F05B2270/1075	一時的に最優先の設定された制御限界によるもの
F05B2270/1076	水または雹の吸い込みにより起きるもの
F05B2270/1077	荒天からの保護
F05B2270/109	機関の寿命を延ばすためのもの
F05B2270/1091	温度の制限によるもの
F05B2270/1095	機械的応力の制限によるもの
F05B2270/1097	逆回転の防止によるもの
F05B2270/11	望ましい乗り物の軌跡のパラメータを維持するためのもの
F05B2270/111	同時に２台以上の機関を制御するためのもの
F05B2270/17	翼の過度の偏りの回避のためのもの
F05B2270/18	浮力を制御するためのもの
F05B2270/19	環境上のストロボのフリッカまたは影の回避のためのもの
F05B2270/20	機械の性能の最適化のためのもの
F05B2270/202	波動状態の転換
F05B2270/204	後流効果を考慮するもの
F05B2270/30	制御のパラメータ，例．出力のパラメータ
F05B2270/301	圧力
F05B2270/3011	吸入口
F05B2270/3013	流出口
F05B2270/3015	差動装置
F05B2270/303	温度
F05B2270/3032	温度超過，例．過熱により生じるもの
F05B2270/304	スプールの回転速度
F05B2270/305	公差
F05B2270/309	パラメータの変化率
F05B2270/32	風速
F05B2270/3201	カットオフまたは遮断の風速
F05B2270/3202	カットインまたは始動の風速
F05B2270/321	風向
F05B2270/322	突風の検知または予測
F05B2270/323	空気の湿度
F05B2270/324	空気の圧力
F05B2270/325	空気の温度
F05B2270/326	回転子の角度
F05B2270/327	回転子または発電機の速度
F05B2270/328	翼のピッチ角
F05B2270/329	方位またはヨーの角度
F05B2270/33	翼の塔への接近
F05B2270/331	機械的負荷
F05B2270/332	最大負荷または疲労基準
F05B2270/333	騒音または音量のレベル
F05B2270/334	振動の測定
F05B2270/335	出力またはトルク
F05B2270/336	翼揚力の測定
F05B2270/337	電力網の状態のパラメータ，例．電圧，周波数または出力の要求
F05B2270/34	水位
F05B2270/341	液流の速度または方向
F05B2270/342	波の状態，例．振幅，周波数または方向
F05B2270/40	制御系の形式
F05B2270/402	受動的または反動的なもの，例．大きな風向計を用いるもの
F05B2270/404	能動的，予測的，または予期的なもの
F05B2270/50	下記の手段による制御論理の具体化
F05B2270/502	電気的手段，例．継電器またはスイッチ
F05B2270/504	電子的手段，例．電子管，トランジスタまたは電子回路内の集積回路
F05B2270/506	液圧手段，例．液圧回路内の液圧弁
F05B2270/508	機械的手段，例．レバー，歯車またはカム
F05B2270/60	下記のものを通して作動する制御系
F05B2270/602	電気アクチュエータ
F05B2270/604	液圧アクチュエータ
F05B2270/605	空気圧アクチュエータ
F05B2270/606	機械的アクチュエータ（Ｆ０５Ｂ２２７０／６０２が優先）
F05B2270/70	制御アルゴリズムの形式
F05B2270/701	比例
F05B2270/702	微分
F05B2270/703	積分
F05B2270/704	比例−微分
F05B2270/705	比例−積分
F05B2270/706	比例−積分−微分
F05B2270/707	ファジー論理
F05B2270/708	比較表をもつもの
F05B2270/709	ニューラルネットワークをもつもの
F05B2270/80	入力信号を生成する装置，例．変換器，検出器，撮像器または歪み計
F05B2270/802	それらの構成
F05B2270/803	それらの試料採取
F05B2270/804	光学装置
F05B2270/8041	撮像器
F05B2270/8042	光線電波探知系
F05B2270/805	電波探知機
F05B2270/806	音波探知機
F05B2270/807	加速度計
F05B2270/808	歪み計，荷重計
F05B2270/809	符号器
F05B2270/81	マイクロフォン
F05B2270/821	変位測定手段，例．誘導
F05B2280/00	材料；それらの特性
F05B2280/10	無機材料，例．金属
F05B2280/101	鉄
F05B2280/1011	鋳鉄
F05B2280/102	軽金属
F05B2280/1021	アルミニウム
F05B2280/1022	ベリリウム
F05B2280/1023	ホウ素
F05B2280/1024	リチウム
F05B2280/1025	マグネシウム
F05B2280/103	重金属
F05B2280/10301	耐熱金属，例．Ｖ，Ｗ
F05B2280/10302	クロミウム
F05B2280/10303	モリブデン
F05B2280/10304	チタン
F05B2280/10305	ジルコニウム
F05B2280/10306	ハフニウム
F05B2280/10307	マンガン
F05B2280/10308	鉛
F05B2280/10309	錫
F05B2280/1031	亜鉛
F05B2280/10311	水銀
F05B2280/104	貴金属
F05B2280/1041	銀
F05B2280/1042	金
F05B2280/1043	白金族，例．Ｐｔ，Ｉｒ
F05B2280/1044	パラジウム
F05B2280/1045	ルテニウム
F05B2280/1046	オスミウム
F05B2280/1047	イリジウム
F05B2280/1048	ロジウム
F05B2280/105	銅
F05B2280/106	希土類金属，例．Ｓｃ，Ｙ
F05B2280/107	合金
F05B2280/1071	鋼合金
F05B2280/1072	銅合金
F05B2280/10721	ブロンズ
F05B2280/10722	リン青銅合金
F05B2280/10723	ニッケル銅合金，例．モネル
F05B2280/1073	アルミニウム合金，例．ＡｌＣｕＭｇＰｂ
F05B2280/1074	他に分類されない合金
F05B2280/10741	超合金
F05B2280/10742	熱安定合金
F05B2280/10743	Ｎｉ−Ｓｉ合金
F05B2280/10744	金属−アルミナイド金属間複合物
F05B2280/20	無機材料，例．非金属材料
F05B2280/2001	ガラス
F05B2280/20011	ＭＩＢＡ
F05B2280/20012	石英
F05B2280/2002	リン
F05B2280/2003	ケイ素
F05B2280/2004	セラミック；酸化物
F05B2280/20041	酸化アルミニウム
F05B2280/20042	酸化亜鉛
F05B2280/20043	酸化ジルコニウム
F05B2280/2005	非酸化セラミック
F05B2280/2006	炭素，例．黒鉛
F05B2280/2007	炭化物
F05B2280/20071	ケイ素のもの
F05B2280/20072	チタンのもの，例．ＴｉＢ
F05B2280/20073	タングステンのもの，例．タングステン炭化物
F05B2280/2008	窒化物
F05B2280/20081	アルミニウムのもの
F05B2280/20082	ホウ素のもの
F05B2280/20083	ケイ素のもの
F05B2280/20084	チタニウムのもの
F05B2280/20085	ジルコニウムのもの
F05B2280/2009	硫化物
F05B2280/20091	モリブデンのもの
F05B2280/201	サファイア
F05B2280/2011	チタン酸アルミニウム
F05B2280/2013	シリカ
F05B2280/2014	ヒ素
F05B2280/2015	アンチモン
F05B2280/2016	ビスマス
F05B2280/2017	バリウム
F05B2280/30	他に分類されない無機材料
F05B2280/40	有機材料
F05B2280/4001	皮革
F05B2280/4002	セルロース材料，例．木材
F05B2280/4003	合成高分子，例．プラスチック
F05B2280/4004	ゴム
F05B2280/4005	ＰＴＦＥ［ポリテトラフルオロエチレン］
F05B2280/4006	ポリアミド，例．ナイロン
F05B2280/4007	熱可塑性樹脂
F05B2280/4009	ポリエーテルエーテルケトン，例．ＰＥＥＫ
F05B2280/401	ケイ素高分子
F05B2280/4011	他に分類されない有機材料
F05B2280/50	材料に固有の特性または特徴
F05B2280/5001	弾性
F05B2280/5002	熱的特性
F05B2280/5003	膨張性
F05B2280/50031	同様のもの
F05B2280/50032	相違するもの
F05B2280/5004	熱伝達
F05B2280/5005	反射特性
F05B2280/5006	形状記憶性
F05B2280/5007	硬度
F05B2280/5008	磁気的特性
F05B2280/5009	非磁性
F05B2280/501	自己潤滑材料；固体潤滑剤
F05B2280/5011	表面粗さ
F05B2280/60	処理または製造により材料に付与される特性または特徴
F05B2280/6001	布
F05B2280/6002	織物
F05B2280/6003	複合物，例．繊維強化物
F05B2280/6004	非結晶性のもの
F05B2280/6005	結晶性のもの
F05B2280/6006	指向性凝固結晶構造
F05B2280/6007	単結晶のもの
F05B2280/6008	構造
F05B2280/6009	粒度
F05B2280/601	シンタクティックなもの
F05B2280/6011	被膜
F05B2280/6012	発泡体
F05B2280/6013	繊維
F05B2280/6014	充填剤
F05B2280/6015	樹脂
F05B2280/70	材料の処理または調整
F05B2280/701	熱処理
F05B2280/702	補強剤
