B26B19/384	｛乾式ひげそり器の箔；その製造｝
B26B19/3846	
B26B19/3853	
B26B19/386	
B26B19/3866	
B26B19/3873	
B26B19/388	
B26B19/3886	
B26B19/3893	
B26B19/40	潤　滑
B26B19/42	切断する毛髪を整えるための装備，例．逆立てする手段によるもの；皮膚を緊張するための装備，例．ローラー，出張りの手段によるもの（ひげそり用の皮膚伸張器それ自体Ａ４５Ｄ２７／３８）
B26B19/44	切断された毛髪を集めるためのまたはひげそりされる皮膚に対する吸引手段
B26B19/46	ひげそりされるかまたはバリカンで刈られる範囲を照明するための装置
B26B19/48	毛髪を刈るのとは別の機能を行うための附属具，例．マニキュア用の取付け可能の器具（マッサージ手段それ自体Ａ６１Ｈ７／００〜Ａ６１Ｈ２３／００）
B26B21/00	さやなし型またはナイフ型のかみそり；安全かみそりとかんな型のその他のかみそり具；かみそりの刃を組み込んだ毛髪刈込み装置；それらのための附属具
B26B21/02	交換できない刃をもっているもの
B26B21/04	ナイフ型のかみそり
B26B21/06	固定刃をもった安全かみそり，例．鋳造された刃をもつもの
B26B21/08	交換できる刃をもっているもの
B26B21/10	柄の長手方向に配設された一つまたは複数の刃をもった安全かみそり
B26B21/12	くしまたは毛髪刈込み用の他の手段と結合されたもの
B26B21/125	｛通常のくしに取り付けたかみそり刃｝
B26B21/14	柄に対して横方向に配設された一つまたは複数の刃をもった安全かみそり
B26B21/16	ただ一つの切刃をもつ刃をもっているもの（Ｂ２６Ｂ２１／２２〜Ｂ２６Ｂ２１／３８が優先）
B26B21/165	｛転換できるユニットに鋳造された，または取り付けられた刃をもつもの｝
B26B21/18	二つの切刃をもつ刃をもっているもの（Ｂ２６Ｂ２１／２２〜Ｂ２６Ｂ２１／３８が優先）
B26B21/185	｛調整できる保護具の空隙をもつもの；可変角度のレーキを持つもの｝
B26B21/20	二つ以上の切刃をもつ刃をもっているもの；円板刃をもっているもの（Ｂ２６Ｂ２１／２２〜Ｂ２６Ｂ２１／３８が優先）
B26B21/22	同時に使用される数個の刃をもっているもの
B26B21/222	｛転換できるユニットに鋳造された，または取り付けられた刃をもつもの（Ｂ２６Ｂ２１／４００６が優先）｝
B26B21/225	｛柄に弾性的に装着された転換できるユニットをもつもの｝
