F23B  40/08	・・	ポット型またはトラフ型の火格子に供給されるもの［８］	into pot- or trough-shaped grates	77
F23B  50/00		燃料が重力により燃焼ゾーンにまたはこれを介して供給される燃焼装置，例．燃焼ゾーンの上部に設置された燃料貯蔵手段から供給するもの［８］	Combustion apparatus in which the fuel is fed into or through the combustion zone by gravity, e.g. from a fuel storage situated above the combustion zone	325
F23B  50/02	・	燃料が，下部に燃焼ゾーンを有する柱状物，山状物，または厚い層を形成するもの［８］	the fuel forming a column, stack or thick layer with the combustion zone at its bottom	78
F23B  50/04	・・	燃料の動きに対して燃焼空気および燃焼排ガスの流れがほぼ交差しているもの［８］	the movement of combustion air and flue gases being substantially transverse to the movement of the fuel	67
F23B  50/06	・・	燃料の支持面の開口部分から燃焼排ガスを下方に排気するもの［８］	the flue gases being removed downwards through one or more openings in the fuel-supporting surface	60
F23B  50/08	・・	燃料を偏向させる部材によって燃料層内に燃焼空間を形成しているもの［８］	with fuel-deflecting bodies forming free combustion spaces inside the fuel layer	13
F23B  50/10	・・	燃料が充填された導管の末端が燃料層の表面にあり、その表面に燃焼ゾーンを形成するもの［８］	with the combustion zone at the bottom of fuel-filled conduits ending at the surface of a fuel bed	26
F23B  50/12	・	自由落下または傾斜面に沿って滑らせることにより，燃焼ゾーンに供給される燃料，例．燃料層の上部で終わっているコンベアからの供給［８］	the fuel being fed to the combustion zone by free fall or by sliding along inclined surfaces, e.g. from a conveyor terminating above the fuel bed	458
F23B  60/00		本質的に静止したまま燃料が燃える燃焼装置［８］	Combustion apparatus in which the fuel burns essentially without moving	1247
F23B  60/02	・	火格子を通じて供給される燃焼空気を有するもの［８］	with combustion air supplied through a grate	611
F23B  70/00		固体燃焼残滓を再循環するための手段に特徴がある燃焼装置［８］	Combustion apparatus characterised by means for returning solid combustion residues to the combustion chamber	310
F23B  80/00		燃焼排ガス又は燃料から放出される未燃ガスを導くための流路に特徴があるもの［８］	Combustion apparatus characterised by means creating a distinct flow path for flue gases or for non-combusted gases given off by the fuel	695
